date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,paymentDate,recordDate,declarationDate,adjDividend
2025-12-11,79.9,82.06,79.77,81.92,81.67,2608828,2608828,2.02,2.53,80.9125,"December 11, 25",0.0253,,,,,
2025-12-10,77.53,80.58,77.43,80.34,80.09,1728350,1728350,2.81,3.62,78.97,"December 10, 25",0.0362,,,,,
2025-12-09,77.99,78.73,77.22,77.5,77.26,2524145,2524145,-0.49,-0.62829,77.86,"December 09, 25",-0.0062829,,,,,
2025-12-08,78.45,78.57,77.16,77.91,77.67,2858700,2858700,-0.54,-0.68834,78.0225,"December 08, 25",-0.0068834,,,,,
2025-12-05,79.23,81.07,78.75,78.85,78.61,2180867,2180867,-0.38,-0.47962,79.475,"December 05, 25",-0.0047962,,,,,
2025-12-04,80.32,80.69,79.19,79.74,79.5,3017641,3017641,-0.58,-0.72211,79.985,"December 04, 25",-0.0072211,,,,,
2025-12-03,79.11,80.78,79.11,79.96,79.72,2230800,2230800,0.85,1.07,79.74,"December 03, 25",0.0107,,,,,
2025-12-02,76.78,79.24,75.7,78.69,78.45,3831266,3831266,1.91,2.49,77.6025,"December 02, 25",0.0249,,,,,
2025-12-01,74.8,77.53,74.72,76.24,76.01,2423104,2423104,1.44,1.93,75.8225,"December 01, 25",0.0193,,,,,
2025-11-28,75.24,76.46,75.01,75.76,75.53,1144821,1144821,0.52,0.69112,75.6175,"November 28, 25",0.0069112,,,,,
2025-11-26,73.82,75.38,73.77,74.97,74.74,2215758,2215758,1.15,1.56,74.485,"November 26, 25",0.0156,,,,,
2025-11-25,73.19,74.74,73.05,74.02,73.79,2017412,2017412,0.83,1.13,73.75,"November 25, 25",0.0113,,,,,
2025-11-24,72.89,73.46,72.27,72.8,72.58,3175900,3175900,-0.09,-0.12347,72.855,"November 24, 25",-0.0012347,,,,,
2025-11-21,72.24,74.66,72.13,73.49,73.27,2099414,2099414,1.25,1.73,73.13,"November 21, 25",0.0173,,,,,
2025-11-20,73.15,73.46,71.38,71.47,71.25,1690401,1690401,-1.68,-2.3,72.365,"November 20, 25",-0.023,,,,,
2025-11-19,72.34,72.56,70.91,72.03,71.81,1661449,1661449,-0.31,-0.42853,71.96,"November 19, 25",-0.0042853,,,,,
2025-11-18,72.41,73.33,71.77,72.03,71.81,2053413,2053413,-0.38,-0.52479,72.385,"November 18, 25",-0.0052479,,,,,
2025-11-17,73.92,74.25,72.26,72.58,72.36,1627678,1627678,-1.34,-1.81,73.2525,"November 17, 25",-0.0181,,,,,
2025-11-14,75.11,75.4,73.27,74.11,73.88,2218595,2218595,-1,-1.33,74.4725,"November 14, 25",-0.0133,,,,,
2025-11-13,77.53,78.08,75.17,75.44,75.21,1587456,1587456,-2.09,-2.7,76.555,"November 13, 25",-0.027,,,,,
2025-11-12,77.09,78.48,77.09,77.39,77.15,1612959,1612959,0.3,0.38916,77.5125,"November 12, 25",0.0038916,,,,,
2025-11-11,76.67,77.8,76.33,77.23,76.99,1734100,1734100,0.56,0.7304,77.0075,"November 11, 25",0.007304,,,,,
2025-11-10,76.75,77.06,74.91,75.69,75.46,2550600,2550600,-1.06,-1.38,76.1025,"November 10, 25",-0.0138,,,,,
2025-11-07,75.89,76.86,74.88,76.03,75.8,1958588,1958588,0.14,0.18448,75.915,"November 07, 25",0.0018448,,,,,
2025-11-06,79.19,79.99,76.3,76.37,76.14,3778445,3778445,-2.82,-3.56,77.9625,"November 06, 25",-0.0356,,,,,
2025-11-05,80.52,80.85,78.19,79.2,78.96,2808449,2808449,-1.32,-1.64,79.69,"November 05, 25",-0.0164,,,,,
2025-11-04,80.7,80.99,77.1,79.96,79.72,4159888,4159888,-0.74,-0.91698,79.6875,"November 04, 25",-0.0091698,,,,,
2025-11-03,77.29,77.5,74.71,77.1,76.86,4338585,4338585,-0.19,-0.24583,76.65,"November 03, 25",-0.0024583,,,,,
2025-10-31,78,79.06,77.05,77.76,77.52,2876800,2876800,-0.24,-0.30769,77.9675,"October 31, 25",-0.0030769,,,,,
2025-10-30,79.35,81.22,78.62,78.69,78.45,2065720,2065720,-0.66,-0.83176,79.47,"October 30, 25",-0.0083176,,,,,
2025-10-29,81.5,82.54,78.67,79.21,78.97,4705535,4705535,-2.29,-2.81,80.48,"October 29, 25",-0.0281,,,,,
2025-10-28,86.79,87.22,85.59,85.63,85.37,1472651,1472651,-1.16,-1.34,86.3075,"October 28, 25",-0.0134,,,,,
2025-10-27,88.19,88.77,86.73,86.79,86.53,1435156,1435156,-1.4,-1.59,87.62,"October 27, 25",-0.0159,,,,,
2025-10-24,88.69,89.01,87.34,87.36,87.09,1286700,1286700,-1.33,-1.5,88.1,"October 24, 25",-0.015,,,,,
2025-10-23,86.83,88.2,86.53,87.48,87.21,1184700,1184700,0.65,0.74859,87.26,"October 23, 25",0.0074859,,,,,
2025-10-22,86.5,87.38,85.62,85.67,85.41,1787002,1787002,-0.83,-0.95954,86.2925,"October 22, 25",-0.0095954,,,,,
2025-10-21,86.99,88.22,86.5,87.66,87.39,1282459,1282459,0.67,0.7702,87.3425,"October 21, 25",0.007702,,,,,
2025-10-20,85.84,87.22,85.52,87.02,86.75,1262700,1262700,1.18,1.37,86.4,"October 20, 25",0.0137,,,,,
2025-10-17,83.68,85.6,83.65,85.42,85.16,2372300,2372300,1.74,2.08,84.5875,"October 17, 25",0.0208,,,,,
2025-10-16,86,86.34,83.65,83.66,83.4,1856018,1856018,-2.34,-2.72,84.9125,"October 16, 25",-0.0272,,,,,
2025-10-15,86.64,87.29,85.26,86.1,85.84,1267123,1267123,-0.54,-0.62327,86.3225,"October 15, 25",-0.0062327,,,,,
2025-10-14,83.18,86.92,83.09,86.47,86.21,1993730,1993730,3.29,3.96,84.915,"October 14, 25",0.0396,,,,,
2025-10-13,83.67,84.75,83.35,84.22,83.96,1218067,1218067,0.55,0.65734,83.9975,"October 13, 25",0.0065734,,,,,
2025-10-10,87.12,87.43,82.81,82.85,82.6,2601400,2601400,-4.27,-4.9,85.0525,"October 10, 25",-0.049,,,,,
2025-10-09,88.87,89.58,86.56,87.18,86.91,1720900,1720900,-1.69,-1.9,88.0475,"October 09, 25",-0.019,,,,,
2025-10-08,88.74,88.8,87.23,88.53,88.26,1363614,1363614,-0.21,-0.23665,88.325,"October 08, 25",-0.0023665,,,,,
2025-10-07,87.66,88.69,87.06,88.1,87.83,1642200,1642200,0.44,0.50194,87.8775,"October 07, 25",0.0050194,,,,,
2025-10-06,88.91,88.99,86.48,87.18,86.91,1453232,1453232,-1.73,-1.95,87.89,"October 06, 25",-0.0195,,,,,
2025-10-03,86.59,88.56,86.01,87.96,87.69,1990821,1990821,1.37,1.58,87.28,"October 03, 25",0.0158,,,,,
2025-10-02,84.83,86.72,84.75,86.42,86.16,2059936,2059936,1.59,1.87,85.68,"October 02, 25",0.0187,,,,,
2025-10-01,83.1,85.52,83.1,85.12,84.86,1796200,1796200,2.02,2.43,84.21,"October 01, 25",0.0243,,,,,
2025-09-30,86.04,86.27,81.98,83.08,82.83,3422288,3422288,-2.96,-3.44,84.3425,"September 30, 25",-0.0344,,,,,
2025-09-29,85.84,86.88,84.17,86.34,86.08,3199200,3199200,0.5,0.58248,85.8075,"September 29, 25",0.0058248,,,,,
2025-09-26,84.91,85.41,84.03,84.32,84.06,2205400,2205400,-0.59,-0.69485,84.6675,"September 26, 25",-0.0069485,,,,,
2025-09-25,86.39,87.09,84.78,84.9,84.64,2184737,2184737,-1.49,-1.72,85.79,"September 25, 25",-0.0172,,,,,
2025-09-24,86.29,87.84,86.23,87.11,86.84,2123600,2123600,0.82,0.95028,86.8675,"September 24, 25",0.0095028,,,,,
2025-09-23,86.88,88.33,86,86.11,85.85,3168700,3168700,-0.77,-0.88628,86.83,"September 23, 25",-0.0088628,,,,,
2025-09-22,85.96,87.31,85.61,86.95,86.68,3095928,3095928,0.99,1.15,86.4575,"September 22, 25",0.0115,,,,,
2025-09-19,86.84,87.17,85.87,86.55,86.29,4807416,4807416,-0.29,-0.33395,86.6075,"September 19, 25",-0.0033395,,,,,
2025-09-18,85.88,86.28,84.85,86.07,85.81,2013100,2013100,0.19,0.22124,85.77,"September 18, 25",0.0022124,,,,,
2025-09-17,84.3,86.92,84.3,85.35,85.09,1785429,1785429,1.05,1.25,85.2175,"September 17, 25",0.0125,,,,,
2025-09-16,83.7,84.48,82.53,84.29,84.03,5512081,5512081,0.59,0.7049,83.75,"September 16, 25",0.007049,,,,,
2025-09-15,85.45,85.88,83.96,84.16,83.9,1871860,1871860,-1.29,-1.51,84.8625,"September 15, 25",-0.0151,,,,,
2025-09-12,86.38,86.38,85.05,85.35,85.09,1344716,1344716,-1.03,-1.19,85.79,"September 12, 25",-0.0119,0.25,2025-09-26,2025-09-12,2025-07-30,0.25
2025-09-11,85.35,87.07,85.05,86.68,86.17,1998211,1998211,1.33,1.56,86.0375,"September 11, 25",0.0156,,,,,
2025-09-10,86.25,87.27,84.82,85.08,84.58,2213334,2213334,-1.17,-1.36,85.855,"September 10, 25",-0.0136,,,,,
2025-09-09,87.12,87.83,86.58,86.91,86.4,2932875,2932875,-0.21,-0.24105,87.11,"September 09, 25",-0.0024105,,,,,
2025-09-08,87.21,87.6,85.91,87.42,86.91,1782536,1782536,0.21,0.2408,87.035,"September 08, 25",0.002408,,,,,
2025-09-05,87.39,89.05,86.47,87.78,87.26,1398875,1398875,0.39,0.44628,87.6725,"September 05, 25",0.0044628,,,,,
2025-09-04,86.76,87.5,85.65,87.28,86.77,2482100,2482100,0.52,0.59935,86.7975,"September 04, 25",0.0059935,,,,,
2025-09-03,86.63,87.63,85.64,86.76,86.25,2404364,2404364,0.13,0.15006,86.665,"September 03, 25",0.0015006,,,,,
2025-09-02,87.92,88.21,86.18,86.99,86.48,2478022,2478022,-0.93,-1.06,87.325,"September 02, 25",-0.0106,,,,,
2025-08-29,88.51,89.22,88.37,88.82,88.3,1818545,1818545,0.31,0.35024,88.73,"August 29, 25",0.0035024,,,,,
2025-08-28,88.13,88.47,87.25,88.22,87.7,1416947,1416947,0.09,0.10212,88.0175,"August 28, 25",0.0010212,,,,,
2025-08-27,87.88,89.2,87.84,87.84,87.32,1641401,1641401,-0.04,-0.04551661,88.19,"August 27, 25",-0.0004551661,,,,,
2025-08-26,88.55,88.9,87.81,88.23,87.71,2078400,2078400,-0.32,-0.36138,88.3725,"August 26, 25",-0.0036138,,,,,
2025-08-25,89.24,89.66,88.23,88.82,88.3,1808262,1808262,-0.42,-0.47064,88.9875,"August 25, 25",-0.0047064,,,,,
2025-08-22,86.33,90.64,85.82,90.01,89.48,2329700,2329700,3.68,4.26,88.2,"August 22, 25",0.0426,,,,,
2025-08-21,85.27,86.03,84.25,85.72,85.22,1973200,1973200,0.455,0.52774,85.3175,"August 21, 25",0.0052774,,,,,
2025-08-20,86.34,86.94,85.61,85.77,85.27,2186909,2186909,-0.57,-0.66018,86.165,"August 20, 25",-0.0066018,,,,,
2025-08-19,86.49,88.09,86.2,86.62,86.11,2644000,2644000,0.135,0.15031,86.85,"August 19, 25",0.0015031,,,,,
2025-08-18,86.43,87.23,86.08,86.37,85.86,2051037,2051037,-0.06,-0.06942034,86.5275,"August 18, 25",-0.0006942034,,,,,
2025-08-15,87.62,89.03,86.7,86.79,86.28,2167900,2167900,-0.83,-0.94727,87.535,"August 15, 25",-0.0094727,,,,,
2025-08-14,84.99,87.71,84.43,87.19,86.68,3256000,3256000,2.2,2.59,86.08,"August 14, 25",0.0259,,,,,
2025-08-13,82.8,86.53,82.72,86.46,85.95,2839785,2839785,3.66,4.42,84.6275,"August 13, 25",0.0442,,,,,
2025-08-12,81.77,83.59,81.09,82.39,81.91,2695308,2695308,0.62,0.75822,82.21,"August 12, 25",0.0075822,,,,,
2025-08-11,81.63,82.74,80.59,80.83,80.35,3986919,3986919,-0.8,-0.98003,81.4475,"August 11, 25",-0.0098003,,,,,
2025-08-08,82.15,82.76,80.81,81,80.52,2585712,2585712,-1.15,-1.4,81.68,"August 08, 25",-0.014,,,,,
2025-08-07,85.74,86.07,81.61,82.02,81.54,3434414,3434414,-3.72,-4.34,83.86,"August 07, 25",-0.0434,,,,,
2025-08-06,87.7,87.86,81.52,85.54,85.04,5181720,5181720,-2.15,-2.46,85.655,"August 06, 25",-0.0246,,,,,
2025-08-05,78.88,79.23,77.39,78.41,77.95,4048334,4048334,-0.47,-0.59584,78.4775,"August 05, 25",-0.0059584,,,,,
2025-08-04,78.54,79.37,78.16,78.89,78.43,1983858,1983858,0.35,0.44563,78.74,"August 04, 25",0.0044563,,,,,
2025-08-01,78.92,79.21,76.6,78.04,77.58,2099800,2099800,-0.88,-1.12,78.1925,"August 01, 25",-0.0112,,,,,
2025-07-31,81.1,82.37,79.87,79.95,79.48,1762091,1762091,-1.15,-1.42,80.8225,"July 31, 25",-0.0142,,,,,
2025-07-30,83.5,83.65,81.06,81.44,80.96,2187066,2187066,-2.06,-2.47,82.4125,"July 30, 25",-0.0247,,,,,
2025-07-29,84.54,84.92,83.02,83.23,82.74,1651700,1651700,-1.31,-1.55,83.9275,"July 29, 25",-0.0155,,,,,
2025-07-28,85.36,86.1,84.33,84.71,84.21,1602419,1602419,-0.65,-0.76148,85.125,"July 28, 25",-0.0076148,,,,,
2025-07-25,85.26,86.21,83.31,85.76,85.26,3422448,3422448,0.5,0.58644,85.135,"July 25, 25",0.0058644,,,,,
2025-07-24,84.09,84.12,82.96,83.05,82.56,1243605,1243605,-1.04,-1.24,83.555,"July 24, 25",-0.0124,,,,,
2025-07-23,84.01,84.67,83.1,83.9,83.41,2489000,2489000,-0.11,-0.13094,83.92,"July 23, 25",-0.0013094,,,,,
2025-07-22,81.62,84.26,81.62,84.11,83.62,2380200,2380200,2.49,3.05,82.9025,"July 22, 25",0.0305,,,,,
2025-07-21,82.1,82.6,81.05,81.15,80.67,2022933,2022933,-0.95,-1.16,81.725,"July 21, 25",-0.0116,,,,,
2025-07-18,82.89,83.26,81.33,81.93,81.45,2303935,2303935,-0.96,-1.16,82.3525,"July 18, 25",-0.0116,,,,,
2025-07-17,82.35,83.83,81.86,83.04,82.55,2697800,2697800,0.69,0.83789,82.77,"July 17, 25",0.0083789,,,,,
2025-07-16,82.25,83.18,79.71,82.66,82.17,3997417,3997417,0.41,0.49848,81.95,"July 16, 25",0.0049848,,,,,
2025-07-15,79.82,79.83,77.6,77.61,77.15,2407516,2407516,-2.21,-2.77,78.715,"July 15, 25",-0.0277,,,,,
2025-07-14,79.85,80.49,79,79.49,79.02,1527700,1527700,-0.36,-0.45085,79.7075,"July 14, 25",-0.0045085,,,,,
2025-07-11,79.76,80.48,78.79,78.8,78.34,2334707,2334707,-0.96,-1.2,79.4575,"July 11, 25",-0.012,,,,,
2025-07-10,80.11,82,79.84,81.22,80.74,2895000,2895000,1.11,1.39,80.7925,"July 10, 25",0.0139,,,,,
2025-07-09,81.18,81.5,79.44,80.65,80.18,1316002,1316002,-0.53,-0.65287,80.6925,"July 09, 25",-0.0065287,,,,,
2025-07-08,80.5,82,80.34,80.66,80.19,1528200,1528200,0.16,0.19876,80.875,"July 08, 25",0.0019876,,,,,
2025-07-07,81.52,82.05,79.31,80.08,79.61,1470160,1470160,-1.44,-1.77,80.74,"July 07, 25",-0.0177,,,,,
2025-07-03,82.22,82.52,81.46,81.85,81.37,1007600,1007600,-0.37,-0.45001,82.0125,"July 03, 25",-0.0045001,,,,,
2025-07-02,82.01,82.35,80.65,81.99,81.51,1639368,1639368,-0.02,-0.02438727,81.75,"July 02, 25",-0.0002438727,,,,,
2025-07-01,79.78,82.94,79.72,81.97,81.49,2209433,2209433,2.19,2.75,81.1025,"July 01, 25",0.0275,,,,,
2025-06-30,79.29,80.34,78.75,80.04,79.57,2779801,2779801,0.75,0.94589,79.605,"June 30, 25",0.0094589,,,,,
2025-06-27,79.01,79.82,77.93,78.72,78.26,2872800,2872800,-0.29,-0.36704,78.87,"June 27, 25",-0.0036704,,,,,
2025-06-26,77.92,78.57,77.78,78.24,77.78,2125149,2125149,0.32,0.41068,78.1275,"June 26, 25",0.0041068,,,,,
2025-06-25,78.43,78.91,77.39,77.72,77.26,3312061,3312061,-0.71,-0.90527,78.1125,"June 25, 25",-0.0090527,,,,,
2025-06-24,77.94,79.25,77.29,78.98,78.52,4397223,4397223,1.04,1.33,78.365,"June 24, 25",0.0133,,,,,
2025-06-23,76.5,77.21,74.86,76.35,75.9,3423635,3423635,-0.145,-0.19608,76.23,"June 23, 25",-0.0019608,,,,,
2025-06-20,76.9,77.47,76.3,76.63,76.18,3271623,3271623,-0.27,-0.35111,76.825,"June 20, 25",-0.0035111,,,,,
2025-06-18,75.95,76.77,75.33,76.16,75.71,4089048,4089048,0.21,0.2765,76.0525,"June 18, 25",0.002765,,,,,
2025-06-17,76.08,77.19,75.88,76,75.55,2110145,2110145,-0.08,-0.10515,76.2875,"June 17, 25",-0.0010515,,,,,
2025-06-16,75.72,77.07,75.08,76.83,76.38,6748323,6748323,1.11,1.47,76.175,"June 16, 25",0.0147,,,,,
2025-06-13,76.75,77.1,74.32,74.62,74.18,1990100,1990100,-2.13,-2.78,75.6975,"June 13, 25",-0.0278,0.25,2025-06-27,2025-06-13,2025-05-06,0.25
2025-06-12,78.97,79.33,77.99,78.28,77.57,2702427,2702427,-0.69,-0.87375,78.6425,"June 12, 25",-0.0087375,,,,,
2025-06-11,80.74,80.86,79.35,79.63,78.91,4869008,4869008,-1.11,-1.37,80.145,"June 11, 25",-0.0137,,,,,
2025-06-10,79.05,80.81,78.86,80.73,80,1960722,1960722,1.68,2.13,79.8625,"June 10, 25",0.0213,,,,,
2025-06-09,77.91,78.99,77.25,78.95,78.23,2369272,2369272,1.04,1.33,78.275,"June 09, 25",0.0133,,,,,
2025-06-06,77.73,77.73,76.1,76.87,76.17,3057900,3057900,-0.86,-1.11,77.1075,"June 06, 25",-0.0111,,,,,
2025-06-05,76.4,77.05,75.4,76.02,75.33,1606900,1606900,-0.38,-0.49738,76.2175,"June 05, 25",-0.0049738,,,,,
2025-06-04,76.04,77.14,75.92,76.69,75.99,2271943,2271943,0.65,0.85481,76.4475,"June 04, 25",0.0085481,,,,,
2025-06-03,74.98,75.99,73.82,75.78,75.09,1776273,1776273,0.8,1.07,75.1425,"June 03, 25",0.0107,,,,,
2025-06-02,74.58,75.03,73.69,74.91,74.23,1800500,1800500,0.33,0.44248,74.5525,"June 02, 25",0.0044248,,,,,
2025-05-30,75.4,75.77,74.51,75.61,74.92,4674141,4674141,0.21,0.27851,75.3225,"May 30, 25",0.0027851,,,,,
2025-05-29,75.67,75.93,74.68,75.85,75.16,2838500,2838500,0.18,0.23787,75.5325,"May 29, 25",0.0023787,,,,,
2025-05-28,75.91,76.69,74.86,74.99,74.31,4762854,4762854,-0.92,-1.21,75.6125,"May 28, 25",-0.0121,,,,,
2025-05-27,75.01,75.9,74.5,75.75,75.06,2088623,2088623,0.74,0.98654,75.29,"May 27, 25",0.0098654,,,,,
2025-05-23,74.32,74.74,73.99,74.09,73.42,2199993,2199993,-0.23,-0.30947,74.285,"May 23, 25",-0.0030947,,,,,
2025-05-22,75.59,76.36,74.87,75.72,75.03,2272200,2272200,0.13,0.17198,75.635,"May 22, 25",0.0017198,,,,,
2025-05-21,78.79,78.95,75.67,75.72,75.03,4451960,4451960,-3.07,-3.9,77.2825,"May 21, 25",-0.039,,,,,
2025-05-20,80.48,80.99,79.65,79.73,79.01,2300676,2300676,-0.75,-0.93191,80.2125,"May 20, 25",-0.0093191,,,,,
2025-05-19,81.13,81.9,80.66,80.85,80.12,2686886,2686886,-0.28,-0.34513,81.135,"May 19, 25",-0.0034513,,,,,
2025-05-16,82.86,82.86,81.23,82.37,81.62,3611090,3611090,-0.49,-0.59136,82.33,"May 16, 25",-0.0059136,,,,,
2025-05-15,82.4,83.56,82.13,82.98,82.23,8022379,8022379,0.58,0.70388,82.7675,"May 15, 25",0.0070388,,,,,
2025-05-14,82.71,83.18,82.2,83.16,82.41,2552800,2552800,0.45,0.54407,82.8125,"May 14, 25",0.0054407,,,,,
2025-05-13,83.21,83.51,82.57,82.76,82.01,2493576,2493576,-0.45,-0.5408,83.0125,"May 13, 25",-0.005408,,,,,
2025-05-12,83.54,85,82.35,83.14,82.39,3225273,3225273,-0.4,-0.47881,83.5075,"May 12, 25",-0.0047881,,,,,
2025-05-09,79.93,80.92,79.61,80.5,79.77,2434129,2434129,0.57,0.71312,80.24,"May 09, 25",0.0071312,,,,,
2025-05-08,80.68,81.02,78.71,79.57,78.85,5358200,5358200,-1.11,-1.38,79.995,"May 08, 25",-0.0138,,,,,
2025-05-07,79.38,80.35,77.77,78.89,78.17,3119200,3119200,-0.49,-0.61728,79.0975,"May 07, 25",-0.0061728,,,,,
2025-05-06,78.43,79.68,77.01,79.28,78.56,3946200,3946200,0.85,1.08,78.6,"May 06, 25",0.0108,,,,,
2025-05-05,78.76,80.47,78.03,79.25,78.53,3532409,3532409,0.49,0.62214,79.1275,"May 05, 25",0.0062214,,,,,
2025-05-02,77.73,79.19,77.05,78.85,78.13,2735270,2735270,1.12,1.44,78.205,"May 02, 25",0.0144,,,,,
2025-05-01,76.14,77.22,75.57,76.58,75.89,2726500,2726500,0.44,0.57788,76.3775,"May 01, 25",0.0057788,,,,,
2025-04-30,74.88,76.59,73.94,76.31,75.62,2969501,2969501,1.43,1.91,75.43,"April 30, 25",0.0191,,,,,
2025-04-29,74.82,76.78,74.03,76.63,75.93,3008328,3008328,1.81,2.42,75.565,"April 29, 25",0.0242,,,,,
2025-04-28,73.1,74.91,72.61,74.31,73.64,5080340,5080340,1.21,1.66,73.7325,"April 28, 25",0.0166,,,,,
2025-04-25,71.13,72.86,70.89,72.48,71.82,3427400,3427400,1.35,1.9,71.84,"April 25, 25",0.019,,,,,
2025-04-24,71.33,72.7,70.26,72.06,71.41,6357200,6357200,0.73,1.02,71.5875,"April 24, 25",0.0102,,,,,
2025-04-23,73.02,74.55,71.48,71.76,71.11,4298816,4298816,-1.26,-1.73,72.7025,"April 23, 25",-0.0173,,,,,
2025-04-22,68.38,71.81,68.19,71.39,70.74,8123000,8123000,3.01,4.4,69.9425,"April 22, 25",0.044,,,,,
2025-04-21,68.55,69.66,65.93,67.47,66.86,7951300,7951300,-1.08,-1.58,67.9025,"April 21, 25",-0.0158,,,,,
2025-04-17,75.26,76.72,68.47,69.46,68.83,17560931,17560931,-5.8,-7.71,72.4775,"April 17, 25",-0.0771,,,,,
2025-04-16,85.21,85.71,83.37,84.12,83.36,3398543,3398543,-1.09,-1.28,84.6025,"April 16, 25",-0.0128,,,,,
2025-04-15,85.28,86.26,85.28,85.42,84.65,1521910,1521910,0.14,0.16417,85.56,"April 15, 25",0.0016417,,,,,
2025-04-14,86.54,86.62,84.35,85.06,84.29,2198800,2198800,-1.48,-1.71,85.6425,"April 14, 25",-0.0171,,,,,
2025-04-11,83.3,85.53,80.93,84.96,84.19,2832888,2832888,1.66,1.99,83.68,"April 11, 25",0.0199,,,,,
2025-04-10,87.55,88.21,80.76,83.24,82.49,3732200,3732200,-4.31,-4.92,84.94,"April 10, 25",-0.0492,,,,,
2025-04-09,78.4,90.96,77.83,90.26,89.44,4636623,4636623,11.86,15.13,84.3625,"April 09, 25",0.1513,,,,,
2025-04-08,86.37,86.37,78.05,79.47,78.75,5624000,5624000,-6.89,-7.99,82.565,"April 08, 25",-0.0799,,,,,
2025-04-07,81.77,87.16,78.32,82.53,81.78,5696806,5696806,0.76,0.92944,82.445,"April 07, 25",0.0092944,,,,,
2025-04-04,89.92,90.23,84.5,84.88,84.11,6327926,6327926,-5.04,-5.6,87.3825,"April 04, 25",-0.056,,,,,
2025-04-03,95.15,96.24,92.79,92.98,92.14,3775092,3775092,-2.17,-2.28,94.29,"April 03, 25",-0.0228,,,,,
2025-04-02,97.22,99.99,97.03,99.6,98.7,1748820,1748820,2.38,2.45,98.46,"April 02, 25",0.0245,,,,,
2025-04-01,97.93,98.8,96.91,98.44,97.55,1816739,1816739,0.51,0.52078,98.02,"April 01, 25",0.0052078,,,,,
2025-03-31,96.95,98.65,95.74,97.92,97.03,2259510,2259510,0.97,1,97.315,"March 31, 25",0.01,,,,,
2025-03-28,99.19,99.76,96.97,97.52,96.64,1830104,1830104,-1.67,-1.68,98.36,"March 28, 25",-0.0168,,,,,
2025-03-27,99.79,99.98,98.69,99.47,98.57,1984169,1984169,-0.32,-0.32067,99.4825,"March 27, 25",-0.0032067,,,,,
2025-03-26,99.48,100.56,99.16,99.92,99.01,1964033,1964033,0.44,0.4423,99.78,"March 26, 25",0.004423,,,,,
2025-03-25,99.9,100.29,98.34,98.91,98.01,2107900,2107900,-0.99,-0.99099,99.36,"March 25, 25",-0.0099099,,,,,
2025-03-24,98.1,99.41,98.06,99.01,98.11,2341674,2341674,0.91,0.92762,98.645,"March 24, 25",0.0092762,,,,,
2025-03-21,96.7,97.8,96.09,97.05,96.17,4603629,4603629,0.35,0.36194,96.91,"March 21, 25",0.0036194,,,,,
2025-03-20,97.1,98.41,96.95,97.38,96.5,2560200,2560200,0.28,0.28836,97.46,"March 20, 25",0.0028836,,,,,
2025-03-19,96.28,98.27,96.03,98.12,97.23,2745549,2745549,1.84,1.91,97.175,"March 19, 25",0.0191,,,,,
2025-03-18,95.79,96.37,94.48,95.86,94.99,3878918,3878918,0.07,0.07307652,95.625,"March 18, 25",0.0007307652,,,,,
