date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,declarationDate,paymentDate,dividend,adjDividend
2026-01-05,650.41,664.54,647.7512,660,660,7158024,7158024,9.59,1.47445,657.43,"January 05, 26",0.0147445,,,,,
2026-01-02,662.73,664.39,643.5,650.41,650.41,13726517,13726517,-12.32,-1.86,655.2575,"January 02, 26",-0.0186,,,,,
2025-12-31,664.75,665,659.44,660.09,660.09,7940400,7940400,-4.66,-0.70102,662.32,"December 31, 25",-0.0070102,,,,,
2025-12-30,658.69,672.22,657.84,665.95,665.95,9187500,9187500,7.26,1.1,663.675,"December 30, 25",0.011,,,,,
2025-12-29,658.01,660.25,654.39,658.69,658.69,8506500,8506500,0.68,0.10334,657.835,"December 29, 25",0.0010334,,,,,
2025-12-26,668.06,668.95,661.32,663.29,663.29,7133813,7133813,-4.77,-0.71401,665.405,"December 26, 25",-0.0071401,,,,,
2025-12-24,662.53,668.18,662.2,667.55,667.55,5627512,5627512,5.02,0.7577,665.115,"December 24, 25",0.007577,,,,,
2025-12-23,660.05,666,658.25,664.94,664.94,8486847,8486847,4.89,0.74085,662.31,"December 23, 25",0.0074085,,,,,
2025-12-22,661.65,673.58,656.65,661.5,661.5,15659400,15659400,-0.145,-0.0226706,663.345,"December 22, 25",-0.000226706,,,,,
2025-12-19,666.42,671,658.18,658.77,658.77,49977100,49977100,-7.65,-1.15,663.5925,"December 19, 25",-0.0115,,,,,
2025-12-18,657.03,670.56,656.46,664.45,664.45,20260300,20260300,7.43,1.13,662.125,"December 18, 25",0.0113,,,,,
2025-12-17,655.61,661.23,649.2,649.5,649.5,15598548,15598548,-6.11,-0.93196,653.885,"December 17, 25",-0.0093196,,,,,
2025-12-16,643.5,662.54,643.2,657.15,657.15,14309136,14309136,13.65,2.12,651.5975,"December 16, 25",0.0212,,,,,
2025-12-15,645.7,653,638.7,647.51,647.51,15549100,15549100,1.81,0.28032,646.2275,"December 15, 25",0.0028032,2025-12-15,2025-12-03,2025-12-23,0.525,0.525
2025-12-12,649.8,711,638.61,644.23,643.7,14016915,14016915,-5.57,-0.85719,660.91,"December 12, 25",-0.0085719,,,,,
2025-12-11,643.29,655.28,640.79,652.71,652.18,13056726,13056726,9.42,1.46,648.0175,"December 11, 25",0.0146,,,,,
2025-12-10,649.95,654.51,643.4,650.13,649.6,16910900,16910900,0.18,0.02769444,649.4975,"December 10, 25",0.0002769444,,,,,
2025-12-09,663.77,664.48,653.34,656.96,656.42,12997116,12997116,-6.8,-1.03,659.6375,"December 09, 25",-0.0103,,,,,
2025-12-08,669.34,676.71,665.07,666.8,666.26,13161000,13161000,-2.54,-0.37948,669.48,"December 08, 25",-0.0037948,,,,,
2025-12-05,664,674.69,662.39,673.42,672.87,21207900,21207900,9.42,1.42,668.625,"December 05, 25",0.0142,,,,,
2025-12-04,676,676.1,660.05,661.53,660.99,29874622,29874622,-14.47,-2.14,668.42,"December 04, 25",-0.0214,,,,,
2025-12-03,644.41,648.85,637.55,639.6,639.08,11134305,11134305,-4.81,-0.74642,642.6025,"December 03, 25",-0.0074642,,,,,
2025-12-02,642.34,647.87,638.07,647.1,646.57,11640900,11640900,4.76,0.74104,643.845,"December 02, 25",0.0074104,,,,,
2025-12-01,639.55,645.32,637.76,640.87,640.35,13029922,13029922,1.32,0.2064,640.875,"December 01, 25",0.002064,,,,,
2025-11-28,636.08,648.05,635.5,647.95,647.42,11033200,11033200,11.88,1.87,641.895,"November 28, 25",0.0187,,,,,
2025-11-26,637.69,638.36,631.63,633.61,633.09,15209500,15209500,-4.08,-0.63981,635.3225,"November 26, 25",-0.0063981,,,,,
2025-11-25,624,637.04,618.3,636.22,635.7,25213000,25213000,12.22,1.96,628.89,"November 25, 25",0.0196,,,,,
2025-11-24,598.72,616.7,597.63,613.05,612.55,23554932,23554932,14.33,2.39,606.525,"November 24, 25",0.0239,,,,,
2025-11-21,588.5,598.12,581.86,594.25,593.77,21052624,21052624,5.75,0.97706,590.6825,"November 21, 25",0.0097706,,,,,
2025-11-20,603.5,606.72,583.35,589.15,588.67,20603024,20603024,-14.35,-2.38,595.68,"November 20, 25",-0.0238,,,,,
2025-11-19,593.72,595.33,581.25,590.32,589.84,24744703,24744703,-3.39,-0.57266,590.155,"November 19, 25",-0.0057266,,,,,
2025-11-18,591.6,603.66,583.78,597.69,597.2,25500647,25500647,6.09,1.03,594.1825,"November 18, 25",0.0103,,,,,
2025-11-17,609.04,611.69,595.4,602.01,601.52,16501331,16501331,-7.02,-1.15,604.535,"November 17, 25",-0.0115,,,,,
2025-11-14,601.79,613.68,595.2,609.46,608.97,20724146,20724146,7.67,1.27,605.0325,"November 14, 25",0.0127,,,,,
2025-11-13,613.07,617.65,603,609.89,609.4,20973845,20973845,-3.18,-0.5187,610.9025,"November 13, 25",-0.005187,,,,,
2025-11-12,628.13,628.99,607.77,609.01,608.52,24493300,24493300,-19.12,-3.04,618.475,"November 12, 25",-0.0304,,,,,
2025-11-11,628,629.56,619.39,627.08,626.57,13302200,13302200,-0.92,-0.1465,626.0075,"November 11, 25",-0.001465,,,,,
2025-11-10,631.09,635,618.11,631.76,631.25,19245000,19245000,0.67,0.10617,628.99,"November 10, 25",0.0010617,,,,,
2025-11-07,616.49,622.13,601.2,621.71,621.21,29946826,29946826,5.23,0.84673,615.3825,"November 07, 25",0.0084673,,,,,
2025-11-06,635.85,636,618,618.94,618.44,23628800,23628800,-16.91,-2.66,627.1975,"November 06, 25",-0.0266,,,,,
2025-11-05,632.31,642.23,626.54,635.95,635.43,20219900,20219900,3.64,0.57567,634.2575,"November 05, 25",0.0057567,,,,,
