date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,dividend,adjDividend,paymentDate,recordDate
2025-05-14,75.08,75.09,73.33,74.86,73.15,4989286,4989286,-0.22,-0.29302,74.59,"May 14, 25",-0.0029302,,,,,
2025-05-13,75.47,76.6,75.04,75.13,73.42,4250240,4250240,-0.34,-0.45051,75.56,"May 13, 25",-0.0045051,,,,,
2025-05-12,76.14,76.14,74.81,75.67,73.95,4194128,4194128,-0.47,-0.61728,75.69,"May 12, 25",-0.0061728,,,,,
2025-05-09,75.26,76.34,74.84,75.42,73.7,3066400,3066400,0.16,0.2126,75.465,"May 09, 25",0.002126,,,,,
2025-05-08,75.9,77.58,75.56,75.77,74.04,4032003,4032003,-0.13,-0.17128,76.2025,"May 08, 25",-0.0017128,,,,,
2025-05-07,74.86,76.3,74.52,75.86,74.13,4619246,4619246,1,1.34,75.385,"May 07, 25",0.0134,,,,,
2025-05-06,75.04,76.05,74.45,75.07,73.36,3109091,3109091,0.03,0.03997868,75.1525,"May 06, 25",0.0003997868,,,,,
2025-05-05,75.1,75.74,74.55,75.36,73.64,3187983,3187983,0.26,0.34621,75.1875,"May 05, 25",0.0034621,,,,,
2025-05-02,75.1,76.04,74.81,75.47,73.75,2830809,2830809,0.37,0.49268,75.355,"May 02, 25",0.0049268,,,,,
2025-05-01,74.38,75.22,73.44,74.7,73,3306042,3306042,0.32,0.43022,74.435,"May 01, 25",0.0043022,,,,,
2025-04-30,74.94,75.08,72.99,74.27,72.58,4419798,4419798,-0.67,-0.89405,74.32,"April 30, 25",-0.0089405,,,,,
2025-04-29,75.31,76.06,75.14,75.35,73.63,3507527,3507527,0.04,0.0531138,75.465,"April 29, 25",0.000531138,,,,,
2025-04-28,74.79,75.92,74.31,75.6,73.88,4817860,4817860,0.81,1.08,75.155,"April 28, 25",0.0108,,,,,
2025-04-25,74.54,75.23,74.21,74.68,72.98,4123000,4123000,0.14,0.18782,74.665,"April 25, 25",0.0018782,,,,,
2025-04-24,73.21,74.76,72.71,74.52,72.82,4021546,4021546,1.31,1.79,73.8,"April 24, 25",0.0179,,,,,
2025-04-23,73.06,74.25,72.56,73.31,71.64,4060522,4060522,0.25,0.34218,73.295,"April 23, 25",0.0034218,,,,,
2025-04-22,71.35,72.45,70.95,72.31,70.66,4966533,4966533,0.96,1.35,71.765,"April 22, 25",0.0135,,,,,
2025-04-21,70.53,71.07,69.08,70.46,68.85,5086228,5086228,-0.07,-0.09924855,70.285,"April 21, 25",-0.0009924855,,,,,
2025-04-17,70.76,71.96,70.22,71.12,69.5,3595100,3595100,0.36,0.50876,71.015,"April 17, 25",0.0050876,,,,,
2025-04-16,69.98,71.26,69.7,70.39,68.79,3027800,3027800,0.41,0.58588,70.3325,"April 16, 25",0.0058588,,,,,
2025-04-15,69.87,70.53,69.66,70.22,68.62,3187336,3187336,0.35,0.50093,70.07,"April 15, 25",0.0050093,,,,,
2025-04-14,69.19,70.14,68.58,69.73,68.14,3742324,3742324,0.54,0.78046,69.41,"April 14, 25",0.0078046,,,,,
2025-04-11,67.03,68.62,65.65,68.31,66.75,4169531,4169531,1.28,1.91,67.4025,"April 11, 25",0.0191,,,,,
2025-04-10,67.15,67.87,65.07,66.9,65.38,6830427,6830427,-0.25,-0.3723,66.7475,"April 10, 25",-0.003723,,,,,
2025-04-09,63.39,68.31,62.38,68.06,66.51,5983914,5983914,4.67,7.37,65.535,"April 09, 25",0.0737,,,,,
2025-04-08,65.85,66.5,62.66,63.78,62.33,5639348,5639348,-2.07,-3.14,64.6975,"April 08, 25",-0.0314,,,,,
2025-04-07,64.6,66.42,61.9,63.91,62.45,9770573,9770573,-0.69,-1.07,64.2075,"April 07, 25",-0.0107,,,,,
2025-04-04,70.23,70.45,65.36,65.88,64.38,6652246,6652246,-4.35,-6.19,67.98,"April 04, 25",-0.0619,,,,,
