date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,paymentDate,dividend,adjDividend,recordDate
2026-01-02,137.2,137.88,132.98,133.16,133.16,1330628,1330628,-4.04,-2.94,135.305,"January 02, 26",-0.0294,,,,,
2025-12-31,138.39,138.83,136.08,136.2,136.2,904000,904000,-2.19,-1.58,137.375,"December 31, 25",-0.0158,,,,,
2025-12-30,138.17,139.08,137,138.39,138.39,1133021,1133021,0.22,0.15922,138.16,"December 30, 25",0.0015922,,,,,
2025-12-29,139.87,140.45,138.09,138.61,138.61,1150152,1150152,-1.26,-0.90084,139.255,"December 29, 25",-0.0090084,,,,,
2025-12-26,138.09,139.95,138.01,139.71,139.71,740201,740201,1.63,1.17,138.94,"December 26, 25",0.0117,,,,,
2025-12-24,138.46,139.79,137.78,138.71,138.71,620900,620900,0.25,0.18056,138.685,"December 24, 25",0.0018056,,,,,
2025-12-23,139.6,140.45,137.78,138.14,138.14,1207316,1207316,-1.46,-1.05,138.9925,"December 23, 25",-0.0105,,,,,
2025-12-22,140.22,142.12,139.23,139.51,139.51,1707800,1707800,-0.715,-0.50635,140.27,"December 22, 25",-0.0050635,,,,,
2025-12-19,142.63,143.82,138.37,140.65,140.65,13516713,13516713,-1.98,-1.39,141.3675,"December 19, 25",-0.0139,,,,,
2025-12-18,145.04,146.15,141.48,143.08,143.08,2118729,2118729,-1.96,-1.35,143.9375,"December 18, 25",-0.0135,,,,,
2025-12-17,144.88,146.08,142.41,143.69,143.69,2015000,2015000,-1.19,-0.82137,144.265,"December 17, 25",-0.0082137,,,,,
2025-12-16,145.28,146.55,144.26,145.02,145.02,1472300,1472300,-0.26,-0.17896,145.2775,"December 16, 25",-0.0017896,,,,,
2025-12-15,146.44,146.44,142.99,144.88,144.88,1607728,1607728,-1.56,-1.07,145.1875,"December 15, 25",-0.0107,,,,,
2025-12-12,150.09,150.61,144.52,144.93,144.93,1522118,1522118,-5.16,-3.44,147.5375,"December 12, 25",-0.0344,,,,,
2025-12-11,148.59,150,146.82,149.86,149.86,1201000,1201000,1.27,0.8547,148.8175,"December 11, 25",0.008547,,,,,
2025-12-10,147.49,150.34,145.6,149.54,149.54,1402500,1402500,2.05,1.39,148.2425,"December 10, 25",0.0139,,,,,
2025-12-09,145.23,147.93,145.04,147.13,147.13,1112600,1112600,1.9,1.31,146.3325,"December 09, 25",0.0131,,,,,
2025-12-08,146.12,146.9,144.27,145.94,145.94,1574506,1574506,-0.18,-0.12319,145.8075,"December 08, 25",-0.0012319,,,,,
2025-12-05,144.52,147.02,142.5,146.25,146.25,1262405,1262405,1.73,1.2,145.0725,"December 05, 25",0.012,,,,,
2025-12-04,143.62,145.44,142.43,144.54,144.54,1420502,1420502,0.92,0.64058,144.0075,"December 04, 25",0.0064058,,,,,
2025-12-03,142.99,145.16,142.42,143.68,143.68,965610,965610,0.69,0.48255,143.5625,"December 03, 25",0.0048255,,,,,
2025-12-02,143.44,144.79,141.93,144.16,144.16,932726,932726,0.72,0.50195,143.58,"December 02, 25",0.0050195,,,,,
2025-12-01,143.46,145.04,142.23,143.03,143.03,1160700,1160700,-0.43,-0.29974,143.44,"December 01, 25",-0.0029974,,,,,
2025-11-28,144.23,145.08,142.47,144.22,144.22,541500,541500,-0.01,-0.00693337,144,"November 28, 25",-6.93337e-05,,,,,
2025-11-26,143.23,145.39,142.39,144.4,144.4,1143826,1143826,1.17,0.81687,143.8525,"November 26, 25",0.0081687,,,,,
2025-11-25,143.87,144.97,142.3,143.23,143.23,1164019,1164019,-0.64,-0.44485,143.5925,"November 25, 25",-0.0044485,2025-11-04,2025-12-10,0.63,0.63,2025-11-25
2025-11-24,140.9,142.47,139.47,141.92,141.29,1731300,1731300,1.02,0.72392,141.19,"November 24, 25",0.0072392,,,,,
2025-11-21,136.62,142.41,135.63,140.2,139.58,2063062,2063062,3.58,2.62,138.715,"November 21, 25",0.0262,,,,,
2025-11-20,141.66,142.15,135.92,136.64,136.03,1427319,1427319,-5.02,-3.54,139.0925,"November 20, 25",-0.0354,,,,,
2025-11-19,139.49,140.44,138.08,139.71,139.09,1054690,1054690,0.22,0.15772,139.43,"November 19, 25",0.0015772,,,,,
2025-11-18,140.04,141.76,138.69,139.81,139.19,1225200,1225200,-0.23,-0.16424,140.075,"November 18, 25",-0.0016424,,,,,
2025-11-17,144.75,144.99,138.8,140.24,139.62,1415931,1415931,-4.51,-3.12,142.195,"November 17, 25",-0.0312,,,,,
2025-11-14,145.57,149.33,144.48,145.08,144.44,1832624,1832624,-0.49,-0.33661,146.115,"November 14, 25",-0.0033661,,,,,
2025-11-13,146.02,150.35,146.02,146.75,146.1,1850643,1850643,0.73,0.49993,147.285,"November 13, 25",0.0049993,,,,,
2025-11-12,143.52,148.04,143.29,147.39,146.74,1916227,1916227,3.87,2.7,145.56,"November 12, 25",0.027,,,,,
2025-11-11,143.53,144.01,140.98,142.67,142.04,1484100,1484100,-0.86,-0.59918,142.7975,"November 11, 25",-0.0059918,,,,,
2025-11-10,143.66,144.26,139.63,143.31,142.67,1574000,1574000,-0.35,-0.24363,142.715,"November 10, 25",-0.0024363,,,,,
2025-11-07,141.17,144.07,139.37,142.45,141.82,1561000,1561000,1.28,0.90671,141.765,"November 07, 25",0.0090671,,,,,
2025-11-06,145.64,146.53,140.64,141.56,140.93,1671960,1671960,-4.08,-2.8,143.5925,"November 06, 25",-0.028,,,,,
2025-11-05,142.21,146.68,141.11,146.32,145.67,2743515,2743515,4.11,2.89,144.08,"November 05, 25",0.0289,,,,,
2025-11-04,152.13,155.28,138.52,141.66,141.03,3578087,3578087,-10.47,-6.88,146.8975,"November 04, 25",-0.0688,,,,,
2025-11-03,159.41,161,153.86,154.83,154.14,2451944,2451944,-4.58,-2.87,157.275,"November 03, 25",-0.0287,,,,,
2025-10-31,155.69,160.65,155.2,159.37,158.66,1143810,1143810,3.68,2.36,157.7275,"October 31, 25",0.0236,,,,,
2025-10-30,157.32,159.16,156.57,156.8,156.1,1092400,1092400,-0.52,-0.33054,157.4625,"October 30, 25",-0.0033054,,,,,
2025-10-29,155.92,158.12,154.75,157.32,156.62,1643502,1643502,1.4,0.8979,156.5275,"October 29, 25",0.008979,,,,,
2025-10-28,158.66,158.91,154.66,156.16,155.47,934100,934100,-2.5,-1.58,157.0975,"October 28, 25",-0.0158,,,,,
2025-10-27,159,160.83,156.38,159.23,158.52,1832734,1832734,0.23,0.14465,158.86,"October 27, 25",0.0014465,,,,,
2025-10-24,160.49,161.06,157.45,158.16,157.46,1141400,1141400,-2.33,-1.45,159.29,"October 24, 25",-0.0145,,,,,
2025-10-23,156.32,159.37,154.85,158.48,157.78,1047520,1047520,2.16,1.38,157.255,"October 23, 25",0.0138,,,,,
2025-10-22,157.33,161.1,156.25,156.36,155.67,2284500,2284500,-0.97,-0.61654,157.76,"October 22, 25",-0.0061654,,,,,
2025-10-21,153.8,157.37,153.8,156.53,155.84,1090800,1090800,2.73,1.78,155.375,"October 21, 25",0.0178,,,,,
2025-10-20,153.12,155.66,153.12,155.38,154.69,1058372,1058372,2.26,1.48,154.32,"October 20, 25",0.0148,,,,,
2025-10-17,150.64,153.41,150.23,152.45,151.77,1431500,1431500,1.81,1.2,151.6825,"October 17, 25",0.012,,,,,
2025-10-16,150.05,151.4,146.81,151.1,150.43,1546138,1546138,1.05,0.69977,149.84,"October 16, 25",0.0069977,,,,,
2025-10-15,151.72,152.38,148.59,148.83,148.17,966912,966912,-2.89,-1.9,150.38,"October 15, 25",-0.019,,,,,
2025-10-14,145.83,151.07,145.83,150.33,149.66,1336718,1336718,4.5,3.09,148.265,"October 14, 25",0.0309,,,,,
2025-10-13,148.01,148.34,145.21,147.51,146.86,1350031,1350031,-0.5,-0.33782,147.2675,"October 13, 25",-0.0033782,,,,,
2025-10-10,151.86,152.44,144.9,145.04,144.4,1458809,1458809,-6.82,-4.49,148.56,"October 10, 25",-0.0449,,,,,
2025-10-09,156.92,156.96,150.98,151.79,151.12,1150900,1150900,-5.13,-3.27,154.1625,"October 09, 25",-0.0327,,,,,
2025-10-08,155.16,157.11,154.04,156.92,156.22,1191600,1191600,1.76,1.13,155.8075,"October 08, 25",0.0113,,,,,
2025-10-07,157.59,158.66,154.51,155.25,154.56,877400,877400,-2.34,-1.48,156.5025,"October 07, 25",-0.0148,,,,,
2025-10-06,160.82,161.5,157.2,157.35,156.65,1155500,1155500,-3.47,-2.16,159.2175,"October 06, 25",-0.0216,,,,,
2025-10-03,159.58,162.47,159.13,159.27,158.56,1036200,1036200,-0.31,-0.19426,160.1125,"October 03, 25",-0.0019426,,,,,
2025-10-02,159.23,160.56,158.59,159.42,158.71,1028900,1028900,0.19,0.11932,159.45,"October 02, 25",0.0011932,,,,,
2025-10-01,159.28,160.56,158.74,158.99,158.28,1148000,1148000,-0.29,-0.18207,159.3925,"October 01, 25",-0.0018207,,,,,
2025-09-30,162,162,157.98,159.28,158.57,1416612,1416612,-2.72,-1.68,160.315,"September 30, 25",-0.0168,,,,,
2025-09-29,166.06,167,162.05,162.25,161.53,1005300,1005300,-3.81,-2.29,164.34,"September 29, 25",-0.0229,,,,,
