date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,paymentDate,dividend,adjDividend,recordDate
2025-09-26,157.67,164.76,156.77,164.37,163.64,1497525,1497525,6.7,4.25,160.8925,"September 26, 25",0.0425,,,,,
2025-09-25,158.74,159.07,156.66,156.97,156.27,1682800,1682800,-1.77,-1.12,157.86,"September 25, 25",-0.0112,,,,,
2025-09-24,164.04,164.6,159.32,160.47,159.76,2370805,2370805,-3.57,-2.18,162.1075,"September 24, 25",-0.0218,,,,,
2025-09-23,164.86,165.74,163.29,164.58,163.85,1252006,1252006,-0.28,-0.16984,164.6175,"September 23, 25",-0.0016984,,,,,
2025-09-22,161.01,165.67,160.74,164.16,163.43,1598870,1598870,3.15,1.96,162.895,"September 22, 25",0.0196,,,,,
2025-09-19,162.51,163.32,161,161.22,160.5,2889618,2889618,-1.29,-0.7938,162.0125,"September 19, 25",-0.007938,,,,,
2025-09-18,168.57,168.68,161.99,162.87,162.15,2143700,2143700,-5.7,-3.38,165.5275,"September 18, 25",-0.0338,,,,,
2025-09-17,166.22,169.2,164.6,167.29,166.55,1244116,1244116,1.07,0.64373,166.8275,"September 17, 25",0.0064373,,,,,
2025-09-16,163.89,166.58,162.59,166.15,165.41,1452600,1452600,2.26,1.38,164.8025,"September 16, 25",0.0138,,,,,
2025-09-15,164.51,167.05,162.75,163.13,162.41,1289800,1289800,-1.38,-0.83885,164.36,"September 15, 25",-0.0083885,,,,,
2025-09-12,165.05,166.19,163.93,164.29,163.56,1120718,1120718,-0.76,-0.46047,164.865,"September 12, 25",-0.0046047,,,,,
2025-09-11,171.55,171.55,164.01,165.73,164.99,2040020,2040020,-5.82,-3.39,168.21,"September 11, 25",-0.0339,,,,,
2025-09-10,167.93,170.97,167.1,170.77,170.01,1795909,1795909,2.84,1.69,169.1925,"September 10, 25",0.0169,,,,,
2025-09-09,167.97,169.51,167.11,168.95,168.2,1085004,1085004,0.98,0.58344,168.385,"September 09, 25",0.0058344,,,,,
2025-09-08,169.81,169.97,166.5,167.85,167.1,1194427,1194427,-1.96,-1.15,168.5325,"September 08, 25",-0.0115,,,,,
2025-09-05,166.96,170.73,165.64,169.73,168.98,1439016,1439016,2.77,1.66,168.265,"September 05, 25",0.0166,,,,,
2025-09-04,163.68,166.75,161.77,166.25,165.51,1198662,1198662,2.57,1.57,164.6125,"September 04, 25",0.0157,,,,,
2025-09-03,161.7,163.7,161.15,163.37,162.64,844300,844300,1.67,1.03,162.48,"September 03, 25",0.0103,,,,,
2025-09-02,162.06,163.87,160.19,162.27,161.55,849674,849674,0.21,0.12958,162.0975,"September 02, 25",0.0012958,,,,,
2025-08-29,165.62,168.06,164.11,164.76,164.03,1109842,1109842,-0.86,-0.51926,165.6375,"August 29, 25",-0.0051926,,,,,
2025-08-28,166.3,166.37,163.9,165.87,165.13,1225200,1225200,-0.43,-0.25857,165.61,"August 28, 25",-0.0025857,,,,,
2025-08-27,163.75,166.31,163.1,165.23,164.5,1343500,1343500,1.48,0.90382,164.5975,"August 27, 25",0.0090382,,,,,
2025-08-26,166,166.57,163.39,163.67,162.94,1531201,1531201,-2.33,-1.4,164.9075,"August 26, 25",-0.014,,,,,
2025-08-25,166.06,166.63,165.16,166.46,165.72,856500,856500,0.4,0.24088,166.0775,"August 25, 25",0.0024088,2025-08-06,2025-09-10,0.625,0.625,2025-08-25
2025-08-22,165.65,169.84,164.28,167,165.64,1576500,1576500,1.35,0.81497,166.6925,"August 22, 25",0.0081497,,,,,
2025-08-21,165.69,165.91,162.88,164.18,162.84,710818,710818,-1.51,-0.91134,164.665,"August 21, 25",-0.0091134,,,,,
2025-08-20,167.59,168.25,166.15,166.91,165.55,947900,947900,-0.68,-0.40575,167.225,"August 20, 25",-0.0040575,,,,,
2025-08-19,166.04,169.29,165.41,167.58,166.22,1037443,1037443,1.54,0.92749,167.08,"August 19, 25",0.0092749,,,,,
2025-08-18,163.9,166.51,163.43,165.84,164.49,787019,787019,1.94,1.18,164.92,"August 18, 25",0.0118,,,,,
2025-08-15,165.83,167.35,163.44,163.76,162.43,1829600,1829600,-2.07,-1.25,165.095,"August 15, 25",-0.0125,,,,,
2025-08-14,166.2,166.49,163.92,166.09,164.74,1183317,1183317,-0.11,-0.06618532,165.675,"August 14, 25",-0.0006618532,,,,,
2025-08-13,164.39,167.71,163.54,167.48,166.12,1179955,1179955,3.09,1.88,165.78,"August 13, 25",0.0188,,,,,
2025-08-12,161.02,164.76,160.56,164.06,162.72,1212900,1212900,3.04,1.89,162.6,"August 12, 25",0.0189,,,,,
2025-08-11,162.66,165,159.78,160.15,158.85,1174822,1174822,-2.51,-1.54,161.8975,"August 11, 25",-0.0154,,,,,
2025-08-08,162.7,163.65,162.05,162.92,161.59,1066641,1066641,0.22,0.13522,162.83,"August 08, 25",0.0013522,,,,,
2025-08-07,166.91,167.19,160.43,161.88,160.56,1869838,1869838,-5.03,-3.01,164.1025,"August 07, 25",-0.0301,,,,,
2025-08-06,167.69,170,159.69,165.51,164.16,2705800,2705800,-2.18,-1.3,165.7225,"August 06, 25",-0.013,,,,,
2025-08-05,172.33,173.38,165.04,165.24,163.89,2352100,2352100,-7.09,-4.11,168.9975,"August 05, 25",-0.0411,,,,,
2025-08-04,170.23,172.2,168.94,172.14,170.74,1316718,1316718,1.91,1.12,170.8775,"August 04, 25",0.0112,,,,,
2025-08-01,172.8,173.09,167.47,168.86,167.49,1165100,1165100,-3.94,-2.28,170.555,"August 01, 25",-0.0228,,,,,
2025-07-31,178.48,179.27,173.85,174.38,172.96,1408100,1408100,-4.1,-2.3,176.495,"July 31, 25",-0.023,,,,,
2025-07-30,182.74,182.74,178.73,179.94,178.48,854885,854885,-2.8,-1.53,181.0375,"July 30, 25",-0.0153,,,,,
2025-07-29,182.83,183.66,181.04,182.18,180.7,641848,641848,-0.65,-0.35552,182.4275,"July 29, 25",-0.0035552,,,,,
2025-07-28,181.73,182.93,181.56,181.78,180.3,545600,545600,0.05,0.02751334,182,"July 28, 25",0.0002751334,,,,,
2025-07-25,181.68,182.28,180.14,181.14,179.67,631856,631856,-0.54,-0.29723,181.31,"July 25, 25",-0.0029723,,,,,
2025-07-24,179.84,182.05,179.52,180.83,179.36,754800,754800,0.99,0.55049,180.56,"July 24, 25",0.0055049,,,,,
2025-07-23,180.6,182.81,179.61,181.37,179.89,792863,792863,0.77,0.42636,181.0975,"July 23, 25",0.0042636,,,,,
2025-07-22,177.72,180.74,177.69,180.07,178.6,668333,668333,2.35,1.32,179.055,"July 22, 25",0.0132,,,,,
2025-07-21,179.32,180.11,176.76,176.87,175.43,589603,589603,-2.45,-1.37,178.265,"July 21, 25",-0.0137,,,,,
2025-07-18,180.85,181.27,178.88,179.59,178.13,833900,833900,-1.26,-0.69671,180.1475,"July 18, 25",-0.0069671,,,,,
2025-07-17,175.83,180.9,175.12,179.99,178.52,991406,991406,4.16,2.37,177.96,"July 17, 25",0.0237,,,,,
2025-07-16,176.64,177.43,174.1,175.73,174.3,617800,617800,-0.91,-0.51517,175.975,"July 16, 25",-0.0051517,,,,,
2025-07-15,179.21,179.21,175.71,175.77,174.34,972600,972600,-3.44,-1.92,177.475,"July 15, 25",-0.0192,,,,,
2025-07-14,177.42,179.29,175.86,177.7,176.25,1118354,1118354,0.285,0.15782,177.5675,"July 14, 25",0.0015782,,,,,
2025-07-11,178.06,178.62,176.96,177.38,175.94,775100,775100,-0.68,-0.38189,177.755,"July 11, 25",-0.0038189,,,,,
2025-07-10,180.83,182.9,179.6,179.7,178.24,962544,962544,-1.13,-0.6249,180.7575,"July 10, 25",-0.006249,,,,,
2025-07-09,181.59,182.19,177.54,180.75,179.28,791000,791000,-0.84,-0.46258,180.5175,"July 09, 25",-0.0046258,,,,,
2025-07-08,178.01,181.62,177.86,180.65,179.18,847623,847623,2.64,1.48,179.535,"July 08, 25",0.0148,,,,,
2025-07-07,180.86,182.44,177.19,177.36,175.92,737509,737509,-3.5,-1.94,179.4625,"July 07, 25",-0.0194,,,,,
2025-07-03,183.37,183.91,181.92,182.13,180.65,494500,494500,-1.24,-0.67623,182.8325,"July 03, 25",-0.0067623,,,,,
2025-07-02,181,182.98,179.57,182.84,181.35,738210,738210,1.84,1.02,181.5975,"July 02, 25",0.0102,,,,,
2025-07-01,178.58,183.7,177.29,181.16,179.69,958401,958401,2.58,1.44,180.1825,"July 01, 25",0.0144,,,,,
2025-06-30,178,179.39,176.91,178.59,177.14,937100,937100,0.59,0.33146,178.2225,"June 30, 25",0.0033146,,,,,
2025-06-27,178.08,179.06,176.35,177.41,175.97,2773832,2773832,-0.67,-0.37624,177.725,"June 27, 25",-0.0037624,,,,,
2025-06-26,178.98,179.51,175.8,177.28,175.84,933622,933622,-1.69,-0.94983,177.8925,"June 26, 25",-0.0094983,,,,,
2025-06-25,180.6,181.02,176.62,177.83,176.38,1022437,1022437,-2.77,-1.53,179.0175,"June 25, 25",-0.0153,,,,,
2025-06-24,175.72,180.45,174.43,179.84,178.38,1340718,1340718,4.12,2.34,177.61,"June 24, 25",0.0234,,,,,
2025-06-23,170.62,174.43,170.05,173.77,172.36,1268131,1268131,3.15,1.85,172.2175,"June 23, 25",0.0185,,,,,
2025-06-20,171.87,172.37,169.28,170.62,169.23,2210517,2210517,-1.25,-0.72729,171.035,"June 20, 25",-0.0072729,,,,,
2025-06-18,170.32,172.19,169.49,170,168.62,1240400,1240400,-0.32,-0.18788,170.5,"June 18, 25",-0.0018788,,,,,
2025-06-17,171.47,173.7,170.41,170.8,169.41,1025700,1025700,-0.67,-0.39074,171.595,"June 17, 25",-0.0039074,,,,,
2025-06-16,171.92,173.65,171.19,172.35,170.95,1477200,1477200,0.435,0.25012,172.2775,"June 16, 25",0.0025012,,,,,
2025-06-13,172.45,173.67,169.96,170.42,169.03,1116084,1116084,-2.03,-1.18,171.625,"June 13, 25",-0.0118,,,,,
2025-06-12,175.69,176.21,173.87,174.75,173.33,971162,971162,-0.94,-0.53503,175.13,"June 12, 25",-0.0053503,,,,,
2025-06-11,179.48,180,175.26,175.75,174.32,785505,785505,-3.73,-2.08,177.6225,"June 11, 25",-0.0208,,,,,
2025-06-10,177.91,179.12,176.82,178.73,177.28,1369000,1369000,0.82,0.46091,178.145,"June 10, 25",0.0046091,,,,,
2025-06-09,179.51,180.02,177.23,177.43,175.99,1038612,1038612,-2.08,-1.16,178.5475,"June 09, 25",-0.0116,,,,,
2025-06-06,177.71,178.94,176.64,178.24,176.79,615400,615400,0.53,0.29824,177.8825,"June 06, 25",0.0029824,,,,,
2025-06-05,176.61,177.78,175.34,175.83,174.4,1130143,1130143,-0.78,-0.44165,176.39,"June 05, 25",-0.0044165,,,,,
2025-06-04,179.62,180.42,176.73,176.8,175.36,1005719,1005719,-2.82,-1.57,178.3925,"June 04, 25",-0.0157,,,,,
2025-06-03,175.46,179.67,174.7,179.35,177.89,819500,819500,3.89,2.22,177.295,"June 03, 25",0.0222,,,,,
2025-06-02,176.87,177.44,171.16,174.76,173.34,2285210,2285210,-2.11,-1.19,175.0575,"June 02, 25",-0.0119,,,,,
2025-05-30,181.41,182.01,178.55,180.36,178.89,1046300,1046300,-1.05,-0.5788,180.5825,"May 30, 25",-0.005788,,,,,
2025-05-29,185.16,185.16,181.01,182.35,180.87,617300,617300,-2.81,-1.52,183.42,"May 29, 25",-0.0152,,,,,
2025-05-28,185.54,186.7,183.17,183.34,181.85,927624,927624,-2.2,-1.19,184.6875,"May 28, 25",-0.0119,,,,,
2025-05-27,185.34,185.94,182.79,185.72,184.21,993828,993828,0.38,0.20503,184.9475,"May 27, 25",0.0020503,,,,,
2025-05-23,178.51,183.25,177.42,182.16,180.68,1359800,1359800,3.65,2.04,180.335,"May 23, 25",0.0204,2025-05-07,2025-06-10,0.625,0.625,2025-05-26
2025-05-22,181.66,184.52,180.69,183.38,181.27,1162904,1162904,1.72,0.94682,182.5625,"May 22, 25",0.0094682,,,,,
2025-05-21,186.74,187.32,181.41,181.82,179.73,970900,970900,-4.92,-2.63,184.3225,"May 21, 25",-0.0263,,,,,
2025-05-20,187.44,189.28,186.82,188.1,185.93,770723,770723,0.66,0.35211,187.91,"May 20, 25",0.0035211,,,,,
2025-05-19,186.65,189.45,186.64,188.04,185.88,912600,912600,1.39,0.74471,187.695,"May 19, 25",0.0074471,,,,,
2025-05-16,187.91,189.33,186.83,189.03,186.85,961700,961700,1.12,0.59603,188.275,"May 16, 25",0.0059603,,,,,
2025-05-15,188.86,190.08,187.14,188.43,186.26,1611426,1611426,-0.43,-0.22768,188.6275,"May 15, 25",-0.0022768,,,,,
2025-05-14,190.79,192.3,189.34,189.36,187.18,2171926,2171926,-1.43,-0.74952,190.4475,"May 14, 25",-0.0074952,,,,,
2025-05-13,188.82,191.7,188.75,190.68,188.49,1637406,1637406,1.86,0.98507,189.9875,"May 13, 25",0.0098507,,,,,
2025-05-12,186,190.06,185.12,188.82,186.65,1652607,1652607,2.82,1.52,187.5,"May 12, 25",0.0152,,,,,
2025-05-09,180.98,181.69,178.84,178.94,176.88,1101319,1101319,-2.04,-1.13,180.1125,"May 09, 25",-0.0113,,,,,
2025-05-08,177.69,183.18,177.69,180.09,178.02,2410000,2410000,2.4,1.35,179.6625,"May 08, 25",0.0135,,,,,
2025-05-07,163.46,177.28,162.46,175.52,173.5,2701839,2701839,12.06,7.38,169.68,"May 07, 25",0.0738,,,,,
2025-05-06,164.12,166.04,163.13,163.93,162.04,1391600,1391600,-0.19,-0.11577,164.305,"May 06, 25",-0.0011577,,,,,
2025-05-05,164.89,167.68,164.89,165.75,163.84,879400,879400,0.86,0.52156,165.8025,"May 05, 25",0.0052156,,,,,
2025-05-02,165.62,167.54,164.55,166.83,164.91,1768016,1768016,1.21,0.73059,166.135,"May 02, 25",0.0073059,,,,,
2025-05-01,160.9,163.54,159.01,162.4,160.53,1474519,1474519,1.5,0.93226,161.4625,"May 01, 25",0.0093226,,,,,
2025-04-30,158.3,160.94,156.41,160.56,158.71,877111,877111,2.26,1.43,159.0525,"April 30, 25",0.0143,,,,,
2025-04-29,157.55,160.6,156.36,159.96,158.12,1004100,1004100,2.41,1.53,158.6175,"April 29, 25",0.0153,,,,,
2025-04-28,158.98,159.8,155.95,158.59,156.76,1066200,1066200,-0.385,-0.24531,158.33,"April 28, 25",-0.0024531,,,,,
2025-04-25,157.74,158.32,155.78,157.95,156.13,1042344,1042344,0.21,0.13313,157.4475,"April 25, 25",0.0013313,,,,,
2025-04-24,155.9,159.06,154.32,158.94,157.11,961000,961000,3.04,1.95,157.055,"April 24, 25",0.0195,,,,,
2025-04-23,155.64,159.17,154.04,154.86,153.08,1106400,1106400,-0.78,-0.50116,155.9275,"April 23, 25",-0.0050116,,,,,
2025-04-22,149.91,152.59,149.91,152.03,150.28,959252,959252,2.12,1.41,151.11,"April 22, 25",0.0141,,,,,
2025-04-21,149.7,150.75,146.98,148.42,146.71,1476421,1476421,-1.28,-0.85504,148.9625,"April 21, 25",-0.0085504,,,,,
2025-04-17,149.94,152.74,149.31,151.47,149.73,1166900,1166900,1.53,1.02,150.865,"April 17, 25",0.0102,,,,,
2025-04-16,148.89,151.16,147.32,148.77,147.06,778112,778112,-0.12,-0.08059641,149.035,"April 16, 25",-0.0008059641,,,,,
2025-04-15,151.76,153.57,150.16,150.83,149.09,908740,908740,-0.93,-0.61281,151.58,"April 15, 25",-0.0061281,,,,,
2025-04-14,151.78,153.23,149.19,151.74,149.99,1441400,1441400,-0.04,-0.02635393,151.485,"April 14, 25",-0.0002635393,,,,,
2025-04-11,145.21,149.59,143.61,148.8,147.09,1815300,1815300,3.59,2.47,146.8025,"April 11, 25",0.0247,,,,,
2025-04-10,154.47,155.08,144.18,146.7,145.01,2816855,2816855,-7.77,-5.03,150.1075,"April 10, 25",-0.0503,,,,,
2025-04-09,145.87,160.62,142.23,159.48,157.64,3086708,3086708,13.61,9.33,152.05,"April 09, 25",0.0933,,,,,
2025-04-08,152.06,153.57,143.83,146.03,144.35,2175527,2175527,-6.03,-3.97,148.8725,"April 08, 25",-0.0397,,,,,
2025-04-07,141.45,147.69,137.31,147.2,145.51,3846242,3846242,5.75,4.07,143.4125,"April 07, 25",0.0407,,,,,
2025-04-04,149.7,149.7,141.8,144.49,142.83,4384230,4384230,-5.21,-3.48,146.4225,"April 04, 25",-0.0348,,,,,
2025-04-03,157.29,158.18,150.39,151.57,149.83,3559315,3559315,-5.72,-3.64,154.3575,"April 03, 25",-0.0364,,,,,
2025-04-02,160.32,165.43,160.17,164.47,162.58,860100,860100,4.15,2.59,162.5975,"April 02, 25",0.0259,,,,,
2025-04-01,160.49,163.31,159.37,162.08,160.21,1285135,1285135,1.59,0.99072,161.3125,"April 01, 25",0.0099072,,,,,
2025-03-31,161.43,161.69,158.76,160.26,158.42,1245118,1245118,-1.17,-0.72477,160.535,"March 31, 25",-0.0072477,,,,,
2025-03-28,163.08,165,160.96,161.51,159.65,1317400,1317400,-1.57,-0.96272,162.6375,"March 28, 25",-0.0096272,,,,,
2025-03-27,164.37,164.7,161.19,163.84,161.95,1499622,1499622,-0.53,-0.32244,163.525,"March 27, 25",-0.0032244,,,,,
2025-03-26,169.26,169.74,165.88,167.33,165.4,1009918,1009918,-1.93,-1.14,168.0525,"March 26, 25",-0.0114,,,,,
2025-03-25,170.27,171.12,167.47,168.52,166.58,815400,815400,-1.75,-1.03,169.345,"March 25, 25",-0.0103,,,,,
2025-03-24,169.17,170.7,167.61,170.31,168.35,1013442,1013442,1.14,0.67388,169.4475,"March 24, 25",0.0067388,,,,,
2025-03-21,166.29,166.64,164.51,165.57,163.66,2061002,2061002,-0.72,-0.43298,165.7525,"March 21, 25",-0.0043298,,,,,
2025-03-20,171.4,172,167.63,168.09,166.16,1574200,1574200,-3.31,-1.93,169.78,"March 20, 25",-0.0193,,,,,
2025-03-19,172.08,174.36,170.08,172.84,170.85,1192500,1192500,0.76,0.44166,172.34,"March 19, 25",0.0044166,,,,,
2025-03-18,170.32,171.58,169.72,170.76,168.79,947700,947700,0.44,0.25834,170.595,"March 18, 25",0.0025834,,,,,
2025-03-17,165.78,172.69,165.78,170.63,168.67,1401549,1401549,4.85,2.93,168.72,"March 17, 25",0.0293,,,,,
2025-03-14,165.42,167.33,164.74,167,165.08,821100,821100,1.58,0.95514,166.1225,"March 14, 25",0.0095514,,,,,
2025-03-13,166.65,168.02,162.84,163.5,161.62,1087324,1087324,-3.15,-1.89,165.2525,"March 13, 25",-0.0189,,,,,
