holder,shares,dateReported,change
VANGUARD GROUP INC,332895,2025-09-30,-3306
"BlackRock, Inc.",300696,2025-09-30,-12765
STATE STREET CORP,133807,2025-09-30,-2146
Capital Research Global Investors,133003,2025-09-30,9877
"GEODE CAPITAL MANAGEMENT, LLC",75528,2025-09-30,1490
Boston Partners,64168,2025-09-30,-784
PRINCIPAL FINANCIAL GROUP INC,60307,2025-09-30,2331
"Nuveen, LLC",59430,2025-09-30,12838
WELLINGTON MANAGEMENT GROUP LLP,44586,2025-09-30,-1608
JPMORGAN CHASE & CO,43318,2025-09-30,1718
Capital World Investors,40576,2025-09-30,109
DIAMOND HILL CAPITAL MANAGEMENT INC,40118,2025-09-30,-1102
DIMENSIONAL FUND ADVISORS LP,37420,2025-09-30,2453
Invesco Ltd.,35790,2025-09-30,-1878
MORGAN STANLEY,30474,2025-09-30,-1239
NORTHERN TRUST CORP,30348,2025-09-30,-1697
"Smead Capital Management, Inc.",26462,2025-09-30,-2024
PRICE T ROWE ASSOCIATES INC /MD/,25959,2025-09-30,-625
FIRST TRUST ADVISORS LP,25685,2025-09-30,668
MARSHFIELD ASSOCIATES,25042,2025-09-30,1130
UBS ASSET MANAGEMENT AMERICAS INC,23192,2025-09-30,-7166
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,22245,2025-09-30,638
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,21481,2025-09-30,1563
Legal & General Group Plc,21381,2025-09-30,759
GOLDMAN SACHS GROUP INC,21028,2025-09-30,8370
CITADEL ADVISORS LLC,19215,2025-09-30,14623
Close Asset Management Ltd,18507,2025-09-30,18507
TD ASSET MANAGEMENT INC,18405,2025-09-30,-2268
VAN LANSCHOT KEMPEN INVESTMENT MANAGEMENT N.V.,17490,2025-09-30,3528
FMR LLC,17293,2025-09-30,1377
Qube Research & Technologies Ltd,17245,2025-09-30,1375
"Epoch Investment Partners, Inc.",15376,2025-09-30,-5008
Bank of New York Mellon Corp,14947,2025-09-30,-797
DEUTSCHE BANK AG\,14685,2025-09-30,1516
Liontrust Investment Partners LLP,14224,2025-09-30,-3400
ROYAL BANK OF CANADA,14137,2025-09-30,-1196
Giverny Capital Inc.,14075,2025-09-30,37
BANK OF AMERICA CORP /DE/,14008,2025-09-30,2342
UBS Group AG,13319,2025-09-30,-2324
HSBC HOLDINGS PLC,12545,2025-09-30,-1224
BARCLAYS PLC,12525,2025-09-30,-1502
THRIVENT FINANCIAL FOR LUTHERANS,12304,2025-09-30,-1637
MARKEL GROUP INC.,11897,2025-09-30,0
TIMUCUAN ASSET MANAGEMENT INC/FL,11361,2025-09-30,31
BERKSHIRE HATHAWAY INC,11112,2025-09-30,0
ENVESTNET ASSET MANAGEMENT INC,9730,2025-09-30,203
"Pacer Advisors, Inc.",9661,2025-09-30,-4781
"CI Private Wealth, LLC",8980,2025-09-30,-295
Amundi,8943,2025-09-30,-3149
SCHRODER INVESTMENT MANAGEMENT GROUP,8922,2025-09-30,3380
"Quantum Capital Management, LLC / NJ",8828,2025-09-30,-1631
FRANKLIN RESOURCES INC,8608,2025-09-30,432
"BNP PARIBAS ARBITRAGE, SNC",8563,2025-09-30,1904
Robeco Institutional Asset Management B.V.,8321,2025-09-30,7440
Swiss National Bank,8000,2025-09-30,-990
"Sumitomo Mitsui Trust Holdings, Inc.",7796,2025-09-30,-536
Assenagon Asset Management S.A.,7487,2025-09-30,3871
AMERIPRISE FINANCIAL INC,7473,2025-09-30,752
BNP Paribas Asset Management Holding S.A.,7081,2025-09-30,-1605
VIRGINIA RETIREMENT SYSTEMS ET AL,6560,2025-09-30,-90
"Russell Investments Group, Ltd.",6555,2025-09-30,570
RHUMBLINE ADVISERS,6474,2025-09-30,-103
"Rakuten Investment Management, Inc.",6459,2025-09-30,6459
MILLENNIUM MANAGEMENT LLC,6409,2025-09-30,3713
AMERICAN CENTURY COMPANIES INC,6370,2025-09-30,925
