date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,paymentDate,declarationDate,adjDividend,recordDate
2026-01-05,220.21,224.77,218.2901,224.6248,224.6248,323154,323154,4.41,2.00481,222.56,"January 05, 26",0.0200481,,,,,
2026-01-02,221.94,223.74,217.85,221.02,221.02,1866036,1866036,-0.92,-0.41453,221.1375,"January 02, 26",-0.0041453,,,,,
2025-12-31,223.64,225.23,223.23,223.69,223.69,1068353,1068353,0.05,0.02235736,223.9475,"December 31, 25",0.0002235736,,,,,
2025-12-30,224.74,225.03,223.28,224.36,224.36,932564,932564,-0.38,-0.16908,224.3525,"December 30, 25",-0.0016908,,,,,
2025-12-29,221.53,225.79,220.37,224.74,224.74,1283600,1283600,3.21,1.45,223.1075,"December 29, 25",0.0145,,,,,
2025-12-26,219.26,220.58,219.04,220.34,220.34,733405,733405,1.08,0.49257,219.805,"December 26, 25",0.0049257,,,,,
2025-12-24,217.8,220.17,217.78,218.85,218.85,483829,483829,1.05,0.48209,218.65,"December 24, 25",0.0048209,,,,,
2025-12-23,220.34,220.87,217.72,218.46,218.46,1440907,1440907,-1.88,-0.85323,219.3475,"December 23, 25",-0.0085323,,,,,
2025-12-22,217.53,220.95,217.48,220.44,220.44,1500224,1500224,2.91,1.34,219.1,"December 22, 25",0.0134,,,,,
2025-12-19,218.01,220.25,216.6,218.03,218.03,3083000,3083000,0.02,0.00917389,218.2225,"December 19, 25",9.17389e-05,,,,,
2025-12-18,219.9,220.3,217.53,218.57,218.57,1262225,1262225,-1.33,-0.60482,219.075,"December 18, 25",-0.0060482,,,,,
2025-12-17,216.98,220.78,216.88,219.17,219.17,2027303,2027303,2.19,1.01,218.4525,"December 17, 25",0.0101,,,,,
2025-12-16,219.54,219.88,216,217.64,217.64,1346738,1346738,-1.9,-0.86545,218.265,"December 16, 25",-0.0086545,,,,,
2025-12-15,218.53,220.27,217.02,218.23,218.23,1402389,1402389,-0.3,-0.13728,218.5125,"December 15, 25",-0.0013728,0.45,2025-12-31,2025-10-22,0.45,2025-12-15
2025-12-12,217.36,219.13,216.12,217.14,216.69,1113902,1113902,-0.22,-0.10121,217.4375,"December 12, 25",-0.0010121,,,,,
2025-12-11,215.98,219.1,215.32,216.29,215.84,850500,850500,0.31,0.14353,216.6725,"December 11, 25",0.0014353,,,,,
2025-12-10,216.24,218.13,213.72,214.48,214.03,1303200,1303200,-1.77,-0.81391,215.6425,"December 10, 25",-0.0081391,,,,,
2025-12-09,219.42,220.65,215.72,216.03,215.58,1222300,1222300,-3.39,-1.54,217.955,"December 09, 25",-0.0154,,,,,
2025-12-08,220.6,221.13,216.14,218.96,218.51,1482745,1482745,-1.64,-0.74343,219.2075,"December 08, 25",-0.0074343,,,,,
2025-12-05,221.73,223.2,220.38,221.24,220.78,1194800,1194800,-0.49,-0.22099,221.6375,"December 05, 25",-0.0022099,,,,,
2025-12-04,225.52,226.44,221.14,222.09,221.63,1227000,1227000,-3.43,-1.52,223.7975,"December 04, 25",-0.0152,,,,,
2025-12-03,224.86,227.16,224.08,224.48,224.01,1420114,1420114,-0.38,-0.16899,225.145,"December 03, 25",-0.0016899,,,,,
2025-12-02,224.51,226.21,222.67,224.85,224.38,1142016,1142016,0.34,0.15144,224.56,"December 02, 25",0.0015144,,,,,
2025-12-01,224.2,226.4,222.79,224.01,223.55,1152534,1152534,-0.19,-0.08474576,224.35,"December 01, 25",-0.0008474576,,,,,
