holder,shares,dateReported,change
TUDOR INVESTMENT CORP ET AL,65500000,2025-09-30,65500000
VANGUARD GROUP INC,42712908,2025-09-30,1522823
"SC US (TTGP), LTD.",31180266,2025-09-30,-16172
"BlackRock, Inc.",27352375,2025-09-30,1610192
JPMORGAN CHASE & CO,18431809,2025-09-30,-476321
MORGAN STANLEY,17145228,2025-09-30,-276482
STATE STREET CORP,15296624,2025-09-30,909125
Capital World Investors,10865927,2025-09-30,95278
PRICE T ROWE ASSOCIATES INC /MD/,10510360,2025-09-30,1702713
"GEODE CAPITAL MANAGEMENT, LLC",8615144,2025-09-30,663914
BAILLIE GIFFORD & CO,8268768,2025-09-30,-720058
Newlands Management Operations LLC,7068299,2025-09-30,0
Invesco Ltd.,6355628,2025-09-30,980148
JANUS HENDERSON GROUP PLC,5109568,2025-09-30,-215410
"SANDS CAPITAL MANAGEMENT, LLC",4023291,2025-09-30,-768890
GOLDMAN SACHS GROUP INC,4002739,2025-09-30,359998
BANK OF AMERICA CORP /DE/,3988565,2025-09-30,285989
FRANKLIN RESOURCES INC,3785430,2025-09-30,-199649
FMR LLC,3700314,2025-09-30,1422824
NORTHERN TRUST CORP,3348168,2025-09-30,96012
WELLCOME TRUST LTD (THE) as trustee of the WELLCOME TRUST,3000000,2025-09-30,0
Capital Research Global Investors,2870284,2025-09-30,-745709
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,2614555,2025-09-30,256775
COATUE MANAGEMENT LLC,2454877,2025-09-30,268069
Temasek Holdings (Private) Ltd,2322680,2025-09-30,-779478
Legal & General Group Plc,2265406,2025-09-30,126457
"Winslow Capital Management, LLC",2221467,2025-09-30,400590
NORDEA INVESTMENT MANAGEMENT AB,2220227,2025-09-30,-353955
UBS ASSET MANAGEMENT AMERICAS INC,2198896,2025-09-30,-374424
Bank of New York Mellon Corp,2165882,2025-09-30,23498
"MARSHALL WACE, LLP",2025660,2025-09-30,392048
RENAISSANCE TECHNOLOGIES LLC,1957201,2025-09-30,-506987
DEUTSCHE BANK AG\,1834720,2025-09-30,626181
FIRST TRUST ADVISORS LP,1790916,2025-09-30,-1847
Amundi,1700112,2025-09-30,681058
Durable Capital Partners LP,1671659,2025-09-30,645010
AQR CAPITAL MANAGEMENT LLC,1630347,2025-09-30,-1003624
BARCLAYS PLC,1444195,2025-09-30,132259
1832 Asset Management L.P.,1379978,2025-09-30,719316
Artisan Partners Limited Partnership,1370479,2025-09-30,173998
GROUPAMA ASSET MANAGMENT,1304658,2025-09-30,601526
"Nuveen, LLC",1283398,2025-09-30,79261
"SCGE MANAGEMENT, L.P.",1204000,2025-09-30,119000
"Holocene Advisors, LP",1186787,2025-09-30,339853
"Sumitomo Mitsui Trust Holdings, Inc.",1137941,2025-09-30,29927
"TWO SIGMA ADVISERS, LP",1126600,2025-09-30,-317600
Swiss National Bank,1034300,2025-09-30,-50300
ROYAL BANK OF CANADA,1022055,2025-09-30,-253466
Robeco Institutional Asset Management B.V.,1003696,2025-09-30,428
"Allspring Global Investments Holdings, LLC",990876,2025-09-30,-18345
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",966531,2025-09-30,-67629
Ninety One UK Ltd,952808,2025-09-30,952808
GARDNER RUSSO & QUINN LLC,926363,2025-09-30,-40397
VOYA INVESTMENT MANAGEMENT LLC,917158,2025-09-30,-31429
CITIGROUP INC,911973,2025-09-30,63778
WELLS FARGO & COMPANY/MN,901574,2025-09-30,59513
AMERIPRISE FINANCIAL INC,900268,2025-09-30,28306
"LORD, ABBETT & CO. LLC",860506,2025-09-30,-33132
"BNP PARIBAS ARBITRAGE, SNC",846866,2025-09-30,62108
NOMURA HOLDINGS INC,827282,2025-09-30,336200
DIMENSIONAL FUND ADVISORS LP,813905,2025-09-30,18017
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",806191,2025-09-30,53722
"FEDERATED HERMES, INC.",798250,2025-09-30,-155252
WELLINGTON MANAGEMENT GROUP LLP,790949,2025-09-30,263014
SEI INVESTMENTS CO,785422,2025-09-30,104170
BANK OF MONTREAL /CAN/,752985,2025-09-30,508337
THRIVENT FINANCIAL FOR LUTHERANS,750020,2025-09-30,-86145
Aspex Management (HK) Ltd,724740,2025-09-30,0
RHUMBLINE ADVISERS,718411,2025-09-30,7044
National Pension Service,694111,2025-09-30,7655
UBS Group AG,686834,2025-09-30,-41217
