holder,shares,dateReported,change
FMR LLC,24012346,2025-09-30,-897908
JPMORGAN CHASE & CO,23985844,2025-09-30,1344074
"BlackRock, Inc.",20834152,2025-09-30,375191
VANGUARD GROUP INC,13318988,2025-09-30,-31257
WELLINGTON MANAGEMENT GROUP LLP,12583718,2025-09-30,1333920
STATE STREET CORP,10988061,2025-09-30,53261
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,7728322,2025-09-30,-509047
"GEODE CAPITAL MANAGEMENT, LLC",5432952,2025-09-30,-138692
Invesco Ltd.,4755687,2025-09-30,147192
Pictet Asset Management Holding SA,4648607,2025-09-30,94474
BANK OF AMERICA CORP /DE/,4336466,2025-09-30,95185
VAN ECK ASSOCIATES CORP,3832309,2025-09-30,96427
AMERIPRISE FINANCIAL INC,3496081,2025-09-30,-71059
PRICE T ROWE ASSOCIATES INC /MD/,2805181,2025-09-30,-224977
JANUS HENDERSON GROUP PLC,2774811,2025-09-30,65269
ALLIANCEBERNSTEIN L.P.,2497691,2025-09-30,-290616
GOLDMAN SACHS GROUP INC,2450237,2025-09-30,15741
Boston Partners,2439589,2025-09-30,352820
MORGAN STANLEY,2413347,2025-09-30,-294828
DIMENSIONAL FUND ADVISORS LP,2227516,2025-09-30,398250
Legal & General Group Plc,1942012,2025-09-30,72784
NORTHERN TRUST CORP,1903277,2025-09-30,-42121
VAN LANSCHOT KEMPEN INVESTMENT MANAGEMENT N.V.,1869074,2025-09-30,60142
DEUTSCHE BANK AG\,1834898,2025-09-30,-40055
"T. Rowe Price Investment Management, Inc.",1756250,2025-09-30,-384638
BARCLAYS PLC,1736607,2025-09-30,-266554
Amundi,1502735,2025-09-30,-3434
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1461219,2025-09-30,9557
"Rafferty Asset Management, LLC",1433157,2025-09-30,-483765
RAYMOND JAMES FINANCIAL INC,1407645,2025-09-30,-25335
UBS Group AG,1252968,2025-09-30,-298086
Bank of New York Mellon Corp,1251226,2025-09-30,-51856
"Nuveen, LLC",1190290,2025-09-30,-102225
ROYAL BANK OF CANADA,1185910,2025-09-30,-328101
"SG Americas Securities, LLC",1179129,2025-09-30,889883
VOYA INVESTMENT MANAGEMENT LLC,1116050,2025-09-30,-30392
CITIGROUP INC,1110363,2025-09-30,-47334
FRANKLIN RESOURCES INC,1059356,2025-09-30,-456520
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,1025166,2025-09-30,112703
LORING WOLCOTT & COOLIDGE FIDUCIARY ADVISORS LLP/MA,971909,2025-09-30,999
"Sumitomo Mitsui Trust Holdings, Inc.",941904,2025-09-30,2220
FIL Ltd,872670,2025-09-30,174459
AVIVA PLC,860223,2025-09-30,313209
FIRST TRUST ADVISORS LP,805172,2025-09-30,-54635
AXA Investment Managers S.A.,801939,2025-09-30,801939
National Pension Service,801609,2025-09-30,15929
"First Pacific Advisors, LP",765060,2025-09-30,170
Swiss National Bank,728229,2025-09-30,-39500
BROWN ADVISORY INC,721935,2025-09-30,7855
NORDEA INVESTMENT MANAGEMENT AB,689579,2025-09-30,46426
Woodline Partners LP,673403,2025-09-30,662950
WELLS FARGO & COMPANY/MN,617679,2025-09-30,20049
CCLA Investment Management,608638,2025-09-30,63058
Artisan Partners Limited Partnership,592719,2025-09-30,9910
"BNP PARIBAS ARBITRAGE, SNC",583049,2025-09-30,-438475
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",576662,2025-09-30,25789
"Alyeska Investment Group, L.P.",558629,2025-09-30,-172970
abrdn plc,528194,2025-09-30,91807
"Bridgewater Associates, LP",523933,2025-09-30,358683
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,505822,2025-09-30,-203743
"D. E. Shaw & Co., Inc.",460832,2025-09-30,108082
Man Group plc,458550,2025-09-30,326784
Jefferies Financial Group Inc.,421000,2025-09-30,421000
"NATIXIS ADVISORS, L.P.",398385,2025-09-30,-25202
CANADA PENSION PLAN INVESTMENT BOARD,387059,2025-09-30,69864
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,383469,2025-09-30,19329
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,375805,2025-09-30,-1839
ProShare Advisors LLC,350095,2025-09-30,-78404
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,341365,2025-09-30,-242894
"Mirae Asset Global Investments Co., Ltd.",338248,2025-09-30,-44483
ENVESTNET ASSET MANAGEMENT INC,337265,2025-09-30,5778
LAZARD ASSET MANAGEMENT LLC,335962,2025-09-30,23443
"Bank Julius Baer & Co. Ltd, Zurich",330520,2025-09-30,6714
GREAT WEST LIFE ASSURANCE CO /CAN/,326870,2025-09-30,-10787
HOMESTEAD ADVISERS CORP,320003,2025-09-30,-6100
BANK OF MONTREAL /CAN/,315552,2025-09-30,61963
Employees Retirement System of Texas,303522,2025-09-30,23800
Andra AP-fonden,299700,2025-09-30,118300
Vontobel Holding Ltd.,294873,2025-09-30,-28411
"Allspring Global Investments Holdings, LLC",293347,2025-09-30,29800
"MARSHALL WACE, LLP",285394,2025-09-30,248735
RHUMBLINE ADVISERS,275953,2025-09-30,8072
PRINCIPAL FINANCIAL GROUP INC,265423,2025-09-30,-3071
TD ASSET MANAGEMENT INC,264839,2025-09-30,-138513
AMERICAN CENTURY COMPANIES INC,263024,2025-09-30,-56696
APG Asset Management N.V.,255897,2025-09-30,-3300
"Russell Investments Group, Ltd.",254827,2025-09-30,39052
TODD ASSET MANAGEMENT LLC,233643,2025-09-30,-23197
"ADAGE CAPITAL PARTNERS GP, L.L.C.",229508,2025-09-30,8100
Janney Montgomery Scott LLC,224033,2025-09-30,-608
LPL Financial LLC,213944,2025-09-30,-5654
AQR CAPITAL MANAGEMENT LLC,213105,2025-09-30,-7420
Tredje AP-fonden,212352,2025-09-30,-16002
ROYAL LONDON ASSET MANAGEMENT LTD,212047,2025-09-30,-1644
CONFLUENCE INVESTMENT MANAGEMENT LLC,210735,2025-09-30,-2263
SCHRODER INVESTMENT MANAGEMENT GROUP,206177,2025-09-30,-3268
Sather Financial Group Inc,205774,2025-09-30,3453
NEW YORK STATE COMMON RETIREMENT FUND,204584,2025-09-30,141455
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,201451,2025-09-30,-3318
"ARGA Investment Management, LP",196620,2025-09-30,-87057
HSBC HOLDINGS PLC,195268,2025-09-30,59199
Mitsubishi UFJ Trust & Banking Corp,189693,2025-09-30,-315
Handelsbanken Fonder AB,189424,2025-09-30,33099
OAK ASSOCIATES LTD /OH/,189345,2025-09-30,-1666
BALYASNY ASSET MANAGEMENT L.P.,188943,2025-09-30,23889
Assenagon Asset Management S.A.,181047,2025-09-30,67151
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,171270,2025-09-30,-10700
KLINGENSTEIN FIELDS & CO LP,166464,2025-09-30,-45
"PARNASSUS INVESTMENTS, LLC",161077,2025-09-30,161077
LOOMIS SAYLES & CO L P,160443,2025-09-30,4773
Korea Investment CORP,159488,2025-09-30,-8021
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",152594,2025-09-30,2378
Neuberger Berman Group LLC,150014,2025-09-30,-155458
DEPRINCE RACE & ZOLLO INC,149789,2025-09-30,11254
PUBLIC SECTOR PENSION INVESTMENT BOARD,140888,2025-09-30,2704
STATE OF WISCONSIN INVESTMENT BOARD,139083,2025-09-30,1978
"TRILLIUM ASSET MANAGEMENT, LLC",137645,2025-09-30,6121
VICTORY CAPITAL MANAGEMENT INC,135757,2025-09-30,-4345
Meridiem Capital Partners LP,134114,2025-09-30,-5117
Swedbank AB,132817,2025-09-30,-574
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",131299,2025-09-30,74289
Penserra Capital Management LLC,130768,2025-09-30,41798
"Chevy Chase Trust Holdings, LLC",128665,2025-09-30,-4772
"Sequoia Financial Advisors, LLC",124096,2025-09-30,5662
TRUIST FINANCIAL CORP,121039,2025-09-30,11487
TWINBEECH CAPITAL LP,119031,2025-09-30,55241
"Cardinal Capital Management, Inc.",118542,2025-09-30,2158
Robeco Schweiz AG,117845,2025-09-30,-27555
Zurcher Kantonalbank (Zurich Cantonalbank),114968,2025-09-30,-5614
FACTORY MUTUAL INSURANCE CO,114400,2025-09-30,0
DekaBank Deutsche Girozentrale,112801,2025-09-30,0
"WAYCROSS PARTNERS, LLC",112512,2025-09-30,2476
NEOS Investment Management LLC,108034,2025-09-30,40150
"Asset Management One Co., Ltd.",107235,2025-09-30,3948
DANSKE BANK A/S,106067,2025-09-30,-21582
ING GROEP NV,104850,2025-09-30,22631
FJARDE AP-FONDEN /FOURTH SWEDISH NATIONAL PENSION FUND,104258,2025-09-30,65283
CREDIT AGRICOLE S A,99398,2025-09-30,99398
Mn Services Vermogensbeheer B.V.,96900,2025-09-30,1200
Calamos Advisors LLC,96455,2025-09-30,121
NOMURA ASSET MANAGEMENT CO LTD,96338,2025-09-30,-27597
COOKE & BIELER LP,92282,2025-09-30,-51705
KLP KAPITALFORVALTNING AS,91214,2025-09-30,-700
Sterling Capital Management LLC,90026,2025-09-30,29529
WESTFIELD CAPITAL MANAGEMENT CO LP,89996,2025-09-30,89996
MACQUARIE GROUP LTD,89478,2025-09-30,5095
State of New Jersey Common Pension Fund D,86755,2025-09-30,3054
Crestwood Advisors Group LLC,83240,2025-09-30,-2
"Smith, Salley & Associates",83144,2025-09-30,-1125
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",82285,2025-09-30,35774
SHELTON CAPITAL MANAGEMENT,81293,2025-09-30,-2085
Daiwa Securities Group Inc.,80890,2025-09-30,12988
"CSM Advisors, LLC",80658,2025-09-30,80658
STATE OF MICHIGAN RETIREMENT SYSTEM,80268,2025-09-30,-500
Squarepoint Ops LLC,79486,2025-09-30,-76829
MARCO INVESTMENT MANAGEMENT LLC,78424,2025-09-30,1282
Cetera Investment Advisers,77980,2025-09-30,16420
SORA INVESTORS LLC,77201,2025-09-30,77201
Glenview Trust Co,76646,2025-09-30,6337
STIFEL FINANCIAL CORP,75593,2025-09-30,3820
"HighTower Advisors, LLC",75569,2025-09-30,-4039
Arizona State Retirement System,73777,2025-09-30,-291
GDS Wealth Management,72938,2025-09-30,3141
"PNC FINANCIAL SERVICES GROUP, INC.",72143,2025-09-30,724
"ADVISOR GROUP HOLDINGS, INC.",71600,2025-09-30,1213
J. Safra Sarasin Holding AG,70883,2025-09-30,1269
CIBC Asset Management Inc,70354,2025-09-30,-26
STEPHENS INC /AR/,69168,2025-09-30,4161
"Ensign Peak Advisors, Inc",68321,2025-09-30,-32546
"Resona Asset Management Co.,Ltd.",67645,2025-09-30,-5151
"State of Tennessee, Treasury Department",66795,2025-09-30,13190
Jain Global LLC,64967,2025-09-30,-36627
Czech National Bank,64032,2025-09-30,2281
Varma Mutual Pension Insurance Co,63544,2025-09-30,5100
SEI INVESTMENTS CO,62546,2025-09-30,-2518
Polar Asset Management Partners Inc.,61460,2025-09-30,61460
MACKENZIE FINANCIAL CORP,60699,2025-09-30,39195
Carmel Capital Management L.L.C.,60652,2025-09-30,2075
COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS,60542,2025-09-30,-1417
BNP Paribas Asset Management Holding S.A.,59927,2025-09-30,776
Quantinno Capital Management LP,59149,2025-09-30,14145
"MetLife Investment Management, LLC",58348,2025-09-30,-1812
CITADEL ADVISORS LLC,58169,2025-09-30,-113209
"OSBORNE PARTNERS CAPITAL MANAGEMENT, LLC",57728,2025-09-30,-342
"Crossmark Global Holdings, Inc.",57440,2025-09-30,-1088
Lansforsakringar Fondforvaltning AB (publ),57246,2025-09-30,3891
FORSTA AP-FONDEN,56500,2025-09-30,3100
"Steward Partners Investment Advisory, LLC",55291,2025-09-30,-945
OMERS ADMINISTRATION Corp,53789,2025-09-30,-4856
Retirement Systems of Alabama,53780,2025-09-30,-429
La Banque Postale Asset Management SA,52888,2025-09-30,4538
JB Capital LLC,52263,2025-09-30,-8239
"Telos Capital Management, Inc.",51464,2025-09-30,362
SKBA CAPITAL MANAGEMENT LLC,51189,2025-09-30,500
Engineers Gate Manager LP,50698,2025-09-30,-70654
NOMURA HOLDINGS INC,50472,2025-09-30,43477
GF FUND MANAGEMENT CO. LTD.,50314,2025-09-30,0
"Nearwater Capital Markets, Ltd",50000,2025-09-30,50000
Walleye Capital LLC,49887,2025-09-30,-64078
PINNACLE ASSOCIATES LTD,49628,2025-09-30,162
"KINGDON CAPITAL MANAGEMENT, L.L.C.",47500,2025-09-30,47500
DnB Asset Management AS,46968,2025-09-30,911
USS Investment Management Ltd,45993,2025-09-30,0
Nemes Rush Group LLC,45922,2025-09-30,848
Guinness Asset Management LTD,44578,2025-09-30,44578
Creative Planning,44319,2025-09-30,-1611
"COMMONWEALTH EQUITY SERVICES, LLC",44275,2025-09-30,-3889
"KETTLE HILL CAPITAL MANAGEMENT, LLC",43590,2025-09-30,54
"ASSETMARK, INC",43337,2025-09-30,2365
"Pacer Advisors, Inc.",43294,2025-09-30,-1927
"THOMPSON INVESTMENT MANAGEMENT, INC.",42969,2025-09-30,-949
IQ EQ FUND MANAGEMENT (IRELAND) Ltd,42443,2025-09-30,4125
"Toroso Investments, LLC",42314,2025-09-30,9509
Zweig-DiMenna Associates LLC,41969,2025-09-30,-4531
Allianz Asset Management GmbH,41042,2025-09-30,-1141
"Baird Financial Group, Inc.",40960,2025-09-30,20253
"Foster Victor Wealth Advisors, LLC",40692,2025-09-30,1050
Renaissance Investment Group LLC,40364,2025-09-30,-4941
Altrius Capital Management Inc,40220,2025-09-30,-3205
Mediolanum International Funds Ltd,39407,2025-09-30,-12415
TEACHER RETIREMENT SYSTEM OF TEXAS,38987,2025-09-30,-5467
NEW YORK LIFE INVESTMENT MANAGEMENT LLC,38635,2025-09-30,-122
CIBC WORLD MARKET INC.,38543,2025-09-30,28751
HITE Hedge Asset Management LLC,37674,2025-09-30,10368
MILLENNIUM MANAGEMENT LLC,37613,2025-09-30,-37592
BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp,36308,2025-09-30,-3595
Raiffeisen Bank International AG,36152,2025-09-30,-1596
PRUDENTIAL PLC,35614,2025-09-30,-331
AMALGAMATED BANK,35179,2025-09-30,-620
PROFUND ADVISORS LLC,35135,2025-09-30,283
"Gibraltar Capital Management, Inc.",34384,2025-09-30,-1670
THRIVENT FINANCIAL FOR LUTHERANS,34211,2025-09-30,22119
"Vantage Investment Partners, LLC",34193,2025-09-30,0
Morningstar Investment Management LLC,33905,2025-09-30,32570
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",33718,2025-09-30,-2535
"Colony Group, LLC",33452,2025-09-30,-2446
PRUDENTIAL FINANCIAL INC,33405,2025-09-30,303
"WILEY BROS.-AINTREE CAPITAL, LLC",33381,2025-09-30,-16433
"FourThought Financial Partners, LLC",33238,2025-09-30,500
Tufton Capital Management,33129,2025-09-30,-340
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC",32956,2025-09-30,2716
Cerity Partners LLC,31697,2025-09-30,-1029
"CI Private Wealth, LLC",31676,2025-09-30,1245
Louisiana State Employees Retirement System,31600,2025-09-30,-200
MOTCO,31485,2025-09-30,118
"Lido Advisors, LLC",31467,2025-09-30,11232
"Sumitomo Mitsui DS Asset Management Company, Ltd",31169,2025-09-30,222
"Financiere des Professionnels - Fonds d,investissement inc.",30414,2025-09-30,-1656
iA Global Asset Management Inc.,30131,2025-09-30,1179
