holder,shares,dateReported,change
VANGUARD GROUP INC,17203252,2025-09-30,368176
"BlackRock, Inc.",12017630,2025-09-30,915898
STATE STREET CORP,5818709,2025-09-30,-25302
"Select Equity Group, L.P.",4155629,2025-09-30,102919
"GEODE CAPITAL MANAGEMENT, LLC",3678079,2025-09-30,48060
Boston Partners,2731829,2025-09-30,942816
MACQUARIE GROUP LTD,2669333,2025-09-30,-333711
JPMORGAN CHASE & CO,2644666,2025-09-30,1135120
Longview Partners (Guernsey) LTD,2587357,2025-09-30,320208
Invesco Ltd.,2499768,2025-09-30,163565
MORGAN STANLEY,2374940,2025-09-30,-2939741
Mawer Investment Management Ltd.,2360301,2025-09-30,-282067
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,2252049,2025-09-30,-912384
JANUS HENDERSON GROUP PLC,2071305,2025-09-30,70144
FIL Ltd,1787295,2025-09-30,-517310
Neuberger Berman Group LLC,1662637,2025-09-30,-62312
Perpetual Ltd,1593035,2025-09-30,472453
"Allspring Global Investments Holdings, LLC",1577942,2025-09-30,1571899
PRICE T ROWE ASSOCIATES INC /MD/,1410388,2025-09-30,-198115
DIMENSIONAL FUND ADVISORS LP,1396633,2025-09-30,2066
"D. E. Shaw & Co., Inc.",1338305,2025-09-30,323773
NORTHERN TRUST CORP,1329057,2025-09-30,-41226
"Madison Asset Management, LLC",1296175,2025-09-30,-28346
BESSEMER GROUP INC,1144220,2025-09-30,-3524
UBS ASSET MANAGEMENT AMERICAS INC,1142997,2025-09-30,13931
FENIMORE ASSET MANAGEMENT INC,1141082,2025-09-30,4659
FIDUCIARY MANAGEMENT INC /WI/,1112998,2025-09-30,432678
FMR LLC,944783,2025-09-30,-183874
GOLDMAN SACHS GROUP INC,937062,2025-09-30,381518
Capital World Investors,869226,2025-09-30,4976
Bank of New York Mellon Corp,864886,2025-09-30,-54924
Legal & General Group Plc,853907,2025-09-30,15471
BANK OF AMERICA CORP /DE/,847506,2025-09-30,64170
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,835123,2025-09-30,7015
Mondrian Investment Partners LTD,809064,2025-09-30,809064
WELLINGTON MANAGEMENT GROUP LLP,786984,2025-09-30,-174932
UBS Group AG,763810,2025-09-30,280563
Amundi,753492,2025-09-30,30723
DEUTSCHE BANK AG\,738608,2025-09-30,107518
ROYAL BANK OF CANADA,734196,2025-09-30,48396
Standard Investments LLC,685000,2025-09-30,0
Black Creek Investment Management Inc.,670253,2025-09-30,304138
FIRST TRUST ADVISORS LP,662400,2025-09-30,54166
"Holocene Advisors, LP",625951,2025-09-30,-1396059
"MARSHALL WACE, LLP",599248,2025-09-30,430796
THRIVENT FINANCIAL FOR LUTHERANS,582620,2025-09-30,23093
"Evercore Wealth Management, LLC",501141,2025-09-30,-333
AMERICAN CENTURY COMPANIES INC,498409,2025-09-30,330548
Findlay Park Partners LLP,451026,2025-09-30,-8100
ALLIANCEBERNSTEIN L.P.,444620,2025-09-30,-12056
"NATIXIS ADVISORS, L.P.",421611,2025-09-30,-72967
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,418639,2025-09-30,-72378
BARCLAYS PLC,417387,2025-09-30,-161743
WELLS FARGO & COMPANY/MN,411752,2025-09-30,-6556
Swiss National Bank,379500,2025-09-30,-19400
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",375277,2025-09-30,143493
"Sumitomo Mitsui Trust Holdings, Inc.",365345,2025-09-30,1793
EULAV Asset Management,343735,2025-09-30,11
"Nuveen, LLC",335749,2025-09-30,-6696
HSBC HOLDINGS PLC,329286,2025-09-30,103292
HM PAYSON & CO,314556,2025-09-30,-14639
ENVESTNET ASSET MANAGEMENT INC,310785,2025-09-30,3612
RENAISSANCE TECHNOLOGIES LLC,293298,2025-09-30,260600
Qube Research & Technologies Ltd,291282,2025-09-30,-73305
