date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,MPWR,USD,0001280452,2025-03-03,2025-03-03 15:14:51,2024,FY,1786700000,36430000,-1302911000,205640000,92068000,7325000,-35215000,23169000,96789000,-29517000,788410000,-146118000,-33283000,-1082706000,1508135000,-22981000,223047000,0,0,-636244000,-240623000,4640000,-872227000,-8470000,130760000,691941000,561181000,788410000,-146118000,642292000,https://www.sec.gov/Archives/edgar/data/1280452/000143774925005903/0001437749-25-005903-index.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774925005903/mpwr20241231_10k.htm
2023-12-31,MPWR,USD,0001280452,2024-02-29,2024-02-29 16:55:31,2023,FY,427374000,40168000,5865000,149711000,30324000,2884000,63583000,4797000,-40940000,-15229000,638213000,-57578000,0,-582603000,468308000,-6853000,-178726000,0,0,-3741000,-185844000,5860000,-183725000,-3310000,272452000,561181000,288729000,638213000,-57578000,580635000,https://www.sec.gov/Archives/edgar/data/1280452/000143774924006133/0001437749-24-006133-index.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774924006133/mpwr20231231_10k.htm
2022-12-31,MPWR,USD,0001280452,2023-02-24,2023-02-24 16:16:51,2022,FY,437672000,37114000,-13220000,160992000,-386956000,-77903000,-188073000,-11240000,-109740000,11072000,246674000,-58843000,0,-65785000,128610000,-16492000,-12510000,0,5358000,5877000,-137965000,-2055000,-128785000,-6039000,99340000,288729000,189389000,246674000,-58843000,187831000,https://www.sec.gov/Archives/edgar/data/1280452/000143774923004540/0001437749-23-004540-index.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774923004540/mpwr20221231_10k.htm
2021-12-31,MPWR,USD,0001280452,2022-02-25,2022-02-25 16:03:32,2021,FY,242023000,28699000,-2772000,123479000,-71640000,-37976000,-102323000,32926000,35733000,221000,320010000,-95238000,-768000,-394886000,113755000,-1749000,-378886000,0,17322000,4670000,-109364000,-2834000,-90206000,3400000,-145682000,189389000,335071000,320010000,-95238000,224772000,https://www.sec.gov/Archives/edgar/data/1280452/000143774922004460/0001437749-22-004460-index.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774922004460/mpwr20211231_10k.htm
2020-12-31,MPWR,USD,0001280452,2021-03-01,2021-03-01 16:36:04,2020,FY,164375000,19186000,-1627000,85551000,3003000,-14123000,-29503000,10410000,36219000,-2685000,267803000,-55639000,29000,-338263000,357392000,-2696000,-39177000,0,22586000,0,-88786000,-5357000,-71557000,4926000,161995000,335071000,173076000,267803000,-55639000,212164000,https://www.sec.gov/Archives/edgar/data/1280452/000143774921004587/0001437749-21-004587-index.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774921004587/mpwr20201231_10k.htm
2019-12-31,MPWR,USD,0001280452,2020-02-28,2020-02-28 16:59:17,2019,FY,108839000,14867000,-577000,78699000,17811000,2512000,8865000,3048000,3386000,-3336000,216303000,-96787000,9268000,-212562000,136051000,-3082000,-167112000,0,16650000,3277000,-67294000,-683000,-48050000,-883000,258000,173076000,172818000,216303000,-96787000,119516000,https://www.sec.gov/Archives/edgar/data/1280452/000143774920003943/0001437749-20-003943-index.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774920003943/mpwr20191231_10k.htm
2018-12-31,MPWR,USD,0001280452,2019-03-01,2019-03-01 17:19:31,2018,FY,105268000,12311000,-843000,60607000,-37522000,-18079000,-37060000,871000,16746000,1630000,141451000,-22526000,0,-99199000,111131000,-4146000,-14740000,0,13665000,0,-47475000,-749000,-34559000,-2208000,89944000,172818000,82874000,141451000,-22526000,118925000,https://www.sec.gov/Archives/edgar/data/1280452/000143774919003798/0001437749-19-003798-index.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774919003798/mpwr20181231_10k.htm
2017-12-31,MPWR,USD,0001280452,2018-03-01,2018-03-01 16:20:03,2017,FY,65203000,16101000,-15238000,52617000,15696000,-3785000,-27795000,3077000,44199000,-558000,133821000,-65773000,3000,-140531000,77502000,-5261000,-134060000,0,2851000,0,-33926000,-250000,-31325000,1620000,-29944000,82759000,112703000,133821000,-65773000,68048000,https://www.sec.gov/Archives/edgar/data/1280452/000143774918003639/0001437749-18-003639-index.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774918003639/mpwr20171231_10k.htm
2016-12-31,MPWR,USD,0001280452,2017-03-01,2017-03-01 16:49:20,2016,FY,52720000,14674000,-5000,44989000,-2946000,-3421000,-8323000,5483000,3315000,-1646000,107786000,-37112000,0,-236912000,223344000,-5046000,-55726000,0,3807000,0,-33099000,1165000,-28127000,-2090000,21843000,112703000,90860000,107786000,-37112000,70674000,https://www.sec.gov/Archives/edgar/data/1280452/000143774917003558/0001437749-17-003558-index.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774917003558/mpwr20161231_10k.htm
2015-12-31,MPWR,USD,0001280452,2016-02-29,2016-02-29 16:21:23,2015,FY,35172000,13783000,42000,41563000,-12646000,-5201000,-22210000,147000,14618000,-8178000,69736000,-16024000,340000,-223018000,189549000,-8044000,-57197000,0,0,-32286000,-29965000,15599000,-46652000,-1293000,-35406000,90860000,126266000,69736000,-16024000,53712000,https://www.sec.gov/Archives/edgar/data/1280452/000143774916026344/0001437749-16-026344-index.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774916026344/mpwr20151119_10k.htm
