holder,shares,dateReported,change
VANGUARD GROUP INC,171140995,2025-09-30,1336940
"BlackRock, Inc.",142322114,2025-09-30,4768157
STATE STREET CORP,71224537,2025-09-30,-2327548
BANK OF AMERICA CORP /DE/,54913641,2025-09-30,3066865
JPMORGAN CHASE & CO,47357807,2025-09-30,233768
"GEODE CAPITAL MANAGEMENT, LLC",34437415,2025-09-30,15439
AMERIPRISE FINANCIAL INC,22056626,2025-09-30,5215036
PRIMECAP MANAGEMENT CO/CA/,20889987,2025-09-30,-2914800
Elliott Investment Management L.P.,18630978,2025-09-30,0
DIMENSIONAL FUND ADVISORS LP,18213770,2025-09-30,-49247
MORGAN STANLEY,17802553,2025-09-30,188609
Slate Path Capital LP,17509142,2025-09-30,1612900
Jericho Capital Asset Management L.P.,16974768,2025-09-30,16974768
NORTHERN TRUST CORP,15367640,2025-09-30,-354127
UBS Group AG,14946883,2025-09-30,7630279
BARCLAYS PLC,13943539,2025-09-30,-1647828
Invesco Ltd.,13498674,2025-09-30,-2618406
Legal & General Group Plc,13241459,2025-09-30,36765
UBS ASSET MANAGEMENT AMERICAS INC,13144333,2025-09-30,-5283111
LSV ASSET MANAGEMENT,12186141,2025-09-30,-479200
"Point72 Asset Management, L.P.",11565283,2025-09-30,11094474
GOLDMAN SACHS GROUP INC,11217674,2025-09-30,-14786194
"Nuveen, LLC",11029984,2025-09-30,-1811488
CITADEL ADVISORS LLC,10444677,2025-09-30,865772
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,9986567,2025-09-30,6533
RAYMOND JAMES FINANCIAL INC,9976733,2025-09-30,354537
"JANE STREET GROUP, LLC",9141568,2025-09-30,4866570
SCHRODER INVESTMENT MANAGEMENT GROUP,8620927,2025-09-30,-1978315
DEUTSCHE BANK AG\,8209874,2025-09-30,-853663
HSBC HOLDINGS PLC,7409866,2025-09-30,-458050
Bank of New York Mellon Corp,7291041,2025-09-30,-825461
NORDEA INVESTMENT MANAGEMENT AB,7172952,2025-09-30,-772819
Amundi,7059461,2025-09-30,-2850647
FIRST TRUST ADVISORS LP,6810850,2025-09-30,-3234200
ROYAL BANK OF CANADA,5936051,2025-09-30,641017
"Holocene Advisors, LP",5882232,2025-09-30,5882232
Squarepoint Ops LLC,5838249,2025-09-30,3927740
"Epoch Investment Partners, Inc.",5123650,2025-09-30,57267
Allianz Asset Management GmbH,4912316,2025-09-30,-37014
Retirement Systems of Alabama,4796815,2025-09-30,-1949
AQR CAPITAL MANAGEMENT LLC,4454876,2025-09-30,-1989469
Neuberger Berman Group LLC,4158809,2025-09-30,3582549
MILLENNIUM MANAGEMENT LLC,4045735,2025-09-30,2937732
National Pension Service,3787479,2025-09-30,334424
Swiss National Bank,3782200,2025-09-30,-194100
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",3551715,2025-09-30,2933972
Assenagon Asset Management S.A.,3527466,2025-09-30,-5303796
BALYASNY ASSET MANAGEMENT L.P.,3494476,2025-09-30,428181
ALLIANCEBERNSTEIN L.P.,3320343,2025-09-30,1573272
FMR LLC,3245000,2025-09-30,217150
"Sumitomo Mitsui Trust Holdings, Inc.",3193105,2025-09-30,46086
MACKENZIE FINANCIAL CORP,3137161,2025-09-30,613992
WELLS FARGO & COMPANY/MN,2749461,2025-09-30,494017
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,2736815,2025-09-30,123888
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",2715479,2025-09-30,150203
Ceredex Value Advisors LLC,2714319,2025-09-30,2714319
LMR Partners LLP,2714000,2025-09-30,1699998
LPL Financial LLC,2660654,2025-09-30,-90026
RHUMBLINE ADVISERS,2655020,2025-09-30,57181
"BNP PARIBAS ARBITRAGE, SNC",2650895,2025-09-30,-1256570
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",2625298,2025-09-30,2138366
Analog Century Management LP,2502012,2025-09-30,2502012
"D. E. Shaw & Co., Inc.",2353379,2025-09-30,2052789
GREAT WEST LIFE ASSURANCE CO /CAN/,2293207,2025-09-30,-135117
