holder,shares,dateReported,change
Global Wealth Strategies & Associates,0,2025-12-31,-11
VANGUARD GROUP INC,41902227,2025-09-30,9748738
"BlackRock, Inc.",27230765,2025-09-30,6503193
FMR LLC,16342587,2025-09-30,5532581
STATE STREET CORP,13732777,2025-09-30,7091075
PRICE T ROWE ASSOCIATES INC /MD/,13466821,2025-09-30,7434591
BAILLIE GIFFORD & CO,11413479,2025-09-30,-543983
"GEODE CAPITAL MANAGEMENT, LLC",8858270,2025-09-30,3030486
JANUS HENDERSON GROUP PLC,8078980,2025-09-30,-280844
GOLDMAN SACHS GROUP INC,6113794,2025-09-30,-204832
JENNISON ASSOCIATES LLC,5306999,2025-09-30,-238011
JPMORGAN CHASE & CO,5280588,2025-09-30,119788
BROWN ADVISORY INC,4772774,2025-09-30,-1210913
GROUPAMA ASSET MANAGMENT,4570523,2025-09-30,-2029477
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,4289570,2025-09-30,40276
Invesco Ltd.,4075721,2025-09-30,2216402
AMERICAN CENTURY COMPANIES INC,3703656,2025-09-30,-238243
MORGAN STANLEY,3623383,2025-09-30,710675
NORTHERN TRUST CORP,2707291,2025-09-30,840633
VOYA INVESTMENT MANAGEMENT LLC,2462310,2025-09-30,-26789
"SC US (TTGP), LTD.",2389407,2025-09-30,0
UBS ASSET MANAGEMENT AMERICAS INC,2336999,2025-09-30,-661708
BANK OF AMERICA CORP /DE/,2320876,2025-09-30,-759968
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,2310820,2025-09-30,856670
Bank of New York Mellon Corp,2232478,2025-09-30,312161
Capital International Investors,2158782,2025-09-30,-183554
FRANKLIN RESOURCES INC,2143887,2025-09-30,-248151
Legal & General Group Plc,1975753,2025-09-30,215749
FIRST TRUST ADVISORS LP,1899851,2025-09-30,111093
"SANDS CAPITAL MANAGEMENT, LLC",1894680,2025-09-30,-877335
AMERIPRISE FINANCIAL INC,1593355,2025-09-30,-176588
MACQUARIE GROUP LTD,1571916,2025-09-30,356580
"Clearbridge Investments, LLC",1482607,2025-09-30,1341884
Amundi,1380387,2025-09-30,485280
UBS Group AG,1371296,2025-09-30,38708
RAYMOND JAMES FINANCIAL INC,1329324,2025-09-30,-39468
AQR CAPITAL MANAGEMENT LLC,1321741,2025-09-30,-525981
ROYAL BANK OF CANADA,1239971,2025-09-30,238934
BARCLAYS PLC,1117654,2025-09-30,527593
DEUTSCHE BANK AG\,1013544,2025-09-30,-17913
DnB Asset Management AS,1007552,2025-09-30,-621348
WELLINGTON MANAGEMENT GROUP LLP,969965,2025-09-30,-588230
Meritech Capital Associates V L.L.C.,938437,2025-09-30,0
"Ashe Capital Management, LP",933878,2025-09-30,0
"Nuveen, LLC",925662,2025-09-30,205196
"Champlain Investment Partners, LLC",919515,2025-09-30,-295640
"Sumitomo Mitsui Trust Holdings, Inc.",883639,2025-09-30,1088
"Ensign Peak Advisors, Inc",876622,2025-09-30,112744
Swiss National Bank,828800,2025-09-30,-40900
Strategy Capital LLC,808307,2025-09-30,-2092
"BNP PARIBAS ARBITRAGE, SNC",780146,2025-09-30,345027
Altshuler Shaham Ltd,740019,2025-09-30,740019
VICTORY CAPITAL MANAGEMENT INC,716926,2025-09-30,-11045
BROWN CAPITAL MANAGEMENT LLC,712277,2025-09-30,-421051
RENAISSANCE TECHNOLOGIES LLC,711052,2025-09-30,334800
"FEDERATED HERMES, INC.",694470,2025-09-30,231699
