holder,shares,dateReported,change
VANGUARD GROUP INC,106158920,2025-09-30,363610
"BlackRock, Inc.",78327583,2025-09-30,4153781
Capital Research Global Investors,54850042,2025-09-30,10049691
STATE STREET CORP,46934223,2025-09-30,592815
WELLINGTON MANAGEMENT GROUP LLP,30746146,2025-09-30,1298881
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,28820116,2025-09-30,-418551
JPMORGAN CHASE & CO,27662315,2025-09-30,-1827820
DODGE & COX,22780033,2025-09-30,-145215
"GEODE CAPITAL MANAGEMENT, LLC",20128003,2025-09-30,402606
BANK OF AMERICA CORP /DE/,14678283,2025-09-30,479471
Bank of New York Mellon Corp,12199225,2025-09-30,-1483192
PRICE T ROWE ASSOCIATES INC /MD/,11655564,2025-09-30,-3394548
Invesco Ltd.,11545003,2025-09-30,1129130
MORGAN STANLEY,10981257,2025-09-30,170610
HOTCHKIS & WILEY CAPITAL MANAGEMENT LLC,10226550,2025-09-30,-1499316
CANADA PENSION PLAN INVESTMENT BOARD,9894336,2025-09-30,-540939
FRANKLIN RESOURCES INC,9393800,2025-09-30,-901955
NORTHERN TRUST CORP,8471883,2025-09-30,-392883
Legal & General Group Plc,7712978,2025-09-30,43502
ROYAL BANK OF CANADA,6952678,2025-09-30,1543772
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,5578109,2025-09-30,49072
GOLDMAN SACHS GROUP INC,5463031,2025-09-30,-446397
LONDON CO OF VIRGINIA,4900535,2025-09-30,-65164
Pictet Asset Management Holding SA,4647635,2025-09-30,-843052
AMERICAN CENTURY COMPANIES INC,4589127,2025-09-30,334267
UBS ASSET MANAGEMENT AMERICAS INC,4018861,2025-09-30,-993052
UBS Group AG,3704569,2025-09-30,-181343
BARCLAYS PLC,3328889,2025-09-30,-204697
"COHEN & STEERS, INC.",2974173,2025-09-30,229757
Magellan Asset Management Ltd,2826628,2025-09-30,-810341
BANK OF MONTREAL /CAN/,2659851,2025-09-30,1784709
Mitsubishi UFJ Trust & Banking Corp,2571972,2025-09-30,-509548
WELLS FARGO & COMPANY/MN,2531459,2025-09-30,323355
DIMENSIONAL FUND ADVISORS LP,2490806,2025-09-30,103279
Swiss National Bank,2458220,2025-09-30,-121700
CITIGROUP INC,2422315,2025-09-30,649989
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,2341591,2025-09-30,-840405
"Nuveen, LLC",2325508,2025-09-30,-48902
MACQUARIE GROUP LTD,2299587,2025-09-30,961907
FMR LLC,2260628,2025-09-30,-4892
HSBC HOLDINGS PLC,2260138,2025-09-30,145080
"Sumitomo Mitsui Trust Holdings, Inc.",2072525,2025-09-30,30755
ANTIPODES PARTNERS Ltd,1735194,2025-09-30,1733143
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",1709730,2025-09-30,83700
THOMPSON SIEGEL & WALMSLEY LLC,1702807,2025-09-30,-259750
"NATIXIS ADVISORS, L.P.",1688998,2025-09-30,205833
Amundi,1662836,2025-09-30,670956
COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS,1609587,2025-09-30,-33281
DEUTSCHE BANK AG\,1593156,2025-09-30,-298315
RAYMOND JAMES FINANCIAL INC,1524120,2025-09-30,198955
RHUMBLINE ADVISERS,1511618,2025-09-30,14874
AVIVA PLC,1397147,2025-09-30,82369
FIRST TRUST ADVISORS LP,1351855,2025-09-30,-49283
"Russell Investments Group, Ltd.",1315903,2025-09-30,191869
