date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-05-27,85.62,86.05,85.285,85.96,85.959999,521380,521400,0.34,0.3971,85.78,"May 27, 22",0.003971
2022-05-26,85.56,86.16,85.175,85.62,85.62,512318,512300,0.06,0.07012623,85.74,"May 26, 22",0.0007012623
2022-05-25,84.15,85.55,83.7,85.18,85.18,450853,450900,1.03,1.22,85.06,"May 25, 22",0.0122
2022-05-24,84.77,85.5,83.03,83.94,83.94,699712,699700,-0.83,-0.97912,83.79,"May 24, 22",-0.0097912
2022-05-23,84.43,84.95,83.02,84.72,84.72,687449,687400,0.29,0.34348,84.42,"May 23, 22",0.0034348
2022-05-20,83.3,83.9,81.76,83.45,83.449997,780785,780800,0.15,0.18007,82.79,"May 20, 22",0.0018007
2022-05-19,83.03,83.79,82.15,82.87,82.87,715497,715500,-0.16,-0.1927,82.79,"May 19, 22",-0.001927
2022-05-18,85.76,87.28,83.41,83.71,83.709999,720352,720400,-2.05,-2.39,84.72,"May 18, 22",-0.0239
2022-05-17,84.77,86.58,84.55,86.42,86.419998,634649,634600,1.65,1.95,85.9,"May 17, 22",0.0195
2022-05-16,83.89,84.67,83.195,84.21,84.209999,700356,700400,0.32,0.38145,84.01,"May 16, 22",0.0038145
2022-05-13,85.29,86.03,83.325,83.51,83.51,998201,998200,-1.78,-2.09,84.16,"May 13, 22",-0.0209
2022-05-12,84.32,85.1,83.21,84.75,84.75,1024958,1025000,0.43,0.50996,84.05,"May 12, 22",0.0050996
2022-05-11,85.835,87.24,84.505,84.53,84.529999,914850,914900,-1.305,-1.52,85.3,"May 11, 22",-0.0152
2022-05-10,85,85.65,83.07,84.56,84.559998,1274605,1274600,-0.44,-0.51765,84.52,"May 10, 22",-0.0051765
2022-05-09,84.89,85.98,84.28,85,85,1173623,1173600,0.11,0.12958,84.91,"May 09, 22",0.0012958
2022-05-06,82.97,85.92,82.66,85.76,85.76,1930200,1930200,2.79,3.36,84.95,"May 06, 22",0.0336
2022-05-05,86.06,86.38,83.16,83.44,83.44,1293464,1293500,-2.62,-3.04,84.41,"May 05, 22",-0.0304
2022-05-04,82.44,86.48,82,86.42,86.419998,1219916,1219900,3.98,4.83,85.26,"May 04, 22",0.0483
2022-05-03,81.52,83.95,80.87,82.08,82.08,1453976,1454000,0.56,0.68695,82.14,"May 03, 22",0.0068695
2022-05-02,81.07,81.58,79.47,80.45,80.449997,1302010,1301900,-0.62,-0.76477,80.38,"May 02, 22",-0.0076477
2022-04-29,82.265,83.17,80.88,81.1,81.099998,1266029,1266000,-1.165,-1.42,81.57,"April 29, 22",-0.0142
2022-04-28,84.22,84.79,82.08,83.37,83.37,1253554,1253600,-0.85,-1.01,83.24,"April 28, 22",-0.0101
2022-04-27,85.48,86.17,83.885,84.04,84.04,857068,857100,-1.44,-1.68,84.79,"April 27, 22",-0.0168
2022-04-26,87.04,87.11,85.32,85.36,85.36,873543,873400,-1.68,-1.93,86.08,"April 26, 22",-0.0193
2022-04-25,87.15,88.15,86.215,87.99,87.989998,430443,430400,0.84,0.96386,87.33,"April 25, 22",0.0096386
2022-04-22,90.01,90.11,87.22,87.29,87.29,608905,608900,-2.72,-3.02,87.9,"April 22, 22",-0.0302
2022-04-21,91.18,91.69,90.46,90.77,90.769997,445139,445100,-0.41,-0.44966,91.04,"April 21, 22",-0.0044966
2022-04-20,89.2,91.57,88.95,91.06,91.059998,668538,668500,1.86,2.09,90.97,"April 20, 22",0.0209
2022-04-19,88.75,90.36,88.2,88.92,88.919998,882762,882800,0.17,0.19155,88.94,"April 19, 22",0.0019155
2022-04-18,91.06,91.83,89.85,90.14,90.139999,501047,500800,-0.92,-1.01,90.45,"April 18, 22",-0.0101
2022-04-14,92.01,92.68,91.27,91.36,91.36,519089,519100,-0.65,-0.70644,91.61,"April 14, 22",-0.0070644
2022-04-13,91,92.2341,91,91.96,91.959999,597401,597400,0.96,1.05,91.77,"April 13, 22",0.0105
2022-04-12,90.05,91.5,89.95,91.04,91.04,918608,918600,0.99,1.1,90.98,"April 12, 22",0.011
2022-04-11,90.19,91.34,89.9,90.21,90.209999,1151719,1151700,0.02,0.02217541,90.53,"April 11, 22",0.0002217541
2022-04-08,89.82,90.47,89.04,90.4,90.4,891954,892000,0.58,0.64574,90.01,"April 08, 22",0.0064574
2022-04-07,88.42,89.7,88.16,89.52,89.519997,825616,825600,1.1,1.24,89.16,"April 07, 22",0.0124
2022-04-06,87.14,89.96,87.14,88.71,88.709999,1099769,1099800,1.57,1.8,88.78,"April 06, 22",0.018
2022-04-05,87.56,88.3,86.75,87.14,87.139999,595108,595100,-0.42,-0.47967,87.46,"April 05, 22",-0.0047967
2022-04-04,89.04,89.38,87.35,87.71,87.709999,781733,781700,-1.33,-1.49,87.88,"April 04, 22",-0.0149
2022-04-01,88.04,89.4,87.3,89.34,89.339996,1000021,1000000,1.3,1.48,88.65,"April 01, 22",0.0148
2022-03-31,88.14,88.46,87.14,87.19,87.19,719135,719100,-0.95,-1.08,87.49,"March 31, 22",-0.0108
2022-03-30,88.86,88.945,87.4,87.85,87.849998,494634,494600,-1.01,-1.14,87.86,"March 30, 22",-0.0114
2022-03-29,88.79,89.48,87.93,88.73,88.73,806421,806400,-0.06,-0.06757518,88.66,"March 29, 22",-0.0006757518
2022-03-28,87.86,88.55,87.56,88.51,88.51,587674,587600,0.65,0.73981,88.3,"March 28, 22",0.0073981
2022-03-25,88.17,88.17,87.1702,87.85,87.849998,581472,581500,-0.32,-0.36294,87.81,"March 25, 22",-0.0036294
2022-03-24,88.22,88.45,87.5,87.89,87.889999,577623,577600,-0.33,-0.37406,87.97,"March 24, 22",-0.0037406
2022-03-23,88.07,88.71,87.68,87.81,87.809998,943825,943800,-0.26,-0.29522,87.98,"March 23, 22",-0.0029522
2022-03-22,87.305,88.88,87.305,88.53,88.529999,531156,531200,1.225,1.4,88.51,"March 22, 22",0.014
2022-03-21,87.27,89.44,87.27,88.17,88.169998,734762,734800,0.9,1.03,88.18,"March 21, 22",0.0103
2022-03-18,86.56,87.365,85.66,87.26,87.26,1782513,1782500,0.7,0.80869,86.96,"March 18, 22",0.0080869
2022-03-17,85.76,87.23,85.48,86.75,86.75,740254,740300,0.99,1.15,86.62,"March 17, 22",0.0115
2022-03-16,86.31,87.41,85.08,86.27,86.269997,941494,941500,-0.04,-0.04634457,85.95,"March 16, 22",-0.0004634457
2022-03-15,85.43,86.97,84.65,86.31,86.309998,924915,924900,0.88,1.03,85.91,"March 15, 22",0.0103
2022-03-14,84.63,85.75,84.3,84.8,84.8,1007972,1008000,0.17,0.20087,84.96,"March 14, 22",0.0020087
2022-03-11,85.8,86.6,84.1,84.17,84.169998,1358372,1358300,-1.63,-1.9,85.15,"March 11, 22",-0.019
2022-03-10,84.52,85.82,84.21,85.42,85.419998,1021579,1021600,0.9,1.06,85.1,"March 10, 22",0.0106
2022-03-09,86.01,86.2,84.86,85.58,85.58,955698,955700,-0.43,-0.49994,85.69,"March 09, 22",-0.0049994
2022-03-08,86.59,86.875,84.01,84.22,84.22,1329716,1329500,-2.37,-2.74,84.93,"March 08, 22",-0.0274
2022-03-07,86.72,88.615,86.045,86.86,86.86,1724025,1724000,0.14,0.16144,87.33,"March 07, 22",0.0016144
2022-03-04,86.4,87.08,85.59,86.98,86.98,969159,969200,0.58,0.6713,86.35,"March 04, 22",0.006713
2022-03-03,85.92,87.43,85.66,87.24,87.239998,972247,972200,1.32,1.54,86.8,"March 03, 22",0.0154
2022-03-02,86.72,87.56,85.67,85.75,85.75,1098005,1098000,-0.97,-1.12,86.28,"March 02, 22",-0.0112
2022-03-01,85.68,86.67,85.25,86.31,86.309998,884211,884200,0.63,0.73529,86.05,"March 01, 22",0.0073529
2022-02-28,85.67,86.76,85.23,86.38,86.379997,1231485,1231500,0.71,0.82876,86.03,"February 28, 22",0.0082876
2022-02-25,84.32,87.55,84.13,87.32,87.32,1177297,1177300,3,3.56,86.81,"February 25, 22",0.0356
2022-02-24,82.44,84.193,81.93,83.98,83.98,1313530,1313500,1.54,1.87,83.18,"February 24, 22",0.0187
2022-02-23,83.93,85.23,83.41,83.79,83.79,1063628,1063600,-0.14,-0.16681,84.1,"February 23, 22",-0.0016681
2022-02-22,83.67,84.595,82.65,83.41,83.41,1211997,1212000,-0.26,-0.31074,83.51,"February 22, 22",-0.0031074
2022-02-18,83.92,84.71,82.21,83.47,83.47,1004123,1004100,-0.45,-0.53622,83.26,"February 18, 22",-0.0053622
2022-02-17,83.86,84.32,82.184,84,84,996843,996800,0.14,0.16694,83.64,"February 17, 22",0.0016694
2022-02-16,82.04,84.5,81.58,84.23,84.23,2027891,2027900,2.19,2.67,83.57,"February 16, 22",0.0267
2022-02-15,78.87,82.02,78.52,81.84,81.839996,2165294,2165300,2.97,3.77,81.19,"February 15, 22",0.0377
2022-02-14,76.38,76.66,74.98,75.79,75.79,1234380,1234400,-0.59,-0.77245,75.79,"February 14, 22",-0.0077245
2022-02-11,76.46,76.91,75.62,76.13,76.129997,1033665,1033700,-0.33,-0.4316,76.34,"February 11, 22",-0.004316
2022-02-10,75.96,77.64,75.8,76.29,76.29,989584,989600,0.33,0.43444,76.45,"February 10, 22",0.0043444
2022-02-09,78.43,78.43,76.43,76.57,76.57,1325050,1325100,-1.86,-2.37,77.06,"February 09, 22",-0.0237
2022-02-08,76.58,78.015,75.91,77.86,77.86,667029,666900,1.28,1.67,77.53,"February 08, 22",0.0167
2022-02-07,76.07,76.7,73.14,76.28,76.279999,888425,888400,0.21,0.27606,76.27,"February 07, 22",0.0027606
2022-02-04,75.78,76.86,74.715,76.13,76.129997,532986,533000,0.35,0.46186,75.96,"February 04, 22",0.0046186
2022-02-03,76.36,76.85,75.795,76.16,76.16,563950,564000,-0.2,-0.26192,76.17,"February 03, 22",-0.0026192
2022-02-02,75.88,76.8,75.43,76.38,76.379997,712058,712100,0.5,0.65894,76.09,"February 02, 22",0.0065894
2022-02-01,75.55,76.04,74.92,75.95,75.949997,905875,905900,0.4,0.52945,75.6,"February 01, 22",0.0052945
2022-01-31,74.42,76.14,73.73,75.3,75.3,1288510,1288500,0.88,1.18,75.07,"January 31, 22",0.0118
2022-01-28,74.25,75.74,73.08,75.7,75.699997,1078163,1078200,1.45,1.95,74.65,"January 28, 22",0.0195
2022-01-27,74.73,77.02,74.055,74.77,74.769997,2659608,2659600,0.04,0.05352603,75.76,"January 27, 22",0.0005352603
2022-01-26,72.315,75.77,72.315,74.45,74.449997,2529735,2529700,2.135,2.95,74.4,"January 26, 22",0.0295
2022-01-25,73.41,73.8172,71.21,72.72,72.72,841622,841600,-0.69,-0.93993,72.54,"January 25, 22",-0.0093993
2022-01-24,72.9,74.66,71.94,74.38,74.379997,1125315,1125300,1.48,2.03,73.31,"January 24, 22",0.0203
2022-01-21,73.91,75.47,73.29,73.54,73.54,799385,799400,-0.37,-0.50061,73.93,"January 21, 22",-0.0050061
2022-01-20,74.67,75.92,74.05,74.13,74.129997,892515,892500,-0.54,-0.72318,74.97,"January 20, 22",-0.0072318
2022-01-19,76.27,76.72,74.52,74.55,74.55,815931,815900,-1.72,-2.26,75.26,"January 19, 22",-0.0226
2022-01-18,77.03,77.23,75.96,76.27,76.269997,651486,651500,-0.76,-0.98663,76.36,"January 18, 22",-0.0098663
2022-01-14,77.44,78.1,76.36,77.78,77.779999,805217,805200,0.34,0.43905,77.27,"January 14, 22",0.0043905
2022-01-13,77.64,78.74,77.13,77.86,77.86,517859,517900,0.22,0.28336,78.05,"January 13, 22",0.0028336
2022-01-12,80.46,80.67,77.35,77.79,77.79,1221645,1221600,-2.67,-3.32,78.33,"January 12, 22",-0.0332
2022-01-11,79.1,80.67,78.55,80.54,80.54,859231,859200,1.44,1.82,79.89,"January 11, 22",0.0182
2022-01-10,78.74,79.17,77.71,79.15,79.15,977350,977400,0.41,0.5207,78.54,"January 10, 22",0.005207
2022-01-07,79.02,79.56,78.29,78.95,78.949997,950116,950100,-0.07,-0.08858517,79.06,"January 07, 22",-0.0008858517
2022-01-06,79.28,79.28,77.46,77.86,77.86,984300,984300,-1.42,-1.79,78.15,"January 06, 22",-0.0179
2022-01-05,79.65,80.63,78.96,78.99,78.989998,1189458,1189500,-0.66,-0.82863,79.55,"January 05, 22",-0.0082863
2022-01-04,77.5,79.58,77.42,79.28,79.279999,804701,804700,1.78,2.3,79.07,"January 04, 22",0.023
2022-01-03,77.39,77.91,76.79,77.43,77.43,490339,490300,0.04,0.05168626,77.3,"January 03, 22",0.0005168626
