date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,low,close,high,unadjustedVolume,open,changePercent,vwap,volume,changeOverTime,adjClose,change
2026-01-05,"January 05, 26",0.5,0.5,2026-01-05,2026-02-02,2025-12-09,,,,,,,,,,,
2026-01-02,"January 02, 26",,,,,,658.4,679.55,679.77,2741768,661.19,2.78,669.7275,2741768,0.0278,679.55,18.36
2025-12-31,"December 31, 25",,,,,,652.75,653.57,666.66,1259928,656.8,-0.49178,657.445,1259928,-0.0049178,653.57,-3.23
2025-12-30,"December 30, 25",,,,,,659.35,659.64,668.44,1207000,665.65,-0.90288,663.27,1207000,-0.0090288,659.64,-6.01
2025-12-29,"December 29, 25",,,,,,651.69,663.46,671,2186100,659.6,0.5852,661.4375,2186100,0.005852,663.46,3.86
2025-12-26,"December 26, 25",,,,,,660.49,663.46,668.2,1155311,667.46,-0.59929,664.9025,1155311,-0.0059929,663.46,-4
2025-12-24,"December 24, 25",,,,,,658.27,667.32,673.5,1110900,660.63,1.01,664.93,1110900,0.0101,667.32,6.69
2025-12-23,"December 23, 25",,,,,,654,661.45,664.82,1997600,664.82,-0.5069,661.2725,1997600,-0.005069,661.45,-3.37
2025-12-22,"December 22, 25",,,,,,656.8,661.81,671.4,2694300,671.11,-1.39,665.28,2694300,-0.0139,661.81,-9.3
2025-12-19,"December 19, 25",,,,,,641.6,658.28,660.59,4489100,646.78,1.78,651.8125,4489100,0.0178,658.28,11.5
2025-12-18,"December 18, 25",,,,,,636.54,639.43,658.69,4426500,649.3,-1.52,645.99,4426500,-0.0152,639.43,-9.87
2025-12-17,"December 17, 25",,,,,,613.09,614.19,694,6770100,687,-10.6,652.07,6770100,-0.106,614.19,-72.81
2025-12-16,"December 16, 25",,,,,,671.01,686.22,699.88,3572244,687,-0.11354,686.0275,3572244,-0.0011354,686.22,-0.78
2025-12-15,"December 15, 25",,,,,,675,681.35,695.05,3529608,688.48,-1.04,684.97,3529608,-0.0104,681.35,-7.13
2025-12-12,"December 12, 25",,,,,,656.37,671.71,698.94,5225703,697.85,-3.75,681.2175,5225703,-0.0375,671.71,-26.14
2025-12-11,"December 11, 25",,,,,,681.2,704.2,711.15,4830900,711.15,-0.97729,701.925,4830900,-0.0097729,704.2,-6.95
2025-12-10,"December 10, 25",,,,,,679,723,731,11396415,692.15,4.46,706.2875,11396415,0.0446,723,30.85
2025-12-09,"December 09, 25",,,,,,613.2,625.3,636.88,3017500,617,1.35,623.095,3017500,0.0135,625.3,8.3
