date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,dividend,paymentDate,recordDate,declarationDate
2025-09-05,138.63,138.98,132.98,135.53,135.33,3413023,3413023,-3.1,-2.24,136.53,"September 05, 25",-0.0224,,,,,
2025-09-04,135.57,138.02,135,137.35,137.14,2167714,2167714,1.78,1.31,136.485,"September 04, 25",0.0131,,,,,
2025-09-03,138.08,139.22,133.34,134.83,134.63,3821645,3821645,-3.25,-2.35,136.3675,"September 03, 25",-0.0235,,,,,
2025-09-02,136.82,138.87,135.06,138.74,138.53,2418693,2418693,1.92,1.4,137.3725,"September 02, 25",0.014,,,,,
2025-08-29,140.26,140.89,139.22,139.49,139.28,2421700,2421700,-0.77,-0.54898,139.965,"August 29, 25",-0.0054898,,,,,
2025-08-28,140.57,141.13,139.45,140.09,139.88,3663119,3663119,-0.485,-0.34147,140.31,"August 28, 25",-0.0034147,,,,,
2025-08-27,139.47,141.46,139,140.47,140.26,2304412,2304412,1,0.717,140.1,"August 27, 25",0.00717,,,,,
2025-08-26,138.21,140.16,137.51,140.08,139.87,3315534,3315534,1.87,1.35,138.99,"August 26, 25",0.0135,,,,,
2025-08-25,141.28,142.13,138.61,138.71,138.5,2376986,2376986,-2.57,-1.82,140.1825,"August 25, 25",-0.0182,,,,,
2025-08-22,138.55,145.01,137.71,141.77,141.56,4084932,4084932,3.22,2.32,140.76,"August 22, 25",0.0232,,,,,
2025-08-21,137.64,138.15,136.64,137.84,137.63,2590000,2590000,0.2,0.14531,137.5675,"August 21, 25",0.0014531,,,,,
2025-08-20,138.55,138.97,136.01,138.09,137.88,3185800,3185800,-0.46,-0.33201,137.905,"August 20, 25",-0.0033201,,,,,
2025-08-19,141,141.35,138.39,138.95,138.74,2864444,2864444,-2.05,-1.45,139.9225,"August 19, 25",-0.0145,,,,,
2025-08-18,142,142.27,140.42,141.2,140.99,2913039,2913039,-0.8,-0.56338,141.4725,"August 18, 25",-0.0056338,,,,,
2025-08-15,146.88,146.88,142.2,142.28,142.07,2943647,2943647,-4.6,-3.13,144.56,"August 15, 25",-0.0313,,,,,
2025-08-14,145.96,146.86,144.97,146.06,145.84,2668539,2668539,0.1,0.06851192,145.9625,"August 14, 25",0.0006851192,,,,,
2025-08-13,148.96,149.3,144.31,147.46,147.24,3785260,3785260,-1.5,-1.01,147.5075,"August 13, 25",-0.0101,,,,,
2025-08-12,142.88,148.1,142.14,147.24,147.02,3026889,3026889,4.36,3.05,145.09,"August 12, 25",0.0305,,,,,
2025-08-11,142.8,143.54,141.38,141.57,141.36,1818646,1818646,-1.23,-0.86134,142.3225,"August 11, 25",-0.0086134,0.185,0.185,2025-08-26,2025-08-11,2025-07-31
2025-08-08,142.76,143.88,141.61,142.67,142.27,2163505,2163505,-0.09,-0.06304287,142.73,"August 08, 25",-0.0006304287,,,,,
2025-08-07,146.65,147.21,140.46,142.19,141.79,2920453,2920453,-4.46,-3.04,144.1275,"August 07, 25",-0.0304,,,,,
2025-08-06,143.26,145.3,142.47,144.56,144.16,2873600,2873600,1.3,0.90744,143.8975,"August 06, 25",0.0090744,,,,,
2025-08-05,145.36,146.58,141.46,142.66,142.26,4327400,4327400,-2.7,-1.86,144.015,"August 05, 25",-0.0186,,,,,
2025-08-04,143.21,145.5,142.14,145.13,144.72,4014814,4014814,1.92,1.34,143.995,"August 04, 25",0.0134,,,,,
2025-08-01,143.05,143.05,138.73,142.55,142.15,5750594,5750594,-0.5,-0.34953,141.845,"August 01, 25",-0.0034953,,,,,
2025-07-31,151.41,151.6,144.77,146.58,146.17,5111798,5111798,-4.83,-3.19,148.59,"July 31, 25",-0.0319,,,,,
2025-07-30,152.65,153.5,148.68,150.43,150.01,3205800,3205800,-2.22,-1.45,151.315,"July 30, 25",-0.0145,,,,,
2025-07-29,153.22,153.87,149.36,151,150.58,3049305,3049305,-2.22,-1.45,151.8625,"July 29, 25",-0.0145,,,,,
2025-07-28,152.37,152.97,151.64,152.15,151.72,2446362,2446362,-0.22,-0.14439,152.2825,"July 28, 25",-0.0014439,,,,,
2025-07-25,150.56,152.93,149.67,152.16,151.73,2894339,2894339,1.6,1.06,151.33,"July 25, 25",0.0106,,,,,
2025-07-24,153.2,153.2,149.64,150.19,149.77,4137645,4137645,-3.01,-1.96,151.5575,"July 24, 25",-0.0196,,,,,
2025-07-23,146.21,148.44,144.91,148.26,147.84,2490700,2490700,2.05,1.4,146.955,"July 23, 25",0.014,,,,,
2025-07-22,144.33,145.22,142.25,144.97,144.56,2042400,2042400,0.64,0.44343,144.1925,"July 22, 25",0.0044343,,,,,
2025-07-21,146.62,146.66,144.14,144.28,143.88,3401242,3401242,-2.34,-1.6,145.425,"July 21, 25",-0.016,,,,,
2025-07-18,147.72,148.29,145.39,145.98,145.57,3123430,3123430,-1.74,-1.18,146.845,"July 18, 25",-0.0118,,,,,
2025-07-17,142.93,148.02,142.63,147.6,147.19,5075900,5075900,4.67,3.27,145.295,"July 17, 25",0.0327,,,,,
2025-07-16,138.64,143.23,137.69,143.05,142.65,4864600,4864600,4.41,3.18,140.6525,"July 16, 25",0.0318,,,,,
2025-07-15,139.43,140.27,136.74,137.21,136.83,2678600,2678600,-2.22,-1.59,138.4125,"July 15, 25",-0.0159,,,,,
2025-07-14,139.48,140.82,139.1,139.43,139.04,3295955,3295955,-0.05,-0.03584743,139.7075,"July 14, 25",-0.0003584743,,,,,
2025-07-11,141.29,142.22,140.46,141.05,140.66,3204876,3204876,-0.24,-0.16986,141.255,"July 11, 25",-0.0016986,,,,,
2025-07-10,139.53,143.78,139.12,143.05,142.65,3764649,3764649,3.52,2.52,141.37,"July 10, 25",0.0252,,,,,
2025-07-09,138.97,140.25,138.31,139.22,138.83,2995566,2995566,0.25,0.17989,139.1875,"July 09, 25",0.0017989,,,,,
2025-07-08,136.7,139.19,135.91,137.94,137.55,4456900,4456900,1.24,0.9071,137.435,"July 08, 25",0.009071,,,,,
2025-07-07,138.19,139.69,134.95,135.54,135.16,4556900,4556900,-2.65,-1.92,137.0925,"July 07, 25",-0.0192,,,,,
2025-07-03,136.76,139.25,136,138.6,138.21,2650600,2650600,1.84,1.35,137.6525,"July 03, 25",0.0135,,,,,
2025-07-02,132.08,134.96,131.18,134.53,134.15,2199200,2199200,2.45,1.85,133.1875,"July 02, 25",0.0185,,,,,
2025-07-01,132.56,133.41,130.86,132.45,132.08,2796896,2796896,-0.11,-0.08298129,132.32,"July 01, 25",-0.0008298129,,,,,
2025-06-30,135.9,136.14,132.2,133.03,132.66,4036000,4036000,-2.87,-2.11,134.3175,"June 30, 25",-0.0211,,,,,
2025-06-27,132.38,135.42,131.94,134.29,133.91,5399500,5399500,1.91,1.44,133.5075,"June 27, 25",0.0144,,,,,
2025-06-26,129.36,132.34,129.25,131.94,131.57,3916100,3916100,2.58,1.99,130.7225,"June 26, 25",0.0199,,,,,
2025-06-25,128.67,129.23,127.04,128.84,128.48,3872724,3872724,0.17,0.13212,128.445,"June 25, 25",0.0013212,,,,,
2025-06-24,124,128.13,123.3,127.77,127.41,3624682,3624682,3.77,3.04,125.8,"June 24, 25",0.0304,,,,,
2025-06-23,121.8,122.86,117.85,122.14,121.8,2697027,2697027,0.34,0.27915,121.1625,"June 23, 25",0.0027915,,,,,
2025-06-20,123.81,125.16,122.48,122.6,122.26,4081309,4081309,-1.21,-0.9773,123.5125,"June 20, 25",-0.009773,,,,,
2025-06-18,120.82,123.86,120.39,122.42,122.08,2412540,2412540,1.6,1.32,121.8725,"June 18, 25",0.0132,,,,,
2025-06-17,122.05,122.83,119.84,121.06,120.72,3065635,3065635,-0.99,-0.81114,121.445,"June 17, 25",-0.0081114,,,,,
2025-06-16,122.41,125.26,121.64,123.4,123.05,2508581,2508581,0.99,0.80876,123.1775,"June 16, 25",0.0080876,,,,,
2025-06-13,123,123.77,121.12,121.33,120.99,4210500,4210500,-1.67,-1.36,122.305,"June 13, 25",-0.0136,,,,,
2025-06-12,124.43,125.92,124.43,125.24,124.89,2991000,2991000,0.81,0.65097,125.005,"June 12, 25",0.0065097,,,,,
2025-06-11,125.22,127.37,125,126,125.65,4846447,4846447,0.78,0.6229,125.8975,"June 11, 25",0.006229,,,,,
2025-06-10,123.22,124.87,122.44,124.02,123.67,2942038,2942038,0.8,0.64925,123.6375,"June 10, 25",0.0064925,,,,,
2025-06-09,124.95,124.95,122.6,123.25,122.9,2460083,2460083,-1.7,-1.36,123.9375,"June 09, 25",-0.0136,,,,,
2025-06-06,122.98,124.78,122,123.4,123.05,2324948,2324948,0.42,0.34152,123.29,"June 06, 25",0.0034152,,,,,
2025-06-05,120.6,121.43,119.19,120.64,120.3,2600928,2600928,0.04,0.0331675,120.465,"June 05, 25",0.000331675,,,,,
2025-06-04,121.28,122.26,120.49,120.51,120.17,2732451,2732451,-0.77,-0.63489,121.135,"June 04, 25",-0.0063489,,,,,
2025-06-03,120.5,121.23,119.45,120.48,120.14,5728098,5728098,-0.02,-0.01659751,120.415,"June 03, 25",-0.0001659751,,,,,
2025-06-02,120.66,122,118.86,121.87,121.53,3591200,3591200,1.21,1,120.8475,"June 02, 25",0.01,,,,,
2025-05-30,121.48,121.98,119.11,121.46,121.12,6807859,6807859,-0.02,-0.01646362,121.0075,"May 30, 25",-0.0001646362,,,,,
2025-05-29,122.5,122.72,120.98,122.33,121.99,3505151,3505151,-0.17,-0.13878,122.1325,"May 29, 25",-0.0013878,,,,,
2025-05-28,121.63,122,120.21,121.04,120.7,2937045,2937045,-0.59,-0.48508,121.22,"May 28, 25",-0.0048508,,,,,
2025-05-27,119.02,121,117.43,120.92,120.58,4241335,4241335,1.9,1.6,119.5925,"May 27, 25",0.016,,,,,
2025-05-23,115.06,118.19,115,117.18,116.85,3021154,3021154,2.12,1.84,116.3575,"May 23, 25",0.0184,,,,,
2025-05-22,117.56,118.96,116.5,118.2,117.87,3564320,3564320,0.64,0.5444,117.805,"May 22, 25",0.005444,,,,,
2025-05-21,122.47,122.89,117.65,117.76,117.43,4098036,4098036,-4.71,-3.85,120.1925,"May 21, 25",-0.0385,,,,,
2025-05-20,123.66,125.4,123.25,124.14,123.79,3087700,3087700,0.48,0.38816,124.1125,"May 20, 25",0.0038816,,,,,
2025-05-19,122.65,125.95,122.18,125.49,125.14,2537045,2537045,2.84,2.32,124.0675,"May 19, 25",0.0232,,,,,
2025-05-16,125.89,126.66,124.61,125.9,125.55,2481505,2481505,0.01,0.00794344,125.765,"May 16, 25",7.94344e-05,,,,,
2025-05-15,126.93,128.03,124.55,125.64,125.29,4336600,4336600,-1.29,-1.02,126.2875,"May 15, 25",-0.0102,,,,,
2025-05-14,128.69,129.82,127.51,129.03,128.67,5514440,5514440,0.34,0.2642,128.7625,"May 14, 25",0.002642,,,,,
2025-05-13,125.27,128.68,124.45,126.9,126.54,4779035,4779035,1.63,1.3,126.325,"May 13, 25",0.013,,,,,
2025-05-12,126.72,128.72,124.1,125.22,124.87,6749607,6749607,-1.5,-1.18,126.19,"May 12, 25",-0.0118,0.185,0.185,2025-05-27,2025-05-12,2025-05-01
2025-05-09,119.46,120.72,117.54,118.08,117.56,4073637,4073637,-1.38,-1.16,118.95,"May 09, 25",-0.0116,,,,,
2025-05-08,118.42,121.12,116.87,118.73,118.21,7985075,7985075,0.31,0.26178,118.785,"May 08, 25",0.0026178,,,,,
2025-05-07,114.63,116.91,113.52,116.21,115.7,5239461,5239461,1.58,1.38,115.3175,"May 07, 25",0.0138,,,,,
2025-05-06,113,115.1,112.02,113.65,113.15,3547709,3547709,0.65,0.57522,113.4425,"May 06, 25",0.0057522,,,,,
2025-05-05,115.51,117.61,114.7,114.79,114.28,3639186,3639186,-0.72,-0.62332,115.6525,"May 05, 25",-0.0062332,,,,,
2025-05-02,116.5,118.41,115.94,116.93,116.42,3798200,3798200,0.43,0.3691,116.945,"May 02, 25",0.003691,,,,,
2025-05-01,115.56,118.1,113.46,114.49,113.99,5459829,5459829,-1.07,-0.92593,115.4025,"May 01, 25",-0.0092593,,,,,
2025-04-30,110.26,114.8,109.05,114.27,113.77,4662122,4662122,4.01,3.64,112.095,"April 30, 25",0.0364,,,,,
2025-04-29,113.69,115.16,112.7,114.35,113.85,3815692,3815692,0.66,0.58053,113.975,"April 29, 25",0.0058053,,,,,
2025-04-28,114,116.5,112.11,113.93,113.43,4164378,4164378,-0.07,-0.06140351,114.135,"April 28, 25",-0.0006140351,,,,,
2025-04-25,112.51,114.51,112.13,113.63,113.13,3555061,3555061,1.12,0.99547,113.195,"April 25, 25",0.0099547,,,,,
2025-04-24,107.26,113.96,106.07,113.25,112.75,5974635,5974635,5.99,5.58,110.135,"April 24, 25",0.0558,,,,,
2025-04-23,108.97,111.66,106.16,106.81,106.34,7390446,7390446,-2.16,-1.98,108.4,"April 23, 25",-0.0198,,,,,
2025-04-22,99.5,103.48,99.5,102.28,101.83,5864000,5864000,2.78,2.79,101.19,"April 22, 25",0.0279,,,,,
2025-04-21,101,102.03,96.68,97.95,97.52,4405627,4405627,-3.05,-3.02,99.415,"April 21, 25",-0.0302,,,,,
2025-04-17,103.39,104.94,102.42,103.37,102.92,3725800,3725800,-0.02,-0.01934423,103.53,"April 17, 25",-0.0001934423,,,,,
2025-04-16,102.35,104.37,100.56,102.05,101.6,5310930,5310930,-0.3,-0.29311,102.3325,"April 16, 25",-0.0029311,,,,,
2025-04-15,104.53,105.96,103.64,104.23,103.77,4531730,4531730,-0.3,-0.287,104.59,"April 15, 25",-0.00287,,,,,
2025-04-14,104.5,105.08,101.53,103.13,102.68,7461200,7461200,-1.37,-1.31,103.56,"April 14, 25",-0.0131,,,,,
2025-04-11,100.04,101.71,96.45,101.44,100.99,8299573,8299573,1.4,1.4,99.91,"April 11, 25",0.014,,,,,
2025-04-10,106.37,106.82,97.94,101.87,101.42,11494510,11494510,-4.5,-4.23,103.25,"April 10, 25",-0.0423,,,,,
2025-04-09,92.81,112.78,91.5,110.46,109.97,13237521,13237521,17.65,19.02,101.8875,"April 09, 25",0.1902,,,,,
2025-04-08,103.97,105.01,92.5,94.51,94.09,11700100,11700100,-9.46,-9.1,98.9975,"April 08, 25",-0.091,,,,,
2025-04-07,89.78,101.56,86.15,97.54,97.11,15123608,15123608,7.76,8.64,93.7575,"April 07, 25",0.0864,,,,,
2025-04-04,96.75,97.1,88.76,92.79,92.38,19028012,19028012,-3.96,-4.09,93.85,"April 04, 25",-0.0409,,,,,
2025-04-03,111.12,111.75,101.84,102.55,102.1,13841800,13841800,-8.57,-7.71,106.815,"April 03, 25",-0.0771,,,,,
2025-04-02,114.97,121.65,114.97,120.9,120.37,4058616,4058616,5.93,5.16,118.1225,"April 02, 25",0.0516,,,,,
2025-04-01,116.06,118.2,114.62,117.84,117.32,4495638,4495638,1.78,1.53,116.68,"April 01, 25",0.0153,,,,,
2025-03-31,113.06,116.56,111.33,115.61,115.1,6067939,6067939,2.55,2.26,114.14,"March 31, 25",0.0226,,,,,
2025-03-28,117.06,118.42,113.94,114.86,114.35,6223800,6223800,-2.2,-1.88,116.07,"March 28, 25",-0.0188,,,,,
2025-03-27,118.08,118.78,115.48,117.54,117.02,4323617,4323617,-0.54,-0.45732,117.47,"March 27, 25",-0.0045732,,,,,
2025-03-26,122.21,123.34,118.37,119.44,118.91,3166197,3166197,-2.77,-2.27,120.84,"March 26, 25",-0.0227,,,,,
2025-03-25,122.26,123.48,120.23,122.18,121.64,3955500,3955500,-0.08,-0.06543432,122.0375,"March 25, 25",-0.0006543432,,,,,
2025-03-24,119.7,122.51,118.93,121.97,121.43,5276500,5276500,2.27,1.9,120.7775,"March 24, 25",0.019,,,,,
2025-03-21,115,117.15,113.82,116.5,115.99,6084237,6084237,1.5,1.3,115.6175,"March 21, 25",0.013,,,,,
2025-03-20,115.12,117.88,115.03,116.71,116.2,3462177,3462177,1.59,1.38,116.185,"March 20, 25",0.0138,,,,,
2025-03-19,114.03,118.28,113.37,116.54,116.03,5526204,5526204,2.51,2.2,115.555,"March 19, 25",0.022,,,,,
2025-03-18,115.42,116.19,112.78,114.02,113.52,3305290,3305290,-1.4,-1.21,114.6025,"March 18, 25",-0.0121,,,,,
2025-03-17,111.23,117.06,111.23,115.68,115.17,5191812,5191812,4.45,4,113.8,"March 17, 25",0.04,,,,,
2025-03-14,112.17,113.85,110.14,113.31,112.81,6824666,6824666,1.14,1.02,112.3675,"March 14, 25",0.0102,,,,,
