date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,dividend,paymentDate,recordDate,declarationDate
2026-01-02,128.88,129.41,127.4,128.9,128.9,2545449,2545449,0.02,0.01551831,128.6475,"January 02, 26",0.0001551831,,,,,
2025-12-31,128.51,128.75,127.36,127.48,127.48,2021584,2021584,-1.03,-0.80149,128.025,"December 31, 25",-0.0080149,,,,,
2025-12-30,129.4,130.38,128.53,128.64,128.64,1753500,1753500,-0.76,-0.58733,129.2375,"December 30, 25",-0.0058733,,,,,
2025-12-29,130.8,130.82,128.96,129.42,129.42,2306538,2306538,-1.38,-1.06,130,"December 29, 25",-0.0106,,,,,
2025-12-26,130.7,130.7,129.9,130.41,130.41,2193904,2193904,-0.29,-0.22188,130.4275,"December 26, 25",-0.0022188,,,,,
2025-12-24,131.49,131.49,130.64,130.78,130.78,1199047,1199047,-0.71,-0.53997,131.1,"December 24, 25",-0.0053997,,,,,
2025-12-23,131.1,131.58,130.64,131,131,2981517,2981517,-0.1,-0.07627765,131.08,"December 23, 25",-0.0007627765,,,,,
2025-12-22,130.7,132.43,130.3,131.42,131.42,4238007,4238007,0.72,0.55088,131.2125,"December 22, 25",0.0055088,,,,,
2025-12-19,131.84,132.65,130.38,130.61,130.61,6635100,6635100,-1.23,-0.93295,131.37,"December 19, 25",-0.0093295,,,,,
2025-12-18,134.45,135.79,131.86,131.97,131.97,4291400,4291400,-2.48,-1.84,133.5175,"December 18, 25",-0.0184,,,,,
2025-12-17,133.52,135.72,132.04,132.15,132.15,3527110,3527110,-1.37,-1.03,133.3575,"December 17, 25",-0.0103,,,,,
2025-12-16,135.04,135.83,132.34,133.38,133.38,4249519,4249519,-1.66,-1.23,134.1475,"December 16, 25",-0.0123,,,,,
2025-12-15,137.78,137.78,133.4,134.81,134.81,5474934,5474934,-2.97,-2.16,135.9425,"December 15, 25",-0.0216,,,,,
2025-12-12,143.39,143.39,135.73,136.6,136.6,5443525,5443525,-6.79,-4.74,139.7775,"December 12, 25",-0.0474,,,,,
2025-12-11,141.54,144.84,141.23,142.77,142.77,6855400,6855400,1.23,0.86901,142.595,"December 11, 25",0.0086901,,,,,
2025-12-10,136.5,142.3,135.89,141.54,141.54,7348900,7348900,5.04,3.69,139.0575,"December 10, 25",0.0369,,,,,
2025-12-09,130.1,137.54,129.67,135.78,135.78,5774992,5774992,5.68,4.37,133.2725,"December 09, 25",0.0437,,,,,
2025-12-08,129.54,130.47,128.69,130.24,130.24,4116441,4116441,0.695,0.54037,129.735,"December 08, 25",0.0054037,,,,,
2025-12-05,128.14,131,127.51,129.42,129.42,2839933,2839933,1.28,0.99891,129.0175,"December 05, 25",0.0099891,,,,,
2025-12-04,126.84,128.5,125.95,128.43,128.43,2872826,2872826,1.59,1.25,127.43,"December 04, 25",0.0125,,,,,
2025-12-03,123,126.92,122.12,126.48,126.48,3084181,3084181,3.48,2.83,124.63,"December 03, 25",0.0283,,,,,
2025-12-02,122.32,123.85,121.84,122.68,122.68,2440700,2440700,0.36,0.29431,122.6725,"December 02, 25",0.0029431,,,,,
2025-12-01,120.49,123.21,119.09,122.19,122.19,2595428,2595428,1.7,1.41,121.245,"December 01, 25",0.0141,,,,,
2025-11-28,121.28,122.85,120.63,122.31,122.31,1187800,1187800,1.03,0.84927,121.7675,"November 28, 25",0.0084927,,,,,
2025-11-26,121.11,122.61,120.3,120.83,120.83,3429500,3429500,-0.28,-0.23119,121.2125,"November 26, 25",-0.0023119,,,,,
2025-11-25,118.73,120.92,116.16,120.81,120.81,4734746,4734746,2.08,1.75,119.155,"November 25, 25",0.0175,,,,,
2025-11-24,118.7,119,116.74,117.85,117.85,4898300,4898300,-0.85,-0.71609,118.0725,"November 24, 25",-0.0071609,,,,,
2025-11-21,115.07,118.89,113.83,118.67,118.67,5949900,5949900,3.6,3.13,116.615,"November 21, 25",0.0313,,,,,
2025-11-20,119.86,121.64,114.3,114.41,114.41,5748000,5748000,-5.45,-4.55,117.5525,"November 20, 25",-0.0455,,,,,
2025-11-19,114.6,117.52,113.11,117.5,117.5,3708900,3708900,2.9,2.53,115.6825,"November 19, 25",0.0253,,,,,
2025-11-18,113.01,116.12,112,114.18,114.18,5746944,5746944,1.17,1.04,113.8275,"November 18, 25",0.0104,,,,,
2025-11-17,119.51,120.05,113.53,114.02,114.02,5278244,5278244,-5.49,-4.59,116.7775,"November 17, 25",-0.0459,0.185,0.185,2025-12-02,2025-11-17,2025-11-07
2025-11-14,118.77,120.82,118.52,119.92,119.73,4359700,4359700,1.15,0.96826,119.5075,"November 14, 25",0.0096826,,,,,
2025-11-13,122.43,123.6,118.82,120.75,120.56,9600131,9600131,-1.68,-1.37,121.4,"November 13, 25",-0.0137,,,,,
2025-11-12,121.69,124.7,121.59,123.07,122.88,3612705,3612705,1.38,1.13,122.7625,"November 12, 25",0.0113,,,,,
2025-11-11,120.05,122.06,118.64,121.36,121.17,3123931,3123931,1.31,1.09,120.5275,"November 11, 25",0.0109,,,,,
2025-11-10,123.52,123.95,119.23,120.11,119.92,5681330,5681330,-3.41,-2.76,121.7025,"November 10, 25",-0.0276,,,,,
2025-11-07,112.29,122.13,112.09,121.32,121.13,9118303,9118303,9.03,8.04,116.9575,"November 07, 25",0.0804,,,,,
2025-11-06,118.96,120.45,117.58,119.31,119.13,6348430,6348430,0.35,0.29422,119.075,"November 06, 25",0.0029422,,,,,
2025-11-05,118.39,120.55,116.54,118.89,118.71,3791861,3791861,0.5,0.42233,118.5925,"November 05, 25",0.0042233,,,,,
2025-11-04,116.61,120.3,116.44,118.29,118.11,4296700,4296700,1.68,1.44,117.91,"November 04, 25",0.0144,,,,,
2025-11-03,118.57,118.75,116.52,117.63,117.45,4340699,4340699,-0.94,-0.79278,117.8675,"November 03, 25",-0.0079278,,,,,
2025-10-31,116.95,118.9,115.05,118.33,118.15,4866374,4866374,1.38,1.18,117.3075,"October 31, 25",0.0118,,,,,
2025-10-30,118.66,120.26,117.75,118.11,117.93,3865326,3865326,-0.55,-0.46351,118.695,"October 30, 25",-0.0046351,,,,,
2025-10-29,119.73,120.78,117.93,118.55,118.37,5211407,5211407,-1.18,-0.98555,119.2475,"October 29, 25",-0.0098555,,,,,
2025-10-28,122.29,122.58,120.3,120.61,120.42,2882241,2882241,-1.68,-1.37,121.445,"October 28, 25",-0.0137,,,,,
2025-10-27,122.96,124.17,121.77,122.26,122.07,3059028,3059028,-0.7,-0.56929,122.79,"October 27, 25",-0.0056929,,,,,
2025-10-24,122.34,124.23,121.17,121.24,121.05,3753547,3753547,-1.1,-0.89913,122.245,"October 24, 25",-0.0089913,,,,,
2025-10-23,123.62,123.96,119.74,120.96,120.77,4691800,4691800,-2.66,-2.15,122.07,"October 23, 25",-0.0215,,,,,
2025-10-22,123.47,125.05,121.93,123.3,123.11,3441258,3441258,-0.17,-0.13769,123.4375,"October 22, 25",-0.0013769,,,,,
2025-10-21,120.5,124.48,120.06,123.68,123.49,4901069,4901069,3.18,2.64,122.18,"October 21, 25",0.0264,,,,,
2025-10-20,118.96,120.63,118,120.11,119.92,3779044,3779044,1.15,0.96671,119.425,"October 20, 25",0.0096671,,,,,
2025-10-17,117.76,118.58,116.29,117.6,117.42,4635100,4635100,-0.16,-0.13587,117.5575,"October 17, 25",-0.0013587,,,,,
2025-10-16,124.19,124.83,115.73,117.52,117.34,7072038,7072038,-6.67,-5.37,120.5675,"October 16, 25",-0.0537,,,,,
2025-10-15,128.62,128.95,124.13,124.46,124.27,4536322,4536322,-4.16,-3.23,126.54,"October 15, 25",-0.0323,,,,,
2025-10-14,119.21,127.15,118.67,125.98,125.79,6083007,6083007,6.77,5.68,122.7525,"October 14, 25",0.0568,,,,,
2025-10-13,119.47,121.61,118.02,120.44,120.26,4699932,4699932,0.97,0.81192,119.885,"October 13, 25",0.0081192,,,,,
2025-10-10,124.39,124.65,117.65,117.82,117.64,6810608,6810608,-6.57,-5.28,121.1275,"October 10, 25",-0.0528,,,,,
2025-10-09,124.6,125.66,122.8,124.06,123.87,3657100,3657100,-0.54,-0.43339,124.28,"October 09, 25",-0.0043339,,,,,
2025-10-08,124.75,125.49,123.52,124.73,124.54,4544335,4544335,-0.02,-0.01603206,124.6225,"October 08, 25",-0.0001603206,,,,,
2025-10-07,126.98,128.45,123.76,124.72,124.53,3513906,3513906,-2.26,-1.78,125.9775,"October 07, 25",-0.0178,,,,,
2025-10-06,128,128.7,125.47,126.87,126.68,3522046,3522046,-1.13,-0.88281,127.26,"October 06, 25",-0.0088281,,,,,
2025-10-03,126.92,128.79,126.45,127.65,127.46,4099523,4099523,0.73,0.57517,127.4525,"October 03, 25",0.0057517,,,,,
2025-10-02,127.36,128.04,124.01,124.63,124.44,6360722,6360722,-2.73,-2.14,126.01,"October 02, 25",-0.0214,,,,,
2025-10-01,128.26,130.32,127.24,127.47,127.28,5778955,5778955,-0.79,-0.61594,128.3225,"October 01, 25",-0.0061594,,,,,
2025-09-30,134.67,135.53,126.57,129.95,129.76,7784618,7784618,-4.72,-3.5,131.68,"September 30, 25",-0.035,,,,,
2025-09-29,136.07,136.07,133.76,134.48,134.28,4255739,4255739,-1.59,-1.17,135.095,"September 29, 25",-0.0117,,,,,
2025-09-26,136.57,137.22,133.82,134.01,133.81,4592716,4592716,-2.56,-1.87,135.405,"September 26, 25",-0.0187,,,,,
2025-09-25,135.4,138.51,134.68,135.66,135.46,5106900,5106900,0.26,0.19202,136.0625,"September 25, 25",0.0019202,,,,,
2025-09-24,146.3,148.73,137.89,137.94,137.73,6485003,6485003,-8.36,-5.71,142.715,"September 24, 25",-0.0571,,,,,
2025-09-23,147.07,152.1,146.66,147.25,147.03,3599600,3599600,0.18,0.12239,148.27,"September 23, 25",0.0012239,,,,,
2025-09-22,146.73,147.5,145.6,146.95,146.73,3652250,3652250,0.22,0.14994,146.695,"September 22, 25",0.0014994,,,,,
2025-09-19,150.82,150.82,147.01,148.92,148.7,8793943,8793943,-1.9,-1.26,149.3925,"September 19, 25",-0.0126,,,,,
2025-09-18,146.17,151.11,145.74,149.34,149.12,3129356,3129356,3.18,2.17,148.09,"September 18, 25",0.0217,,,,,
2025-09-17,144.43,147.22,143.13,144.4,144.18,2932200,2932200,-0.03,-0.02077131,144.795,"September 17, 25",-0.0002077131,,,,,
2025-09-16,144.8,145.8,143.04,144.38,144.16,1828310,1828310,-0.42,-0.29006,144.505,"September 16, 25",-0.0029006,,,,,
2025-09-15,143.8,145.99,143.5,144.65,144.43,2327073,2327073,0.85,0.5911,144.485,"September 15, 25",0.005911,,,,,
2025-09-12,144.66,145.03,142.47,143.34,143.12,3554862,3554862,-1.32,-0.91248,143.875,"September 12, 25",-0.0091248,,,,,
2025-09-11,139.29,146.14,139.17,145.01,144.79,4048115,4048115,5.72,4.11,142.4025,"September 11, 25",0.0411,,,,,
2025-09-10,137.22,141.19,136.91,139.29,139.08,2499883,2499883,2.07,1.51,138.6525,"September 10, 25",0.0151,,,,,
2025-09-09,138.61,138.96,136.87,137.39,137.18,2625481,2625481,-1.22,-0.88017,137.9575,"September 09, 25",-0.0088017,,,,,
2025-09-08,136.21,138.82,135.73,138.69,138.48,3458900,3458900,2.48,1.82,137.3625,"September 08, 25",0.0182,,,,,
