date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,open,adjClose,unadjustedVolume,close,vwap,change,low,changeOverTime,volume,high,changePercent
2026-02-27,"February 27, 26",1.02,1.02,2026-02-27,2026-03-12,2025-12-04,,,,,,,,,,,
2026-01-02,"January 02, 26",,,,,,202.25,199.58,3826201,199.58,200.8875,-2.67,199.03,-0.0132,3826201,202.69,-1.32
2025-12-31,"December 31, 25",,,,,,202.5,203.04,3239542,203.04,202.945,0.54,202,0.0026667,3239542,204.24,0.26667
2025-12-30,"December 30, 25",,,,,,202.07,203.8,3037800,203.8,202.94,1.73,201.68,0.0085614,3037800,204.21,0.85614
2025-12-29,"December 29, 25",,,,,,201.7,203.15,4402314,203.15,202.615,1.45,201.43,0.0071889,4402314,204.18,0.71889
2025-12-26,"December 26, 25",,,,,,199.15,201,1979500,201,199.9875,1.85,198.74,0.0092895,1979500,201.06,0.92895
2025-12-24,"December 24, 25",,,,,,197.65,199.02,1312010,199.02,198.2225,1.37,197.08,0.0069314,1312010,199.14,0.69314
2025-12-23,"December 23, 25",,,,,,195.85,197.67,4404066,197.67,196.81,1.82,195.76,0.0092928,4404066,197.96,0.92928
2025-12-22,"December 22, 25",,,,,,195.81,195.76,4712415,195.76,195.87,-0.05,194.71,-0.0002553496,4712415,197.2,-0.02553496
2025-12-19,"December 19, 25",,,,,,200.85,196.73,17206100,196.73,198.7375,-4.12,196.11,-0.0205,17206100,201.26,-2.05
2025-12-18,"December 18, 25",,,,,,199.19,200.27,6862942,200.27,200.255,1.08,199.19,0.005422,6862942,202.37,0.5422
2025-12-17,"December 17, 25",,,,,,198.01,199.38,6266229,199.38,199.175,1.37,197.97,0.0069188,6266229,201.34,0.69188
2025-12-16,"December 16, 25",,,,,,196.94,198,5685801,198,197.645,1.06,195.96,0.0053823,5685801,199.68,0.53823
2025-12-15,"December 15, 25",,,,,,195.99,196.16,5157600,196.16,196.1025,0.175,194.3,0.0008673912,5157600,197.96,0.08673912
2025-12-12,"December 12, 25",,,,,,194.24,195.16,4635300,195.16,195.3225,0.925,194.01,0.0047364,4635300,197.88,0.47364
2025-12-11,"December 11, 25",,,,,,196.65,195.33,4627723,195.33,196.095,-1.32,194.65,-0.0067124,4627723,197.75,-0.67124
2025-12-10,"December 10, 25",,,,,,202.45,195.32,8175844,195.32,198.845,-7.13,194.89,-0.0352,8175844,202.72,-3.52
2025-12-09,"December 09, 25",,,,,,205.54,201.35,6484107,201.35,203.0525,-4.19,199.17,-0.0204,6484107,206.15,-2.04
2025-12-08,"December 08, 25",,,,,,209.53,204.44,4613231,204.44,206.835,-5.09,203.67,-0.0243,4613231,209.7,-2.43
2025-12-05,"December 05, 25",,,,,,208.06,209.63,3461500,209.63,209.2475,1.57,207.67,0.0075459,3461500,211.63,0.75459
2025-12-04,"December 04, 25",,,,,,209.36,208.01,3694312,208.01,208.52,-1.35,206.71,-0.0064482,3694312,210,-0.64482
2025-12-03,"December 03, 25",,,,,,209.63,208.51,3999644,208.51,209.3075,-1.12,207.28,-0.0053427,3999644,211.81,-0.53427
2025-12-02,"December 02, 25",,,,,,207.6,210.13,4077114,210.13,208.54,2.53,205.81,0.0122,4077114,210.62,1.22
2025-12-01,"December 01, 25",,,,,,208.97,206.63,3025947,206.63,207.57,-2.34,205.57,-0.0112,3025947,209.11,-1.12
2025-11-28,"November 28, 25",,,,,,206.73,209.01,1633942,209.01,208.115,2.28,206.23,0.011,1633942,210.49,1.1
2025-11-26,"November 26, 25",1.02,1.02,2025-11-26,2025-12-11,2025-09-18,205.77,206.73,4003236,206.73,206.3075,0.96,205.33,0.0046654,4003236,207.4,0.46654
2025-11-25,"November 25, 25",,,,,,207.71,205.88,6278400,206.9,207.7275,-0.81,206.5,-0.0038997,6278400,209.8,-0.38997
2025-11-24,"November 24, 25",,,,,,208.88,206.32,8026400,207.34,207.7475,-1.54,205.52,-0.0073727,8026400,209.25,-0.73727
2025-11-21,"November 21, 25",,,,,,208.04,208.45,6287010,209.48,208.89,1.44,206.68,0.0069217,6287010,211.36,0.69217
2025-11-20,"November 20, 25",,,,,,211.32,209.47,5259300,210.51,211.01,-0.81,209.89,-0.003833,5259300,212.32,-0.3833
2025-11-19,"November 19, 25",,,,,,212.67,210.23,3684041,211.27,211.84,-1.4,210.16,-0.006583,3684041,213.26,-0.6583
2025-11-18,"November 18, 25",,,,,,216.98,212.03,5857300,213.08,214.7725,-3.9,212.05,-0.018,5857300,216.98,-1.8
2025-11-17,"November 17, 25",,,,,,215.91,214.78,7379900,215.84,216.2725,-0.07,215.01,-0.0003242092,7379900,218.33,-0.03242092
2025-11-14,"November 14, 25",,,,,,217.46,215.01,4880936,216.08,216.55,-1.38,214.48,-0.006346,4880936,218.18,-0.6346
2025-11-13,"November 13, 25",,,,,,212,213.51,5551511,214.57,213.7425,2.57,211.61,0.0121,5551511,216.79,1.21
2025-11-12,"November 12, 25",,,,,,211.71,211.63,3554700,212.68,212.4425,0.97,210.68,0.0045817,3554700,214.7,0.45817
2025-11-11,"November 11, 25",,,,,,208.1,210.93,5043479,211.98,209.9475,3.88,207.5,0.0186,5043479,212.21,1.86
2025-11-10,"November 10, 25",,,,,,206.19,204.86,4079707,205.87,205.93,-0.32,204.47,-0.001552,4079707,207.19,-0.1552
2025-11-07,"November 07, 25",,,,,,202.67,205.98,6464121,207,204.9575,4.33,201.58,0.0214,6464121,208.58,2.14
2025-11-06,"November 06, 25",,,,,,202.21,200.02,5909700,201.01,201.5275,-1.2,199.41,-0.0059344,5909700,203.48,-0.59344
2025-11-05,"November 05, 25",,,,,,205.61,203.73,3463932,204.74,205.43,-0.87,204.11,-0.0042313,3463932,207.26,-0.42313
2025-11-04,"November 04, 25",,,,,,204.23,205.27,4937400,206.29,205.215,2.06,203.49,0.0101,4937400,206.85,1.01
