holder,shares,dateReported,change
VANGUARD GROUP INC,29217821,2025-09-30,-102898
STATE STREET CORP,19275943,2025-09-30,2461025
"BlackRock, Inc.",17336059,2025-09-30,-189488
Starboard Value LP,11070379,2025-09-30,-4241537
AMERIPRISE FINANCIAL INC,10552520,2025-09-30,-1931295
Invesco Ltd.,8926865,2025-09-30,-614171
UBS Group AG,8179070,2025-09-30,1048239
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",7298488,2025-09-30,10946
"FULLER & THALER ASSET MANAGEMENT, INC.",6638160,2025-09-30,700453
"GEODE CAPITAL MANAGEMENT, LLC",6423133,2025-09-30,-46844
AQR CAPITAL MANAGEMENT LLC,6137898,2025-09-30,5652174
EDMOND DE ROTHSCHILD HOLDING S.A.,4846427,2025-09-30,-1006520
LSV ASSET MANAGEMENT,4770780,2025-09-30,1307949
"T. Rowe Price Investment Management, Inc.",4595364,2025-09-30,-2941749
MORGAN STANLEY,3816585,2025-09-30,-1332181
FIRST MANHATTAN CO. LLC.,3488857,2025-09-30,53729
JUPITER ASSET MANAGEMENT LTD,3455833,2025-09-30,-32371
Neuberger Berman Group LLC,3231214,2025-09-30,-2055988
DIMENSIONAL FUND ADVISORS LP,3125373,2025-09-30,105406
"JACOBS LEVY EQUITY MANAGEMENT, INC",2743595,2025-09-30,-174106
"Holocene Advisors, LP",2741573,2025-09-30,2635085
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,2607264,2025-09-30,-67639
DnB Asset Management AS,2581589,2025-09-30,1060038
BANK OF AMERICA CORP /DE/,2490804,2025-09-30,-417865
NORTHERN TRUST CORP,2435114,2025-09-30,246786
JPMORGAN CHASE & CO,2229054,2025-09-30,150181
"Empower Advisory Group, LLC",2064381,2025-09-30,40739
"Bridgewater Associates, LP",2038086,2025-09-30,251150
Retirement Systems of Alabama,2021534,2025-09-30,-1292
Bank of New York Mellon Corp,1885976,2025-09-30,83730
"Pacer Advisors, Inc.",1871074,2025-09-30,-57363
"SEIZERT CAPITAL PARTNERS, LLC",1773666,2025-09-30,8350
THOMPSON SIEGEL & WALMSLEY LLC,1592965,2025-09-30,-756923
GOLDMAN SACHS GROUP INC,1586443,2025-09-30,337185
SCHRODER INVESTMENT MANAGEMENT GROUP,1506649,2025-09-30,-74676
BARCLAYS PLC,1469706,2025-09-30,126331
"Callodine Capital Management, LP",1399833,2025-09-30,44833
Anson Funds Management LP,1372879,2025-09-30,0
RENAISSANCE TECHNOLOGIES LLC,1264253,2025-09-30,553453
"Russell Investments Group, Ltd.",1217999,2025-09-30,448568
Boston Partners,1174715,2025-09-30,-102400
