holder,shares,dateReported,change
VANGUARD GROUP INC,6606011,2025-09-30,-40911
"BlackRock, Inc.",4704747,2025-09-30,-348331
STATE STREET CORP,2261944,2025-09-30,78539
Bank of New York Mellon Corp,2218670,2025-09-30,-270191
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,1655746,2025-09-30,226856
"GEODE CAPITAL MANAGEMENT, LLC",1365102,2025-09-30,11278
Invesco Ltd.,1329561,2025-09-30,-202474
PRICE T ROWE ASSOCIATES INC /MD/,1154165,2025-09-30,-426298
DEUTSCHE BANK AG\,1133208,2025-09-30,44631
WELLINGTON MANAGEMENT GROUP LLP,1045931,2025-09-30,163626
Impax Asset Management Group plc,937136,2025-09-30,-69647
JPMORGAN CHASE & CO,887375,2025-09-30,-158459
FIL Ltd,837904,2025-09-30,-545317
MORGAN STANLEY,796092,2025-09-30,56763
Boston Partners,736469,2025-09-30,172990
VICTORY CAPITAL MANAGEMENT INC,722681,2025-09-30,-21784
"Nuveen, LLC",637889,2025-09-30,-1442
NORTHERN TRUST CORP,530272,2025-09-30,5806
"ADAGE CAPITAL PARTNERS GP, L.L.C.",522872,2025-09-30,-442856
Mirova US LLC,485165,2025-09-30,143876
DIMENSIONAL FUND ADVISORS LP,476560,2025-09-30,40962
Amundi,419042,2025-09-30,61640
FIRST TRUST ADVISORS LP,416911,2025-09-30,6142
GOLDMAN SACHS GROUP INC,401894,2025-09-30,68705
BANK OF AMERICA CORP /DE/,396370,2025-09-30,-70129
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,377199,2025-09-30,377199
Boston Trust Walden Corp,350616,2025-09-30,-18044
AMERIPRISE FINANCIAL INC,346146,2025-09-30,-5593
FRANKLIN RESOURCES INC,345136,2025-09-30,147206
Troy Asset Management Ltd,343293,2025-09-30,18767
UBS ASSET MANAGEMENT AMERICAS INC,324964,2025-09-30,-86236
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,323038,2025-09-30,957
"PNC FINANCIAL SERVICES GROUP, INC.",319864,2025-09-30,42295
