date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,vwap,unadjustedVolume,high,changeOverTime,close,open,change,low,changePercent,adjClose,volume
2026-02-10,"February 10, 26",0.8275,0.8275,2026-02-10,2026-03-03,2025-12-05,,,,,,,,,,,
2026-01-05,"January 05, 26",,,,,,127.69,636883,130.095,-0.0222257,126.7,129.58,-2.88,126.265,-2.22257,126.7,636883
2026-01-02,"January 02, 26",,,,,,130.26,864766,131.36,0.000691085,130.32,130.23,0.09,129.13,0.0691085,130.32,864766
2025-12-31,"December 31, 25",,,,,,130.79,658900,131.38,-0.0032081,130.5,130.92,-0.42,130.36,-0.32081,130.5,658900
2025-12-30,"December 30, 25",,,,,,131.1525,789427,131.84,0.001451,131.13,130.94,0.19,130.7,0.1451,131.13,789427
2025-12-29,"December 29, 25",,,,,,130.7275,732534,131.52,0.0005348411,130.95,130.88,0.07,129.56,0.05348411,130.95,732534
2025-12-26,"December 26, 25",,,,,,130.9075,563436,131.52,-0.0059392,130.55,131.33,-0.78,130.23,-0.59392,130.55,563436
2025-12-24,"December 24, 25",,,,,,130.99,368647,131.4,0.0047451,131.28,130.66,0.62,130.62,0.47451,131.28,368647
2025-12-23,"December 23, 25",,,,,,131.1225,869117,131.73,-0.0060813,130.75,131.55,-0.8,130.46,-0.60813,130.75,869117
2025-12-22,"December 22, 25",,,,,,130.6875,1038539,132.19,0.0144,131.67,129.8,1.87,129.09,1.44,131.67,1038539
2025-12-19,"December 19, 25",,,,,,131.4575,2985200,132.68,-0.0183,130.25,132.68,-2.43,130.22,-1.83,130.25,2985200
2025-12-18,"December 18, 25",,,,,,133.2425,1766100,134.64,0.0019584,133.02,132.76,0.26,132.55,0.19584,133.02,1766100
2025-12-17,"December 17, 25",,,,,,133,1796500,134.21,0.0137,134.01,132.2,1.81,131.58,1.37,134.01,1796500
2025-12-16,"December 16, 25",,,,,,133.72,2641742,135.53,-0.0146,132.72,134.68,-1.96,131.95,-1.46,132.72,2641742
2025-12-15,"December 15, 25",,,,,,133.025,2187848,134.41,0.0157,134.13,132.06,2.07,131.5,1.57,134.13,2187848
2025-12-12,"December 12, 25",,,,,,131.175,1946529,132.2,0.0078143,131.55,130.53,1.02,130.42,0.78143,131.55,1946529
2025-12-11,"December 11, 25",,,,,,130.2325,2064901,132.2,0.0034712,130.09,129.64,0.45,129,0.34712,130.09,2064901
2025-12-10,"December 10, 25",,,,,,128.3875,2798741,129.17,0.0044479,128.72,128.15,0.57,127.51,0.44479,128.72,2798741
2025-12-09,"December 09, 25",,,,,,128.7675,2182540,130.11,-0.0060498,128.15,128.93,-0.78,127.88,-0.60498,128.15,2182540
2025-12-08,"December 08, 25",,,,,,128.8075,2257300,130,-0.0051886,128.46,129.13,-0.67,127.64,-0.51886,128.46,2257300
2025-12-05,"December 05, 25",,,,,,129.0575,1942764,130.28,0.0087241,129.5,128.38,1.12,128.07,0.87241,129.5,1942764
2025-12-04,"December 04, 25",,,,,,129.8325,2613107,131.54,-0.0147,128.93,130.86,-1.93,128,-1.47,128.93,2613107
2025-12-03,"December 03, 25",,,,,,131.0675,2182900,132.45,-0.0019052,130.97,131.22,-0.25,129.63,-0.19052,130.97,2182900
2025-12-02,"December 02, 25",,,,,,131.3325,2735214,133.37,-0.0074395,130.75,131.73,-0.98,129.48,-0.74395,130.75,2735214
2025-12-01,"December 01, 25",,,,,,130.4525,3293500,131.98,0.0093228,131,129.79,1.21,129.04,0.93228,131,3293500
2025-11-28,"November 28, 25",,,,,,129.605,845028,130.67,0.0068896,130.07,129.18,0.89,128.5,0.68896,130.07,845028
2025-11-26,"November 26, 25",,,,,,130.5925,1515800,131.69,-0.0087786,129.85,131,-1.15,129.83,-0.87786,129.85,1515800
2025-11-25,"November 25, 25",,,,,,131.5725,1493626,133,-0.017,130.39,132.65,-2.26,130.25,-1.7,130.39,1493626
2025-11-24,"November 24, 25",,,,,,132.0275,5459711,132.85,-0.0092662,131.51,132.74,-1.23,131.01,-0.92662,131.51,5459711
2025-11-21,"November 21, 25",,,,,,130.93,3643425,133.98,0.0285,132.74,129.06,3.68,127.94,2.85,132.74,3643425
2025-11-20,"November 20, 25",,,,,,127.4175,2059385,128.32,0.006441,128.13,127.31,0.82,125.91,0.6441,128.13,2059385
2025-11-19,"November 19, 25",,,,,,128.45,1955500,130.24,-0.0199,127.12,129.7,-2.58,126.74,-1.99,127.12,1955500
2025-11-18,"November 18, 25",,,,,,131.4075,1784100,133.31,-0.0225,129.91,132.9,-2.99,129.51,-2.25,129.91,1784100
2025-11-17,"November 17, 25",,,,,,132.4275,2082200,133.26,0.0027965,132.68,132.31,0.37,131.46,0.27965,132.68,2082200
2025-11-14,"November 14, 25",,,,,,132.2475,2019000,133.98,-0.0077648,131.62,132.65,-1.03,130.74,-0.77648,131.62,2019000
2025-11-13,"November 13, 25",0.8275,0.8275,2025-11-13,2025-12-02,2025-10-28,130.0725,2193913,132.22,0.0222,131.46,128.61,2.85,128,2.22,131.46,2193913
2025-11-12,"November 12, 25",,,,,,129.775,1512100,130.36,-0.001462,129.77,129.96,-0.19,129.01,-0.1462,128.94,1512100
2025-11-11,"November 11, 25",,,,,,129.785,1419719,130.79,0.0047917,130.01,129.39,0.62,128.95,0.47917,129.18,1419719
2025-11-10,"November 10, 25",,,,,,129.1525,1777623,130.35,-0.0059363,128.94,129.71,-0.77,127.61,-0.59363,128.12,1777623
2025-11-07,"November 07, 25",,,,,,130.5825,1446671,131.59,0.0049927,130.84,130.19,0.65,129.71,0.49927,130.01,1446671
2025-11-06,"November 06, 25",,,,,,130.605,1415600,132.44,-0.0127,129.5,131.17,-1.67,129.31,-1.27,128.67,1415600
2025-11-05,"November 05, 25",,,,,,130.7425,2952519,132.58,0.0073066,130.97,130.02,0.95,129.4,0.73066,130.13,2952519
2025-11-04,"November 04, 25",,,,,,127.9825,2796626,129.66,0.0053375,128.08,127.4,0.68,126.79,0.53375,127.26,2796626
2025-11-03,"November 03, 25",,,,,,127.04,1907400,128.42,-0.018,125.97,128.28,-2.31,125.49,-1.8,125.17,1907400
2025-10-31,"October 31, 25",,,,,,126.7125,2811703,128.75,0.0211,128.43,125.77,2.66,123.9,2.11,127.61,2811703
2025-10-30,"October 30, 25",,,,,,128.5825,2298800,131.05,-0.0264,126.7,130.13,-3.43,126.45,-2.64,125.89,2298800
2025-10-29,"October 29, 25",,,,,,132.085,2211027,134.46,-0.0284,130.06,133.86,-3.8,129.96,-2.84,129.23,2211027
2025-10-28,"October 28, 25",,,,,,136.6525,2031462,139.59,-0.0224,134.81,137.9,-3.09,134.31,-2.24,133.95,2031462
2025-10-27,"October 27, 25",,,,,,138.23,3438853,140.5,-0.0074804,137.99,139.03,-1.04,135.4,-0.74804,137.11,3438853
2025-10-24,"October 24, 25",,,,,,142.52,966500,143.49,-0.0132,141.59,143.49,-1.9,141.51,-1.32,140.69,966500
2025-10-23,"October 23, 25",,,,,,143.3375,746416,144.88,-0.0115,142.58,144.24,-1.66,141.65,-1.15,141.67,746416
2025-10-22,"October 22, 25",,,,,,143.8325,828400,145.42,0.0027908,143.73,143.33,0.4,142.85,0.27908,142.81,828400
2025-10-21,"October 21, 25",,,,,,144.5125,1096221,145.64,-0.008869,144.16,145.45,-1.29,142.8,-0.8869,143.24,1096221
2025-10-20,"October 20, 25",,,,,,144.5125,1107200,145.61,0.01,145.43,143.99,1.44,143.02,1,144.5,1107200
2025-10-17,"October 17, 25",,,,,,143.745,1306596,144.82,0.0019508,143.81,143.53,0.28,142.82,0.19508,142.89,1306596
2025-10-16,"October 16, 25",,,,,,142.99,845578,144.29,0.0068902,143.21,142.23,0.98,142.23,0.68902,142.29,845578
2025-10-15,"October 15, 25",,,,,,142.0375,1007555,143.11,0.0073503,142.53,141.49,1.04,141.02,0.73503,141.62,1007555
2025-10-14,"October 14, 25",,,,,,141.1375,1629400,143.53,0.0114,141.56,139.96,1.6,139.5,1.14,140.65,1629400
2025-10-13,"October 13, 25",,,,,,140.4575,1321906,141.99,-0.0097163,139.63,141,-1.37,139.21,-0.97163,138.74,1321906
2025-10-10,"October 10, 25",,,,,,142.2275,1513085,144.04,0.0086772,142.98,141.75,1.23,140.14,0.86772,142.06,1513085
2025-10-09,"October 09, 25",,,,,,141.1125,988764,141.75,-0.0028279,141.05,141.45,-0.4,140.2,-0.28279,140.15,988764
2025-10-08,"October 08, 25",,,,,,142.0625,952600,143.51,-0.0173,141.03,143.51,-2.48,140.2,-1.73,140.13,952600
2025-10-07,"October 07, 25",,,,,,140.995,1815748,142.97,0.0225,142.51,139.38,3.13,139.12,2.25,141.6,1815748
2025-10-06,"October 06, 25",,,,,,138.0875,1555522,138.99,0.0086388,138.94,137.75,1.19,136.67,0.86388,138.05,1555522
2025-10-03,"October 03, 25",,,,,,136.7775,967204,138.22,0.0161,137.75,135.57,2.18,135.57,1.61,136.87,967204
