date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,vwap,unadjustedVolume,high,changeOverTime,close,open,change,low,changePercent,adjClose,volume
2025-10-02,"October 02, 25",,,,,,135.805,1114622,137.12,0.0007380618,135.59,135.49,0.1,135.02,0.07380618,134.72,1114622
2025-10-01,"October 01, 25",,,,,,137.78,1250291,139.62,-0.0239,136.07,139.4,-3.33,136.03,-2.39,135.2,1250291
2025-09-30,"September 30, 25",,,,,,138.2875,1428800,139.42,0.013,139.19,137.41,1.78,137.13,1.3,138.3,1428800
2025-09-29,"September 29, 25",,,,,,136.38,1200400,137.28,0.006463,137.04,136.16,0.88,135.04,0.6463,136.16,1200400
2025-09-26,"September 26, 25",,,,,,135.8425,911100,136.52,0.0079834,136.36,135.28,1.08,135.21,0.79834,135.49,911100
2025-09-25,"September 25, 25",,,,,,136.48,1433363,138.13,-0.0186,135.1,137.66,-2.56,135.03,-1.86,134.24,1433363
2025-09-24,"September 24, 25",,,,,,136.3025,1700555,137.1,-7.3303e-05,136.41,136.42,-0.01,135.28,-0.0073303,135.54,1700555
2025-09-23,"September 23, 25",,,,,,135.82,1251510,137.35,0.017,137.18,134.89,2.29,133.86,1.7,136.3,1251510
2025-09-22,"September 22, 25",,,,,,135.2875,1021500,136.24,-0.0001480714,135.05,135.07,-0.02,134.79,-0.01480714,134.19,1021500
2025-09-19,"September 19, 25",,,,,,135.0275,2660206,135.66,0.0003703429,135.06,135.01,0.05,134.38,0.03703429,134.2,2660206
2025-09-18,"September 18, 25",,,,,,134.6525,1197400,135.79,0.0093939,135.39,134.13,1.26,133.3,0.93939,134.52,1197400
2025-09-17,"September 17, 25",,,,,,136.6875,1024100,137.94,-0.0054809,136.09,136.84,-0.75,135.88,-0.54809,135.22,1024100
2025-09-16,"September 16, 25",,,,,,137.0325,1056000,138.3,-0.0083697,136.25,137.4,-1.15,136.18,-0.83697,135.38,1056000
2025-09-15,"September 15, 25",,,,,,138.4425,1084100,139.65,-0.0123,137.58,139.3,-1.72,137.24,-1.23,136.7,1084100
2025-09-12,"September 12, 25",,,,,,138.97,994600,139.89,0.0056318,139.28,138.5,0.78,138.21,0.56318,138.39,994600
2025-09-11,"September 11, 25",,,,,,138.9525,926642,139.76,0.0063423,139.63,138.75,0.88,137.67,0.63423,138.74,926642
2025-09-10,"September 10, 25",,,,,,139.18,990000,140.48,-0.0122,138.5,140.21,-1.71,137.53,-1.22,137.61,990000
2025-09-09,"September 09, 25",,,,,,139.7375,725591,140.6,0.0040135,140.09,139.53,0.56,138.73,0.40135,139.19,725591
2025-09-08,"September 08, 25",,,,,,141.23,1331826,143.23,-0.0184,140.02,142.65,-2.63,139.02,-1.84,139.12,1331826
2025-09-05,"September 05, 25",,,,,,142.6925,782200,143.6,0.0113,143.6,141.99,1.61,141.58,1.13,142.68,782200
2025-09-04,"September 04, 25",,,,,,141.685,1128405,142.45,-0.0028877,141.57,141.98,-0.41,140.74,-0.28877,140.66,1128405
2025-09-03,"September 03, 25",,,,,,140.68,1054831,141.37,-0.0009940358,140.7,140.84,-0.14,139.81,-0.09940358,139.8,1054831
2025-09-02,"September 02, 25",,,,,,142.2825,1018831,143.74,-0.011,141.41,142.99,-1.58,140.99,-1.1,140.5,1018831
2025-08-29,"August 29, 25",,,,,,143.5175,941303,144.54,0.0030053,143.51,143.08,0.43,142.94,0.30053,142.59,941303
2025-08-28,"August 28, 25",,,,,,143.5875,947800,144.36,-0.0088072,142.93,144.2,-1.27,142.86,-0.88072,142.02,947800
2025-08-27,"August 27, 25",,,,,,144.1775,1208828,144.96,0.0063265,144.75,143.84,0.91,143.16,0.63265,143.82,1208828
2025-08-26,"August 26, 25",,,,,,144,1764600,144.63,-0.0029092,143.95,144.37,-0.42,143.05,-0.29092,143.03,1764600
2025-08-25,"August 25, 25",,,,,,145.075,854961,146.29,-0.0078329,144.4,145.54,-1.14,144.07,-0.78329,143.48,854961
2025-08-22,"August 22, 25",,,,,,146.4025,963951,147.84,-0.0017071,146.2,146.45,-0.25,145.12,-0.17071,145.26,963951
2025-08-21,"August 21, 25",,,,,,145.6625,849100,146.22,0.0038538,145.87,145.31,0.56,145.25,0.38538,144.94,849100
2025-08-20,"August 20, 25",,,,,,146.23,1107425,147.87,-0.0030807,145.62,146.07,-0.45,145.36,-0.30807,144.69,1107425
2025-08-19,"August 19, 25",,,,,,144.0825,1562664,145.28,0.016,145.21,142.92,2.29,142.92,1.6,144.28,1562664
2025-08-18,"August 18, 25",,,,,,143.6025,900100,144.8,-0.0115,142.66,144.32,-1.66,142.63,-1.15,141.75,900100
2025-08-15,"August 15, 25",,,,,,143.6825,923800,144.98,0.006856,143.92,142.94,0.985,142.89,0.6856,143,923800
2025-08-14,"August 14, 25",,,,,,143.5575,1085300,144.24,-0.0027121,143.41,143.8,-0.39,142.78,-0.27121,142.49,1085300
2025-08-13,"August 13, 25",,,,,,142.8375,1174200,143.77,0.0116,143.73,142.08,1.65,141.77,1.16,142.81,1174200
2025-08-12,"August 12, 25",0.8275,0.8275,2025-08-12,2025-09-03,2025-07-30,143.0075,1657668,145,-0.015,142.09,144.26,-2.17,140.68,-1.5,141.18,1657668
2025-08-11,"August 11, 25",,,,,,145.565,1093731,146.2,-0.0017831,145.55,145.81,-0.26,144.7,-0.17831,143.8,1093731
2025-08-08,"August 08, 25",,,,,,145.1,1986719,145.64,0.0036595,145.36,144.83,0.53,144.57,0.36595,143.61,1986719
2025-08-07,"August 07, 25",,,,,,142.855,1771118,144.7,0.0232,144.42,141.15,3.27,141.15,2.32,142.68,1771118
2025-08-06,"August 06, 25",,,,,,142.1925,2087807,143.39,-0.0006338028,141.91,142,-0.09,141.47,-0.06338028,140.2,2087807
2025-08-05,"August 05, 25",,,,,,141.7675,6160001,142.72,-0.0044326,141.5,142.13,-0.63,140.72,-0.44326,139.8,6160001
2025-08-04,"August 04, 25",,,,,,146.475,1304000,147.65,0.008784,147,145.72,1.28,145.53,0.8784,145.23,1304000
2025-08-01,"August 01, 25",,,,,,143.83,2693178,146.41,0.0227,145.72,142.48,3.24,140.71,2.27,143.97,2693178
2025-07-31,"July 31, 25",,,,,,139.33,2078211,141.08,0.0126,140.24,138.5,1.74,137.5,1.26,138.55,2078211
2025-07-30,"July 30, 25",,,,,,139.945,1109033,141.17,-0.0008585533,139.65,139.77,-0.12,139.19,-0.08585533,137.97,1109033
2025-07-29,"July 29, 25",,,,,,139.62,1138041,141,0.0168,140.95,138.62,2.33,137.91,1.68,139.26,1138041
2025-07-28,"July 28, 25",,,,,,139.1625,1065868,140.54,-0.0060193,138.71,139.55,-0.84,137.85,-0.60193,137.04,1065868
2025-07-25,"July 25, 25",,,,,,140.3125,893935,141.06,0.0009273129,140.32,140.19,0.13,139.68,0.09273129,138.63,893935
2025-07-24,"July 24, 25",,,,,,141.2425,1188021,142.08,-0.0099352,140.51,141.92,-1.41,140.46,-0.99352,138.82,1188021
2025-07-23,"July 23, 25",,,,,,142.85,1173300,144.75,-0.0172,141.88,144.36,-2.48,140.41,-1.72,140.17,1173300
2025-07-22,"July 22, 25",,,,,,143.9975,1137228,146.29,0.0155,144.91,142.7,2.21,142.09,1.55,143.17,1137228
2025-07-21,"July 21, 25",,,,,,143.2275,753100,144.32,-0.0023746,142.84,143.18,-0.34,142.57,-0.23746,141.12,753100
2025-07-18,"July 18, 25",,,,,,143.0125,1934449,144.67,0.0030884,142.91,142.47,0.44,142,0.30884,141.19,1934449
2025-07-17,"July 17, 25",,,,,,141.545,1195000,142.73,0.0070103,142.21,141.22,0.99,140.02,0.70103,140.5,1195000
2025-07-16,"July 16, 25",,,,,,141.0675,941950,142.07,0.0070347,141.72,140.73,0.99,139.75,0.70347,140.02,941950
2025-07-15,"July 15, 25",,,,,,141.81,958005,143.04,-0.0128,140.83,142.66,-1.83,140.71,-1.28,139.14,958005
2025-07-14,"July 14, 25",,,,,,143.1625,998876,144.35,0.0055415,143.35,142.56,0.79,142.39,0.55415,141.63,998876
2025-07-11,"July 11, 25",,,,,,141.9325,948500,143.02,0.0043055,142.29,141.68,0.61,140.74,0.43055,140.58,948500
2025-07-10,"July 10, 25",,,,,,141.6975,922287,143.66,0.0172,142.68,140.27,2.41,140.18,1.72,140.96,922287
2025-07-09,"July 09, 25",,,,,,141.185,1413300,142.21,0.0069592,141.8,140.82,0.98,139.91,0.69592,140.1,1413300
2025-07-08,"July 08, 25",,,,,,139.455,1381927,141.19,0.0174,141.02,138.61,2.41,137,1.74,139.32,1381927
2025-07-07,"July 07, 25",,,,,,139.8425,888331,140.49,-0.0003571173,139.96,140.01,-0.05,138.91,-0.03571173,138.28,888331
2025-07-03,"July 03, 25",,,,,,140.3575,683800,141.31,-0.00299,140.05,140.47,-0.42,139.6,-0.299,138.37,683800
2025-07-02,"July 02, 25",,,,,,141.23,1205700,142.49,-0.0121,140.31,142.03,-1.72,140.09,-1.21,138.62,1205700
2025-07-01,"July 01, 25",,,,,,141.0425,1397708,143.18,0.0229,142.56,139.37,3.19,139.06,2.29,140.85,1397708
2025-06-30,"June 30, 25",,,,,,138.4425,1298100,139.19,0.0077514,139.11,138.04,1.07,137.43,0.77514,137.44,1298100
2025-06-27,"June 27, 25",,,,,,137.8,1564800,138.82,0.0015249,137.92,137.71,0.21,136.75,0.15249,136.26,1564800
2025-06-26,"June 26, 25",,,,,,139.45,929933,140.92,-0.0153,138.42,140.57,-2.15,137.89,-1.53,136.76,929933
2025-06-25,"June 25, 25",,,,,,140.5625,1077940,141.72,-0.0081445,140.05,141.2,-1.15,139.28,-0.81445,138.37,1077940
2025-06-24,"June 24, 25",,,,,,142.5875,990849,143.46,-0.0049689,142.18,142.89,-0.71,141.82,-0.49689,140.47,990849
2025-06-23,"June 23, 25",,,,,,143.0275,861730,144.09,0.0138,143.99,142.03,1.96,142,1.38,142.26,861730
2025-06-20,"June 20, 25",,,,,,141.1425,2415946,142.25,0.0018441,141.25,140.99,0.26,140.08,0.18441,139.55,2415946
2025-06-18,"June 18, 25",,,,,,140.905,976201,141.66,0.0006382526,141.1,141.01,0.09,139.85,0.06382526,139.4,976201
2025-06-17,"June 17, 25",,,,,,140.225,1196400,141.13,0.0032035,140.92,140.47,0.45,138.38,0.32035,139.23,1196400
2025-06-16,"June 16, 25",,,,,,141.265,1126026,142.85,-0.0112,140.47,142.06,-1.59,139.68,-1.12,138.78,1126026
2025-06-13,"June 13, 25",,,,,,141.9925,741200,143.16,-0.0055544,141.44,142.23,-0.79,141.14,-0.55544,139.74,741200
2025-06-12,"June 12, 25",,,,,,141.2075,709613,141.72,-0.0021183,141.32,141.62,-0.3,140.17,-0.21183,139.62,709613
2025-06-11,"June 11, 25",,,,,,141.0575,826938,142.09,-0.0051649,140.61,141.34,-0.73,140.19,-0.51649,138.92,826938
2025-06-10,"June 10, 25",,,,,,140.6675,924200,142.17,0.0104,141.27,139.82,1.45,139.41,1.04,139.57,924200
2025-06-09,"June 09, 25",,,,,,139.2225,895037,140.29,0.0030131,139.81,139.39,0.42,137.4,0.30131,138.13,895037
2025-06-06,"June 06, 25",,,,,,140.2675,719118,141.44,-0.0008561033,140.05,140.17,-0.12,139.41,-0.08561033,138.37,719118
2025-06-05,"June 05, 25",,,,,,139.54,793600,140.42,0.0059631,140.02,139.19,0.83,138.53,0.59631,138.34,793600
2025-06-04,"June 04, 25",,,,,,140.2925,1436611,141.76,-0.0206,138.84,141.76,-2.92,138.81,-2.06,137.17,1436611
2025-06-03,"June 03, 25",,,,,,141.615,1097100,142.24,-0.0026715,141.86,142.24,-0.38,140.12,-0.26715,140.15,1097100
2025-06-02,"June 02, 25",,,,,,142.0825,791400,143.16,0.0041599,142.42,141.83,0.59,140.92,0.41599,140.71,791400
2025-05-30,"May 30, 25",,,,,,142.425,3771600,143.68,0.0052028,142.97,142.23,0.74,140.82,0.52028,141.25,3771600
2025-05-29,"May 29, 25",,,,,,140.8075,1097052,141.99,0.011,141.54,140,1.54,139.7,1.1,139.84,1097052
2025-05-28,"May 28, 25",,,,,,141.68,920100,142.97,-0.0111,140.87,142.45,-1.58,140.43,-1.11,139.18,920100
2025-05-27,"May 27, 25",,,,,,143.4225,1093099,144.16,-0.0034115,143.14,143.63,-0.49,142.76,-0.34115,141.42,1093099
2025-05-23,"May 23, 25",,,,,,143.08,740331,143.91,0.0014644,143.61,143.4,0.21,141.4,0.14644,141.88,740331
2025-05-22,"May 22, 25",,,,,,142.26,1163400,143.52,-0.008042,141.85,143,-1.15,140.67,-0.8042,140.14,1163400
2025-05-21,"May 21, 25",,,,,,143.6525,1699361,144.65,-0.0017394,143.48,143.73,-0.25,142.75,-0.17394,141.76,1699361
2025-05-20,"May 20, 25",,,,,,143.3725,1119100,144.29,0.0043296,143.82,143.2,0.62,142.18,0.43296,142.09,1119100
2025-05-19,"May 19, 25",,,,,,142.9,956662,143.77,0.0105,143.71,142.22,1.49,141.9,1.05,141.98,956662
2025-05-16,"May 16, 25",,,,,,141.705,1495102,143.32,0.014,142.56,140.59,1.97,140.35,1.4,140.85,1495102
2025-05-15,"May 15, 25",,,,,,137.735,2529224,140.48,0.0375,140.37,135.3,5.07,134.79,3.75,138.68,2529224
2025-05-14,"May 14, 25",,,,,,133.4875,1994445,134.35,-0.0023112,133.82,134.13,-0.31,131.65,-0.23112,132.21,1994445
2025-05-13,"May 13, 25",0.8275,0.8275,2025-05-13,2025-06-03,2025-04-30,135.6725,2330840,138.06,-0.0266,133.84,137.5,-3.66,133.29,-2.66,132.23,2330840
2025-05-12,"May 12, 25",,,,,,141.4975,2412499,145.49,-0.0372,138.64,144,-5.36,137.86,-3.72,136.16,2412499
2025-05-09,"May 09, 25",,,,,,145.975,724600,147.08,0.0105,146.94,145.41,1.53,144.47,1.05,144.31,724600
2025-05-08,"May 08, 25",,,,,,146.6375,1182448,148.33,-0.0155,145.4,147.69,-2.29,145.13,-1.55,142.8,1182448
2025-05-07,"May 07, 25",,,,,,148.87,1041151,150.29,-0.0065745,148.08,149.06,-0.98,148.05,-0.65745,145.43,1041151
2025-05-06,"May 06, 25",,,,,,149.0475,1124228,150.51,0.0058653,149.2,148.33,0.87,148.15,0.58653,146.53,1124228
2025-05-05,"May 05, 25",,,,,,147.6025,841823,148.56,0.0021646,148.15,147.83,0.32,145.87,0.21646,145.5,841823
2025-05-02,"May 02, 25",,,,,,146.905,1115900,147.68,-0.0022382,147.11,147.44,-0.33,145.39,-0.22382,144.48,1115900
2025-05-01,"May 01, 25",,,,,,145.8475,1255500,147.56,0.0098621,146.43,145,1.43,144.4,0.98621,143.81,1255500
2025-04-30,"April 30, 25",,,,,,146.4325,1421336,147.47,0.0001360637,147.01,146.99,0.02,144.26,0.01360637,144.38,1421336
2025-04-29,"April 29, 25",,,,,,145.0475,1205518,146.32,0.0112,145.86,144.25,1.61,143.76,1.12,143.25,1205518
2025-04-28,"April 28, 25",,,,,,143.8775,1409000,145.16,0.0034778,144.27,143.77,0.5,142.31,0.34778,141.69,1409000
2025-04-25,"April 25, 25",,,,,,144.025,1342100,145.32,-0.0064182,143.97,144.9,-0.93,141.91,-0.64182,141.39,1342100
2025-04-24,"April 24, 25",,,,,,146.4825,1209512,147.35,-0.0088904,146.04,147.35,-1.31,145.19,-0.88904,143.43,1209512
2025-04-23,"April 23, 25",,,,,,146.8,1510822,147.79,-0.0033184,147.17,147.66,-0.49,144.58,-0.33184,144.54,1510822
2025-04-22,"April 22, 25",,,,,,148.6125,1071444,149.75,0.0065412,149.26,148.29,0.97,147.15,0.65412,146.59,1071444
2025-04-21,"April 21, 25",,,,,,147.4825,838336,148.97,-0.0058784,147.13,148,-0.87,145.83,-0.58784,144.5,838336
2025-04-17,"April 17, 25",,,,,,147.6375,946100,149.55,0.0125,148.4,146.57,1.83,146.03,1.25,145.75,946100
2025-04-16,"April 16, 25",,,,,,147.3225,1124600,148.52,-0.0122,146.4,148.21,-1.81,146.16,-1.22,143.78,1124600
2025-04-15,"April 15, 25",,,,,,148.23,1471330,149.66,-0.0186,146.88,149.66,-2.78,146.72,-1.86,144.25,1471330
2025-04-14,"April 14, 25",,,,,,147.2275,1091116,149.44,0.0242,148.83,145.32,3.51,145.32,2.42,146.17,1091116
2025-04-11,"April 11, 25",,,,,,144.545,1549082,146.79,0.0199,146.09,143.24,2.85,142.06,1.99,143.48,1549082
2025-04-10,"April 10, 25",,,,,,141.3825,1984517,144.59,0.0276,143.15,139.3,3.85,138.49,2.76,140.59,1984517
2025-04-09,"April 09, 25",,,,,,140.315,2990910,145.32,-0.0037985,139,139.53,-0.53,137.41,-0.37985,136.51,2990910
2025-04-08,"April 08, 25",,,,,,142.2125,2723921,144.39,-0.0244,140.87,144.39,-3.52,139.2,-2.44,138.35,2723921
2025-04-07,"April 07, 25",,,,,,144.2325,3007700,147.54,-0.0186,142.36,145.06,-2.7,141.97,-1.86,139.81,3007700
2025-04-04,"April 04, 25",,,,,,150.9975,3275454,155.5,-0.0501,147.23,155,-7.77,146.26,-5.01,144.6,3275454
2025-04-03,"April 03, 25",,,,,,150.92,2764871,154.06,0.0204,151.96,148.92,3.04,148.74,2.04,149.24,2764871
2025-04-02,"April 02, 25",,,,,,146.5875,982697,147.5,-0.0069289,146.19,147.21,-1.02,145.45,-0.69289,143.57,982697
2025-04-01,"April 01, 25",,,,,,146.85,1186400,147.72,0.0010896,147,146.84,0.16,145.84,0.10896,144.37,1186400
2025-03-31,"March 31, 25",,,,,,147.95,1863700,149.99,0.0006104592,147.52,147.43,0.09,146.86,0.06104592,144.88,1863700
2025-03-28,"March 28, 25",,,,,,145.5775,1596800,147.31,0.0115,146.24,144.58,1.66,144.18,1.15,143.62,1596800
2025-03-27,"March 27, 25",,,,,,142.6075,1346459,144.2,0.0091704,143.06,141.76,1.3,141.41,0.91704,140.5,1346459
2025-03-26,"March 26, 25",,,,,,140.3525,1329839,141.67,0.0129,141.13,139.33,1.8,139.28,1.29,138.61,1329839
2025-03-25,"March 25, 25",,,,,,139.045,1729405,140.48,-0.0031519,139.16,139.6,-0.44,136.94,-0.31519,136.67,1729405
2025-03-24,"March 24, 25",,,,,,140.335,1093100,142.04,-0.0034953,139.7,140.19,-0.49,139.41,-0.34953,137.2,1093100
2025-03-21,"March 21, 25",,,,,,141.6725,2607230,143.75,-0.0049355,141.13,141.83,-0.7,139.98,-0.49355,138.61,2607230
2025-03-20,"March 20, 25",,,,,,141.975,1387300,142.82,-0.0049119,141.81,142.51,-0.7,140.76,-0.49119,139.27,1387300
2025-03-19,"March 19, 25",,,,,,142.87,1548621,144.23,-0.0135,142.05,144,-1.95,141.2,-1.35,139.51,1548621
2025-03-18,"March 18, 25",,,,,,144.6575,1182211,145.66,-0.0001381502,144.75,144.77,-0.02,143.45,-0.01381502,142.16,1182211
2025-03-17,"March 17, 25",,,,,,144.7525,1645900,146.77,0.0028391,144.82,144.41,0.41,143.01,0.28391,142.23,1645900
