date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,adjDividend,recordDate,paymentDate,declarationDate
2026-01-02,183.83,187.86,182.43,186.77,186.77,895837,895837,2.94,1.6,185.2225,"January 02, 26",0.016,,,,,
2025-12-31,185.6,185.81,183.83,184.5,184.5,658827,658827,-1.1,-0.59267,184.935,"December 31, 25",-0.0059267,,,,,
2025-12-30,185,186.35,184,185.64,185.64,755800,755800,0.64,0.34595,185.2475,"December 30, 25",0.0034595,,,,,
2025-12-29,184.47,184.9,182.94,183.93,183.93,849711,849711,-0.54,-0.29273,184.06,"December 29, 25",-0.0029273,,,,,
2025-12-26,183.86,184.36,181.74,182.9,182.9,400400,400400,-0.96,-0.52214,183.215,"December 26, 25",-0.0052214,,,,,
2025-12-24,184.53,185.35,183.38,183.73,183.73,352322,352322,-0.8,-0.43353,184.2475,"December 24, 25",-0.0043353,,,,,
2025-12-23,183.82,184.97,182.46,184.79,184.79,770942,770942,0.97,0.52769,184.01,"December 23, 25",0.0052769,,,,,
2025-12-22,181.94,182.95,179.28,182.66,182.66,1255019,1255019,0.72,0.39573,181.7075,"December 22, 25",0.0039573,,,,,
2025-12-19,178.37,181.46,178.13,178.93,178.93,4275725,4275725,0.56,0.31395,179.2225,"December 19, 25",0.0031395,,,,,
2025-12-18,181.72,182.21,178.04,178.6,178.6,1513735,1513735,-3.12,-1.72,180.1425,"December 18, 25",-0.0172,,,,,
2025-12-17,177.53,182.44,177.27,182.37,182.37,2037200,2037200,4.84,2.73,179.9025,"December 17, 25",0.0273,,,,,
2025-12-16,181.83,181.93,176.18,176.41,176.41,1936446,1936446,-5.42,-2.98,179.0875,"December 16, 25",-0.0298,,,,,
2025-12-15,183.59,183.59,179.47,182.31,182.31,1628240,1628240,-1.28,-0.69721,182.24,"December 15, 25",-0.0069721,,,,,
2025-12-12,186.2,187.53,181.13,183.19,183.19,1369740,1369740,-3.01,-1.62,184.5125,"December 12, 25",-0.0162,,,,,
2025-12-11,181.7,186.18,181.7,185.73,185.73,1814123,1814123,4.03,2.22,183.8275,"December 11, 25",0.0222,,,,,
2025-12-10,184.18,184.94,180.53,183.48,183.48,1803413,1803413,-0.7,-0.38006,183.2825,"December 10, 25",-0.0038006,,,,,
2025-12-09,179.26,185.83,178.78,183.69,183.69,2574300,2574300,4.43,2.47,181.89,"December 09, 25",0.0247,,,,,
2025-12-08,179.41,180.68,176.53,179.1,179.1,1840500,1840500,-0.31,-0.17279,178.93,"December 08, 25",-0.0017279,,,,,
2025-12-05,180.31,182.61,180.25,180.74,180.74,1494433,1494433,0.43,0.23848,180.9775,"December 05, 25",0.0023848,,,,,
2025-12-04,175.78,180.37,174.97,180.02,180.02,1331845,1331845,4.24,2.41,177.785,"December 04, 25",0.0241,,,,,
2025-12-03,173.68,177.33,173.17,175.72,175.72,1570813,1570813,2.04,1.17,174.975,"December 03, 25",0.0117,,,,,
2025-12-02,176.34,176.34,171.69,171.8,171.8,1481802,1481802,-4.54,-2.57,174.0425,"December 02, 25",-0.0257,,,,,
2025-12-01,175.31,179.64,174.26,176.68,176.68,1425241,1425241,1.37,0.78147,176.4725,"December 01, 25",0.0078147,,,,,
2025-11-28,173.5,176.54,173.49,175.31,175.31,558400,558400,1.81,1.04,174.71,"November 28, 25",0.0104,,,,,
2025-11-26,171.89,174.53,171.53,173.13,173.13,674916,674916,1.24,0.72139,172.77,"November 26, 25",0.0072139,,,,,
2025-11-25,168.79,171.1,167.12,171.06,171.06,1349118,1349118,2.27,1.34,169.5175,"November 25, 25",0.0134,,,,,
2025-11-24,169.73,170.35,167.37,169.86,169.86,2087306,2087306,0.13,0.07659223,169.3275,"November 24, 25",0.0007659223,,,,,
2025-11-21,169.93,171.85,167.4,170.54,170.54,1546501,1546501,0.61,0.35897,169.93,"November 21, 25",0.0035897,,,,,
2025-11-20,171.8,174.86,168.47,170.2,170.2,2246800,2246800,-1.6,-0.93132,171.3325,"November 20, 25",-0.0093132,,,,,
2025-11-19,167.31,170.88,166.18,170.16,170.16,968000,968000,2.85,1.7,168.6325,"November 19, 25",0.017,,,,,
2025-11-18,169.05,171.53,168.3,169.58,169.58,1298900,1298900,0.53,0.31352,169.615,"November 18, 25",0.0031352,,,,,
2025-11-17,172.29,172.79,167.75,168.32,168.32,1502216,1502216,-3.97,-2.3,170.2875,"November 17, 25",-0.023,,,,,
2025-11-14,170.11,174.23,168.84,173.1,173.1,1801550,1801550,2.99,1.76,171.57,"November 14, 25",0.0176,,,,,
2025-11-13,171.62,171.91,168.61,169.71,169.71,1345829,1345829,-1.91,-1.11,170.4625,"November 13, 25",-0.0111,,,,,
2025-11-12,172.21,174.62,170.16,170.58,170.58,1381617,1381617,-1.63,-0.94652,171.8925,"November 12, 25",-0.0094652,,,,,
