date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,adjDividend,dividend,recordDate,declarationDate
2026-01-05,208.17,212.605,208.13,212.1,212.1,454891,454891,3.93,1.88788,210.95,"January 05, 26",0.0188788,,,,,
2026-01-02,206,209.28,205.1,209.14,209.14,879427,879427,3.14,1.52,207.38,"January 02, 26",0.0152,,,,,
2025-12-31,206.81,207.87,205.1,205.31,205.31,810453,810453,-1.5,-0.7253,206.2725,"December 31, 25",-0.007253,,,,,
2025-12-30,208,208.9,206.91,207.03,207.03,728800,728800,-0.97,-0.46635,207.71,"December 30, 25",-0.0046635,,,,,
2025-12-29,208.31,208.98,207.41,208.69,208.69,1081200,1081200,0.38,0.18242,208.3475,"December 29, 25",0.0018242,,,,,
2025-12-26,207.92,208.49,207.36,208.45,208.45,498000,498000,0.53,0.25491,208.055,"December 26, 25",0.0025491,,,,,
2025-12-24,209.03,209.33,207.99,208.28,208.28,425104,425104,-0.75,-0.3588,208.6575,"December 24, 25",-0.003588,,,,,
2025-12-23,208,210.14,207,208.56,208.56,1421211,1421211,0.56,0.26923,208.425,"December 23, 25",0.0026923,,,,,
2025-12-22,203.61,206.37,203.03,206.23,206.23,1212160,1212160,2.62,1.29,204.81,"December 22, 25",0.0129,,,,,
2025-12-19,203.17,203.57,201.75,203.29,203.29,3791500,3791500,0.12,0.05906384,202.945,"December 19, 25",0.0005906384,,,,,
2025-12-18,201.35,202.82,199.99,201.96,201.96,1799513,1799513,0.61,0.30296,201.53,"December 18, 25",0.0030296,,,,,
2025-12-17,200.48,202.2,199.07,199.9,199.9,1783239,1783239,-0.58,-0.28931,200.4125,"December 17, 25",-0.0028931,,,,,
2025-12-16,202.8,203.78,200.83,201.78,201.78,1533642,1533642,-1.02,-0.50296,202.2975,"December 16, 25",-0.0050296,,,,,
2025-12-15,201.71,203.39,201.3,203.19,203.19,1611340,1611340,1.48,0.73373,202.3975,"December 15, 25",0.0073373,,,,,
2025-12-12,204.22,204.43,200.62,201.74,201.74,1489913,1489913,-2.48,-1.21,202.7525,"December 12, 25",-0.0121,,,,,
2025-12-11,200.62,204.24,199.87,203.84,203.84,1994998,1994998,3.22,1.61,202.1425,"December 11, 25",0.0161,,,,,
2025-12-10,196.51,201.8,196.08,200.66,200.66,1645573,1645573,4.15,2.11,198.7625,"December 10, 25",0.0211,,,,,
2025-12-09,199.43,199.43,195.82,195.97,195.97,1006000,1006000,-3.46,-1.73,197.6625,"December 09, 25",-0.0173,,,,,
2025-12-08,199.29,201.09,198.65,199.26,199.26,1072968,1072968,-0.03,-0.01505344,199.5725,"December 08, 25",-0.0001505344,,,,,
2025-12-05,199.04,201.39,198.32,199.8,199.8,1562450,1562450,0.76,0.38183,199.6375,"December 05, 25",0.0038183,2025-12-19,0.31,0.31,2025-12-05,2025-11-07
2025-12-04,199.13,200.88,198.34,199.22,198.91,1029711,1029711,0.09,0.04519661,199.3925,"December 04, 25",0.0004519661,,,,,
2025-12-03,196.86,199.36,195.68,199.22,198.91,960608,960608,2.36,1.2,197.78,"December 03, 25",0.012,,,,,
2025-12-02,196.18,198.27,195.3,197.29,196.98,1266500,1266500,1.11,0.56581,196.76,"December 02, 25",0.0056581,,,,,
