date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,declarationDate,paymentDate,dividend,recordDate
2026-01-02,171.63,176.59,171.15,176.06,176.06,929751,929751,4.43,2.58,173.8575,"January 02, 26",0.0258,,,,,
2025-12-31,170.41,171.77,168.48,169.45,169.45,693900,693900,-0.96,-0.56335,170.0275,"December 31, 25",-0.0056335,0.5,2025-11-07,2026-01-09,0.5,2025-12-31
2025-12-30,173.58,173.65,170.86,171.03,170.53,746104,746104,-2.55,-1.47,172.28,"December 30, 25",-0.0147,,,,,
2025-12-29,173.93,174.24,172.25,172.88,172.37,727100,727100,-1.05,-0.60369,173.325,"December 29, 25",-0.0060369,,,,,
2025-12-26,175.81,176,174.55,175.46,174.95,472347,472347,-0.35,-0.19908,175.455,"December 26, 25",-0.0019908,,,,,
2025-12-24,177.33,178.06,173.99,175.38,174.87,778800,778800,-1.95,-1.1,176.19,"December 24, 25",-0.011,,,,,
2025-12-23,175.87,178.36,175.21,177.2,176.68,941441,941441,1.33,0.75624,176.66,"December 23, 25",0.0075624,,,,,
2025-12-22,174.52,175.95,172.74,175.76,175.25,977200,977200,1.24,0.71052,174.7425,"December 22, 25",0.0071052,,,,,
2025-12-19,174.58,176.98,173.2,174.28,173.77,3313800,3313800,-0.3,-0.17184,174.76,"December 19, 25",-0.0017184,,,,,
2025-12-18,172.88,176.62,172.57,174.58,174.07,1950800,1950800,1.7,0.98334,174.1625,"December 18, 25",0.0098334,,,,,
2025-12-17,166.5,172.95,165.8,172.74,172.24,2096686,2096686,6.24,3.75,169.4975,"December 17, 25",0.0375,,,,,
2025-12-16,168.19,169.59,167.36,169.13,168.64,1131204,1131204,0.94,0.55889,168.5675,"December 16, 25",0.0055889,,,,,
2025-12-15,171.48,171.75,166.08,168.95,168.45,1837700,1837700,-2.53,-1.48,169.565,"December 15, 25",-0.0148,,,,,
2025-12-12,173.43,174.31,170.44,171.97,171.47,1289970,1289970,-1.46,-0.84184,172.5375,"December 12, 25",-0.0084184,,,,,
2025-12-11,171.23,173.86,170.83,173.01,172.5,1058200,1058200,1.78,1.04,172.2325,"December 11, 25",0.0104,,,,,
2025-12-10,165.44,172.64,165.41,171.23,170.73,1368070,1368070,5.79,3.5,168.68,"December 10, 25",0.035,,,,,
2025-12-09,165.14,167.05,164.39,165.43,164.95,754228,754228,0.29,0.17561,165.5025,"December 09, 25",0.0017561,,,,,
2025-12-08,165.35,167.89,164.57,166.14,165.65,848000,848000,0.79,0.47777,165.9875,"December 08, 25",0.0047777,,,,,
2025-12-05,168.2,168.2,163.87,165.22,164.74,1444100,1444100,-2.98,-1.77,166.3725,"December 05, 25",-0.0177,,,,,
2025-12-04,170.51,170.67,166.45,168.11,167.62,1726163,1726163,-2.4,-1.41,168.935,"December 04, 25",-0.0141,,,,,
2025-12-03,167.46,172.94,167.19,171.5,171,1453526,1453526,4.04,2.41,169.7725,"December 03, 25",0.0241,,,,,
2025-12-02,168.32,169.32,166.52,167.63,167.14,1092600,1092600,-0.69,-0.40993,167.9475,"December 02, 25",-0.0040993,,,,,
2025-12-01,166.1,169.49,166.1,167.62,167.13,942558,942558,1.52,0.91511,167.3275,"December 01, 25",0.0091511,,,,,
2025-11-28,167.44,168.36,166.05,167.83,167.34,641500,641500,0.39,0.23292,167.42,"November 28, 25",0.0023292,,,,,
2025-11-26,164.2,167.07,163.75,166.62,166.13,841633,841633,2.42,1.47,165.41,"November 26, 25",0.0147,,,,,
2025-11-25,162.64,166.42,161.63,164.25,163.77,1167634,1167634,1.61,0.98992,163.735,"November 25, 25",0.0098992,,,,,
2025-11-24,159.18,161.79,156.91,161.19,160.72,1731200,1731200,2.01,1.26,159.7675,"November 24, 25",0.0126,,,,,
2025-11-21,153.23,159.43,152.54,158.16,157.7,981327,981327,4.93,3.22,155.84,"November 21, 25",0.0322,,,,,
2025-11-20,156.36,159.73,152.77,153.11,152.66,888011,888011,-3.25,-2.08,155.4925,"November 20, 25",-0.0208,,,,,
2025-11-19,155,156.36,153.36,155.46,155.01,873000,873000,0.46,0.29677,155.045,"November 19, 25",0.0029677,,,,,
2025-11-18,153.48,156.76,153.04,154.61,154.16,1179112,1179112,1.14,0.73625,154.4725,"November 18, 25",0.0073625,,,,,
2025-11-17,154.99,158.88,154.14,155.07,154.62,1079558,1079558,0.08,0.05161623,155.77,"November 17, 25",0.0005161623,,,,,
2025-11-14,151.6,157,151.21,155.41,154.96,1058000,1058000,3.81,2.51,153.805,"November 14, 25",0.0251,,,,,
2025-11-13,158,158.85,151.81,154.59,154.14,1337196,1337196,-3.41,-2.16,155.8125,"November 13, 25",-0.0216,,,,,
2025-11-12,153.7,159.83,153.28,157.85,157.39,1640432,1640432,4.15,2.7,156.165,"November 12, 25",0.027,,,,,
2025-11-11,152.51,154.26,151.98,152.38,151.94,905776,905776,-0.13,-0.08524031,152.7825,"November 11, 25",-0.0008524031,,,,,
2025-11-10,153,153.9,150.22,152.43,151.98,1268424,1268424,-0.57,-0.37255,152.3875,"November 10, 25",-0.0037255,,,,,
2025-11-07,152.4,153.55,150.29,151.94,151.5,1086162,1086162,-0.46,-0.30184,152.045,"November 07, 25",-0.0030184,,,,,
2025-11-06,154.88,156.64,151.88,152.92,152.47,1304816,1304816,-1.96,-1.27,154.08,"November 06, 25",-0.0127,,,,,
2025-11-05,151.64,154.86,150.03,154.13,153.68,1149184,1149184,2.49,1.64,152.665,"November 05, 25",0.0164,,,,,
2025-11-04,152,154.75,151.17,151.62,151.18,1311926,1311926,-0.38,-0.25,152.385,"November 04, 25",-0.0025,,,,,
2025-11-03,156.08,156.61,153.14,155.97,155.51,1340400,1340400,-0.11,-0.07047668,155.45,"November 03, 25",-0.0007047668,,,,,
2025-10-31,156.57,159.85,155.89,156.8,156.34,1355913,1355913,0.23,0.1469,157.2775,"October 31, 25",0.001469,,,,,
2025-10-30,162.67,163.25,158.01,158.18,157.72,1269159,1269159,-4.49,-2.76,160.5275,"October 30, 25",-0.0276,,,,,
2025-10-29,161.55,164.73,159.4,163.47,162.99,1080953,1080953,1.92,1.19,162.2875,"October 29, 25",0.0119,,,,,
2025-10-28,158.02,163.1,157.29,161.07,160.6,1534563,1534563,3.05,1.93,159.87,"October 28, 25",0.0193,,,,,
2025-10-27,153.71,158.5,151.64,158.02,157.56,1776462,1776462,4.31,2.8,155.4675,"October 27, 25",0.028,,,,,
2025-10-24,152.26,153.99,151.85,152.95,152.5,1521339,1521339,0.69,0.45317,152.7625,"October 24, 25",0.0045317,,,,,
2025-10-23,148.59,152.08,148.13,150.72,150.28,1036041,1036041,2.13,1.43,149.88,"October 23, 25",0.0143,,,,,
2025-10-22,152.89,154.82,148.42,148.56,148.13,1471234,1471234,-4.33,-2.83,151.1725,"October 22, 25",-0.0283,,,,,
2025-10-21,146.11,156.24,146.11,153.82,153.37,2894345,2894345,7.71,5.28,150.57,"October 21, 25",0.0528,,,,,
2025-10-20,147.01,147.32,144.78,146.28,145.85,1628100,1628100,-0.73,-0.49656,146.3475,"October 20, 25",-0.0049656,,,,,
2025-10-17,141.67,144.39,141.45,142.75,142.33,1062993,1062993,1.08,0.76234,142.565,"October 17, 25",0.0076234,,,,,
2025-10-16,146.8,148,140.87,142.65,142.23,1126533,1126533,-4.15,-2.83,144.58,"October 16, 25",-0.0283,,,,,
2025-10-15,147.97,148.97,145.04,146.05,145.62,781100,781100,-1.92,-1.3,147.0075,"October 15, 25",-0.013,,,,,
2025-10-14,143.42,148.54,142.48,146.98,146.55,935900,935900,3.56,2.48,145.355,"October 14, 25",0.0248,,,,,
2025-10-13,144.41,147.12,143.31,145.54,145.12,881200,881200,1.13,0.78249,145.095,"October 13, 25",0.0078249,,,,,
2025-10-10,147.57,148.37,141.15,141.23,140.82,1238928,1238928,-6.34,-4.3,144.58,"October 10, 25",-0.043,,,,,
2025-10-09,147.28,149.47,146.56,147.78,147.35,1195900,1195900,0.505,0.33949,147.7725,"October 09, 25",0.0033949,,,,,
2025-10-08,143.54,146.75,142.28,146.55,146.12,683742,683742,3.01,2.1,144.78,"October 08, 25",0.021,,,,,
2025-10-07,142.63,144.04,141.41,142.73,142.31,909062,909062,0.1,0.07011148,142.7025,"October 07, 25",0.0007011148,,,,,
2025-10-06,145.2,145.93,141.49,141.63,141.22,1441654,1441654,-3.57,-2.46,143.5625,"October 06, 25",-0.0246,,,,,
2025-10-03,144.97,147,144.32,145.09,144.67,1286800,1286800,0.12,0.08277575,145.345,"October 03, 25",0.0008277575,,,,,
