date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,dividend,recordDate,declarationDate,adjDividend
2026-01-05,65.33,66.36,64.56,65.59,65.59,1263958,1263958,0.26,0.39797949,65.5,"January 05, 26",0.0039797949,,,,,
2026-01-02,64.17,65.04,63.39,64.4,64.4,2891930,2891930,0.225,0.35842,64.25,"January 02, 26",0.0035842,,,,,
2025-12-31,64.28,64.46,63.38,63.41,63.41,1622302,1622302,-0.865,-1.35,63.8825,"December 31, 25",-0.0135,,,,,
2025-12-30,64.09,64.52,63.91,64.46,64.46,1773270,1773270,0.37,0.57731,64.245,"December 30, 25",0.0057731,,,,,
2025-12-29,64,64.46,63.67,64.02,64.02,1794044,1794044,0.02,0.03125,64.0375,"December 29, 25",0.0003125,,,,,
2025-12-26,64.79,64.84,64.17,64.21,64.21,1433564,1433564,-0.58,-0.8952,64.5025,"December 26, 25",-0.008952,,,,,
2025-12-24,64.44,65.11,64.21,64.51,64.51,743000,743000,0.07,0.10863,64.5675,"December 24, 25",0.0010863,,,,,
2025-12-23,65.06,65.25,64.29,64.48,64.48,1755261,1755261,-0.58,-0.89148,64.77,"December 23, 25",-0.0089148,,,,,
2025-12-22,65.37,65.8,64.87,65.24,65.24,2139981,2139981,-0.13,-0.19887,65.32,"December 22, 25",-0.0019887,,,,,
2025-12-19,64.49,65.52,64.15,64.68,64.68,5855392,5855392,0.19,0.29462,64.71,"December 19, 25",0.0029462,,,,,
2025-12-18,66.34,66.34,64.44,64.49,64.49,2646004,2646004,-1.85,-2.79,65.4025,"December 18, 25",-0.0279,,,,,
2025-12-17,66,66.78,64.48,65,65,2179149,2179149,-1,-1.52,65.565,"December 17, 25",-0.0152,,,,,
2025-12-16,66.49,66.93,65.05,66.02,66.02,2556421,2556421,-0.47,-0.70687,66.1225,"December 16, 25",-0.0070687,,,,,
2025-12-15,67.63,68.11,66.16,66.37,66.37,2429122,2429122,-1.26,-1.86,67.0675,"December 15, 25",-0.0186,,,,,
2025-12-12,68.22,68.81,66.6,66.97,66.97,3372908,3372908,-1.25,-1.83,67.65,"December 12, 25",-0.0183,,,,,
2025-12-11,68.32,68.52,67.09,68.25,68.25,2158328,2158328,-0.07,-0.10246,68.045,"December 11, 25",-0.0010246,,,,,
2025-12-10,68.19,69.6,67.72,68.81,68.81,2951907,2951907,0.62,0.90922,68.58,"December 10, 25",0.0090922,,,,,
2025-12-09,68.8,69.45,68.04,68.54,68.54,2468400,2468400,-0.26,-0.37791,68.7075,"December 09, 25",-0.0037791,,,,,
2025-12-08,69.39,70.31,68.61,69.21,69.21,2583700,2583700,-0.175,-0.2594,69.38,"December 08, 25",-0.002594,,,,,
2025-12-05,68.95,70.1,68.47,69.32,69.32,2415749,2415749,0.37,0.53662,69.21,"December 05, 25",0.0053662,,,,,
2025-12-04,69.32,69.77,68.57,69.01,69.01,1937613,1937613,-0.31,-0.4472,69.1675,"December 04, 25",-0.004472,,,,,
2025-12-03,68.42,70.26,68.14,69.37,69.37,2413652,2413652,0.95,1.39,69.0475,"December 03, 25",0.0139,,,,,
2025-12-02,66.23,68.53,65.44,68.24,68.24,2954147,2954147,2.01,3.03,67.11,"December 02, 25",0.0303,,,,,
2025-12-01,65.45,66.56,65.11,65.83,65.83,2426747,2426747,0.38,0.5806,65.7375,"December 01, 25",0.005806,,,,,
2025-11-28,65.33,66.01,64.85,65.95,65.95,1140045,1140045,0.62,0.94903,65.535,"November 28, 25",0.0094903,,,,,
2025-11-26,63.6,66.36,63.6,65.34,65.34,2966979,2966979,1.74,2.74,64.725,"November 26, 25",0.0274,,,,,
2025-11-25,63.02,63.83,62.28,63.51,63.51,2579536,2579536,0.49,0.77753,63.16,"November 25, 25",0.0077753,,,,,
2025-11-24,63.2,63.79,62.24,63.05,63.05,3036100,3036100,-0.145,-0.23734,63.07,"November 24, 25",-0.0023734,,,,,
2025-11-21,60.84,63.32,60.41,62.61,62.61,3928822,3928822,1.77,2.91,61.795,"November 21, 25",0.0291,,,,,
2025-11-20,63.28,63.67,60.06,60.5,60.5,3775680,3775680,-2.78,-4.39,61.8775,"November 20, 25",-0.0439,,,,,
2025-11-19,62.55,63.44,61.65,62.59,62.59,3180316,3180316,0.04,0.06394884,62.5575,"November 19, 25",0.0006394884,,,,,
2025-11-18,62.06,63.31,61.71,62.32,62.32,3130800,3130800,0.26,0.41895,62.35,"November 18, 25",0.0041895,2025-12-09,0.71,2025-11-18,2025-10-28,0.71
2025-11-17,66,66.32,62.24,63.16,62.45,3997617,3997617,-2.84,-4.3,64.43,"November 17, 25",-0.043,,,,,
2025-11-14,67.24,68.02,66.43,66.6,65.85,2258100,2258100,-0.64,-0.95181,67.0725,"November 14, 25",-0.0095181,,,,,
2025-11-13,69.41,70.31,67.82,68.17,67.4,3078500,3078500,-1.24,-1.79,68.9275,"November 13, 25",-0.0179,,,,,
2025-11-12,69.62,70.03,68.83,69.46,68.68,2552400,2552400,-0.16,-0.22982,69.485,"November 12, 25",-0.0022982,,,,,
2025-11-11,69.46,70.48,68.45,68.85,68.08,2988162,2988162,-0.61,-0.8782,69.31,"November 11, 25",-0.008782,,,,,
2025-11-10,70.69,70.74,68.19,69.1,68.32,3298835,3298835,-1.59,-2.25,69.68,"November 10, 25",-0.0225,,,,,
2025-11-07,69.49,69.69,67.55,69.58,68.8,3200717,3200717,0.09,0.12952,69.0775,"November 07, 25",0.0012952,,,,,
2025-11-06,73.58,74.21,70.26,70.64,69.85,3585478,3585478,-2.94,-4,72.1725,"November 06, 25",-0.04,,,,,
2025-11-05,73.87,75.65,71.39,73.46,72.63,5613116,5613116,-0.41,-0.55503,73.5925,"November 05, 25",-0.0055503,,,,,
2025-11-04,74.99,75.75,71.66,71.99,71.18,5593300,5593300,-3,-4,73.5975,"November 04, 25",-0.04,,,,,
2025-11-03,77.57,78,76.08,76.54,75.68,3824400,3824400,-1.03,-1.33,77.0475,"November 03, 25",-0.0133,,,,,
2025-10-31,79.04,80,76.8,77.72,76.85,3872749,3872749,-1.32,-1.67,78.39,"October 31, 25",-0.0167,,,,,
2025-10-30,78.74,81.12,78.49,79.16,78.27,3924000,3924000,0.42,0.5334,79.3775,"October 30, 25",0.005334,,,,,
2025-10-29,83.14,84.53,78.59,78.74,77.85,7443149,7443149,-4.4,-5.29,81.25,"October 29, 25",-0.0529,,,,,
2025-10-28,85.66,90.9,80.14,80.26,79.36,11143942,11143942,-5.4,-6.3,84.24,"October 28, 25",-0.063,,,,,
2025-10-27,74.67,76.01,74.5,75.84,74.99,1853343,1853343,1.17,1.57,75.255,"October 27, 25",0.0157,,,,,
2025-10-24,76.51,76.51,73.96,74.04,73.21,2067410,2067410,-2.47,-3.23,75.255,"October 24, 25",-0.0323,,,,,
2025-10-23,73.51,76.26,73.33,75.78,74.92,2130752,2130752,2.27,3.09,74.72,"October 23, 25",0.0309,,,,,
2025-10-22,75.4,76.49,73.06,73.97,73.13,2911548,2911548,-1.44,-1.9,74.73,"October 22, 25",-0.019,,,,,
2025-10-21,75.71,76.66,75.41,76.4,75.54,1146569,1146569,0.69,0.91137,76.045,"October 21, 25",0.0091137,,,,,
2025-10-20,74,76.85,72.78,76.14,75.28,2161052,2161052,2.14,2.89,74.9425,"October 20, 25",0.0289,,,,,
2025-10-17,73.57,75.65,73.02,75.32,74.47,1654199,1654199,1.75,2.38,74.39,"October 17, 25",0.0238,,,,,
2025-10-16,74.73,74.83,73.3,74.47,73.63,2050372,2050372,-0.26,-0.34792,74.3325,"October 16, 25",-0.0034792,,,,,
2025-10-15,73.91,74.38,72.56,74.22,73.39,2055315,2055315,0.31,0.41943,73.7675,"October 15, 25",0.0041943,,,,,
2025-10-14,71.33,73.64,71.25,72.77,71.95,2276115,2276115,1.44,2.02,72.2475,"October 14, 25",0.0202,,,,,
2025-10-13,71.48,73.68,70.53,73.37,72.55,3019668,3019668,1.89,2.64,72.265,"October 13, 25",0.0264,,,,,
2025-10-10,74,74.12,68.98,69.16,68.38,3062700,3062700,-4.84,-6.54,71.565,"October 10, 25",-0.0654,,,,,
2025-10-09,75.93,76.03,72.88,73.64,72.81,1958116,1958116,-2.29,-3.02,74.62,"October 09, 25",-0.0302,,,,,
2025-10-08,74.55,76.22,74.16,76.1,75.24,1611174,1611174,1.55,2.08,75.2575,"October 08, 25",0.0208,,,,,
2025-10-07,77.63,78,74.16,74.34,73.5,1585208,1585208,-3.29,-4.24,76.0325,"October 07, 25",-0.0424,,,,,
2025-10-06,77.4,77.66,75.04,76.91,76.05,1925800,1925800,-0.49,-0.63307,76.7525,"October 06, 25",-0.0063307,,,,,
2025-10-03,77.21,78.15,76.86,77.1,76.23,1475272,1475272,-0.11,-0.14247,77.33,"October 03, 25",-0.0014247,,,,,
2025-10-02,77.08,78.26,76.63,77.37,76.5,1742600,1742600,0.29,0.37623,77.335,"October 02, 25",0.0037623,,,,,
2025-10-01,76.95,77.6,75.62,76.34,75.48,2350800,2350800,-0.61,-0.79272,76.6275,"October 01, 25",-0.0079272,,,,,
2025-09-30,76.93,77.66,76.28,76.98,76.11,2195439,2195439,0.05,0.06499415,76.9625,"September 30, 25",0.0006499415,,,,,
2025-09-29,80.11,80.31,76.5,76.93,76.07,2796723,2796723,-3.18,-3.97,78.4625,"September 29, 25",-0.0397,,,,,
2025-09-26,79.38,79.88,78.83,79.51,78.62,1310534,1310534,0.13,0.16377,79.4,"September 26, 25",0.0016377,,,,,
2025-09-25,79.87,79.97,78.47,79.36,78.47,1547242,1547242,-0.51,-0.63854,79.4175,"September 25, 25",-0.0063854,,,,,
2025-09-24,80.88,81.92,80.54,80.66,79.75,1678664,1678664,-0.22,-0.27201,81,"September 24, 25",-0.0027201,,,,,
2025-09-23,83.23,83.52,80.41,81.26,80.35,2301832,2301832,-1.97,-2.37,82.105,"September 23, 25",-0.0237,,,,,
2025-09-22,79.65,83.47,79.55,82.97,82.04,4497200,4497200,3.32,4.17,81.41,"September 22, 25",0.0417,,,,,
2025-09-19,77.94,80.3,75.73,78.95,78.06,8990816,8990816,1.01,1.3,78.23,"September 19, 25",0.013,,,,,
2025-09-18,75.84,77.47,75.38,77.03,76.16,3356900,3356900,1.19,1.57,76.43,"September 18, 25",0.0157,,,,,
2025-09-17,74.33,75.42,73.06,74.49,73.65,2413716,2413716,0.16,0.21526,74.325,"September 17, 25",0.0021526,,,,,
2025-09-16,73.48,74.6,73.22,74.22,73.39,2744600,2744600,0.74,1.01,73.88,"September 16, 25",0.0101,,,,,
2025-09-15,74.4,75.54,72.48,72.87,72.05,2660250,2660250,-1.53,-2.06,73.8225,"September 15, 25",-0.0206,,,,,
2025-09-12,74.4,74.6,73.01,74.46,73.62,2140564,2140564,0.06,0.08064516,74.1175,"September 12, 25",0.0008064516,,,,,
2025-09-11,74.22,74.81,72.98,74.68,73.84,3424014,3424014,0.46,0.61978,74.1725,"September 11, 25",0.0061978,,,,,
2025-09-10,75.06,75.08,72.09,73.6,72.77,2820602,2820602,-1.46,-1.95,73.9575,"September 10, 25",-0.0195,,,,,
2025-09-09,75.63,76.74,74.58,75.06,74.22,2290553,2290553,-0.57,-0.75367,75.5025,"September 09, 25",-0.0075367,,,,,
2025-09-08,75.27,75.68,73.57,75.63,74.78,2196150,2196150,0.36,0.47828,75.0375,"September 08, 25",0.0047828,,,,,
2025-09-05,74.88,76.38,74.58,75.2,74.35,2138436,2138436,0.325,0.42735,75.26,"September 05, 25",0.0042735,,,,,
2025-09-04,73.03,74.71,72.19,74.64,73.8,2279763,2279763,1.61,2.2,73.6425,"September 04, 25",0.022,,,,,
2025-09-03,73.26,73.72,72.63,73.56,72.73,2419800,2419800,0.3,0.4095,73.2925,"September 03, 25",0.004095,,,,,
2025-09-02,72.98,73.91,71.56,73.07,72.25,2210612,2210612,0.09,0.12332,72.88,"September 02, 25",0.0012332,,,,,
2025-08-29,74.65,75.61,74.47,74.94,74.1,2234400,2234400,0.29,0.38848,74.9175,"August 29, 25",0.0038848,,,,,
2025-08-28,76.17,76.53,74.85,75.1,74.26,1869151,1869151,-1.07,-1.4,75.6625,"August 28, 25",-0.014,,,,,
2025-08-27,75.49,76.35,75.13,76.2,75.34,1529900,1529900,0.71,0.94052,75.7925,"August 27, 25",0.0094052,,,,,
2025-08-26,76,77.06,75.64,75.67,74.82,2814400,2814400,-0.33,-0.43421,76.0925,"August 26, 25",-0.0043421,2025-09-16,0.71,2025-08-26,2025-08-05,0.71
2025-08-25,77.14,77.39,76.45,76.76,75.2,1869750,1869750,-0.38,-0.49261,76.935,"August 25, 25",-0.0049261,,,,,
2025-08-22,75.12,78.13,74.86,77.29,75.72,2392248,2392248,2.17,2.89,76.35,"August 22, 25",0.0289,,,,,
2025-08-21,74.5,75.18,74.17,74.52,73.01,1369900,1369900,0.02,0.02684564,74.5925,"August 21, 25",0.0002684564,,,,,
2025-08-20,74.81,75.29,73.86,75.12,73.59,2393800,2393800,0.31,0.41438,74.77,"August 20, 25",0.0041438,,,,,
2025-08-19,74.55,76.02,74.5,74.93,73.41,1946300,1946300,0.38,0.50973,75,"August 19, 25",0.0050973,,,,,
2025-08-18,74.46,75.17,74.08,74.26,72.75,1669263,1669263,-0.2,-0.2686,74.4925,"August 18, 25",-0.002686,,,,,
2025-08-15,75.75,75.86,73.83,74.52,73.01,2364318,2364318,-1.23,-1.62,74.99,"August 15, 25",-0.0162,,,,,
2025-08-14,72.42,75.64,72.33,75.36,73.83,2207038,2207038,2.94,4.06,73.9375,"August 14, 25",0.0406,,,,,
2025-08-13,71.8,73.79,71.38,73.65,72.15,1915171,1915171,1.85,2.58,72.655,"August 13, 25",0.0258,,,,,
2025-08-12,71.47,72.54,70.33,71.69,70.23,2950010,2950010,0.225,0.30782,71.5075,"August 12, 25",0.0030782,,,,,
2025-08-11,71.42,72.23,70.41,70.53,69.1,2563828,2563828,-0.89,-1.25,71.1475,"August 11, 25",-0.0125,,,,,
2025-08-08,68.66,71.19,68.22,71.08,69.64,2596824,2596824,2.42,3.52,69.7875,"August 08, 25",0.0352,,,,,
