holder,shares,dateReported,change
VANGUARD GROUP INC,8761219,2025-09-30,-82063
"BlackRock, Inc.",6097243,2025-09-30,-125932
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,4585344,2025-09-30,-124903
STATE STREET CORP,4103290,2025-09-30,97140
MORGAN STANLEY,2514185,2025-09-30,-2803679
"GEODE CAPITAL MANAGEMENT, LLC",2155283,2025-09-30,60046
APG Asset Management N.V.,1956339,2025-09-30,-343412
"CIBC Private Wealth Group, LLC",1887341,2025-09-30,-91
Invesco Ltd.,1800777,2025-09-30,155616
WELLS FARGO & COMPANY/MN,1348588,2025-09-30,-22681
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",1266144,2025-09-30,-402458
VAN ECK ASSOCIATES CORP,1111632,2025-09-30,1056362
MACKENZIE FINANCIAL CORP,935946,2025-09-30,9059
UBS Group AG,847002,2025-09-30,364878
Neuberger Berman Group LLC,778198,2025-09-30,148565
NORDEA INVESTMENT MANAGEMENT AB,770574,2025-09-30,-19247
NORTHERN TRUST CORP,757392,2025-09-30,-20005
RAYMOND JAMES FINANCIAL INC,723542,2025-09-30,-3516
Bank of New York Mellon Corp,712751,2025-09-30,32468
JPMORGAN CHASE & CO,675529,2025-09-30,240548
"Tandem Investment Advisors, Inc.",675142,2025-09-30,1634
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,639981,2025-09-30,4311
"RGM Capital, LLC",595057,2025-09-30,172976
DIMENSIONAL FUND ADVISORS LP,592515,2025-09-30,50715
Handelsbanken Fonder AB,586250,2025-09-30,-369250
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",583669,2025-09-30,77962
TD ASSET MANAGEMENT INC,529725,2025-09-30,-18087
STIFEL FINANCIAL CORP,525823,2025-09-30,1654
UBS ASSET MANAGEMENT AMERICAS INC,519021,2025-09-30,-143360
ENVESTNET ASSET MANAGEMENT INC,502653,2025-09-30,-17324
FIRST TRUST ADVISORS LP,472084,2025-09-30,174321
GOLDMAN SACHS GROUP INC,456553,2025-09-30,-7050
Legal & General Group Plc,455322,2025-09-30,5455
Qube Research & Technologies Ltd,373013,2025-09-30,122326
Boston Trust Walden Corp,372776,2025-09-30,96114
BANK OF AMERICA CORP /DE/,363366,2025-09-30,-84026
BARCLAYS PLC,360941,2025-09-30,78420
Amundi,349540,2025-09-30,-10352
BAILLIE GIFFORD & CO,336485,2025-09-30,-9610
PRINCIPAL FINANCIAL GROUP INC,335240,2025-09-30,8642
"Epoch Investment Partners, Inc.",330616,2025-09-30,23811
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,318093,2025-09-30,285656
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",298623,2025-09-30,99651
JUPITER ASSET MANAGEMENT LTD,295651,2025-09-30,-62077
ROYAL BANK OF CANADA,281841,2025-09-30,-13998
DEUTSCHE BANK AG\,279829,2025-09-30,-3400
"Grantham, Mayo, Van Otterloo & Co. LLC",277632,2025-09-30,89739
AMERICAN CAPITAL MANAGEMENT INC,263118,2025-09-30,-12278
LONDON CO OF VIRGINIA,254746,2025-09-30,-8342
CITADEL ADVISORS LLC,251918,2025-09-30,214358
"Norinchukin Bank, The",237740,2025-09-30,37846
FENIMORE ASSET MANAGEMENT INC,236732,2025-09-30,4049
"Walker Asset Management, LLC",228345,2025-09-30,-193
