date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,declarationDate,paymentDate,recordDate,adjDividend
2026-01-05,325.41,334.74,325,333.6755,333.6755,160902,160902,8.27,2.54003,331.14,"January 05, 26",0.0254003,,,,,
2026-01-02,327.47,328.17,323.75,326.27,326.27,399827,399827,-1.2,-0.36645,326.415,"January 02, 26",-0.0036645,,,,,
2025-12-31,332.2,333.57,328.44,328.6,328.6,324500,324500,-3.6,-1.08,330.7025,"December 31, 25",-0.0108,0.92,2025-12-03,2026-01-15,2025-12-31,0.92
2025-12-30,333.76,334.13,332.64,333.58,332.66,278028,278028,-0.18,-0.05393097,333.5275,"December 30, 25",-0.0005393097,,,,,
2025-12-29,335.23,335.96,332.91,334.15,333.23,351000,351000,-1.08,-0.32217,334.5625,"December 29, 25",-0.0032217,,,,,
2025-12-26,333.68,334.99,333.38,334.6,333.68,289900,289900,0.92,0.27571,334.1625,"December 26, 25",0.0027571,,,,,
2025-12-24,333.62,336.99,331.59,334.52,333.6,235616,235616,0.9,0.26977,334.18,"December 24, 25",0.0026977,,,,,
2025-12-23,333,334.67,330.85,332.3,331.38,550200,550200,-0.7,-0.21021,332.705,"December 23, 25",-0.0021021,,,,,
2025-12-22,330.98,336.18,330.98,332.4,331.48,665526,665526,1.42,0.42903,332.635,"December 22, 25",0.0042903,,,,,
2025-12-19,330.04,335,328.75,332.56,331.64,1921300,1921300,2.52,0.76354,331.5875,"December 19, 25",0.0076354,,,,,
2025-12-18,329.19,331.49,328.27,329.65,328.74,486010,486010,0.46,0.13974,329.65,"December 18, 25",0.0013974,,,,,
2025-12-17,328.71,331.38,326.21,329.84,328.93,643536,643536,1.13,0.34377,329.035,"December 17, 25",0.0034377,,,,,
2025-12-16,333.99,333.99,326.94,329.76,328.85,708500,708500,-4.23,-1.27,331.17,"December 16, 25",-0.0127,,,,,
2025-12-15,328.38,330.84,325.39,330.77,329.86,749840,749840,2.39,0.72782,328.845,"December 15, 25",0.0072782,,,,,
2025-12-12,327.75,328.9,324.1,326.93,326.03,709600,709600,-0.82,-0.25019,326.92,"December 12, 25",-0.0025019,,,,,
2025-12-11,317.04,326.58,314.07,325.58,324.68,995136,995136,8.54,2.69,320.8175,"December 11, 25",0.0269,,,,,
2025-12-10,322.79,322.79,312.52,315,314.13,1185900,1185900,-7.79,-2.41,318.275,"December 10, 25",-0.0241,,,,,
2025-12-09,319.38,324.99,318.07,322.22,321.33,704010,704010,2.85,0.88922,321.165,"December 09, 25",0.0088922,,,,,
2025-12-08,318.34,321.24,316.8,320.37,319.49,687700,687700,2.03,0.63768,319.1875,"December 08, 25",0.0063768,,,,,
2025-12-05,319.66,321.57,317.88,320.7,319.82,596003,596003,1.04,0.32535,319.9525,"December 05, 25",0.0032535,,,,,
