holder,shares,dateReported,change
VANGUARD GROUP INC,21676470,2025-09-30,740103
"SUMITOMO MITSUI FINANCIAL GROUP, INC.",13364740,2025-09-30,0
"BlackRock, Inc.",12956798,2025-09-30,-239699
Capital World Investors,11579021,2025-09-30,-166641
WELLINGTON MANAGEMENT GROUP LLP,9382767,2025-09-30,-3251041
FMR LLC,7930703,2025-09-30,-79465
JPMORGAN CHASE & CO,7799888,2025-09-30,-391568
PRICE T ROWE ASSOCIATES INC /MD/,7570069,2025-09-30,1317049
FRANKLIN RESOURCES INC,5300109,2025-09-30,-317807
BANK OF AMERICA CORP /DE/,4567561,2025-09-30,340887
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,4518425,2025-09-30,-66829
STATE STREET CORP,4288907,2025-09-30,166348
Capital International Investors,4243194,2025-09-30,15913
MORGAN STANLEY,3669763,2025-09-30,-20772
PRINCIPAL FINANCIAL GROUP INC,3534773,2025-09-30,94825
"GEODE CAPITAL MANAGEMENT, LLC",3525544,2025-09-30,71461
BROWN ADVISORY INC,2870962,2025-09-30,-577624
"LRI Investments, LLC",2586253,2025-09-30,238531
"Nuveen, LLC",2011473,2025-09-30,-151818
AMERICAN CENTURY COMPANIES INC,1995675,2025-09-30,-296070
CANADA PENSION PLAN INVESTMENT BOARD,1982400,2025-09-30,376494
RAYMOND JAMES FINANCIAL INC,1816633,2025-09-30,-54298
"Clearbridge Investments, LLC",1486601,2025-09-30,-21827
"Winslow Capital Management, LLC",1456574,2025-09-30,522544
Curated Wealth Partners LLC,1418643,2025-09-30,-70366
MILLENNIUM MANAGEMENT LLC,1379342,2025-09-30,1123931
"Vulcan Value Partners, LLC",1350249,2025-09-30,129368
NORTHERN TRUST CORP,1250215,2025-09-30,44129
TD ASSET MANAGEMENT INC,1087193,2025-09-30,-71442
M&G Plc,1072413,2025-09-30,-150739
"Hamlin Capital Management, LLC",1069079,2025-09-30,5863
ENVESTNET ASSET MANAGEMENT INC,1053493,2025-09-30,-13213
WESTFIELD CAPITAL MANAGEMENT CO LP,1027589,2025-09-30,-51180
UBS Group AG,1017501,2025-09-30,-53203
"CIBC Private Wealth Group, LLC",1007852,2025-09-30,76073
JANUS HENDERSON GROUP PLC,995902,2025-09-30,34046
UBS ASSET MANAGEMENT AMERICAS INC,971931,2025-09-30,-412129
Legal & General Group Plc,950795,2025-09-30,78882
Invesco Ltd.,933514,2025-09-30,-610731
"MARSHALL WACE, LLP",912656,2025-09-30,757293
GOLDMAN SACHS GROUP INC,887551,2025-09-30,59437
"CI Private Wealth, LLC",831235,2025-09-30,-65791
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,813045,2025-09-30,16573
Bank of New York Mellon Corp,789884,2025-09-30,-116133
ROYAL BANK OF CANADA,702992,2025-09-30,64866
SEI INVESTMENTS CO,702365,2025-09-30,459015
Quilter Plc,666703,2025-09-30,24964
"LORD, ABBETT & CO. LLC",632719,2025-09-30,554
TRUIST FINANCIAL CORP,629076,2025-09-30,26333
BALYASNY ASSET MANAGEMENT L.P.,622796,2025-09-30,573870
PEREGRINE CAPITAL MANAGEMENT LLC,603037,2025-09-30,-48061
Artisan Partners Limited Partnership,583653,2025-09-30,85199
Neuberger Berman Group LLC,546804,2025-09-30,8173
WELLS FARGO & COMPANY/MN,537654,2025-09-30,-51370
"Sumitomo Mitsui Trust Holdings, Inc.",478934,2025-09-30,26538
CITIGROUP INC,426547,2025-09-30,290577
"PARNASSUS INVESTMENTS, LLC",410100,2025-09-30,-12228
FIL Ltd,407464,2025-09-30,-96542
Blue Whale Capital LLP,400012,2025-09-30,-10468
DIMENSIONAL FUND ADVISORS LP,389225,2025-09-30,6884
DEUTSCHE BANK AG\,376286,2025-09-30,39807
Munro Partners,364115,2025-09-30,364115
Partners Group Holding AG,361723,2025-09-30,8213
"FEDERATED HERMES, INC.",360000,2025-09-30,-10000
Amundi,331031,2025-09-30,39860
CITADEL ADVISORS LLC,329428,2025-09-30,329428
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,317714,2025-09-30,29122
1832 Asset Management L.P.,316067,2025-09-30,-93500
CHILTON CAPITAL MANAGEMENT LLC,309447,2025-09-30,145872
AMERIPRISE FINANCIAL INC,299902,2025-09-30,-568
TUDOR INVESTMENT CORP ET AL,299170,2025-09-30,299170
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,286201,2025-09-30,16640
National Pension Service,264857,2025-09-30,2603
Rockefeller Capital Management L.P.,264394,2025-09-30,-1065
Freestone Grove Partners LP,260587,2025-09-30,260587
"JANE STREET GROUP, LLC",256777,2025-09-30,256777
RHUMBLINE ADVISERS,251030,2025-09-30,-2043
CI INVESTMENTS INC.,221679,2025-09-30,221055
"Point72 Asset Management, L.P.",219233,2025-09-30,219233
Qube Research & Technologies Ltd,218799,2025-09-30,218799
"ANGELES WEALTH MANAGEMENT, LLC",213393,2025-09-30,-662
BARCLAYS PLC,203721,2025-09-30,-48603
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",200722,2025-09-30,24502
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",184154,2025-09-30,58010
FIRST TRUST ADVISORS LP,180673,2025-09-30,147977
NATIONAL BANK OF CANADA /FI/,179059,2025-09-30,8839
MACQUARIE GROUP LTD,175078,2025-09-30,4237
KING LUTHER CAPITAL MANAGEMENT CORP,173651,2025-09-30,13680
CINCINNATI FINANCIAL CORP,168000,2025-09-30,60000
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,166510,2025-09-30,-7414
LPL Financial LLC,166034,2025-09-30,14687
STRS OHIO,161899,2025-09-30,-11898
ROYAL LONDON ASSET MANAGEMENT LTD,160634,2025-09-30,18920
ZEVENBERGEN CAPITAL INVESTMENTS LLC,159898,2025-09-30,10069
"UNITED CAPITAL FINANCIAL ADVISERS, LLC",158894,2025-09-30,-3577
"BNP PARIBAS ARBITRAGE, SNC",157252,2025-09-30,22247
STIFEL FINANCIAL CORP,151293,2025-09-30,-1759
AVIVA PLC,149337,2025-09-30,8950
"ADAGE CAPITAL PARTNERS GP, L.L.C.",145100,2025-09-30,145100
PANAGORA ASSET MANAGEMENT INC,145084,2025-09-30,88506
THRIVENT FINANCIAL FOR LUTHERANS,141188,2025-09-30,39191
HSBC HOLDINGS PLC,134491,2025-09-30,31749
Schonfeld Strategic Advisors LLC,126032,2025-09-30,112986
DnB Asset Management AS,120801,2025-09-30,2324
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",118813,2025-09-30,-837
"VAUGHAN NELSON INVESTMENT MANAGEMENT, L.P.",115262,2025-09-30,20920
Janney Montgomery Scott LLC,114998,2025-09-30,5181
STATE OF WISCONSIN INVESTMENT BOARD,113032,2025-09-30,4234
APG Asset Management N.V.,110300,2025-09-30,4500
"Sumitomo Mitsui DS Asset Management Company, Ltd",109891,2025-09-30,21307
Jain Global LLC,109680,2025-09-30,109680
DEARBORN PARTNERS LLC,108749,2025-09-30,-3549
HRT FINANCIAL LP,108608,2025-09-30,108608
Overbrook Management Corp,108562,2025-09-30,-18711
abrdn plc,107159,2025-09-30,2528
Korea Investment CORP,104898,2025-09-30,-73641
BENJAMIN EDWARDS INC,103378,2025-09-30,1382
"Ancora Advisors, LLC",103220,2025-09-30,1785
"GUARDIAN POINT CAPITAL, LP",100000,2025-09-30,50000
NEW YORK STATE COMMON RETIREMENT FUND,98348,2025-09-30,500
BLAIR WILLIAM & CO/IL,96523,2025-09-30,729
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,96046,2025-09-30,37196
"Cubist Systematic Strategies, LLC",92777,2025-09-30,92777
DANSKE BANK A/S,91657,2025-09-30,3800
PORTLAND INVESTMENT COUNSEL INC.,90624,2025-09-30,0
NOMURA ASSET MANAGEMENT CO LTD,89061,2025-09-30,-9164
Mitsubishi UFJ Trust & Banking Corp,88077,2025-09-30,1524
GREAT WEST LIFE ASSURANCE CO /CAN/,86757,2025-09-30,5399
"Asset Management One Co., Ltd.",85679,2025-09-30,4647
Treasurer of the State of North Carolina,84603,2025-09-30,-3290
"Northern Right Capital Management, L.P.",84205,2025-09-30,0
VICTORY CAPITAL MANAGEMENT INC,82270,2025-09-30,-3253
Point72 (DIFC) Ltd,82106,2025-09-30,57506
Pictet Asset Management Holding SA,81571,2025-09-30,3874
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",80561,2025-09-30,1305
COMERICA BANK,79524,2025-09-30,5057
KLP KAPITALFORVALTNING AS,77100,2025-09-30,6300
State of New Jersey Common Pension Fund D,73976,2025-09-30,6723
ALLIANCEBERNSTEIN L.P.,73733,2025-09-30,2920
"Vident Advisory, LLC",73644,2025-09-30,3614
"PNC FINANCIAL SERVICES GROUP, INC.",72674,2025-09-30,-143
"Nicholas Investment Partners, LP",72500,2025-09-30,0
PICTON MAHONEY ASSET MANAGEMENT,71727,2025-09-30,-19026
MACKENZIE FINANCIAL CORP,68953,2025-09-30,-23139
TWINBEECH CAPITAL LP,67576,2025-09-30,38935
Zurcher Kantonalbank (Zurich Cantonalbank),67499,2025-09-30,4743
Varma Mutual Pension Insurance Co,66900,2025-09-30,12000
Cetera Investment Advisers,66705,2025-09-30,7224
