holder,shares,dateReported,change
VANGUARD GROUP INC,14412842,2025-09-30,182876
"BlackRock, Inc.",7034002,2025-09-30,-91923
STATE STREET CORP,5453238,2025-09-30,-434540
Impax Asset Management Group plc,4850158,2025-09-30,157856
Invesco Ltd.,4521991,2025-09-30,-241041
"GEODE CAPITAL MANAGEMENT, LLC",3494089,2025-09-30,-17184
AMERICAN CENTURY COMPANIES INC,3208831,2025-09-30,1128543
FMR LLC,3049578,2025-09-30,1969304
MORGAN STANLEY,2807942,2025-09-30,-99681
FIRST TRUST ADVISORS LP,2508947,2025-09-30,109654
Pictet Asset Management Holding SA,2453852,2025-09-30,1576799
ProShare Advisors LLC,2284371,2025-09-30,-215859
EARNEST PARTNERS LLC,2082982,2025-09-30,36122
DIMENSIONAL FUND ADVISORS LP,1871694,2025-09-30,38694
BANK OF AMERICA CORP /DE/,1798652,2025-09-30,81468
Sarasin & Partners LLP,1400613,2025-09-30,211540
SEI INVESTMENTS CO,1320411,2025-09-30,44262
1832 Asset Management L.P.,1202724,2025-09-30,-41555
NOMURA ASSET MANAGEMENT CO LTD,1136389,2025-09-30,-137393
UBS Group AG,1112065,2025-09-30,-214159
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1106188,2025-09-30,-158903
Bank of New York Mellon Corp,1056224,2025-09-30,7319
NORTHERN TRUST CORP,1049366,2025-09-30,-35380
Boston Trust Walden Corp,946625,2025-09-30,123851
Amundi,910589,2025-09-30,-627033
"CBOE Vest Financial, LLC",817742,2025-09-30,-79118
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",804185,2025-09-30,-7520
ROYAL BANK OF CANADA,798274,2025-09-30,489230
GOLDMAN SACHS GROUP INC,770538,2025-09-30,-449128
JPMORGAN CHASE & CO,665793,2025-09-30,139117
AQR CAPITAL MANAGEMENT LLC,662177,2025-09-30,188380
UBS ASSET MANAGEMENT AMERICAS INC,637389,2025-09-30,-137677
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,633407,2025-09-30,532875
MILLENNIUM MANAGEMENT LLC,626879,2025-09-30,-1061715
WELCH & FORBES LLC,595309,2025-09-30,-935
SCHWARTZ INVESTMENT COUNSEL INC,590333,2025-09-30,0
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",578830,2025-09-30,-2240
WELLS FARGO & COMPANY/MN,560656,2025-09-30,14003
DEUTSCHE BANK AG\,557596,2025-09-30,168370
Legal & General Group Plc,525318,2025-09-30,10364
ENVESTNET ASSET MANAGEMENT INC,459452,2025-09-30,60186
Qube Research & Technologies Ltd,446996,2025-09-30,-263720
Quantinno Capital Management LP,431979,2025-09-30,163492
FIL Ltd,426072,2025-09-30,-127074
RENAISSANCE TECHNOLOGIES LLC,407900,2025-09-30,-207200
"NICHOLAS COMPANY, INC.",390763,2025-09-30,-175
BERKSHIRE ASSET MANAGEMENT LLC/PA,388854,2025-09-30,15060
"LORD, ABBETT & CO. LLC",356704,2025-09-30,-340036
CONFLUENCE INVESTMENT MANAGEMENT LLC,329070,2025-09-30,-2596
"NATIXIS ADVISORS, L.P.",319113,2025-09-30,97531
CITADEL ADVISORS LLC,301572,2025-09-30,-100119
Treasurer of the State of North Carolina,294501,2025-09-30,-3114
Robeco Schweiz AG,293470,2025-09-30,-167
"Gotham Asset Management, LLC",292566,2025-09-30,38750
SCHRODER INVESTMENT MANAGEMENT GROUP,292516,2025-09-30,137570
Northwest & Ethical Investments L.P.,289644,2025-09-30,90216
"Nuveen, LLC",280051,2025-09-30,-19394
ALPS ADVISORS INC,273216,2025-09-30,45299
RHUMBLINE ADVISERS,248261,2025-09-30,-3992
"MARSHALL WACE, LLP",244251,2025-09-30,164758
BARCLAYS PLC,237684,2025-09-30,-187737
MASSMUTUAL TRUST CO FSB/ADV,236461,2025-09-30,2259
"BNP PARIBAS ARBITRAGE, SNC",230558,2025-09-30,-37916
PRICE T ROWE ASSOCIATES INC /MD/,228497,2025-09-30,-7242
Swiss National Bank,225400,2025-09-30,1000
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,223126,2025-09-30,11950
"Cresset Asset Management, LLC",211470,2025-09-30,627
"MATHER GROUP, LLC.",202410,2025-09-30,-4097
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",197317,2025-09-30,-838
Distillate Capital Partners LLC,190849,2025-09-30,-3539
AMERIPRISE FINANCIAL INC,189880,2025-09-30,133148
STIFEL FINANCIAL CORP,188374,2025-09-30,-62624
VAN ECK ASSOCIATES CORP,181594,2025-09-30,-4829
Janney Montgomery Scott LLC,177007,2025-09-30,-9641
"Brandywine Global Investment Management, LLC",174176,2025-09-30,64088
"Baird Financial Group, Inc.",171962,2025-09-30,-1508
HSBC HOLDINGS PLC,164049,2025-09-30,-12350
Squarepoint Ops LLC,162958,2025-09-30,43072
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",159157,2025-09-30,-165309
HEARTLAND ADVISORS INC,155593,2025-09-30,-15046
Universal- Beteiligungs- und Servicegesellschaft mbH,154454,2025-09-30,37741
Perpetual Ltd,154206,2025-09-30,12600
Thematics Asset Management,147000,2025-09-30,0
RAYMOND JAMES FINANCIAL INC,146585,2025-09-30,35693
CAPTRUST FINANCIAL ADVISORS,145468,2025-09-30,-314159
"Edgestream Partners, L.P.",144231,2025-09-30,12380
HRT FINANCIAL LP,143426,2025-09-30,-54570
CAPITAL FUND MANAGEMENT S.A.,141082,2025-09-30,18709
PRINCIPAL FINANCIAL GROUP INC,140731,2025-09-30,-12886
ALLIANCEBERNSTEIN L.P.,137741,2025-09-30,-23902
CIBC Asset Management Inc,132828,2025-09-30,5317
PATTEN & PATTEN INC/TN,130112,2025-09-30,-6322
DekaBank Deutsche Girozentrale,128054,2025-09-30,0
C WorldWide Group Holding A/S,126222,2025-09-30,-230
"Alyeska Investment Group, L.P.",125030,2025-09-30,-12527
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,115289,2025-09-30,-11006
BANK OF MONTREAL /CAN/,112929,2025-09-30,9683
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,109849,2025-09-30,-4278
LPL Financial LLC,109321,2025-09-30,3457
"YOUSIF CAPITAL MANAGEMENT, LLC",106750,2025-09-30,-5895
GUGGENHEIM CAPITAL LLC,106242,2025-09-30,-3442
TRUIST FINANCIAL CORP,106019,2025-09-30,5361
"REINHART PARTNERS, INC.",104968,2025-09-30,-4292
BENJAMIN EDWARDS INC,101087,2025-09-30,22019
BLI - Banque de Luxembourg Investments,100300,2025-09-30,0
Trexquant Investment LP,98621,2025-09-30,-55600
VICTORY CAPITAL MANAGEMENT INC,98550,2025-09-30,-1657
GUARDCAP ASSET MANAGEMENT Ltd,98456,2025-09-30,-123560
CITIGROUP INC,97335,2025-09-30,2953
Man Group plc,95201,2025-09-30,-86786
NEW YORK STATE COMMON RETIREMENT FUND,93591,2025-09-30,3600
OPPENHEIMER & CO INC,93447,2025-09-30,64648
"SEIZERT CAPITAL PARTNERS, LLC",92433,2025-09-30,-18467
DARK FOREST CAPITAL MANAGEMENT LP,92226,2025-09-30,-6303
PRUDENTIAL FINANCIAL INC,91388,2025-09-30,18971
"Jump Financial, LLC",88971,2025-09-30,-320386
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,86965,2025-09-30,-104
Boston Partners,86107,2025-09-30,-15
"LEVEL FOUR ADVISORY SERVICES, LLC",85867,2025-09-30,1142
STATE OF WISCONSIN INVESTMENT BOARD,84868,2025-09-30,-32696
BNP Paribas Asset Management Holding S.A.,83765,2025-09-30,24691
Atwater Malick LLC,83702,2025-09-30,-32551
"Point72 Asset Management, L.P.",82190,2025-09-30,-10198
AXA Investment Managers S.A.,81447,2025-09-30,81447
"COMMONWEALTH EQUITY SERVICES, LLC",80565,2025-09-30,-3995
"Hunter Perkins Capital Management, LLC",79106,2025-09-30,-1445
"Bridgewater Associates, LP",76251,2025-09-30,76251
Rockefeller Capital Management L.P.,72309,2025-09-30,-1954
ST GERMAIN D J CO INC,72288,2025-09-30,554
"Sumitomo Mitsui Trust Holdings, Inc.",70662,2025-09-30,-6111
"GAMCO INVESTORS, INC. ET AL",70500,2025-09-30,0
COMMERCE BANK,69814,2025-09-30,-134
NATIONAL BANK OF CANADA /FI/,69796,2025-09-30,-10833
Regents Gate Capital LLP,67575,2025-09-30,67575
Creative Planning,66161,2025-09-30,12754
"Lighthouse Investment Partners, LLC",64052,2025-09-30,64052
WORLDQUANT MILLENNIUM ADVISORS LLC,63534,2025-09-30,-604121
"Russell Investments Group, Ltd.",62984,2025-09-30,-1108
Y-Intercept (Hong Kong) Ltd,62640,2025-09-30,-80883
BI Asset Management Fondsmaeglerselskab A/S,61266,2025-09-30,0
"Foyston, Gordon, & Payne Inc",59904,2025-09-30,-1902
BROWN BROTHERS HARRIMAN & CO,59658,2025-09-30,-6356
Point72 Hong Kong Ltd,58994,2025-09-30,39040
"Chevy Chase Trust Holdings, LLC",58313,2025-09-30,-3085
Cetera Investment Advisers,56162,2025-09-30,29679
"JANE STREET GROUP, LLC",55195,2025-09-30,-200500
JANUS HENDERSON GROUP PLC,54168,2025-09-30,-13779
Handelsbanken Fonder AB,53700,2025-09-30,30200
"LBMC INVESTMENT ADVISORS, LLC",52918,2025-09-30,0
"Lafayette Investments, Inc.",51548,2025-09-30,-375
"THOMPSON INVESTMENT MANAGEMENT, INC.",51010,2025-09-30,-827
Police & Firemen's Retirement System of New Jersey,50627,2025-09-30,6495
Assenagon Asset Management S.A.,49781,2025-09-30,41384
"ExodusPoint Capital Management, LP",49679,2025-09-30,-39341
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",49612,2025-09-30,-15376
Quest Partners LLC,49045,2025-09-30,10462
TORONTO DOMINION BANK,49027,2025-09-30,23500
"ADAGE CAPITAL PARTNERS GP, L.L.C.",48992,2025-09-30,48992
NOMURA HOLDINGS INC,47662,2025-09-30,18321
Quantbot Technologies LP,46777,2025-09-30,-29700
Hillsdale Investment Management Inc.,46600,2025-09-30,46600
JOHNSON INVESTMENT COUNSEL INC,46040,2025-09-30,2396
Jain Global LLC,45281,2025-09-30,1786
"WealthPlan Investment Management, LLC",44274,2025-09-30,-644
GREAT WEST LIFE ASSURANCE CO /CAN/,44085,2025-09-30,-420
"Legacy Financial Strategies, LLC",42584,2025-09-30,1187
MARIETTA INVESTMENT PARTNERS LLC,42507,2025-09-30,0
HARVEY INVESTMENT CO LLC,42120,2025-09-30,5025
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,41368,2025-09-30,-2439
"Cubist Systematic Strategies, LLC",40611,2025-09-30,-318201
