date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,recordDate,declarationDate,adjDividend,paymentDate
2026-01-02,447.73,465.64,447.62,463.03,463.03,526279,526279,15.3,3.42,456.005,"January 02, 26",0.0342,,,,,
2025-12-31,451.18,451.18,443.96,444.11,444.11,249495,249495,-7.07,-1.57,447.6075,"December 31, 25",-0.0157,,,,,
2025-12-30,450.4,454.46,446.1,446.61,446.61,223008,223008,-3.79,-0.84147,449.3925,"December 30, 25",-0.0084147,,,,,
2025-12-29,452.89,456.46,451.19,451.39,451.39,253069,253069,-1.5,-0.33121,452.9825,"December 29, 25",-0.0033121,,,,,
2025-12-26,455.14,456.32,451.78,454.94,454.94,163815,163815,-0.2,-0.04394252,454.545,"December 26, 25",-0.0004394252,,,,,
2025-12-24,457.4,460.4,452.32,456.28,456.28,117064,117064,-1.12,-0.24486,456.6,"December 24, 25",-0.0024486,,,,,
2025-12-23,449.39,457.75,449.39,455.92,455.92,374354,374354,6.53,1.45,453.1125,"December 23, 25",0.0145,,,,,
2025-12-22,447.71,452.76,445.01,451.03,451.03,335520,335520,3.32,0.74155,449.1275,"December 22, 25",0.0074155,,,,,
2025-12-19,436.03,443.64,433.57,442.51,442.51,989476,989476,6.48,1.49,438.9375,"December 19, 25",0.0149,,,,,
2025-12-18,436.98,440.19,430.77,434.85,434.85,597282,597282,-2.13,-0.48744,435.6975,"December 18, 25",-0.0048744,,,,,
2025-12-17,437.05,440.24,424.69,429.68,429.68,599833,599833,-7.37,-1.69,432.915,"December 17, 25",-0.0169,,,,,
2025-12-16,445.27,447.63,437.51,438.42,438.42,486525,486525,-6.85,-1.54,442.2075,"December 16, 25",-0.0154,,,,,
2025-12-15,454.78,454.78,444,444.84,444.84,571492,571492,-9.94,-2.19,449.6,"December 15, 25",-0.0219,,,,,
2025-12-12,460.21,466.67,446.34,448,448,1177643,1177643,-12.21,-2.65,455.305,"December 12, 25",-0.0265,,,,,
2025-12-11,448.15,464.37,446.39,462.82,462.82,572950,572950,14.67,3.27,455.4325,"December 11, 25",0.0327,,,,,
2025-12-10,439.37,449.98,437.8,448.18,448.18,467933,467933,8.81,2.01,443.8325,"December 10, 25",0.0201,,,,,
2025-12-09,438.41,443.63,438.07,438.7,438.7,357359,357359,0.29,0.06614813,439.7025,"December 09, 25",0.0006614813,,,,,
2025-12-08,439.68,449.36,435.42,441.51,441.51,353026,353026,1.83,0.41621,441.4925,"December 08, 25",0.0041621,,,,,
2025-12-05,436.61,442.82,435.73,440.53,440.53,389051,389051,3.92,0.89783,438.9225,"December 05, 25",0.0089783,,,,,
2025-12-04,428.03,439.44,425.84,437.71,437.71,372260,372260,9.68,2.26,432.755,"December 04, 25",0.0226,,,,,
2025-12-03,426.4,431.26,422.1,429.34,429.34,338321,338321,2.94,0.68949,427.275,"December 03, 25",0.0068949,,,,,
2025-12-02,428.4,430.7,422.39,427.48,427.48,445133,445133,-0.92,-0.21475,427.2425,"December 02, 25",-0.0021475,,,,,
2025-12-01,426.61,432.9,425.82,427.85,427.85,383611,383611,1.24,0.29066,428.295,"December 01, 25",0.0029066,,,,,
2025-11-28,428.01,432.44,427.1,431.43,431.43,177382,177382,3.42,0.79905,429.745,"November 28, 25",0.0079905,1.42,2025-11-28,2025-10-23,1.42,2025-12-15
2025-11-26,429.91,433.46,428.32,428.47,427.05,325525,325525,-1.44,-0.33495,430.04,"November 26, 25",-0.0033495,,,,,
2025-11-25,424.69,431.08,420.29,429.82,428.4,274930,274930,5.13,1.21,426.47,"November 25, 25",0.0121,,,,,
2025-11-24,421.94,430.8,417.8,424.08,422.67,516418,516418,2.14,0.50718,423.655,"November 24, 25",0.0050718,,,,,
2025-11-21,407.59,423.49,403.82,421.84,420.44,760070,760070,14.25,3.5,414.185,"November 21, 25",0.035,,,,,
2025-11-20,430.16,432.48,405.16,407.36,406.01,740369,740369,-22.8,-5.3,418.79,"November 20, 25",-0.053,,,,,
2025-11-19,420.09,422.89,415.96,419.09,417.7,395189,395189,-1,-0.23804,419.5075,"November 19, 25",-0.0023804,,,,,
2025-11-18,415.9,420.17,412.25,417.28,415.9,578828,578828,1.38,0.33181,416.4,"November 18, 25",0.0033181,,,,,
2025-11-17,429.81,434.13,419.5,420.57,419.18,546769,546769,-9.24,-2.15,426.0025,"November 17, 25",-0.0215,,,,,
2025-11-14,430.51,439.44,428.11,432.82,431.39,508626,508626,2.31,0.53657,432.72,"November 14, 25",0.0053657,,,,,
2025-11-13,450.86,451.96,435.82,437.65,436.2,477583,477583,-13.21,-2.93,444.0725,"November 13, 25",-0.0293,,,,,
2025-11-12,453.99,456.4,446.01,453,451.5,430817,430817,-0.99,-0.21807,452.35,"November 12, 25",-0.0021807,,,,,
2025-11-11,460.68,460.83,449.86,450.12,448.63,437780,437780,-10.56,-2.29,455.3725,"November 11, 25",-0.0229,,,,,
2025-11-10,465.23,468.52,456.47,462.28,460.75,655435,655435,-2.95,-0.63409,463.125,"November 10, 25",-0.0063409,,,,,
2025-11-07,455.69,463.7,453.08,462.43,460.9,533812,533812,6.74,1.48,458.725,"November 07, 25",0.0148,,,,,
2025-11-06,469.52,474.25,460.32,461.47,459.94,482293,482293,-8.05,-1.71,466.39,"November 06, 25",-0.0171,,,,,
2025-11-05,460.38,473.8,456.83,468.06,466.51,531369,531369,7.68,1.67,464.7675,"November 05, 25",0.0167,,,,,
2025-11-04,462.14,465.89,453.54,459.44,457.92,746246,746246,-2.7,-0.58424,460.2525,"November 04, 25",-0.0058424,,,,,
2025-11-03,471,473.41,465.76,467.61,466.06,634925,634925,-3.39,-0.71975,469.445,"November 03, 25",-0.0071975,,,,,
2025-10-31,472.7,477.29,467.53,470,468.44,725627,725627,-2.7,-0.57119,471.88,"October 31, 25",-0.0057119,,,,,
2025-10-30,468,484.26,465.87,469.96,468.4,829733,829733,1.96,0.4188,472.0225,"October 30, 25",0.004188,,,,,
2025-10-29,463.29,478.55,458.96,472.57,471.01,1216536,1216536,9.28,2,468.3425,"October 29, 25",0.02,,,,,
2025-10-28,425.5,456.58,415.95,455.34,453.83,1677955,1677955,29.84,7.01,438.3425,"October 28, 25",0.0701,,,,,
2025-10-27,438.53,440.69,432.39,433.98,432.54,633160,633160,-4.55,-1.04,436.3975,"October 27, 25",-0.0104,,,,,
2025-10-24,440.08,440.08,434.23,434.39,432.95,300601,300601,-5.69,-1.29,437.195,"October 24, 25",-0.0129,,,,,
2025-10-23,425.72,433.71,425.72,433.27,431.84,291900,291900,7.55,1.77,429.605,"October 23, 25",0.0177,,,,,
2025-10-22,437.78,438.27,420.8,422.63,421.23,630831,630831,-15.15,-3.46,429.87,"October 22, 25",-0.0346,,,,,
2025-10-21,429.45,437.69,427.88,435.29,433.85,342407,342407,5.84,1.36,432.5775,"October 21, 25",0.0136,,,,,
2025-10-20,431.17,434.67,428.13,431.65,430.22,219249,219249,0.48,0.11132,431.405,"October 20, 25",0.0011132,,,,,
2025-10-17,427.53,432.44,423.97,425.71,424.3,362518,362518,-1.82,-0.4257,427.4125,"October 17, 25",-0.004257,,,,,
2025-10-16,436.94,437.39,424.02,428.82,427.4,335943,335943,-8.12,-1.86,431.7925,"October 16, 25",-0.0186,,,,,
2025-10-15,433.48,438.08,428.29,434.05,432.61,794105,794105,0.57,0.13149,433.475,"October 15, 25",0.0013149,,,,,
2025-10-14,412.94,433.77,412.52,427.43,426.02,588585,588585,14.49,3.51,421.665,"October 14, 25",0.0351,,,,,
2025-10-13,412.15,421.07,410.98,418.72,417.33,449415,449415,6.57,1.59,415.73,"October 13, 25",0.0159,,,,,
2025-10-10,421.23,425.07,408.3,408.46,407.11,402979,402979,-12.77,-3.03,415.765,"October 10, 25",-0.0303,,,,,
2025-10-09,420.7,421.21,411.58,418.89,417.5,460527,460527,-1.81,-0.43024,418.095,"October 09, 25",-0.0043024,,,,,
2025-10-08,413.72,420.24,408.51,419.67,418.28,528884,528884,5.95,1.44,415.535,"October 08, 25",0.0144,,,,,
2025-10-07,416.45,419.99,410.53,412.93,411.56,472912,472912,-3.52,-0.84524,414.975,"October 07, 25",-0.0084524,,,,,
2025-10-06,420.34,420.91,411.09,413.05,411.68,624273,624273,-7.29,-1.73,416.3475,"October 06, 25",-0.0173,,,,,
2025-10-03,423.72,424.07,411.75,413,411.63,776557,776557,-10.72,-2.53,418.135,"October 03, 25",-0.0253,,,,,
2025-10-02,434.61,436.78,419.32,423.42,422.02,549445,549445,-11.19,-2.57,428.5325,"October 02, 25",-0.0257,,,,,
2025-10-01,426.79,435.5,425.78,430.47,429.05,327415,327415,3.68,0.86225,429.635,"October 01, 25",0.0086225,,,,,
2025-09-30,424.56,431.07,424.56,430.31,428.89,351895,351895,5.75,1.35,427.625,"September 30, 25",0.0135,,,,,
2025-09-29,428.52,429.37,423.53,426.44,425.03,562951,562951,-2.08,-0.48539,426.965,"September 29, 25",-0.0048539,,,,,
2025-09-26,421.3,426.14,416.22,425.22,423.81,485634,485634,3.92,0.93045,422.22,"September 26, 25",0.0093045,,,,,
2025-09-25,425.39,427.41,418.19,420.44,419.05,577105,577105,-4.95,-1.16,422.8575,"September 25, 25",-0.0116,,,,,
2025-09-24,436.19,437.24,430.81,431.16,429.73,485696,485696,-5.03,-1.15,433.85,"September 24, 25",-0.0115,,,,,
2025-09-23,440.43,442,431.51,435.23,433.79,470300,470300,-5.2,-1.18,437.2925,"September 23, 25",-0.0118,,,,,
2025-09-22,439.56,440.01,428.33,438.49,437.04,629598,629598,-1.07,-0.24343,436.5975,"September 22, 25",-0.0024343,,,,,
2025-09-19,442.98,444.25,436.35,441.44,439.98,732542,732542,-1.54,-0.34765,441.255,"September 19, 25",-0.0034765,,,,,
2025-09-18,436.41,443.48,432.2,440.1,438.64,401463,401463,3.69,0.84554,438.0475,"September 18, 25",0.0084554,,,,,
2025-09-17,435.28,440.66,429.57,433.26,431.83,440614,440614,-2.02,-0.46407,434.6925,"September 17, 25",-0.0046407,,,,,
2025-09-16,438.36,438.78,431.85,435.44,434,457196,457196,-2.92,-0.66612,436.1075,"September 16, 25",-0.0066612,,,,,
2025-09-15,438.68,442.18,433.94,438.11,436.66,658244,658244,-0.57,-0.12994,438.2275,"September 15, 25",-0.0012994,,,,,
2025-09-12,449.55,450.91,436.8,437.43,435.98,729280,729280,-12.12,-2.7,443.6725,"September 12, 25",-0.027,,,,,
2025-09-11,441.57,452.24,439.36,450.93,449.44,541351,541351,9.36,2.12,446.025,"September 11, 25",0.0212,,,,,
2025-09-10,441.48,453.2,439.67,442.33,440.87,538637,538637,0.85,0.19253,444.17,"September 10, 25",0.0019253,,,,,
2025-09-09,435.06,437.67,427.85,437.24,435.79,344619,344619,2.18,0.50108,434.455,"September 09, 25",0.0050108,,,,,
2025-09-08,436.01,437.38,430.06,436.62,435.17,453016,453016,0.61,0.13991,435.0175,"September 08, 25",0.0013991,,,,,
2025-09-05,439.63,443,429,436.04,434.6,395847,395847,-3.59,-0.8166,436.9175,"September 05, 25",-0.008166,,,,,
2025-09-04,430,437.53,426.89,437.16,435.71,434995,434995,7.16,1.67,432.895,"September 04, 25",0.0167,,,,,
2025-09-03,432.4,432.4,424.31,428.8,427.38,351022,351022,-3.6,-0.83256,429.4775,"September 03, 25",-0.0083256,,,,,
2025-09-02,430.61,431.33,422.14,430.15,428.73,422755,422755,-0.46,-0.10683,428.5575,"September 02, 25",-0.0010683,,,,,
2025-08-29,442.25,443.63,429.69,430.99,429.56,579238,579238,-11.26,-2.55,436.64,"August 29, 25",-0.0255,1.32,2025-08-29,2025-07-25,1.32,2025-09-15
2025-08-28,447.11,450.39,444.36,445.8,443.01,481397,481397,-1.31,-0.29299,446.915,"August 28, 25",-0.0029299,,,,,
2025-08-27,441.55,447.47,438.26,446.06,443.27,334424,334424,4.51,1.02,443.335,"August 27, 25",0.0102,,,,,
2025-08-26,436.87,443.11,436.87,442.52,439.75,546797,546797,5.65,1.29,439.8425,"August 26, 25",0.0129,,,,,
2025-08-25,439.89,442.13,436.84,437.56,434.82,280425,280425,-2.33,-0.52968,439.105,"August 25, 25",-0.0052968,,,,,
2025-08-22,429.98,445.76,429.66,440.85,438.09,326643,326643,10.87,2.53,436.5625,"August 22, 25",0.0253,,,,,
2025-08-21,428.11,430.58,425.4,427.57,424.89,415357,415357,-0.54,-0.12614,427.915,"August 21, 25",-0.0012614,,,,,
2025-08-20,430.23,431.32,424.93,429.96,427.27,345961,345961,-0.27,-0.06275713,429.11,"August 20, 25",-0.0006275713,,,,,
2025-08-19,432.12,433.41,427.57,432.81,430.1,329979,329979,0.69,0.15968,431.4775,"August 19, 25",0.0015968,,,,,
2025-08-18,427.9,433.07,426,432.22,429.51,366493,366493,4.32,1.01,429.7975,"August 18, 25",0.0101,,,,,
2025-08-15,438.39,438.56,427.02,427.65,424.97,510464,510464,-10.74,-2.45,432.905,"August 15, 25",-0.0245,,,,,
2025-08-14,439.47,441.95,434.98,437.67,434.93,473414,473414,-1.8,-0.40958,438.5175,"August 14, 25",-0.0040958,,,,,
2025-08-13,434.04,445.06,427.32,443.95,441.17,765491,765491,9.91,2.28,437.5925,"August 13, 25",0.0228,,,,,
2025-08-12,421.67,434.36,420,432.14,429.43,414539,414539,10.47,2.48,427.0425,"August 12, 25",0.0248,,,,,
2025-08-11,418.66,420.94,416.79,417.54,414.93,290347,290347,-1.12,-0.26752,418.4825,"August 11, 25",-0.0026752,,,,,
2025-08-08,420.04,420.95,416.19,418.65,416.03,254634,254634,-1.39,-0.33092,418.9575,"August 08, 25",-0.0033092,,,,,
2025-08-07,428.04,428.04,415.57,417.84,415.22,459235,459235,-10.2,-2.38,422.3725,"August 07, 25",-0.0238,,,,,
2025-08-06,424.16,425.7,417.96,423.57,420.92,535949,535949,-0.59,-0.1391,422.8475,"August 06, 25",-0.001391,,,,,
2025-08-05,430,431.54,421.56,427.67,424.99,554198,554198,-2.33,-0.54186,427.6925,"August 05, 25",-0.0054186,,,,,
2025-08-04,426.46,431.19,423.53,429.06,426.37,553272,553272,2.6,0.60967,427.56,"August 04, 25",0.0060967,,,,,
