date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,declarationDate,adjDividend,paymentDate,dividend
2026-01-05,67.58,68.15,67.35,68.0839,68.0839,90756,90756,0.5039,0.7456348,67.86,"January 05, 26",0.007456348,,,,,
2026-01-02,68.67,68.68,67.79,67.96,67.96,1332343,1332343,-0.71,-1.03,68.275,"January 02, 26",-0.0103,,,,,
2025-12-31,69.6,69.6,68.86,69.03,69.03,959515,959515,-0.57,-0.81897,69.2725,"December 31, 25",-0.0081897,,,,,
2025-12-30,69.63,69.87,69.38,69.6,69.6,707635,707635,-0.035,-0.04308488,69.62,"December 30, 25",-0.0004308488,,,,,
2025-12-29,69.72,69.97,69.59,69.79,69.79,677644,677644,0.07,0.1004,69.7675,"December 29, 25",0.001004,,,,,
2025-12-26,69.49,69.68,69.14,69.55,69.55,479009,479009,0.06,0.08634336,69.465,"December 26, 25",0.0008634336,,,,,
2025-12-24,69.18,69.68,69.08,69.55,69.55,379928,379928,0.37,0.53484,69.3725,"December 24, 25",0.0053484,,,,,
2025-12-23,69.28,69.28,68.56,69.12,69.12,989460,989460,-0.16,-0.23095,69.06,"December 23, 25",-0.0023095,,,,,
2025-12-22,68.16,69.33,68.1,69.11,69.11,1364300,1364300,0.95,1.39,68.675,"December 22, 25",0.0139,,,,,
2025-12-19,67.48,68.8,67.29,68.55,68.55,3813100,3813100,1.07,1.59,68.03,"December 19, 25",0.0159,,,,,
2025-12-18,67.89,68.1,67.25,67.71,67.71,1866956,1866956,-0.18,-0.26513,67.7375,"December 18, 25",-0.0026513,,,,,
2025-12-17,67.1,68.16,66.86,68.05,68.05,1489214,1489214,0.95,1.42,67.5425,"December 17, 25",0.0142,,,,,
2025-12-16,68.31,68.44,66.94,67.16,67.16,1529035,1529035,-1.15,-1.68,67.7125,"December 16, 25",-0.0168,,,,,
