date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,declarationDate,paymentDate,recordDate,adjDividend
2026-01-05,219.01,224.08,217.02,222.315,222.315,301457,301457,3.31,1.50906,221.14,"January 05, 26",0.0150906,,,,,
2026-01-02,217.82,220.46,215.1,219.88,219.88,675500,675500,2.06,0.94574,218.315,"January 02, 26",0.0094574,,,,,
2025-12-31,224.47,225.01,217.87,218.02,218.02,725904,725904,-6.45,-2.87,221.3425,"December 31, 25",-0.0287,,,,,
2025-12-30,225.52,226.11,224.18,224.96,224.96,719900,719900,-0.56,-0.24832,225.1925,"December 30, 25",-0.0024832,,,,,
2025-12-29,227.71,227.71,223.44,226.11,226.11,878800,878800,-1.6,-0.70265,226.2425,"December 29, 25",-0.0070265,,,,,
2025-12-26,226.82,227.76,226.43,227.64,227.64,247000,247000,0.82,0.36152,227.1625,"December 26, 25",0.0036152,,,,,
2025-12-24,228.13,229.15,225.47,227.08,227.08,171000,171000,-1.05,-0.46026,227.4575,"December 24, 25",-0.0046026,,,,,
2025-12-23,226.62,228.01,225.11,227.27,227.27,593700,593700,0.65,0.28682,226.7525,"December 23, 25",0.0028682,,,,,
2025-12-22,226.47,227.68,224.49,226.64,226.64,748600,748600,0.17,0.07506513,226.32,"December 22, 25",0.0007506513,,,,,
2025-12-19,224.69,228.44,224.69,227.46,227.46,1411825,1411825,2.77,1.23,226.32,"December 19, 25",0.0123,,,,,
2025-12-18,225.66,228.73,224.44,224.74,224.74,622209,622209,-0.92,-0.40769,225.8925,"December 18, 25",-0.0040769,,,,,
2025-12-17,221.07,225.76,219.69,224.9,224.9,861232,861232,3.83,1.73,222.855,"December 17, 25",0.0173,,,,,
2025-12-16,223.58,225.24,221.62,222.64,222.64,952500,952500,-0.94,-0.42043,223.27,"December 16, 25",-0.0042043,,,,,
2025-12-15,222.43,225.29,220.01,223.87,223.87,1131100,1131100,1.44,0.64739,222.9,"December 15, 25",0.0064739,,,,,
2025-12-12,224.61,226,220.94,222.6,222.6,763818,763818,-2.01,-0.89488,223.5375,"December 12, 25",-0.0089488,,,,,
2025-12-11,224.01,224.92,220.24,224.58,224.58,730244,730244,0.57,0.25445,223.4375,"December 11, 25",0.0025445,,,,,
2025-12-10,225.15,225.55,219.94,222.85,222.85,794900,794900,-2.3,-1.02,223.3725,"December 10, 25",-0.0102,,,,,
2025-12-09,227.04,230.16,224.29,225.35,225.35,496208,496208,-1.69,-0.74436,226.71,"December 09, 25",-0.0074436,,,,,
2025-12-08,230.78,230.78,224.63,226.13,226.13,763100,763100,-4.65,-2.01,228.08,"December 08, 25",-0.0201,,,,,
