date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,paymentDate,recordDate,dividend,adjDividend
2026-01-02,416.7,425.41,416,425.28,425.28,398200,398200,8.58,2.06,420.85,"January 02, 26",0.0206,,,,,
2025-12-31,421.96,423.92,416.19,416.82,416.82,389900,389900,-5.14,-1.22,419.72,"December 31, 25",-0.0122,,,,,
2025-12-30,421.29,424.65,419.55,421.92,421.92,243800,243800,0.63,0.14954,421.85,"December 30, 25",0.0014954,,,,,
2025-12-29,424.75,426,420.81,421.25,421.25,326000,326000,-3.5,-0.82401,423.2,"December 29, 25",-0.0082401,,,,,
2025-12-26,424.71,426.97,423.49,425.56,425.56,214700,214700,0.85,0.20014,425.18,"December 26, 25",0.0020014,,,,,
2025-12-24,425.66,428.26,424,425.43,425.43,195000,195000,-0.23,-0.05403374,425.84,"December 24, 25",-0.0005403374,,,,,
2025-12-23,426.72,431.94,424.23,426.18,426.18,491700,491700,-0.54,-0.12655,427.27,"December 23, 25",-0.0012655,,,,,
2025-12-22,430.86,431.33,426.26,427.89,427.89,644300,644300,-2.97,-0.68932,429.08,"December 22, 25",-0.0068932,,,,,
2025-12-19,432.46,434.3,428.19,431.51,431.51,958300,958300,-0.95,-0.21967,431.61,"December 19, 25",-0.0021967,,,,,
2025-12-18,438.1,442.35,430.71,431.37,431.37,710500,710500,-6.73,-1.54,435.63,"December 18, 25",-0.0154,,,,,
2025-12-17,433.25,442,432,438.42,438.42,580800,580800,5.17,1.19,436.42,"December 17, 25",0.0119,,,,,
2025-12-16,437.5,439.12,432.48,433.9,433.9,696100,696100,-3.6,-0.82286,435.75,"December 16, 25",-0.0082286,,,,,
2025-12-15,429.68,440.08,427.95,437.5,437.5,815100,815100,7.82,1.82,433.8,"December 15, 25",0.0182,2025-10-07,2025-12-26,2025-12-15,1.74,1.74
2025-12-12,435,438.4,430.26,431.73,429.99,552900,552900,-3.27,-0.75172,433.85,"December 12, 25",-0.0075172,,,,,
2025-12-11,419.22,434,418.4,433.67,431.92,552600,552600,14.45,3.45,426.32,"December 11, 25",0.0345,,,,,
2025-12-10,417.38,420.13,415.19,418.88,417.19,436000,436000,1.5,0.35938,417.9,"December 10, 25",0.0035938,,,,,
2025-12-09,418.09,421.49,413.12,417.19,415.51,490900,490900,-0.9,-0.21526,417.47,"December 09, 25",-0.0021526,,,,,
2025-12-08,416.96,423.59,414.8,418.47,416.78,651600,651600,1.51,0.36215,418.45,"December 08, 25",0.0036215,,,,,
2025-12-05,426.29,428,415.12,416.55,414.87,751000,751000,-9.74,-2.28,421.49,"December 05, 25",-0.0228,,,,,
2025-12-04,430.82,433.57,426.85,427.07,425.35,570800,570800,-3.75,-0.87043,429.58,"December 04, 25",-0.0087043,,,,,
