date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,adjDividend,recordDate,paymentDate,declarationDate
2026-01-05,466.86,476.85,465.01,473.10999,473.10999,502470,502470,6.25,1.33873,471.66,"January 05, 26",0.0133873,,,,,
2026-01-02,465.8,470.54,462.77,470.39,470.39,531600,531600,4.59,0.9854,467.375,"January 02, 26",0.009854,,,,,
2025-12-31,471.85,471.85,466.08,466.86,466.86,589835,589835,-4.99,-1.06,469.16,"December 31, 25",-0.0106,,,,,
2025-12-30,472.37,474.5,471.01,473.26,473.26,494147,494147,0.89,0.18841,472.785,"December 30, 25",0.0018841,,,,,
2025-12-29,477.49,477.49,468.84,474.02,474.02,795000,795000,-3.47,-0.72672,474.46,"December 29, 25",-0.0072672,,,,,
2025-12-26,474.37,478.91,472,477.13,477.13,437832,437832,2.76,0.58182,475.6025,"December 26, 25",0.0058182,,,,,
2025-12-24,474.58,476.22,471,474.06,474.06,254221,254221,-0.52,-0.10957,473.965,"December 24, 25",-0.0010957,,,,,
2025-12-23,470.03,475.45,468.1,474.04,474.04,660400,660400,4.01,0.85314,471.905,"December 23, 25",0.0085314,,,,,
2025-12-22,471.02,474.04,462.34,472.03,472.03,1346200,1346200,1.01,0.21443,469.8575,"December 22, 25",0.0021443,,,,,
2025-12-19,467.51,473.3,464.09,472.98,472.98,4262500,4262500,5.47,1.17,469.47,"December 19, 25",0.0117,,,,,
2025-12-18,473.47,477.79,465.34,466.56,466.56,1410224,1410224,-6.91,-1.46,470.79,"December 18, 25",-0.0146,,,,,
2025-12-17,468.33,471.99,461,471.85,471.85,1206535,1206535,3.52,0.75161,468.2925,"December 17, 25",0.0075161,,,,,
2025-12-16,477.94,480.87,463.94,469.79,469.79,1436119,1436119,-8.15,-1.71,473.135,"December 16, 25",-0.0171,,,,,
2025-12-15,474.93,477.06,470,476.98,476.98,1420400,1420400,2.05,0.43164,474.7425,"December 15, 25",0.0043164,0.72,0.72,2025-12-15,2025-12-29,2025-10-24
2025-12-12,483.01,485.2,478.67,484.77,484.05,856300,856300,1.76,0.36438,482.9125,"December 12, 25",0.0036438,,,,,
2025-12-11,470.95,482.59,468.73,482.35,481.63,996400,996400,11.4,2.42,476.155,"December 11, 25",0.0242,,,,,
2025-12-10,487.19,488.03,466.22,468.73,468.03,2229554,2229554,-18.46,-3.79,477.5425,"December 10, 25",-0.0379,,,,,
2025-12-09,485.97,491.24,482.33,488.5,487.77,994217,994217,2.53,0.52061,487.01,"December 09, 25",0.0052061,,,,,
2025-12-08,486.7,490.07,483.25,485.15,484.43,1083200,1083200,-1.55,-0.31847,486.2925,"December 08, 25",-0.0031847,,,,,
2025-12-05,489.13,491.14,483.74,486.7,485.98,947315,947315,-2.43,-0.4968,487.6775,"December 05, 25",-0.004968,,,,,
2025-12-04,485.45,491.56,483.39,487.66,486.94,1633400,1633400,2.21,0.45525,487.015,"December 04, 25",0.0045525,,,,,
2025-12-03,500.64,501.74,485.45,486.77,486.05,2025024,2025024,-13.87,-2.77,493.65,"December 03, 25",-0.0277,,,,,
2025-12-02,506.44,508.28,497.31,500.31,499.57,1198905,1198905,-6.13,-1.21,503.085,"December 02, 25",-0.0121,,,,,
2025-12-01,506.38,512.17,502.4,503,502.25,1144537,1144537,-3.38,-0.66748,505.9875,"December 01, 25",-0.0066748,,,,,
2025-11-28,512,513.86,507.84,508.29,507.54,534700,534700,-3.71,-0.72461,510.4975,"November 28, 25",-0.0072461,,,,,
2025-11-26,515.22,520,514.33,514.76,514,1056226,1056226,-0.46,-0.08928225,516.0775,"November 26, 25",-0.0008928225,,,,,
2025-11-25,501.3,517.4,501.12,515.85,515.08,1241021,1241021,14.55,2.9,508.9175,"November 25, 25",0.029,,,,,
2025-11-24,501.26,512.66,493.14,501.04,500.3,3187332,3187332,-0.22,-0.0438894,502.025,"November 24, 25",-0.000438894,,,,,
2025-11-21,479.81,493.8,477,491,490.27,1937861,1937861,11.19,2.33,485.4025,"November 21, 25",0.0233,,,,,
2025-11-20,482,485.74,476,476.28,475.57,1149781,1149781,-5.72,-1.19,480.005,"November 20, 25",-0.0119,,,,,
2025-11-19,478,484.31,467.26,481.06,480.35,1217004,1217004,3.06,0.64017,477.6575,"November 19, 25",0.0064017,,,,,
2025-11-18,476.28,479,471.05,478.14,477.43,1119825,1119825,1.86,0.39053,476.1175,"November 18, 25",0.0039053,,,,,
2025-11-17,475,477.39,469.08,477.1,476.39,1183838,1183838,2.1,0.44211,474.6425,"November 17, 25",0.0044211,,,,,
2025-11-14,475.81,480,470.59,472.65,471.95,1000707,1000707,-3.16,-0.66413,474.7625,"November 14, 25",-0.0066413,,,,,
2025-11-13,469.79,476.97,465.6,473.28,472.57,1253136,1253136,3.49,0.74289,471.41,"November 13, 25",0.0074289,,,,,
2025-11-12,462,479.43,459.96,473.61,472.9,1411838,1411838,11.61,2.51,468.75,"November 12, 25",0.0251,,,,,
2025-11-11,461.6,469.57,458.19,462.31,461.62,1347975,1347975,0.71,0.15381,462.9175,"November 11, 25",0.0015381,,,,,
2025-11-10,455.02,460.1,443.87,459.3,458.62,1716503,1716503,4.28,0.94062,454.5725,"November 10, 25",0.0094062,,,,,
2025-11-07,471.31,478.88,470,476.61,475.9,1186300,1186300,5.3,1.12,474.2,"November 07, 25",0.0112,,,,,
2025-11-06,471.94,475.25,468.72,471.36,470.66,836700,836700,-0.58,-0.1229,471.8175,"November 06, 25",-0.001229,,,,,
2025-11-05,471.07,477.93,465.77,473.2,472.49,1097000,1097000,2.13,0.45216,471.9925,"November 05, 25",0.0045216,,,,,
2025-11-04,462.5,474.23,459.54,471.68,470.98,1490427,1490427,9.18,1.98,466.9875,"November 04, 25",0.0198,,,,,
2025-11-03,457.41,461.61,450,461.56,460.87,1269875,1269875,4.15,0.90728,457.645,"November 03, 25",0.0090728,,,,,
2025-10-31,465.39,466.11,455.94,459.68,459,1511322,1511322,-5.71,-1.23,461.78,"October 31, 25",-0.0123,,,,,
