holder,shares,dateReported,change
VANGUARD GROUP INC,21423838,2025-09-30,97064
PRICE T ROWE ASSOCIATES INC /MD/,17334118,2025-09-30,-1623518
"BlackRock, Inc.",16866234,2025-09-30,319237
STATE STREET CORP,7991616,2025-09-30,17874
"GEODE CAPITAL MANAGEMENT, LLC",5155252,2025-09-30,579299
Boston Partners,4870268,2025-09-30,160728
Capital World Investors,3700709,2025-09-30,58039
"T. Rowe Price Investment Management, Inc.",3349131,2025-09-30,-6197
Swedbank AB,3104797,2025-09-30,-871922
VICTORY CAPITAL MANAGEMENT INC,3021463,2025-09-30,237563
UBS ASSET MANAGEMENT AMERICAS INC,2097724,2025-09-30,-252475
NORTHERN TRUST CORP,2076126,2025-09-30,34098
Invesco Ltd.,2046941,2025-09-30,41037
MORGAN STANLEY,2007838,2025-09-30,326030
"Kovitz Investment Group Partners, LLC",1660090,2025-09-30,25135
Amundi,1646724,2025-09-30,-349538
BESSEMER GROUP INC,1429998,2025-09-30,-3682
"Allspring Global Investments Holdings, LLC",1421437,2025-09-30,1361969
DIMENSIONAL FUND ADVISORS LP,1409620,2025-09-30,-15219
Legal & General Group Plc,1273424,2025-09-30,2839
Woodline Partners LP,1194206,2025-09-30,1194206
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",1134974,2025-09-30,472806
Man Group plc,1069955,2025-09-30,59556
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1049584,2025-09-30,-499
MACKENZIE FINANCIAL CORP,987903,2025-09-30,-66923
LONDON CO OF VIRGINIA,979337,2025-09-30,-47683
WELLS FARGO & COMPANY/MN,970149,2025-09-30,3992
Bank of New York Mellon Corp,959518,2025-09-30,-41086
"Nuveen, LLC",951551,2025-09-30,-255836
JPMORGAN CHASE & CO,934251,2025-09-30,-173404
CITIGROUP INC,920286,2025-09-30,-165543
Saturna Capital CORP,851670,2025-09-30,-328
GOLDMAN SACHS GROUP INC,824838,2025-09-30,105412
JENNISON ASSOCIATES LLC,809795,2025-09-30,-236176
DEUTSCHE BANK AG\,774159,2025-09-30,-49387
BANK OF AMERICA CORP /DE/,770856,2025-09-30,-19337
JANUS HENDERSON GROUP PLC,714945,2025-09-30,94167
"Pacer Advisors, Inc.",683256,2025-09-30,-19396
Findlay Park Partners LLP,679452,2025-09-30,-12300
GREAT WEST LIFE ASSURANCE CO /CAN/,665527,2025-09-30,19690
ROYAL BANK OF CANADA,637994,2025-09-30,133890
FENIMORE ASSET MANAGEMENT INC,632432,2025-09-30,6629
PRIMECAP MANAGEMENT CO/CA/,606695,2025-09-30,-31120
UBS Group AG,578381,2025-09-30,14907
"Madison Asset Management, LLC",571222,2025-09-30,40153
"Alyeska Investment Group, L.P.",519744,2025-09-30,519744
Swiss National Bank,496100,2025-09-30,-26900
EARNEST PARTNERS LLC,466374,2025-09-30,-10645
ANTIPODES PARTNERS Ltd,450454,2025-09-30,-277482
"LORD, ABBETT & CO. LLC",428001,2025-09-30,-664
"Sumitomo Mitsui Trust Holdings, Inc.",415864,2025-09-30,5086
HSBC HOLDINGS PLC,410172,2025-09-30,-38167
ENVESTNET ASSET MANAGEMENT INC,409224,2025-09-30,-2352
LOS ANGELES CAPITAL MANAGEMENT LLC,407339,2025-09-30,74784
AMERIPRISE FINANCIAL INC,380992,2025-09-30,108294
Assenagon Asset Management S.A.,379873,2025-09-30,-35909
BARCLAYS PLC,360199,2025-09-30,-25799
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",343298,2025-09-30,15726
Giverny Capital Inc.,333927,2025-09-30,342
RHUMBLINE ADVISERS,331235,2025-09-30,-4845
CONFLUENCE INVESTMENT MANAGEMENT LLC,326940,2025-09-30,-6429
FIRST MANHATTAN CO. LLC.,318152,2025-09-30,-163570
TD ASSET MANAGEMENT INC,314700,2025-09-30,-8946
UniSuper Management Pty Ltd,310370,2025-09-30,-130
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,308598,2025-09-30,13987
National Pension Service,291237,2025-09-30,6957
RAYMOND JAMES FINANCIAL INC,286540,2025-09-30,-16766
BROWN BROTHERS HARRIMAN & CO,286215,2025-09-30,4210
GENEVA CAPITAL MANAGEMENT LLC,283477,2025-09-30,1850
"Oribel Capital Management, LP",282200,2025-09-30,235400
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,275560,2025-09-30,6571
"NATIXIS ADVISORS, L.P.",273819,2025-09-30,28805
"ARIEL INVESTMENTS, LLC",262266,2025-09-30,-495
"Russell Investments Group, Ltd.",253025,2025-09-30,72560
FMR LLC,252369,2025-09-30,26668
Qube Research & Technologies Ltd,237654,2025-09-30,2549
Carmignac Gestion,235100,2025-09-30,16100
ALLIANCEBERNSTEIN L.P.,209753,2025-09-30,-179
BNP Paribas Asset Management Holding S.A.,208192,2025-09-30,-12596
SNYDER CAPITAL MANAGEMENT L P,207260,2025-09-30,-3715
LAZARD ASSET MANAGEMENT LLC,206333,2025-09-30,7323
AQR CAPITAL MANAGEMENT LLC,205965,2025-09-30,-366871
Raiffeisen Bank International AG,203848,2025-09-30,-7386
CENTRAL SECURITIES CORP,200000,2025-09-30,0
PRINCIPAL FINANCIAL GROUP INC,199838,2025-09-30,-36736
SEI INVESTMENTS CO,191609,2025-09-30,71638
"BNP PARIBAS ARBITRAGE, SNC",189989,2025-09-30,-21659
abrdn plc,189481,2025-09-30,14066
Universal- Beteiligungs- und Servicegesellschaft mbH,185797,2025-09-30,-786
Robeco Institutional Asset Management B.V.,184084,2025-09-30,6504
OSTERWEIS CAPITAL MANAGEMENT INC,175497,2025-09-30,-27738
BALYASNY ASSET MANAGEMENT L.P.,170495,2025-09-30,167069
"Blue Grotto Capital, LLC",167637,2025-09-30,167637
CANADA PENSION PLAN INVESTMENT BOARD,165877,2025-09-30,5417
Rockefeller Capital Management L.P.,163609,2025-09-30,-14678
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,162969,2025-09-30,-2207
Vontobel Holding Ltd.,158732,2025-09-30,-5512
"CIBC Private Wealth Group, LLC",158100,2025-09-30,-3247
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,157121,2025-09-30,31657
Candriam S.C.A.,155945,2025-09-30,-1958
VAN ECK ASSOCIATES CORP,155250,2025-09-30,522
Quantinno Capital Management LP,152569,2025-09-30,4949
CAPITAL FUND MANAGEMENT S.A.,140537,2025-09-30,45194
Treasurer of the State of North Carolina,139814,2025-09-30,59443
BANK OF MONTREAL /CAN/,138487,2025-09-30,16315
AVIVA PLC,136703,2025-09-30,7428
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,131840,2025-09-30,-66
"Connor, Clark & Lunn Investment Management Ltd.",131825,2025-09-30,-8721
"ADAGE CAPITAL PARTNERS GP, L.L.C.",131635,2025-09-30,-1600
Zurcher Kantonalbank (Zurich Cantonalbank),130905,2025-09-30,-16771
Neuberger Berman Group LLC,118536,2025-09-30,313
Korea Investment CORP,113655,2025-09-30,-23511
MCRAE CAPITAL MANAGEMENT INC,112926,2025-09-30,-2200
NEW YORK STATE COMMON RETIREMENT FUND,111218,2025-09-30,-500
Handelsbanken Fonder AB,108192,2025-09-30,-1435
COMMUNITY TRUST & INVESTMENT CO,108170,2025-09-30,942
VOYA INVESTMENT MANAGEMENT LLC,106376,2025-09-30,-3997
MILLENNIUM MANAGEMENT LLC,104682,2025-09-30,-80587
"Leeward Investments, LLC - MA",104307,2025-09-30,-3781
WEYBOSSET RESEARCH & MANAGEMENT LLC,103716,2025-09-30,-164
Pictet Asset Management Holding SA,102802,2025-09-30,-2408
PRUDENTIAL FINANCIAL INC,102715,2025-09-30,-60665
MACQUARIE GROUP LTD,98818,2025-09-30,-3457
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",98799,2025-09-30,-2752
"Ensign Peak Advisors, Inc",96304,2025-09-30,-14290
APG Asset Management N.V.,95600,2025-09-30,0
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,93860,2025-09-30,778
JONES FINANCIAL COMPANIES LLLP,91601,2025-09-30,11583
STATE OF WISCONSIN INVESTMENT BOARD,90643,2025-09-30,-1176
Illinois Municipal Retirement Fund,87841,2025-09-30,10415
"Chevy Chase Trust Holdings, LLC",87837,2025-09-30,-3440
"Gotham Asset Management, LLC",87465,2025-09-30,47027
DekaBank Deutsche Girozentrale,86618,2025-09-30,0
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",83694,2025-09-30,40492
"Asset Management One Co., Ltd.",83618,2025-09-30,-1287
CLIFFORD SWAN INVESTMENT COUNSEL LLC,82427,2025-09-30,-146
ROYAL LONDON ASSET MANAGEMENT LTD,81965,2025-09-30,-475
Leith Wheeler Investment Counsel Ltd.,79808,2025-09-30,-4887
SPEECE THORSON CAPITAL GROUP INC,79620,2025-09-30,-964
Skandinaviska Enskilda Banken AB (publ),79266,2025-09-30,-13102
"Highlander Partners, L.P.",79200,2025-09-30,0
COMMERCE BANK,78783,2025-09-30,-1830
"Bridgewater Associates, LP",78445,2025-09-30,-76267
DANSKE BANK A/S,78050,2025-09-30,-6695
Robeco Schweiz AG,77000,2025-09-30,0
Willis Investment Counsel,76276,2025-09-30,-778
RBO & CO LLC,73954,2025-09-30,130
AMERICAN CENTURY COMPANIES INC,72206,2025-09-30,27206
Mitsubishi UFJ Trust & Banking Corp,69973,2025-09-30,-4028
Delta Global Management LP,69417,2025-09-30,69417
M&G Plc,69170,2025-09-30,69170
Penserra Capital Management LLC,68842,2025-09-30,5552
TORONTO DOMINION BANK,67159,2025-09-30,-5885
Mn Services Vermogensbeheer B.V.,65303,2025-09-30,1200
"Foyston, Gordon, & Payne Inc",64178,2025-09-30,1642
Compagnie Lombard Odier SCmA,63555,2025-09-30,-1177
KLP KAPITALFORVALTNING AS,62100,2025-09-30,2800
"CI Private Wealth, LLC",61224,2025-09-30,-5065
Capital International Sarl,60708,2025-09-30,3716
State of New Jersey Common Pension Fund D,60223,2025-09-30,2869
"Rafferty Asset Management, LLC",59940,2025-09-30,1266
"Crown Oak Advisors, LLC",59012,2025-09-30,0
PRUDENTIAL PLC,58985,2025-09-30,1896
Lansforsakringar Fondforvaltning AB (publ),58658,2025-09-30,5125
THRIVENT FINANCIAL FOR LUTHERANS,58110,2025-09-30,964
Stephens Investment Management Group LLC,57980,2025-09-30,-3990
NOMURA ASSET MANAGEMENT CO LTD,57804,2025-09-30,-222
"PNC FINANCIAL SERVICES GROUP, INC.",57707,2025-09-30,-1214
Calamos Advisors LLC,57161,2025-09-30,9318
"State of Tennessee, Treasury Department",56252,2025-09-30,0
NATIONAL BANK OF CANADA /FI/,56036,2025-09-30,-76319
"Resona Asset Management Co.,Ltd.",56024,2025-09-30,-2289
DnB Asset Management AS,55874,2025-09-30,22117
"May Hill Capital, LLC",54605,2025-09-30,48420
"Concentric Capital Strategies, LP",53875,2025-09-30,1262
"NISA INVESTMENT ADVISORS, LLC",53222,2025-09-30,9530
"BOOTHBAY FUND MANAGEMENT, LLC",53029,2025-09-30,40925
Allianz Asset Management GmbH,52546,2025-09-30,5045
HAHN CAPITAL MANAGEMENT LLC,50808,2025-09-30,-2295
Arizona State Retirement System,50699,2025-09-30,190
LPL Financial LLC,50621,2025-09-30,-2471
"REINHART PARTNERS, INC.",50040,2025-09-30,-2427
OPPENHEIMER ASSET MANAGEMENT INC.,49889,2025-09-30,-3414
TEACHER RETIREMENT SYSTEM OF TEXAS,49582,2025-09-30,-17654
"Baird Financial Group, Inc.",49025,2025-09-30,-1873
Creative Planning,48207,2025-09-30,11938
"THOMPSON INVESTMENT MANAGEMENT, INC.",47688,2025-09-30,-901
STATE OF MICHIGAN RETIREMENT SYSTEM,46531,2025-09-30,-500
US BANCORP \DE\,45580,2025-09-30,-763
"Toroso Investments, LLC",45325,2025-09-30,990
"LMCG INVESTMENTS, LLC",45323,2025-09-30,129
Verition Fund Management LLC,45156,2025-09-30,13004
ASR Vermogensbeheer N.V.,44966,2025-09-30,-4699
"OSBORNE PARTNERS CAPITAL MANAGEMENT, LLC",44938,2025-09-30,-38
FRANKLIN RESOURCES INC,44771,2025-09-30,1668
Czech National Bank,43713,2025-09-30,1472
FIRETRAIL INVESTMENTS PTY LTD,43685,2025-09-30,43685
"MetLife Investment Management, LLC",42700,2025-09-30,-1317
