date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,dividend,recordDate,paymentDate,adjDividend
2025-09-04,204.1,208.83,201.86,207.97,207.89,1121500,1121500,3.87,1.9,205.69,"September 04, 25",0.019,,,,,
2025-09-03,203.65,203.65,201.02,203.2,203.12,1117642,1117642,-0.45,-0.22097,202.88,"September 03, 25",-0.0022097,,,,,
2025-09-02,199.76,202.15,196.93,202.08,202,2109300,2109300,2.32,1.16,200.23,"September 02, 25",0.0116,,,,,
2025-08-29,209.23,210.69,202.96,204.83,204.75,1645256,1645256,-4.4,-2.1,206.9275,"August 29, 25",-0.021,,,,,
2025-08-28,208.75,211.22,208.37,209.87,209.79,1352336,1352336,1.12,0.53653,209.5525,"August 28, 25",0.0053653,,,,,
2025-08-27,208.06,208.56,205.9,207.9,207.82,1125109,1125109,-0.16,-0.07690089,207.605,"August 27, 25",-0.0007690089,,,,,
2025-08-26,209.5,210.05,205.81,208.37,208.29,2141888,2141888,-1.13,-0.53938,208.4325,"August 26, 25",-0.0053938,,,,,
2025-08-25,210.23,212.4,208.69,208.84,208.76,1167339,1167339,-1.39,-0.66118,210.04,"August 25, 25",-0.0066118,,,,,
2025-08-22,205.67,210.32,204.76,209.84,209.76,1033601,1033601,4.17,2.03,207.6475,"August 22, 25",0.0203,,,,,
2025-08-21,204.69,206.6,203.9,205.06,204.98,1049028,1049028,0.37,0.18076,205.0625,"August 21, 25",0.0018076,,,,,
2025-08-20,205.12,205.31,199.61,204.05,203.97,1515968,1515968,-1.07,-0.52165,203.5225,"August 20, 25",-0.0052165,,,,,
2025-08-19,211.6,212.11,204.79,206.1,206.02,2051570,2051570,-5.5,-2.6,208.65,"August 19, 25",-0.026,,,,,
2025-08-18,214.37,216.45,213.71,215.66,215.57,1477200,1477200,1.29,0.60176,215.0475,"August 18, 25",0.0060176,,,,,
2025-08-15,216.48,216.55,211.73,215.33,215.24,1272609,1272609,-1.15,-0.53123,215.0225,"August 15, 25",-0.0053123,2025-07-17,0.08,2025-08-15,2025-09-03,0.08
2025-08-14,217.29,219.38,214.29,217.4,217.23,1654148,1654148,0.11,0.05062359,217.09,"August 14, 25",0.0005062359,,,,,
2025-08-13,230.93,232.42,216.02,219.08,218.91,1843153,1843153,-11.85,-5.13,224.6125,"August 13, 25",-0.0513,,,,,
2025-08-12,224.54,230.5,223.98,230.31,230.13,1135341,1135341,5.77,2.57,227.3325,"August 12, 25",0.0257,,,,,
2025-08-11,224.46,227.44,222.04,222.67,222.5,842292,842292,-1.79,-0.79747,224.1525,"August 11, 25",-0.0079747,,,,,
2025-08-08,222.67,227.06,221.58,224.34,224.17,1315400,1315400,1.67,0.74999,223.9125,"August 08, 25",0.0074999,,,,,
2025-08-07,222.53,222.84,218.39,220.49,220.32,1350733,1350733,-2.04,-0.91673,221.0625,"August 07, 25",-0.0091673,,,,,
2025-08-06,219.63,221.33,217.01,220.68,220.51,1290928,1290928,1.05,0.47808,219.6625,"August 06, 25",0.0047808,,,,,
2025-08-05,224.1,225.77,217.97,219.61,219.44,930930,930930,-4.49,-2,221.8625,"August 05, 25",-0.02,,,,,
2025-08-04,221.2,222.36,218.34,222.29,222.12,1058450,1058450,1.09,0.49277,221.0475,"August 04, 25",0.0049277,,,,,
2025-08-01,218.65,221.82,214,218.56,218.39,1370900,1370900,-0.09,-0.04116167,218.2575,"August 01, 25",-0.0004116167,,,,,
2025-07-31,227.87,228.05,221.03,223.17,223,1203986,1203986,-4.7,-2.06,225.03,"July 31, 25",-0.0206,,,,,
2025-07-30,230,231.92,225.14,226.42,226.24,1151176,1151176,-3.58,-1.56,228.37,"July 30, 25",-0.0156,,,,,
2025-07-29,228,232.84,227.63,230.38,230.2,1791631,1791631,2.38,1.04,229.7125,"July 29, 25",0.0104,,,,,
2025-07-28,221.96,224.8,220.06,224.79,224.61,828706,828706,2.83,1.28,222.9025,"July 28, 25",0.0128,,,,,
2025-07-25,219.28,223.34,219.28,222.55,222.38,854415,854415,3.27,1.49,221.1125,"July 25, 25",0.0149,,,,,
2025-07-24,226.21,226.91,212.3,218.41,218.24,1934707,1934707,-7.8,-3.45,220.9575,"July 24, 25",-0.0345,,,,,
2025-07-23,221.99,229.16,221.75,229.15,228.97,1281858,1281858,7.16,3.23,225.5125,"July 23, 25",0.0323,,,,,
2025-07-22,222.8,223.34,216.68,220.84,220.67,1252275,1252275,-1.96,-0.87971,220.915,"July 22, 25",-0.0087971,,,,,
2025-07-21,224,225.98,221.54,223.2,223.03,1085300,1085300,-0.8,-0.35714,223.68,"July 21, 25",-0.0035714,,,,,
2025-07-18,224.51,226.46,222.88,223.98,223.81,1280131,1280131,-0.53,-0.23607,224.4575,"July 18, 25",-0.0023607,,,,,
2025-07-17,218.27,222.98,217.63,222.23,222.06,1462308,1462308,3.96,1.81,220.2775,"July 17, 25",0.0181,,,,,
2025-07-16,218.53,218.77,214.5,218.29,218.12,1272569,1272569,-0.24,-0.10982,217.5225,"July 16, 25",-0.0010982,,,,,
2025-07-15,222.11,222.8,217.4,218.78,218.61,1356748,1356748,-3.33,-1.5,220.2725,"July 15, 25",-0.015,,,,,
2025-07-14,220.96,222.05,219,220.52,220.35,943160,943160,-0.44,-0.19913,220.6325,"July 14, 25",-0.0019913,,,,,
2025-07-11,220.68,222.67,218.48,222.02,221.85,865700,865700,1.34,0.60721,220.9625,"July 11, 25",0.0060721,,,,,
2025-07-10,221.23,223.34,219.2,220.96,220.79,1196742,1196742,-0.27,-0.12204,221.1825,"July 10, 25",-0.0012204,,,,,
2025-07-09,223.37,223.71,220.05,221.26,221.09,1398849,1398849,-2.11,-0.94462,222.0975,"July 09, 25",-0.0094462,,,,,
2025-07-08,227.5,227.5,219.72,221.86,221.69,1672100,1672100,-5.64,-2.48,224.145,"July 08, 25",-0.0248,,,,,
2025-07-07,225,227.47,223.38,225.41,225.23,1084067,1084067,0.41,0.18222,225.315,"July 07, 25",0.0018222,,,,,
2025-07-03,222.74,227.54,222.55,226.01,225.83,1129028,1129028,3.27,1.47,224.71,"July 03, 25",0.0147,,,,,
2025-07-02,216.97,222.2,216.01,221.89,221.72,1658433,1658433,4.92,2.27,219.2675,"July 02, 25",0.0227,,,,,
2025-07-01,218.01,219,214.19,216.14,215.97,1906205,1906205,-1.87,-0.85776,216.835,"July 01, 25",-0.0085776,,,,,
2025-06-30,218,219,214.79,218.1,217.93,1713124,1713124,0.1,0.04587156,217.4725,"June 30, 25",0.0004587156,,,,,
2025-06-27,215.61,218.34,214.51,217.37,217.2,3320200,3320200,1.76,0.81629,216.4575,"June 27, 25",0.0081629,,,,,
2025-06-26,215.94,218.2,214.75,215.31,215.14,1831100,1831100,-0.63,-0.29175,216.05,"June 26, 25",-0.0029175,,,,,
2025-06-25,212.85,215.97,212.38,214.66,214.49,1701417,1701417,1.81,0.85036,213.965,"June 25, 25",0.0085036,,,,,
2025-06-24,210,212.07,208.67,211.95,211.78,1777400,1777400,1.95,0.92857,210.6725,"June 24, 25",0.0092857,,,,,
2025-06-23,204.08,208.48,202.3,208.35,208.19,1644819,1644819,4.27,2.09,205.8025,"June 23, 25",0.0209,,,,,
2025-06-20,205.1,208.69,203.34,206.2,206.04,3051946,3051946,1.1,0.53632,205.8325,"June 20, 25",0.0053632,,,,,
2025-06-18,199.76,207.1,198.21,204.66,204.5,3556320,3556320,4.9,2.45,202.4325,"June 18, 25",0.0245,,,,,
2025-06-17,185.19,203.9,185,196.89,196.74,6196249,6196249,11.7,6.32,192.745,"June 17, 25",0.0632,,,,,
2025-06-16,178.25,182.14,177.18,180.82,180.68,2269700,2269700,2.57,1.44,179.5975,"June 16, 25",0.0144,,,,,
2025-06-13,176.8,178.78,175.08,175.84,175.7,1224933,1224933,-0.96,-0.54299,176.625,"June 13, 25",-0.0054299,,,,,
2025-06-12,176.93,180.16,176.93,179.08,178.94,1120605,1120605,2.15,1.22,178.275,"June 12, 25",0.0122,,,,,
2025-06-11,177.48,178.96,176.19,178.43,178.29,1429083,1429083,0.95,0.53527,177.765,"June 11, 25",0.0053527,,,,,
2025-06-10,180,180.11,175.07,178.04,177.9,1959058,1959058,-1.96,-1.09,178.305,"June 10, 25",-0.0109,,,,,
2025-06-09,178,179.37,177.02,177.38,177.24,1004353,1004353,-0.62,-0.34831,177.9425,"June 09, 25",-0.0034831,,,,,
2025-06-06,174.82,177,174,176.62,176.48,1182941,1182941,1.8,1.03,175.61,"June 06, 25",0.0103,,,,,
2025-06-05,173.07,174.67,171.66,172.64,172.51,912598,912598,-0.43,-0.24845,173.01,"June 05, 25",-0.0024845,,,,,
2025-06-04,173.59,174.43,171.71,171.97,171.84,952000,952000,-1.62,-0.93323,172.925,"June 04, 25",-0.0093323,,,,,
2025-06-03,168,173.16,167.87,172.99,172.86,1225400,1225400,4.99,2.97,170.505,"June 03, 25",0.0297,,,,,
2025-06-02,167.3,168.2,164.69,168.02,167.89,840700,840700,0.72,0.43036,167.0525,"June 02, 25",0.0043036,,,,,
2025-05-30,167.6,168.47,165.39,168.01,167.88,1843500,1843500,0.41,0.24463,167.3675,"May 30, 25",0.0024463,,,,,
2025-05-29,169.45,169.97,166.16,168.55,168.42,971200,971200,-0.9,-0.53113,168.5325,"May 29, 25",-0.0053113,,,,,
2025-05-28,169.17,169.76,167.45,167.74,167.61,801928,801928,-1.43,-0.8453,168.53,"May 28, 25",-0.008453,,,,,
2025-05-27,167.7,170.12,166.7,169.17,169.04,861548,861548,1.47,0.87657,168.4225,"May 27, 25",0.0087657,,,,,
2025-05-23,161.89,166.08,161.52,165.38,165.25,595617,595617,3.49,2.16,163.7175,"May 23, 25",0.0216,,,,,
2025-05-22,164.59,166.91,164.55,165.1,164.97,801456,801456,0.51,0.30986,165.2875,"May 22, 25",0.0030986,,,,,
2025-05-21,165.6,168.01,164.08,165.2,165.07,764639,764639,-0.4,-0.24155,165.7225,"May 21, 25",-0.0024155,,,,,
2025-05-20,169.37,170.9,166.59,167.51,167.38,1390409,1390409,-1.86,-1.1,168.5925,"May 20, 25",-0.011,,,,,
2025-05-19,164.46,168.04,164.21,167.44,167.31,842800,842800,2.98,1.81,166.0375,"May 19, 25",0.0181,,,,,
2025-05-16,166.21,168.11,165.49,167.79,167.66,828313,828313,1.58,0.9506,166.9,"May 16, 25",0.009506,,,,,
2025-05-15,165.43,167.15,163.41,166.53,166.4,661622,661622,1.1,0.66493,165.63,"May 15, 25",0.0066493,2025-04-16,0.08,2025-05-15,2025-06-03,0.08
2025-05-14,168.29,170.32,166.27,166.86,166.65,1189571,1189571,-1.43,-0.84972,167.935,"May 14, 25",-0.0084972,,,,,
2025-05-13,162.38,169.25,162.29,167.01,166.8,1375032,1375032,4.63,2.85,165.2325,"May 13, 25",0.0285,,,,,
2025-05-12,159.81,162.57,159.46,161.74,161.54,1126286,1126286,1.94,1.21,160.895,"May 12, 25",0.0121,,,,,
2025-05-09,155.21,155.52,153.06,153.98,153.79,498638,498638,-1.23,-0.79247,154.4425,"May 09, 25",-0.0079247,,,,,
2025-05-08,154.99,156,152.78,154.4,154.21,962620,962620,-0.59,-0.38067,154.5425,"May 08, 25",-0.0038067,,,,,
2025-05-07,150.54,153.23,148.84,152.72,152.53,1090670,1090670,2.18,1.45,151.3325,"May 07, 25",0.0145,,,,,
2025-05-06,147.36,150.79,146.88,150.29,150.1,1525200,1525200,2.93,1.99,148.83,"May 06, 25",0.0199,,,,,
2025-05-05,149.11,151.93,149.07,150.22,150.03,743249,743249,1.11,0.74442,150.0825,"May 05, 25",0.0074442,,,,,
2025-05-02,150.75,152.1,150,150.36,150.17,891110,891110,-0.39,-0.25871,150.8025,"May 02, 25",-0.0025871,,,,,
2025-05-01,148.94,151.18,147.49,147.58,147.39,966900,966900,-1.36,-0.91312,148.7975,"May 01, 25",-0.0091312,,,,,
2025-04-30,143.06,146.86,142.03,146.56,146.38,1325723,1325723,3.5,2.45,144.6275,"April 30, 25",0.0245,,,,,
2025-04-29,145.18,147.29,143.7,146.57,146.39,627143,627143,1.39,0.95743,145.685,"April 29, 25",0.0095743,,,,,
2025-04-28,146.41,148.63,144.37,146.37,146.19,838900,838900,-0.04,-0.02732054,146.445,"April 28, 25",-0.0002732054,,,,,
2025-04-25,145.04,148,145.01,146.92,146.73,1049730,1049730,1.88,1.3,146.2425,"April 25, 25",0.013,,,,,
2025-04-24,139.61,146.28,139.16,146.13,145.95,1382329,1382329,6.52,4.67,142.795,"April 24, 25",0.0467,,,,,
2025-04-23,139.82,143.38,138.4,138.49,138.32,1260600,1260600,-1.33,-0.95122,140.0225,"April 23, 25",-0.0095122,,,,,
2025-04-22,131.66,133.94,130.75,133.24,133.07,744673,744673,1.58,1.2,132.3975,"April 22, 25",0.012,,,,,
2025-04-21,133.43,134.73,127.72,129.75,129.59,1515639,1515639,-3.68,-2.76,131.4075,"April 21, 25",-0.0276,,,,,
2025-04-17,134.01,136.01,132.66,135.04,134.87,1016054,1016054,1.03,0.7686,134.43,"April 17, 25",0.007686,,,,,
2025-04-16,132.25,135.39,130.87,133.87,133.7,854500,854500,1.62,1.22,133.095,"April 16, 25",0.0122,,,,,
2025-04-15,133.86,136.58,132.53,135.51,135.34,1203140,1203140,1.65,1.23,134.62,"April 15, 25",0.0123,,,,,
2025-04-14,136.06,137.09,132.03,133.86,133.69,1178312,1178312,-2.2,-1.62,134.76,"April 14, 25",-0.0162,,,,,
2025-04-11,130.88,134.42,128.15,131.94,131.77,1688327,1688327,1.06,0.8099,131.3475,"April 11, 25",0.008099,,,,,
2025-04-10,133,135.75,127.88,132.04,131.87,2202985,2202985,-0.96,-0.7218,132.1675,"April 10, 25",-0.007218,,,,,
2025-04-09,120.56,139.4,118.74,137.38,137.21,2983450,2983450,16.82,13.95,129.02,"April 09, 25",0.1395,,,,,
2025-04-08,125.78,128.84,117.74,120.35,120.2,2494028,2494028,-5.43,-4.32,123.1775,"April 08, 25",-0.0432,,,,,
2025-04-07,112.94,125.76,111.61,121.28,121.13,2737525,2737525,8.34,7.38,117.8975,"April 07, 25",0.0738,,,,,
2025-04-04,117.98,119.04,108.66,116.88,116.73,3385129,3385129,-1.09,-0.93236,115.64,"April 04, 25",-0.0093236,,,,,
2025-04-03,130.02,131.85,120.52,123.49,123.33,2539644,2539644,-6.53,-5.02,126.47,"April 03, 25",-0.0502,,,,,
2025-04-02,134.09,139.68,133.81,138.75,138.58,912480,912480,4.66,3.48,136.5825,"April 02, 25",0.0348,,,,,
2025-04-01,135.57,137.33,133.02,136.42,136.25,940657,940657,0.85,0.62698,135.585,"April 01, 25",0.0062698,,,,,
2025-03-31,133.69,136.38,132.15,136.07,135.9,1537586,1537586,2.38,1.78,134.5725,"March 31, 25",0.0178,,,,,
2025-03-28,137.72,138.29,135.19,135.99,135.82,996345,996345,-1.73,-1.26,136.7975,"March 28, 25",-0.0126,,,,,
2025-03-27,141.83,142.27,138.19,139.4,139.22,1434252,1434252,-2.43,-1.71,140.4225,"March 27, 25",-0.0171,,,,,
2025-03-26,148.88,148.88,142.42,143.86,143.68,1540068,1540068,-5.02,-3.37,146.01,"March 26, 25",-0.0337,,,,,
2025-03-25,149.87,149.91,147,148.29,148.1,1921447,1921447,-1.58,-1.05,148.7675,"March 25, 25",-0.0105,,,,,
2025-03-24,148,149.98,146.74,149.97,149.78,1477960,1477960,1.97,1.33,148.6725,"March 24, 25",0.0133,,,,,
2025-03-21,142.33,145.22,138.99,145.22,145.04,3300568,3300568,2.89,2.03,142.94,"March 21, 25",0.0203,,,,,
2025-03-20,146.3,148.2,141,143.83,143.65,2631611,2631611,-2.47,-1.69,144.8325,"March 20, 25",-0.0169,,,,,
2025-03-19,135.74,140.59,135.5,139.48,139.3,2386928,2386928,3.74,2.76,137.8275,"March 19, 25",0.0276,,,,,
2025-03-18,137.16,137.34,134.76,135.62,135.45,1225400,1225400,-1.54,-1.12,136.22,"March 18, 25",-0.0112,,,,,
2025-03-17,134.68,139.8,134.68,138.35,138.18,1612215,1612215,3.67,2.72,136.8775,"March 17, 25",0.0272,,,,,
2025-03-14,133.07,136.37,131.84,135.93,135.76,1223955,1223955,2.86,2.15,134.3025,"March 14, 25",0.0215,,,,,
2025-03-13,133.33,134.31,129.98,130.51,130.35,1026161,1026161,-2.82,-2.12,132.0325,"March 13, 25",-0.0212,,,,,
2025-03-12,135.34,136.23,133.47,134.1,133.93,1556511,1556511,-1.24,-0.91621,134.785,"March 12, 25",-0.0091621,,,,,
2025-03-11,132.33,135.02,131.24,132.44,132.27,1133046,1133046,0.11,0.08312552,132.7575,"March 11, 25",0.0008312552,,,,,
