date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,dividend,recordDate,paymentDate,adjDividend
2026-01-02,231.29,240.66,230.77,240.39,240.39,1018838,1018838,9.1,3.93,235.7775,"January 02, 26",0.0393,,,,,
2025-12-31,232.69,232.74,227.74,228.02,228.02,668270,668270,-4.67,-2.01,230.2975,"December 31, 25",-0.0201,,,,,
2025-12-30,235.12,235.46,231.23,231.57,231.57,535199,535199,-3.55,-1.51,233.345,"December 30, 25",-0.0151,,,,,
2025-12-29,234,236.75,233.06,234.97,234.97,648456,648456,0.97,0.41453,234.695,"December 29, 25",0.0041453,,,,,
2025-12-26,236.29,237,234,236.11,236.11,710209,710209,-0.18,-0.07617758,235.85,"December 26, 25",-0.0007617758,,,,,
2025-12-24,235.55,236.5,233.27,234.49,234.49,520500,520500,-1.06,-0.45001,234.9525,"December 24, 25",-0.0045001,,,,,
2025-12-23,227.72,235.32,226.45,235.07,235.07,1103516,1103516,7.35,3.23,231.14,"December 23, 25",0.0323,,,,,
2025-12-22,228.99,231.17,225.8,229.78,229.78,942810,942810,0.79,0.34499,228.935,"December 22, 25",0.0034499,,,,,
2025-12-19,217.55,227.84,217.55,226.62,226.62,2546733,2546733,9.07,4.17,222.39,"December 19, 25",0.0417,,,,,
2025-12-18,219.22,221.09,206.76,217.04,217.04,2246700,2246700,-2.18,-0.99443,216.0275,"December 18, 25",-0.0099443,,,,,
2025-12-17,222.5,232.85,207,216.3,216.3,4280504,4280504,-6.2,-2.79,219.6625,"December 17, 25",-0.0279,,,,,
2025-12-16,219.89,222.27,212.44,212.56,212.56,2123343,2123343,-7.33,-3.33,216.79,"December 16, 25",-0.0333,,,,,
2025-12-15,223.65,226.05,220.61,221.21,221.21,1803865,1803865,-2.44,-1.09,222.88,"December 15, 25",-0.0109,,,,,
2025-12-12,232.71,233.5,219.13,222.37,222.37,1725846,1725846,-10.34,-4.44,226.9275,"December 12, 25",-0.0444,,,,,
2025-12-11,227.95,234.32,223.31,234.25,234.25,1091000,1091000,6.3,2.76,229.9575,"December 11, 25",0.0276,,,,,
2025-12-10,228.43,231.45,222.81,229.97,229.97,1291500,1291500,1.54,0.67417,228.165,"December 10, 25",0.0067417,,,,,
2025-12-09,223.1,230.35,222.37,228.09,228.09,1127855,1127855,4.99,2.24,225.9775,"December 09, 25",0.0224,,,,,
2025-12-08,222.72,232.06,221.47,225.42,225.42,1356545,1356545,2.7,1.21,225.4175,"December 08, 25",0.0121,,,,,
2025-12-05,219.89,222.3,218.38,220.06,220.06,764912,764912,0.17,0.07731138,220.1575,"December 05, 25",0.0007731138,,,,,
2025-12-04,213.3,219.66,212.01,218.72,218.72,619351,619351,5.42,2.54,215.9225,"December 04, 25",0.0254,,,,,
2025-12-03,212.4,215.36,209.4,214.05,214.05,1403199,1403199,1.65,0.77684,212.8025,"December 03, 25",0.0077684,,,,,
2025-12-02,210.93,214.5,209.92,212.05,212.05,1033900,1033900,1.12,0.53098,211.85,"December 02, 25",0.0053098,,,,,
2025-12-01,208.65,213.68,207.41,209.99,209.99,1091705,1091705,1.34,0.64222,209.9325,"December 01, 25",0.0064222,,,,,
2025-11-28,209.7,211.83,206.29,210.71,210.71,460700,460700,1.01,0.48164,209.6325,"November 28, 25",0.0048164,,,,,
2025-11-26,203.78,209.92,203.5,207.23,207.23,877497,877497,3.45,1.69,206.1075,"November 26, 25",0.0169,,,,,
2025-11-25,196.54,205.16,194.54,203.98,203.98,1062944,1062944,7.44,3.79,200.055,"November 25, 25",0.0379,,,,,
2025-11-24,196.83,200.01,193.73,197.15,197.15,2320800,2320800,0.32,0.16258,196.93,"November 24, 25",0.0016258,,,,,
2025-11-21,192.21,197.61,189.6,196.7,196.7,1505636,1505636,4.49,2.34,194.03,"November 21, 25",0.0234,,,,,
2025-11-20,205,206.56,191.17,192.49,192.49,1526613,1526613,-12.51,-6.1,198.805,"November 20, 25",-0.061,,,,,
2025-11-19,198.35,204.89,198,200.09,200.09,800339,800339,1.74,0.87724,200.3325,"November 19, 25",0.0087724,,,,,
2025-11-18,197.42,201.05,195.97,198.88,198.88,940883,940883,1.46,0.73954,198.33,"November 18, 25",0.0073954,,,,,
2025-11-17,200.77,203.18,197.62,200.46,200.46,1226700,1226700,-0.31,-0.15441,200.5075,"November 17, 25",-0.0015441,2025-10-17,0.08,2025-11-17,2025-12-02,0.08
2025-11-14,197.67,204.39,196.4,201.87,201.79,926800,926800,4.2,2.12,200.0825,"November 14, 25",0.0212,,,,,
2025-11-13,212.12,213.56,199.87,201.82,201.74,1329790,1329790,-10.3,-4.86,206.8425,"November 13, 25",-0.0486,,,,,
2025-11-12,210.88,216.33,210.12,213.93,213.85,884909,884909,3.05,1.45,212.815,"November 12, 25",0.0145,,,,,
2025-11-11,216.96,217.32,210.01,211.09,211.01,819914,819914,-5.87,-2.71,213.845,"November 11, 25",-0.0271,,,,,
2025-11-10,218.74,221.98,216.33,219.26,219.17,1019522,1019522,0.52,0.23773,219.0775,"November 10, 25",0.0023773,,,,,
2025-11-07,212.41,214.76,205.93,213.71,213.63,1075700,1075700,1.3,0.61202,211.7025,"November 07, 25",0.0061202,,,,,
2025-11-06,218.56,220.55,212.65,215.06,214.97,944700,944700,-3.5,-1.6,216.705,"November 06, 25",-0.016,,,,,
2025-11-05,209.96,219.1,209.71,218.15,218.06,932499,932499,8.19,3.9,214.23,"November 05, 25",0.039,,,,,
2025-11-04,214.29,216.05,208.99,209.22,209.14,1260900,1260900,-5.07,-2.37,212.1375,"November 04, 25",-0.0237,,,,,
2025-11-03,222.4,224.27,217.69,220.31,220.22,1521500,1521500,-2.09,-0.93975,221.1675,"November 03, 25",-0.0093975,,,,,
2025-10-31,223.16,229.23,219.99,220.89,220.8,1115184,1115184,-2.27,-1.02,223.3175,"October 31, 25",-0.0102,,,,,
2025-10-30,220.89,228.9,219.09,221.47,221.38,911494,911494,0.58,0.26257,222.5875,"October 30, 25",0.0026257,,,,,
2025-10-29,212.71,226.83,212.23,222.32,222.23,1540709,1540709,9.61,4.52,218.5225,"October 29, 25",0.0452,,,,,
2025-10-28,213.2,216.09,210.46,214.52,214.43,1275200,1275200,1.32,0.61914,213.5675,"October 28, 25",0.0061914,,,,,
2025-10-27,214.6,216.2,208.65,211.23,211.15,943600,943600,-3.37,-1.57,212.67,"October 27, 25",-0.0157,,,,,
2025-10-24,210,215.42,209.81,212.44,212.36,1472966,1472966,2.44,1.16,211.9175,"October 24, 25",0.0116,,,,,
2025-10-23,200.39,207.2,199.54,206.57,206.49,1161138,1161138,6.18,3.08,203.425,"October 23, 25",0.0308,,,,,
2025-10-22,201.72,202,194.75,198.75,198.67,1764053,1764053,-2.97,-1.47,199.305,"October 22, 25",-0.0147,,,,,
2025-10-21,203.36,204.09,200.72,201.12,201.04,1134701,1134701,-2.24,-1.1,202.3225,"October 21, 25",-0.011,,,,,
2025-10-20,210.4,210.91,201.09,204.02,203.94,1181917,1181917,-6.38,-3.03,206.605,"October 20, 25",-0.0303,,,,,
2025-10-17,207.52,210.01,205.86,209.34,209.26,1033612,1033612,1.82,0.87702,208.1825,"October 17, 25",0.0087702,,,,,
2025-10-16,210.03,210.82,206.44,209.74,209.66,1188500,1188500,-0.29,-0.13808,209.2575,"October 16, 25",-0.0013808,,,,,
2025-10-15,203.8,208.07,202.79,206.88,206.8,1032255,1032255,3.08,1.51,205.385,"October 15, 25",0.0151,,,,,
2025-10-14,196.73,202.45,195,200.59,200.51,939423,939423,3.86,1.96,198.6925,"October 14, 25",0.0196,,,,,
2025-10-13,199.5,200.95,197.8,199.9,199.82,1145400,1145400,0.4,0.2005,199.5375,"October 13, 25",0.002005,,,,,
2025-10-10,205.83,205.83,193.84,193.99,193.91,1408437,1408437,-11.84,-5.75,199.8725,"October 10, 25",-0.0575,,,,,
2025-10-09,206.71,207.41,203,204.71,204.63,942500,942500,-2,-0.96754,205.4575,"October 09, 25",-0.0096754,,,,,
2025-10-08,204.04,207.1,203,206.53,206.45,860628,860628,2.49,1.22,205.1675,"October 08, 25",0.0122,,,,,
2025-10-07,204.87,205.88,199.5,202.62,202.54,1241261,1241261,-2.25,-1.1,203.2175,"October 07, 25",-0.011,,,,,
2025-10-06,207.69,208.54,202.19,202.2,202.12,1480220,1480220,-5.49,-2.64,205.155,"October 06, 25",-0.0264,,,,,
2025-10-03,216,217.15,201.65,202.08,202,2050301,2050301,-13.92,-6.44,209.22,"October 03, 25",-0.0644,,,,,
2025-10-02,217.13,219,213.75,215.69,215.6,1326677,1326677,-1.44,-0.6632,216.3925,"October 02, 25",-0.006632,,,,,
2025-10-01,214.54,216.65,210.9,214.84,214.75,1512506,1512506,0.3,0.13983,214.2325,"October 01, 25",0.0013983,,,,,
2025-09-30,215.04,218.95,213.42,217.17,217.08,1212468,1212468,2.13,0.99051,216.145,"September 30, 25",0.0099051,,,,,
2025-09-29,218.5,220.53,212.53,214.51,214.42,1638616,1638616,-3.99,-1.83,216.5175,"September 29, 25",-0.0183,,,,,
2025-09-26,213.56,217.12,211.45,215.84,215.75,1735121,1735121,2.28,1.07,214.4925,"September 26, 25",0.0107,,,,,
2025-09-25,206.71,213.22,203.55,210.2,210.12,3241726,3241726,3.49,1.69,208.42,"September 25, 25",0.0169,,,,,
2025-09-24,235,235,224.38,225.28,225.19,2581400,2581400,-9.72,-4.14,229.915,"September 24, 25",-0.0414,,,,,
2025-09-23,234.11,237.14,232.44,234.45,234.36,2054242,2054242,0.34,0.14523,234.535,"September 23, 25",0.0014523,,,,,
2025-09-22,224.42,233.82,224.42,233.23,233.14,2267800,2267800,8.81,3.93,228.9725,"September 22, 25",0.0393,,,,,
2025-09-19,223.12,224.74,219.86,224.34,224.25,2883859,2883859,1.22,0.54679,223.015,"September 19, 25",0.0054679,,,,,
2025-09-18,216.82,226.49,216.62,223.29,223.2,2748603,2748603,6.47,2.98,220.805,"September 18, 25",0.0298,,,,,
2025-09-17,212.94,214,208.41,213.64,213.55,1289119,1289119,0.7,0.32873,212.2475,"September 17, 25",0.0032873,,,,,
2025-09-16,215.74,216.46,210.87,213.33,213.24,1306484,1306484,-2.41,-1.12,214.1,"September 16, 25",-0.0112,,,,,
2025-09-15,214.38,219.81,213.39,216.06,215.97,1263168,1263168,1.68,0.78366,215.91,"September 15, 25",0.0078366,,,,,
2025-09-12,213.39,215.3,212.81,214.06,213.97,966309,966309,0.67,0.31398,213.89,"September 12, 25",0.0031398,,,,,
2025-09-11,216.36,217.15,213.78,214.28,214.19,863274,863274,-2.08,-0.96136,215.3925,"September 11, 25",-0.0096136,,,,,
2025-09-10,209.38,216.05,209.35,215.72,215.63,1439386,1439386,6.34,3.03,212.625,"September 10, 25",0.0303,,,,,
2025-09-09,208.86,209.78,206.57,209.22,209.14,781785,781785,0.36,0.17236,208.6075,"September 09, 25",0.0017236,,,,,
2025-09-08,211.06,212.18,207.81,209.17,209.09,1078430,1078430,-1.89,-0.89548,210.055,"September 08, 25",-0.0089548,,,,,
2025-09-05,208.23,212.58,206,210.1,210.02,1116964,1116964,1.87,0.89805,209.2275,"September 05, 25",0.0089805,,,,,
