date,symbol,calendarYear,period,growthRevenue,growthCostOfRevenue,growthGrossProfit,growthGrossProfitRatio,growthResearchAndDevelopmentExpenses,growthGeneralAndAdministrativeExpenses,growthSellingAndMarketingExpenses,growthOtherExpenses,growthOperatingExpenses,growthCostAndExpenses,growthInterestExpense,growthDepreciationAndAmortization,growthEBITDA,growthEBITDARatio,growthOperatingIncome,growthOperatingIncomeRatio,growthTotalOtherIncomeExpensesNet,growthIncomeBeforeTax,growthIncomeBeforeTaxRatio,growthIncomeTaxExpense,growthNetIncome,growthNetIncomeRatio,growthEPS,growthEPSDiluted,growthWeightedAverageShsOut,growthWeightedAverageShsOutDil
2024-12-31,MOH,2024,FY,0.1930617515848791,0.20768040890443204,0.09275496077526535,-0.08407510340177866,0,0.1141348497156783,0,-0.043478260869565216,0.0970662803332126,0.19828302409304902,0.08256880733944955,0.08771929824561403,0.08543577981651376,-0.09020989080738669,0.08518753973299428,-0.09041796241529589,-0.08256880733944955,0.08538251366120218,-0.09025453804130433,0.09919571045576407,0.08065994500458296,-0.09421289952617223,0.0967397113842864,0.08732694355697553,-0.012048192771084338,-0.0068846815834767644
2023-12-31,MOH,2023,FY,0.06561581284793895,0.060253850541928125,0.10392256749872644,0.03594799681208306,0,0.06533967979229771,0,-0.3235294117647059,0.002905920813657828,0.05512808025713451,-0.00909090909090909,-0.028409090909090908,0.29280948851000743,0.21320411340271905,0.3410059676044331,0.2584328726476887,0.00909090909090909,0.37723424270931327,0.2924303717723157,0.3763837638376384,0.37752525252525254,0.2927034641572288,0.36569343065693444,0.3870014771048746,0.005190311418685121,-0.006837606837606838
2022-12-31,MOH,2022,FY,0.15134492816247164,0.14523702584622922,0.19695121951219513,0.03961131908231615,0,0.11750483558994197,0,1.3020833333333333,0.21814159292035398,0.1513962094874958,-0.08333333333333333,0.3435114503816794,0.1980461811722913,0.04056234726134974,0.15,-0.0011681381062937982,0.2413793103448276,0.21485714285714286,0.05516349868376103,0.25462962962962965,0.20182094081942337,0.04384091033321028,0.2017543859649122,0.2035555555555555,0,-0.0017064846416382253
2021-12-31,MOH,2021,FY,0.42979972197909694,0.46249850710617463,0.22525214792678372,-0.14306029734164993,0,0.3972972972972973,0,0.6134453781512605,0.4133833646028768,0.45821749795584626,0.17647058823529413,0.48863636363636365,-0.021720243266724587,-0.3157924552110767,-0.05380333951762523,-0.3382313292597248,-0.23931623931623933,-0.08949011446409989,-0.36319061212558656,-0.25,-0.020802377414561663,-0.31515050103461095,-0.0008764241893076062,0.0008896797153024721,-0.020338983050847456,-0.021702838063439065
2020-12-31,MOH,2020,FY,0.15413868916750847,0.16340141725719048,0.09938398357289528,-0.047442050573909614,0,0.1419753086419753,0,0.33707865168539325,0.15451263537906137,0.16262120539958172,0.1724137931034483,-0.011235955056179775,0.002613240418118467,-0.13128876971715617,0.032567049808429116,-0.10533538201368961,-0.625,-0.01131687242798354,-0.1433584736720293,0.225531914893617,-0.08683853459972862,-0.20879399143412586,-0.03713080168776367,-0.020905923344947754,-0.05144694533762058,-0.06697819314641744
2019-12-31,MOH,2019,FY,-0.10910534674430916,-0.1150866838804869,-0.07202743902439024,0.041618734521479954,0,-0.0277569392348087,0,-0.9943239795918367,-0.9185916651972021,-0.10843033111085998,-0.24347826086956523,-0.2992125984251969,-0.0749395648670427,0.03834996808906664,-0.07692307692307693,0.03612354071347082,0.45454545454545453,-0.02702702702702703,0.09213021913587485,-0.1952054794520548,0.042432814710042434,0.1700966106204732,0.11687087653157402,0.08815165876777248,-0.06656010244667954,-0.041791044776119404
2018-12-31,MOH,2018,FY,-0.04994216164562692,-0.09648391934677554,0.39574468085106385,0.46911548437508305,0,-0.16373902132998747,0,-0.14559721011333915,-0.14704702697282662,-0.13406399843428907,-0.025423728813559324,-0.28651685393258425,4.927215189873418,5.133659056723173,3.037837837837838,3.1449618692066315,-1.3157894736842106,2.6323529411764706,2.718161646151775,3.92,2.380859375,2.4534476933589997,2.160831509846827,2.1542669584245075,0.1899151607142857,0.19642857142857142
2017-12-31,MOH,2017,FY,0.12263565016091695,0.12935198544633336,0.062146892655367235,-0.053881023587773066,0,0.14429289303661164,0,131.02877697841726,12.01958224543081,0.16969037944256854,0.16831683168316833,-0.02197802197802198,-1.6475409836065573,-1.5768042233824848,-2.8137254901960786,-2.615595848222101,0.43564356435643564,-5.467153284671533,-4.979165736138909,-1.7751937984496124,-65,-58.00869920014913,-10.827956989247312,-10.934782608695652,0.01818181818181818,0
2016-12-31,MOH,2016,FY,0.2585986355884025,0.28204921988097154,0.08058608058608059,-0.14143711102410408,0,0.21447253705318223,0,0.33653846153846156,0.2246203037569944,0.27679941541834124,0.5303030303030303,0.4444444444444444,-0.05058365758754864,-0.24565599071390368,-0.20930232558139536,-0.3717634440951603,-0.5538461538461539,-0.5745341614906833,-0.6619527273010938,-0.27932960893854747,-0.9440559440559441,-0.9555505178451705,-0.6618181818181817,-0.6434108527131783,0.057692307692307696,0
2015-12-31,MOH,2015,FY,0.4557340268828723,0.44311666775378206,0.5592174213513789,0.07108674594816101,0,0.49994834528366283,0,0.11927849586189826,0.45870500577185436,0.4445278098783958,0.16174684480118287,-0.06252790095532872,0.544940020859696,0.061279048800812565,1.006044050031879,0.378029239026541,-0.1206896551724138,1.379826169218944,0.634794629666746,1.461293072628771,1.2981855583948059,0.5787125391830343,1.0676691729323307,1,0.10638297872340426,0.16666666666666666
2014-12-31,MOH,2014,FY,0.4670963466928034,0.507984671754496,0.2001921629066182,-0.1819268278750186,0,0.14819458375125377,0,0.2773325268410706,0.16091068699500094,0.4682478108057592,0.09102955579881315,0.4318709649926491,0.5542397189559888,0.059398532478775905,0.41269039250146455,-0.0370841041190337,-0.0466669072797488,0.6674142902915732,0.1365404117860444,1.0025883907919375,0.1755937198889078,-0.19869357630033282,0.1465517241379312,0.14159292035398244,0.021739130434782608,0.02127659574468085
2013-12-31,MOH,2013,FY,0.09291640756155119,0.05867674740534438,0.38539642040886096,0.2676142573987177,0,0.25039849650881385,0,-0.06398939729270678,0.2388069712961426,0.09862873472957115,2.1051941081758008,0.19173734193286274,0.8091225638511857,0.6553164995099114,2.3231937312924344,2.040665974605224,-2.1282601332279554,3.256281143456596,2.8944251192700543,2.9154716981132074,4.406435137895812,3.946796688429331,4.523809523809524,4.3809523809523805,-0.008193186718413108,2.1277048447839317e-05
2012-12-31,MOH,2012,FY,0.26390751246346916,0.3478982542624453,0.09398364748946368,-0.13444327458294658,0,0.2805626881317138,0,-0.6214128089088509,-0.040050803994134035,0.26981020463582917,0.08054642696050003,0.0588978664479787,-0.4371087134402771,-0.5546420268085133,-0.4874458982450451,-0.594468663975697,-0.14143952574263804,-0.7051226528907725,-0.7666938862271262,-0.7884159138607537,-0.5297338841387261,-0.6279268094433264,-0.5333333333333333,-0.5333333333333333,0.013637555730396014,0.012364028002154012
2011-12-31,MOH,2011,FY,0.16739276799649142,0.1607410804567845,-0.09261508343637515,-0.22272525468317003,0,0.20213992768639827,0,0.10675062945131254,0.1688499111900533,0.1618236331994968,0.000644786897930234,0.2241092734304287,0.2680766864133779,0.08624682145062154,-0.2364548909058009,-0.3459398350442979,-0.000644786897930234,-0.2775443615071738,-0.3811374714937677,0.2697989687735357,-0.6212843369110423,-0.6755884771345136,-0.664179104477612,-0.6590909090909092,0.11128381988633604,0.1151545723139007
2010-12-31,MOH,2010,FY,0.11354063219812958,0.08603516867134559,0.29070611615833875,0.1591010505513118,0,-0.13317332625160028,0,3.8669378115980058,0.21546268916134373,0.1016968336748771,0.125716774334035,0.5944633954342692,0.7640123016675358,0.5841472270377857,0.8295088251180458,0.6429654856320384,-0.125716774334035,1.0518158473954513,0.8426052730419062,1.708032632569815,0.7808086043799404,0.5992309021302117,0.6962025316455697,0.6708860759493671,0.05639367816091954,0.06811884236453201
2009-12-31,MOH,2009,FY,0.17896031507862506,0.21169704331266176,0.004207276592798348,-0.14822639619043676,0,0.15775566261845161,0,0.13126335787223936,0.1553974247520802,0.20459429934584789,0.5810190498049116,0.07917539785920598,-0.3576521091234714,-0.45515732627921857,-0.4903157053416811,-0.5676832473163966,-0.5810190498049116,-0.5801753761153516,-0.6439026661644428,-0.6927674547514039,-0.5053046572005513,-0.5803969484208509,-0.47333333333333333,-0.47333333333333333,-0.06438139132939652,-0.06438139132939652
2008-12-31,MOH,2008,FY,0.24871552293442528,0.260195867184146,0.19080633701205954,-0.04637500272019353,0,0.20843688112304806,0,0.171797279905388,0.20508272726114812,0.2529665301798944,0.8816670265601382,0.26270247076912073,0.15835273251302517,-0.07236459312534713,0.14520935246676905,-0.0828901120359683,-0.8816670265601382,0.10880934084699453,-0.1120400768173599,0.173245490018662,0.06974112806446083,-0.14332679624991848,0.09489051094890502,0.09489051094890502,-0.017789566755083995,-0.02276645905908019
2007-12-31,MOH,2007,FY,0.24312230205062854,0.23913890431131646,0.26361221169137994,0.016482617837389274,0,0.24551967414224407,0,0.3387194412107101,0.2535085338399885,0.24100500522500706,0,0.3023050058207218,0.29817239890631747,0.04428373341535717,0.29700175436282333,0.043342035397578256,-0.9681257968550786,0.27550436984399246,0.02604898143453444,0.27532364501821066,0.2756139698646314,0.026137142315493755,0.25688073394495414,0.26851851851851855,0.01104913108774941,0.009054111631870473
2006-12-31,MOH,2006,FY,0.2151057720395283,0.17810722647367624,0.4492153153393195,0.1926659785208811,0,0.40231538734679384,0,0.33684013944223107,0.3964527384814332,0.20252474945115498,0,0.41983471074380163,0.5973401198587965,0.31456878866672383,0.6559851463521188,0.36283209683448636,-0.21980300673924313,0.6751727440651296,0.37862297954582447,0.7059981544140265,0.6570155094941296,0.36368006009186443,0.6268656716417911,0.6615384615384616,0.009202121901050124,0.0050315812011561935
2005-12-31,MOH,2005,FY,0.4039844529077623,0.4470318456848173,0.1815701377884585,-0.15841650817118677,0,0.7349123738714817,0,0.8112526778667268,0.741484580514274,0.47492012999848304,0,0.7053782839102491,-0.3606512633711592,-0.5446183647223999,-0.47717643296826284,-0.627614418147507,-16.811475409836067,-0.49990306209728,-0.6438016549285337,-0.490630483830534,-0.5052086134868126,-0.6475805802907504,-0.5144927536231884,-0.5220588235294118,0.02766549230483961,0.024906736888303707
2004-12-31,MOH,2004,FY,0.4810369683344591,0.4966629732141093,0.40523362556498527,-0.05118261378476756,0,0.5298246754301871,0,0.4004421285330807,0.5177529612823384,0.4986352933395977,0,0.4004421285330807,0.285920626349892,-0.13174305980214432,0.29250003690200305,-0.1273006254581982,1.091454272863568,0.3202987366931173,-0.10853087043345899,0.3354536324070974,0.31178116988498716,-0.1142819526580089,0.08661417322834636,0.08800000000000008,0.21332793376529877,0.20827257059525386
2003-12-31,MOH,2003,FY,0.2318400978587196,0.24131821938122855,-0.7894687004225435,-0.8290920226,0,0.005161121727342512,0,0.5401264591439688,0.03882826489539173,0.2190954334962048,0,0.5401264591439688,-0.9373496747392671,-0.9491408622336541,0.38814441439226294,0.12688685688562906,-2.293827160493827,0.37219777268125376,0.1139414727542767,0.33564361969705436,0.39363445653599055,0.13134363510916003,0.24509803921568626,0.26262626262626265,0.1112,0.09801543015187539
2002-12-31,MOH,2002,FY,0.2785305296166556,0.2977596043191891,5.74937398501755,4.279008852320322,0,0,0,0.7083506439551309,0.4446262353799553,0.3124025932514621,0,0.7083506439551309,21.469946601296012,16.574822099368124,-0.028118527959216186,-0.239844924436033,0.27807486631016043,-0.025294532272681504,-0.2376361418265159,-0.08029609828818177,0.012579242590195492,-0.20801324643808763,0.00990099009900991,0.020618556701030948,0,0.0017985611510791368
2001-12-31,MOH,2001,FY,0.5294658685252192,0,-0.7102740474513708,-0.8105705014,0,0,0,-0.9909678678239203,-0.8518024600745755,0.48639553857546347,0,0.15443645083932853,0.9991262394104016,0.30707476452047816,1.0717881013284924,0.3545827633761951,-1.8477157360406091,1.0654298906035522,0.35042561686690077,1.1431089567037567,1.0134322373696873,0.3164283540008727,1.02,0.9795918367346939,0,0.009619159795838241
2000-12-31,MOH,2000,FY,0.7734280792420327,0,0.7734280792420327,0,0,0,0,0.7794315017728011,0.813672938184152,0.813672938184152,0,0.28307692307692306,0.37737428705980847,-0.22332667314737184,0.3861374814137024,-0.21838528611846014,0.8344537815126051,0.47527000490918014,-0.16812526947653536,0.1299638989169675,0.5829895271342431,-0.10738442297444699,0.6129032258064516,0.5806451612903225,0,0.010062955435483072
1999-12-31,MOH,1999,FY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
