holder,shares,dateReported,change
Global Wealth Strategies & Associates,0,2025-12-31,-3
VANGUARD GROUP INC,20210924,2025-09-30,315861
"BlackRock, Inc.",19182102,2025-09-30,691098
STATE STREET CORP,9454699,2025-09-30,131080
JPMORGAN CHASE & CO,7902643,2025-09-30,1290172
PRICE T ROWE ASSOCIATES INC /MD/,6878445,2025-09-30,-486948
MORGAN STANLEY,5218804,2025-09-30,6167
"GEODE CAPITAL MANAGEMENT, LLC",4657653,2025-09-30,83090
FMR LLC,3491895,2025-09-30,-1069218
UBS ASSET MANAGEMENT AMERICAS INC,2709104,2025-09-30,-321087
WELLINGTON MANAGEMENT GROUP LLP,2287300,2025-09-30,118060
JENNISON ASSOCIATES LLC,2218627,2025-09-30,-158087
NORTHERN TRUST CORP,2199074,2025-09-30,-1949
FRANKLIN RESOURCES INC,2184540,2025-09-30,-339396
"Nuveen, LLC",2153509,2025-09-30,-146209
Capital International Investors,2095555,2025-09-30,-341397
BANK OF AMERICA CORP /DE/,2043795,2025-09-30,-1304002
ALLIANCEBERNSTEIN L.P.,1830033,2025-09-30,-80045
"Fisher Asset Management, LLC",1656022,2025-09-30,19734
Bank of New York Mellon Corp,1573528,2025-09-30,7043
Amundi,1444101,2025-09-30,-165047
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1437977,2025-09-30,56342
BANK OF MONTREAL /CAN/,1433350,2025-09-30,3573
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",1407132,2025-09-30,-172462
DEUTSCHE BANK AG\,1383933,2025-09-30,98115
GOLDMAN SACHS GROUP INC,1371071,2025-09-30,277937
EDGEWOOD MANAGEMENT LLC,1369106,2025-09-30,-129660
Legal & General Group Plc,1360815,2025-09-30,24343
ROYAL BANK OF CANADA,1326654,2025-09-30,72442
Invesco Ltd.,1310448,2025-09-30,-461717
"SANDS CAPITAL MANAGEMENT, LLC",1246277,2025-09-30,-162056
BARCLAYS PLC,1150186,2025-09-30,-44932
POLEN CAPITAL MANAGEMENT LLC,1124076,2025-09-30,-52819
VICTORY CAPITAL MANAGEMENT INC,1033496,2025-09-30,341037
AMERIPRISE FINANCIAL INC,998198,2025-09-30,34044
BROWN ADVISORY INC,994732,2025-09-30,-60489
NORDEA INVESTMENT MANAGEMENT AB,963077,2025-09-30,66955
WELLS FARGO & COMPANY/MN,904139,2025-09-30,49766
JANUS HENDERSON GROUP PLC,886858,2025-09-30,47448
Swedbank AB,800150,2025-09-30,44297
"Winslow Capital Management, LLC",759853,2025-09-30,145477
UBS Group AG,750112,2025-09-30,-27216
Capital Research Global Investors,732819,2025-09-30,-229347
Daiwa Securities Group Inc.,678415,2025-09-30,149116
HSBC HOLDINGS PLC,655595,2025-09-30,65675
"Clearbridge Investments, LLC",655191,2025-09-30,47636
"PARNASSUS INVESTMENTS, LLC",638266,2025-09-30,1272
Lombard Odier Asset Management (Europe) Ltd,628652,2025-09-30,628652
"Sustainable Growth Advisers, LP",627543,2025-09-30,-19323
Swiss National Bank,597100,2025-09-30,-29500
ENVESTNET ASSET MANAGEMENT INC,592046,2025-09-30,-1838
VOYA INVESTMENT MANAGEMENT LLC,586795,2025-09-30,-83094
Pictet Asset Management Holding SA,538300,2025-09-30,190968
"Sumitomo Mitsui Trust Holdings, Inc.",534957,2025-09-30,39674
BESSEMER GROUP INC,516247,2025-09-30,-13747
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",474335,2025-09-30,23486
AXIOM INVESTORS LLC /DE,472979,2025-09-30,147224
Neuberger Berman Group LLC,460728,2025-09-30,6287
AXA Investment Managers S.A.,460561,2025-09-30,460561
SCHRODER INVESTMENT MANAGEMENT GROUP,454252,2025-09-30,34237
WELLCOME TRUST LTD (THE) as trustee of the WELLCOME TRUST,450000,2025-09-30,0
Alphinity Investment Management Pty Ltd,446844,2025-09-30,-199853
