holder,shares,dateReported,change
VANGUARD GROUP INC,6513454,2025-09-30,86672
"BlackRock, Inc.",3864565,2025-09-30,-92043
STATE STREET CORP,2242126,2025-09-30,37756
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,1444131,2025-09-30,-37887
Invesco Ltd.,1384948,2025-09-30,-28299
MACQUARIE GROUP LTD,1383367,2025-09-30,720677
"GEODE CAPITAL MANAGEMENT, LLC",1332997,2025-09-30,14040
Boston Partners,1130117,2025-09-30,4237
ALLIANCEBERNSTEIN L.P.,1107541,2025-09-30,327861
JPMORGAN CHASE & CO,1015482,2025-09-30,9753
NORDEA INVESTMENT MANAGEMENT AB,997495,2025-09-30,945718
VICTORY CAPITAL MANAGEMENT INC,851150,2025-09-30,-107669
APG Asset Management N.V.,781128,2025-09-30,-92696
MORGAN STANLEY,618881,2025-09-30,-3833
"Point72 Asset Management, L.P.",581091,2025-09-30,-15571
BANK OF AMERICA CORP /DE/,572986,2025-09-30,101970
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",569386,2025-09-30,569386
AQR CAPITAL MANAGEMENT LLC,569167,2025-09-30,126511
DIMENSIONAL FUND ADVISORS LP,491290,2025-09-30,57136
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,490899,2025-09-30,-30886
UBS Group AG,481169,2025-09-30,89425
NORTHERN TRUST CORP,475499,2025-09-30,11075
FMR LLC,445326,2025-09-30,176340
"Sumitomo Mitsui Trust Holdings, Inc.",433247,2025-09-30,-3801
"Kovitz Investment Group Partners, LLC",394743,2025-09-30,4002
NEW SOUTH CAPITAL MANAGEMENT INC,394101,2025-09-30,-4710
Pictet Asset Management Holding SA,392219,2025-09-30,123036
Bank of New York Mellon Corp,378980,2025-09-30,62046
FRANKLIN RESOURCES INC,374268,2025-09-30,-613
THRIVENT FINANCIAL FOR LUTHERANS,360466,2025-09-30,-7343
FENIMORE ASSET MANAGEMENT INC,353914,2025-09-30,2281
MILLENNIUM MANAGEMENT LLC,348042,2025-09-30,145187
