holder,shares,dateReported,change
VANGUARD GROUP INC,6814938,2025-09-30,121049
Capital International Investors,6489193,2025-09-30,254750
"BlackRock, Inc.",4195770,2025-09-30,-67150
Capital World Investors,3938687,2025-09-30,-31841
STATE STREET CORP,2388838,2025-09-30,45550
PRINCIPAL FINANCIAL GROUP INC,2379816,2025-09-30,367756
FMR LLC,2282430,2025-09-30,409999
Capital Research Global Investors,2207837,2025-09-30,203997
JPMORGAN CHASE & CO,1262316,2025-09-30,-733453
"GEODE CAPITAL MANAGEMENT, LLC",1232062,2025-09-30,17666
ALTAROCK PARTNERS LLC,976392,2025-09-30,-3558
MORGAN STANLEY,883896,2025-09-30,-63379
PRICE T ROWE ASSOCIATES INC /MD/,748713,2025-09-30,29025
EDGEWOOD MANAGEMENT LLC,636841,2025-09-30,-59370
WINDACRE PARTNERSHIP LLC,612500,2025-09-30,-100200
PRIMECAP MANAGEMENT CO/CA/,585373,2025-09-30,27450
Soroban Capital Partners LP,581105,2025-09-30,565543
Stockbridge Partners LLC,525233,2025-09-30,-7318
FRANKLIN RESOURCES INC,475489,2025-09-30,293821
NORTHERN TRUST CORP,468943,2025-09-30,-8089
UBS Group AG,462337,2025-09-30,-94062
Invesco Ltd.,421881,2025-09-30,-63737
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,388127,2025-09-30,15269
BANK OF AMERICA CORP /DE/,357070,2025-09-30,-2493
GOLDMAN SACHS GROUP INC,332289,2025-09-30,33833
Legal & General Group Plc,313602,2025-09-30,13150
UBS ASSET MANAGEMENT AMERICAS INC,276933,2025-09-30,-72397
Bank of New York Mellon Corp,272429,2025-09-30,-20809
"Nuveen, LLC",251189,2025-09-30,-24678
"Vulcan Value Partners, LLC",249643,2025-09-30,18048
CANADA PENSION PLAN INVESTMENT BOARD,221807,2025-09-30,48890
WESTFIELD CAPITAL MANAGEMENT CO LP,217897,2025-09-30,-72116
"Sumitomo Mitsui Trust Holdings, Inc.",201736,2025-09-30,4870
Darsana Capital Partners LP,200000,2025-09-30,25000
