date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,dividend,declarationDate,recordDate,paymentDate
2026-01-05,58.97,59.24,57.51,57.53,57.53,722276,722276,-1.44,-2.44192,58.09,"January 05, 26",-0.0244192,,,,,
2026-01-02,58.91,59.38,58.27,59.24,59.24,5675625,5675625,0.33,0.56018,58.95,"January 02, 26",0.0056018,,,,,
2025-12-31,59,59.09,58.57,58.59,58.59,3370816,3370816,-0.41,-0.69492,58.8125,"December 31, 25",-0.0069492,,,,,
2025-12-30,59.15,59.37,58.92,59.06,59.06,4061604,4061604,-0.09,-0.15216,59.125,"December 30, 25",-0.0015216,,,,,
2025-12-29,59.29,59.73,59.13,59.25,59.25,6530394,6530394,-0.04,-0.067465,59.35,"December 29, 25",-0.00067465,,,,,
2025-12-26,58.84,59.27,58.8,59.2,59.2,4342420,4342420,0.36,0.61183,59.0275,"December 26, 25",0.0061183,,,,,
2025-12-24,58.13,59.01,58.13,59.01,59.01,3079327,3079327,0.88,1.51,58.57,"December 24, 25",0.0151,,,,,
2025-12-23,56.99,58.31,56.88,58.14,58.14,8862900,8862900,1.15,2.02,57.58,"December 23, 25",0.0202,,,,,
2025-12-22,58.48,58.49,55.85,57.22,57.22,18834503,18834503,-1.26,-2.15,57.51,"December 22, 25",-0.0215,,,,,
2025-12-19,60.29,60.48,59.32,59.43,59.43,10159846,10159846,-0.86,-1.43,59.88,"December 19, 25",-0.0143,,,,,
2025-12-18,60.38,60.47,59.97,60.1,60.1,11093103,11093103,-0.28,-0.46373,60.23,"December 18, 25",-0.0046373,,,,,
2025-12-17,59.42,60.41,58.95,60.11,60.11,9188248,9188248,0.69,1.16,59.7225,"December 17, 25",0.0116,,,,,
2025-12-16,59.81,59.95,59.03,59.34,59.34,7027254,7027254,-0.47,-0.78582,59.5325,"December 16, 25",-0.0078582,,,,,
2025-12-15,59.43,59.94,58.95,59.84,59.84,6858731,6858731,0.41,0.68989,59.54,"December 15, 25",0.0068989,,,,,
2025-12-12,58.25,59.42,58.24,59.33,59.33,7601200,7601200,1.08,1.85,58.81,"December 12, 25",0.0185,,,,,
2025-12-11,58.01,58.73,57.9,58.17,58.17,6554404,6554404,0.16,0.27581,58.2025,"December 11, 25",0.0027581,,,,,
2025-12-10,58.4,58.44,57.61,58.06,58.06,6792369,6792369,-0.34,-0.58219,58.1275,"December 10, 25",-0.0058219,,,,,
2025-12-09,58.75,59.16,58.22,58.46,58.46,4456620,4456620,-0.29,-0.49362,58.6475,"December 09, 25",-0.0049362,,,,,
2025-12-08,58.6,59,57.97,58.44,58.44,5468074,5468074,-0.16,-0.27304,58.5025,"December 08, 25",-0.0027304,,,,,
2025-12-05,58.99,59.14,58.46,58.49,58.49,7138364,7138364,-0.5,-0.8476,58.77,"December 05, 25",-0.008476,0.6675,0.6675,2025-10-29,2025-12-05,2025-12-20
2025-12-04,60.05,60.37,59.64,59.84,59.17,7389034,7389034,-0.21,-0.34971,59.975,"December 04, 25",-0.0034971,,,,,
2025-12-03,60.51,60.91,59.84,60.03,59.36,7941940,7941940,-0.48,-0.79326,60.3225,"December 03, 25",-0.0079326,,,,,
2025-12-02,60.98,60.98,60.03,60.35,59.68,6108000,6108000,-0.625,-1.03,60.585,"December 02, 25",-0.0103,,,,,
2025-12-01,62.7,62.71,60.68,60.8,60.12,7124500,7124500,-1.9,-3.03,61.7225,"December 01, 25",-0.0303,,,,,
2025-11-28,62.61,62.87,62.45,62.77,62.07,2034412,2034412,0.16,0.25555,62.675,"November 28, 25",0.0025555,,,,,
2025-11-26,61.85,62.63,61.65,62.54,61.84,3669805,3669805,0.69,1.12,62.1675,"November 26, 25",0.0112,,,,,
2025-11-25,61.77,62.09,60.84,61.54,60.85,6362637,6362637,-0.23,-0.37235,61.56,"November 25, 25",-0.0037235,,,,,
2025-11-24,61.4,62.04,60.61,61.6,60.91,8970732,8970732,0.2,0.32573,61.4125,"November 24, 25",0.0032573,,,,,
2025-11-21,61.15,62.01,60.57,61.47,60.78,5538761,5538761,0.32,0.5233,61.3,"November 21, 25",0.005233,,,,,
2025-11-20,60.5,61.11,60.2,60.83,60.15,4955441,4955441,0.33,0.54545,60.66,"November 20, 25",0.0054545,,,,,
2025-11-19,61.5,61.6,60.18,60.19,59.52,5721583,5721583,-1.31,-2.13,60.8675,"November 19, 25",-0.0213,,,,,
2025-11-18,61.69,62.18,61.27,61.45,60.76,7127536,7127536,-0.24,-0.38904,61.6475,"November 18, 25",-0.0038904,,,,,
2025-11-17,60.7,61.61,60.57,61.5,60.81,4433103,4433103,0.8,1.32,61.095,"November 17, 25",0.0132,,,,,
2025-11-14,60.9,61.09,60.42,60.56,59.88,4342623,4342623,-0.34,-0.55829,60.7425,"November 14, 25",-0.0055829,,,,,
2025-11-13,61.01,61.38,60.56,60.87,60.19,4875604,4875604,-0.14,-0.22947,60.955,"November 13, 25",-0.0022947,,,,,
2025-11-12,61.13,61.51,60.95,61.37,60.69,2945500,2945500,0.24,0.39261,61.24,"November 12, 25",0.0039261,,,,,
2025-11-11,60.94,61.29,60.66,61.2,60.52,3509900,3509900,0.26,0.42665,61.0225,"November 11, 25",0.0042665,,,,,
2025-11-10,61.23,61.5,60.51,60.87,60.19,4120400,4120400,-0.36,-0.58795,61.0275,"November 10, 25",-0.0058795,,,,,
2025-11-07,60.67,61.61,60.49,61.58,60.89,5018200,5018200,0.91,1.5,61.0875,"November 07, 25",0.015,,,,,
2025-11-06,59.7,60.72,59.7,60.5,59.82,5342622,5342622,0.8,1.34,60.155,"November 06, 25",0.0134,,,,,
2025-11-05,59.51,60.08,59.05,59.69,59.02,7846100,7846100,0.18,0.30247,59.5825,"November 05, 25",0.0030247,,,,,
2025-11-04,58.7,59.55,58.7,59.32,58.66,6614800,6614800,0.62,1.06,59.0675,"November 04, 25",0.0106,,,,,
2025-11-03,58.33,58.67,57.13,58.49,57.83,5929909,5929909,0.16,0.2743,58.155,"November 03, 25",0.002743,,,,,
2025-10-31,59.74,60.74,58.24,58.69,58.03,7892584,7892584,-1.05,-1.76,59.3525,"October 31, 25",-0.0176,,,,,
2025-10-30,59.14,60.01,59.05,59.52,58.85,5005227,5005227,0.38,0.64254,59.43,"October 30, 25",0.0064254,,,,,
2025-10-29,59.52,59.75,58.79,58.99,58.33,4507800,4507800,-0.53,-0.89046,59.2625,"October 29, 25",-0.0089046,,,,,
2025-10-28,60.97,60.99,59.6,59.62,58.95,4476508,4476508,-1.35,-2.21,60.295,"October 28, 25",-0.0221,,,,,
2025-10-27,60.85,61.35,60.3,60.8,60.12,4020200,4020200,-0.05,-0.08216927,60.825,"October 27, 25",-0.0008216927,,,,,
2025-10-24,60.96,61.67,60.71,61.06,60.38,3669539,3669539,0.1,0.16404,61.1,"October 24, 25",0.0016404,,,,,
2025-10-23,61.38,61.4,60.37,60.68,60,3015672,3015672,-0.7,-1.14,60.9575,"October 23, 25",-0.0114,,,,,
2025-10-22,60.84,61.58,60.74,60.9,60.22,3928372,3928372,0.06,0.09861933,61.015,"October 22, 25",0.0009861933,,,,,
2025-10-21,61.63,61.75,60.45,60.87,60.19,3590000,3590000,-0.76,-1.23,61.175,"October 21, 25",-0.0123,,,,,
2025-10-20,60.92,61.66,60.85,61.45,60.76,3726064,3726064,0.53,0.86999,61.22,"October 20, 25",0.0086999,,,,,
2025-10-17,60.62,60.74,60.09,60.58,59.9,4457105,4457105,-0.04,-0.06598482,60.5075,"October 17, 25",-0.0006598482,,,,,
2025-10-16,61.76,62.52,60.61,60.62,59.94,5117628,5117628,-1.14,-1.85,61.3775,"October 16, 25",-0.0185,,,,,
2025-10-15,61.71,61.97,61.32,61.69,61,4450153,4450153,-0.02,-0.03240966,61.6725,"October 15, 25",-0.0003240966,,,,,
2025-10-14,61.4,61.86,61.23,61.52,60.83,4398900,4398900,0.12,0.19544,61.5025,"October 14, 25",0.0019544,,,,,
2025-10-13,60.76,61.39,60.63,61.34,60.65,2979829,2979829,0.58,0.95458,61.03,"October 13, 25",0.0095458,,,,,
2025-10-10,60.45,61.15,60.29,60.97,60.29,3937810,3937810,0.52,0.86022,60.715,"October 10, 25",0.0086022,,,,,
2025-10-09,60.85,61.23,60.02,60.26,59.59,4198217,4198217,-0.59,-0.9696,60.59,"October 09, 25",-0.009696,,,,,
2025-10-08,61.23,61.25,60.11,60.57,59.89,5312566,5312566,-0.66,-1.08,60.79,"October 08, 25",-0.0108,,,,,
2025-10-07,62,62.37,60.79,60.87,60.19,9524031,9524031,-1.13,-1.82,61.5075,"October 07, 25",-0.0182,,,,,
2025-10-06,61.63,61.78,61.03,61.5,60.81,5905308,5905308,-0.13,-0.21094,61.485,"October 06, 25",-0.0021094,,,,,
2025-10-03,61.16,62.05,61.16,61.53,60.84,4021987,4021987,0.37,0.60497,61.475,"October 03, 25",0.0060497,,,,,
2025-10-02,60.59,61.58,60.59,61.09,60.41,3583918,3583918,0.5,0.82522,60.9625,"October 02, 25",0.0082522,,,,,
2025-10-01,61.31,61.75,60.89,60.9,60.22,3635625,3635625,-0.41,-0.66873,61.2125,"October 01, 25",-0.0066873,,,,,
2025-09-30,61.03,61.21,60.74,61.17,60.48,2829489,2829489,0.14,0.2294,61.0375,"September 30, 25",0.002294,,,,,
2025-09-29,60.57,61.07,60.35,60.92,60.24,3467228,3467228,0.35,0.57784,60.7275,"September 29, 25",0.0057784,,,,,
2025-09-26,60.01,60.43,59.7,60.33,59.65,3114783,3114783,0.32,0.53324,60.1175,"September 26, 25",0.0053324,,,,,
2025-09-25,61.08,61.12,59.57,59.67,59,4096700,4096700,-1.41,-2.31,60.36,"September 25, 25",-0.0231,,,,,
2025-09-24,61.08,61.52,60.88,61.02,60.34,4464100,4464100,-0.06,-0.09823183,61.125,"September 24, 25",-0.0009823183,,,,,
2025-09-23,59.75,61.21,59.65,61.12,60.44,4318500,4318500,1.37,2.29,60.4325,"September 23, 25",0.0229,,,,,
2025-09-22,59.92,60.29,59.08,59.82,59.15,6387100,6387100,-0.1,-0.16689,59.7775,"September 22, 25",-0.0016689,,,,,
2025-09-19,60.04,60.19,59.3,59.85,59.18,9145917,9145917,-0.19,-0.31646,59.845,"September 19, 25",-0.0031646,,,,,
2025-09-18,59.14,60.12,58.8,59.74,59.07,4527554,4527554,0.6,1.01,59.45,"September 18, 25",0.0101,,,,,
2025-09-17,59.63,59.98,59.45,59.6,58.93,3492121,3492121,-0.03,-0.05031025,59.665,"September 17, 25",-0.0005031025,,,,,
2025-09-16,60.43,60.55,59.36,59.4,58.73,4550941,4550941,-1.03,-1.7,59.935,"September 16, 25",-0.017,,,,,
2025-09-15,60.05,60.75,60,60.58,59.9,6002441,6002441,0.53,0.8826,60.345,"September 15, 25",0.008826,,,,,
2025-09-12,59.75,60.54,59.65,60.05,59.38,3979900,3979900,0.3,0.50209,59.9975,"September 12, 25",0.0050209,,,,,
2025-09-11,59.13,60.11,59.08,60.01,59.34,4658035,4658035,0.88,1.49,59.5825,"September 11, 25",0.0149,,,,,
2025-09-10,58.5,59.6,57.96,59.42,58.75,7993625,7993625,0.92,1.57,58.87,"September 10, 25",0.0157,,,,,
2025-09-09,57.89,58.96,57.81,58.85,58.19,5634300,5634300,0.96,1.66,58.3775,"September 09, 25",0.0166,,,,,
2025-09-08,57.98,58.16,57.56,57.95,57.3,5238740,5238740,-0.03,-0.05174198,57.9125,"September 08, 25",-0.0005174198,,,,,
2025-09-05,58.29,58.6,57.78,58.19,57.54,4896000,4896000,-0.1,-0.17156,58.215,"September 05, 25",-0.0017156,0.6675,0.6675,2025-07-31,2025-09-05,2025-09-20
2025-09-04,59.43,59.57,58.48,58.79,57.47,5589824,5589824,-0.64,-1.08,59.0675,"September 04, 25",-0.0108,,,,,
2025-09-03,58.89,59.22,58.55,58.92,57.6,4454648,4454648,0.03,0.05094244,58.895,"September 03, 25",0.0005094244,,,,,
2025-09-02,59.54,59.8,58.88,59.14,57.81,3838427,3838427,-0.4,-0.67182,59.34,"September 02, 25",-0.0067182,,,,,
